LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1670855227.809882,1242579.000,4481,2,AK,1,100,3625
1670855227.809882,1242579.000,4481,2,AK,1,100,RD
1670855227.845999,1242614.000,4484,2,AK,1,100,4482
1670855227.882118,1242649.000,4484,2,AK,1,100,RD
1670855230.484158,1245170.500,5326,2,AK,1,100,4482
1670855233.086198,1247692.000,5326,2,AK,1,100,RD
1670855233.141407,1247745.500,5329,2,AK,1,100,5327
1670855233.196616,1247799.000,5329,2,AK,1,100,RD
1670855235.776985,1250299.500,6157,2,AK,1,100,5327
1670855238.357355,1252800.000,6157,2,AK,1,100,RD
1670855238.384185,1252826.000,6160,2,AK,1,100,6158
1670855238.411016,1252852.000,6160,2,AK,1,100,RD
1670855241.015636,1255376.000,7001,2,AK,1,100,6158
1670855243.620256,1257900.000,7001,2,AK,1,100,RD
1670855243.674949,1257953.000,7004,2,AK,1,100,7002
1670855243.729642,1258006.000,7004,2,AK,1,100,RD
1670855246.312591,1260509.000,7836,2,AK,1,100,7002
1670855248.895541,1263012.000,7836,2,AK,1,100,RD
1670855248.914632,1263030.500,7839,2,AK,1,100,7837
1670855248.933722,1263049.000,7839,2,AK,1,100,RD
1670855251.576524,1265610.000,8695,2,AK,1,100,7837
1670855254.219326,1268171.000,8695,2,AK,1,100,RD
1670855254.240997,1268192.000,8698,2,AK,1,100,8696
1670855254.262668,1268213.000,8698,2,AK,1,100,RD
1670855256.876060,1270745.500,9542,2,AK,1,100,8696
1670855259.489451,1273278.000,9542,2,AK,1,100,RD
1670855259.502867,1273291.000,9545,2,AK,1,100,9543
1670855259.516282,1273304.000,9545,2,AK,1,100,RD
1670855262.139993,1275846.500,10386,2,AK,1,100,9543
1670855264.763704,1278389.000,10386,2,AK,1,100,RD
1670855264.787955,1278412.500,10389,2,AK,1,100,10387
1670855264.812205,1278436.000,10389,2,AK,1,100,RD
1670855267.421985,1280965.000,11234,2,AK,1,100,10387
1670855270.031765,1283494.000,11234,2,AK,1,100,RD
1670855270.045180,1283507.000,11237,2,AK,1,100,11235
1670855270.058595,1283520.000,11237,2,AK,1,100,RD
1670855272.694690,1286074.500,12093,2,AK,1,100,11235
1670855275.330784,1288629.000,12093,2,AK,1,100,RD
1670855275.353487,1288651.000,12096,2,AK,1,100,12094
1670855275.376189,1288673.000,12096,2,AK,1,100,RD
1670855277.984421,1291200.500,12939,2,AK,1,100,12094
1670855280.592653,1293728.000,12939,2,AK,1,100,RD
1670855280.609164,1293744.000,12942,2,AK,1,100,12940
1670855280.625675,1293760.000,12942,2,AK,1,100,RD
1670855283.248871,1296302.000,13787,2,AK,1,100,12940
1670855285.872066,1298844.000,13787,2,AK,1,100,RD
1670855285.904572,1298875.500,13790,2,AK,1,100,13788
1670855285.937078,1298907.000,13790,2,AK,1,100,RD
1670855288.544278,1301433.500,14630,2,AK,1,100,13788
1670855291.151478,1303960.000,14630,2,AK,1,100,RD
1670855291.188628,1303996.000,14633,2,AK,1,100,14631
1670855291.225778,1304032.000,14633,2,AK,1,100,RD
1670855293.826270,1306552.000,15478,2,AK,1,100,14631
1670855296.426763,1309072.000,15478,2,AK,1,100,RD
1670855296.449981,1309094.500,15481,2,AK,1,100,15479
1670855296.473200,1309117.000,15481,2,AK,1,100,RD
1670855299.080916,1311644.000,16322,2,AK,1,100,15479
