LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1670855225.734648,1240568.000,4161,1,B%,1,100,72
1670855226.731503,1241534.000,4328,1,B%,1,100,72
1670855227.732486,1242504.000,4479,1,B%,1,100,72
1670855228.730373,1243471.000,4655,1,B%,1,100,71
1670855229.733420,1244443.000,4804,1,B%,1,100,71
1670855230.735435,1245414.000,4973,1,B%,1,100,71
1670855231.736419,1246384.000,5125,1,B%,1,100,71
1670855232.734306,1247351.000,5291,1,B%,1,100,71
1670855233.728066,1248314.000,5432,1,B%,1,100,71
1670855234.722857,1249278.000,5602,1,B%,1,100,71
1670855235.717649,1250242.000,5751,1,B%,1,100,71
1670855236.717600,1251211.000,5921,1,B%,1,100,71
1670855237.715487,1252178.000,6073,1,B%,1,100,71
1670855238.714407,1253146.000,6228,1,B%,1,100,71
1670855239.715390,1254116.000,6398,1,B%,1,100,71
1670855240.718437,1255088.000,6565,1,B%,1,100,71
1670855241.717356,1256056.000,6714,1,B%,1,100,70
1670855242.713180,1257021.000,6883,1,B%,1,100,71
1670855243.705907,1257983.000,7023,1,B%,1,100,71
1670855244.701731,1258948.000,7192,1,B%,1,100,71
1670855245.700650,1259916.000,7344,1,B%,1,100,71
1670855246.696474,1260881.000,7510,1,B%,1,100,72
1670855247.696425,1261850.000,7662,1,B%,1,100,71
1670855248.695344,1262818.000,7816,1,B%,1,100,71
1670855249.697359,1263789.000,7988,1,B%,1,100,71
1670855250.697310,1264758.000,8140,1,B%,1,100,70
1670855251.697262,1265727.000,8310,1,B%,1,100,70
1670855252.692053,1266691.000,8458,1,B%,1,100,71
1670855253.685813,1267654.000,8628,1,B%,1,100,71
1670855254.683700,1268621.000,8785,1,B%,1,100,70
1670855255.681587,1269588.000,8952,1,B%,1,100,71
1670855256.682571,1270558.000,9120,1,B%,1,100,71
1670855257.686650,1271531.000,9271,1,B%,1,100,70
1670855258.683505,1272497.000,9437,1,B%,1,100,71
1670855259.687584,1273470.000,9597,1,B%,1,100,70
1670855260.683408,1274435.000,9764,1,B%,1,100,70
1670855261.677167,1275398.000,9913,1,B%,1,100,70
1670855262.677118,1276367.000,10082,1,B%,1,100,70
1670855263.669846,1277329.000,10232,1,B%,1,100,70
1670855264.667733,1278296.000,10408,1,B%,1,100,71
1670855265.665621,1279263.000,10561,1,B%,1,100,70
1670855266.668668,1280235.000,10709,1,B%,1,100,70
1670855267.668619,1281204.000,10879,1,B%,1,100,70
1670855268.666506,1282171.000,11031,1,B%,1,100,70
1670855269.671617,1283145.000,11198,1,B%,1,100,70
1670855270.664345,1284107.000,11354,1,B%,1,100,70
1670855271.660168,1285072.000,11524,1,B%,1,100,71
1670855272.655992,1286037.000,11673,1,B%,1,100,71
1670855273.652847,1287003.000,11843,1,B%,1,100,70
1670855274.647639,1287967.000,11994,1,B%,1,100,70
1670855275.647590,1288936.000,12166,1,B%,1,100,70
1670855276.649605,1289907.000,12333,1,B%,1,100,70
1670855277.648525,1290875.000,12486,1,B%,1,100,70
1670855278.647444,1291843.000,12652,1,B%,1,100,70
1670855279.651523,1292816.000,12803,1,B%,1,100,70
1670855280.643219,1293777.000,12978,1,B%,1,100,70
1670855281.636978,1294740.000,13128,1,B%,1,100,70
1670855282.633833,1295706.000,13297,1,B%,1,100,70
1670855283.630689,1296672.000,13445,1,B%,1,100,70
1670855284.626513,1297637.000,13615,1,B%,1,100,70
1670855285.628528,1298608.000,13768,1,B%,1,100,70
1670855286.629511,1299578.000,13922,1,B%,1,100,70
1670855287.628430,1300546.000,14091,1,B%,1,100,70
1670855288.627349,1301514.000,14243,1,B%,1,100,70
1670855289.624205,1302480.000,14410,1,B%,1,100,70
1670855290.622092,1303447.000,14561,1,B%,1,100,69
1670855291.617916,1304412.000,14722,1,B%,1,100,70
1670855292.613739,1305377.000,14886,1,B%,1,100,70
1670855293.612658,1306345.000,15038,1,B%,1,100,70
1670855294.609514,1307311.000,15205,1,B%,1,100,69
1670855295.615657,1308286.000,15356,1,B%,1,100,70
1670855296.614576,1309254.000,15531,1,B%,1,100,70
1670855297.617623,1310226.000,15683,1,B%,1,100,70
1670855298.614478,1311192.000,15850,1,B%,1,100,69
1670855299.612366,1312159.000,16001,1,B%,1,100,69
1670855300.606125,1313122.000,16171,1,B%,1,100,69
1670855301.601949,1314087.000,16320,1,B%,1,100,69
1670855302.599836,1315054.000,16495,1,B%,1,100,70
1670855303.599787,1316023.000,16643,1,B%,1,100,70
1670855304.600770,1316993.000,16813,1,B%,1,100,70
1670855305.603818,1317965.000,16982,1,B%,1,100,70
1670855306.602737,1318933.000,17132,1,B%,1,100,70
1670855307.601656,1319901.000,17292,1,B%,1,100,70
1670855308.599544,1320868.000,17443,1,B%,1,100,70
1670855309.593303,1321831.000,17610,1,B%,1,100,70
1670855310.587063,1322794.000,17762,1,B%,1,100,70
1670855311.585982,1323762.000,17932,1,B%,1,100,70
1670855312.582837,1324728.000,18085,1,B%,1,100,71
1670855313.581757,1325696.000,18237,1,B%,1,100,70
1670855314.580676,1326664.000,18407,1,B%,1,100,69
1670855315.584755,1327637.000,18555,1,B%,1,100,69
1670855316.582642,1328604.000,18725,1,B%,1,100,70
1670855317.580530,1329571.000,18884,1,B%,1,100,70
1670855318.577385,1330537.000,19050,1,B%,1,100,69
1670855319.572177,1331501.000,19204,1,B%,1,100,69
1670855320.568000,1332466.000,19357,1,B%,1,100,69
1670855321.566920,1333434.000,19523,1,B%,1,100,69
1670855322.564807,1334401.000,19674,1,B%,1,100,68
1670855323.565790,1335371.000,19830,1,B%,1,100,69
1670855324.564709,1336339.000,19999,1,B%,1,100,69
1670855325.570852,1337314.000,20150,1,B%,1,100,69
1670855326.567708,1338280.000,20317,1,B%,1,100,69
1670855327.564563,1339246.000,20469,1,B%,1,100,68
1670855328.557291,1340208.000,20626,1,B%,1,100,68
1670855329.553114,1341173.000,20793,1,B%,1,100,69
1670855330.549969,1342139.000,20960,1,B%,1,100,69
1670855331.549921,1343108.000,21113,1,B%,1,100,69
1670855332.554000,1344081.000,21279,1,B%,1,100,69
1670855333.552919,1345049.000,21435,1,B%,1,100,69
1670855334.554934,1346020.000,21605,1,B%,1,100,68
1670855335.555917,1346990.000,21754,1,B%,1,100,69
1670855336.552773,1347956.000,21924,1,B%,1,100,69
1670855337.552724,1348925.000,22076,1,B%,1,100,68
1670855338.543388,1349885.000,22249,1,B%,1,100,68
1670855339.543339,1350854.000,22402,1,B%,1,100,68
1670855340.537099,1351817.000,22553,1,B%,1,100,68
1670855341.539114,1352788.000,22720,1,B%,1,100,69
