LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670855225.734648,1240568.000,4160,1,BV,1,100,3.95
1670855226.731503,1241534.000,4327,1,BV,1,100,3.95
1670855227.732486,1242504.000,4478,1,BV,1,100,3.95
1670855228.730373,1243471.000,4654,1,BV,1,100,3.95
1670855229.733420,1244443.000,4803,1,BV,1,100,3.95
1670855230.735435,1245414.000,4972,1,BV,1,100,3.95
1670855231.736419,1246384.000,5124,1,BV,1,100,3.95
1670855232.734306,1247351.000,5290,1,BV,1,100,3.95
1670855233.728066,1248314.000,5431,1,BV,1,100,3.95
1670855234.722857,1249278.000,5601,1,BV,1,100,3.95
1670855235.717649,1250242.000,5750,1,BV,1,100,3.95
1670855236.717600,1251211.000,5920,1,BV,1,100,3.95
1670855237.715487,1252178.000,6072,1,BV,1,100,3.95
1670855238.714407,1253146.000,6227,1,BV,1,100,3.95
1670855239.715390,1254116.000,6397,1,BV,1,100,3.94
1670855240.718437,1255088.000,6564,1,BV,1,100,3.94
1670855241.717356,1256056.000,6713,1,BV,1,100,3.94
1670855242.713180,1257021.000,6882,1,BV,1,100,3.94
1670855243.705907,1257983.000,7022,1,BV,1,100,3.95
1670855244.701731,1258948.000,7191,1,BV,1,100,3.95
1670855245.700650,1259916.000,7343,1,BV,1,100,3.95
1670855246.696474,1260881.000,7509,1,BV,1,100,3.95
1670855247.696425,1261850.000,7661,1,BV,1,100,3.95
1670855248.695344,1262818.000,7815,1,BV,1,100,3.95
1670855249.697359,1263789.000,7987,1,BV,1,100,3.94
1670855250.697310,1264758.000,8139,1,BV,1,100,3.94
1670855251.697262,1265727.000,8309,1,BV,1,100,3.94
1670855252.692053,1266691.000,8457,1,BV,1,100,3.94
1670855253.685813,1267654.000,8627,1,BV,1,100,3.94
1670855254.683700,1268621.000,8784,1,BV,1,100,3.94
1670855255.681587,1269588.000,8951,1,BV,1,100,3.94
1670855256.682571,1270558.000,9119,1,BV,1,100,3.95
1670855257.686650,1271531.000,9270,1,BV,1,100,3.94
1670855258.683505,1272497.000,9436,1,BV,1,100,3.94
1670855259.687584,1273470.000,9596,1,BV,1,100,3.94
1670855260.683408,1274435.000,9763,1,BV,1,100,3.94
1670855261.677167,1275398.000,9912,1,BV,1,100,3.94
1670855262.677118,1276367.000,10081,1,BV,1,100,3.94
1670855263.669846,1277329.000,10231,1,BV,1,100,3.94
1670855264.667733,1278296.000,10407,1,BV,1,100,3.94
1670855265.665621,1279263.000,10560,1,BV,1,100,3.94
1670855266.668668,1280235.000,10708,1,BV,1,100,3.94
1670855267.668619,1281204.000,10878,1,BV,1,100,3.94
1670855268.666506,1282171.000,11030,1,BV,1,100,3.94
1670855269.671617,1283145.000,11197,1,BV,1,100,3.94
1670855270.664345,1284107.000,11353,1,BV,1,100,3.94
1670855271.660168,1285072.000,11523,1,BV,1,100,3.94
1670855272.655992,1286037.000,11672,1,BV,1,100,3.94
1670855273.652847,1287003.000,11842,1,BV,1,100,3.94
1670855274.647639,1287967.000,11993,1,BV,1,100,3.94
1670855275.647590,1288936.000,12165,1,BV,1,100,3.94
1670855276.649605,1289907.000,12332,1,BV,1,100,3.94
1670855277.648525,1290875.000,12485,1,BV,1,100,3.94
1670855278.647444,1291843.000,12651,1,BV,1,100,3.94
1670855279.651523,1292816.000,12802,1,BV,1,100,3.94
1670855280.643219,1293777.000,12977,1,BV,1,100,3.94
1670855281.636978,1294740.000,13127,1,BV,1,100,3.94
1670855282.633833,1295706.000,13296,1,BV,1,100,3.94
1670855283.630689,1296672.000,13444,1,BV,1,100,3.94
1670855284.626513,1297637.000,13614,1,BV,1,100,3.94
1670855285.628528,1298608.000,13767,1,BV,1,100,3.94
1670855286.629511,1299578.000,13921,1,BV,1,100,3.94
1670855287.628430,1300546.000,14090,1,BV,1,100,3.94
1670855288.627349,1301514.000,14242,1,BV,1,100,3.94
1670855289.624205,1302480.000,14409,1,BV,1,100,3.94
1670855290.622092,1303447.000,14560,1,BV,1,100,3.94
1670855291.617916,1304412.000,14721,1,BV,1,100,3.94
1670855292.613739,1305377.000,14885,1,BV,1,100,3.94
1670855293.612658,1306345.000,15037,1,BV,1,100,3.94
1670855294.609514,1307311.000,15204,1,BV,1,100,3.94
1670855295.615657,1308286.000,15355,1,BV,1,100,3.94
1670855296.614576,1309254.000,15530,1,BV,1,100,3.94
1670855297.617623,1310226.000,15682,1,BV,1,100,3.94
