LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670855225.435385,1240278.000,4099,2,EA,1,100,0.030320
1670855225.435385,1240278.000,4099,2,EA,1,100,0.030320
1670855225.502461,1240343.000,4116,1,EA,1,100,0.030320
1670855225.569021,1240407.500,4132,2,EA,1,100,0.030320
1670855225.635581,1240472.000,4132,2,EA,1,100,0.030320
1670855225.701625,1240536.000,4149,1,EA,1,100,0.030320
1670855225.768186,1240600.500,4166,2,EA,1,100,0.030320
1670855225.834746,1240665.000,4166,2,EA,1,100,0.030320
1670855225.900790,1240729.000,4183,1,EA,1,100,0.030320
1670855225.967866,1240794.000,4199,2,EA,1,100,0.030320
1670855226.034942,1240859.000,4199,2,EA,1,100,0.030320
1670855226.102019,1240924.000,4217,2,EA,1,100,0.030320
1670855226.169095,1240989.000,4217,2,EA,1,100,0.030320
1670855226.234107,1241052.000,4233,1,EA,1,100,0.030320
1670855226.300151,1241116.000,4248,2,EA,1,100,0.030320
1670855226.366196,1241180.000,4248,2,EA,1,100,0.030320
1670855226.434304,1241246.000,4265,1,EA,1,100,0.030320
1670855226.500348,1241310.000,4282,2,EA,1,100,0.030320
1670855226.566392,1241374.000,4282,2,EA,1,100,0.030320
1670855226.633468,1241439.000,4298,1,EA,1,100,0.030320
1670855226.699513,1241503.000,4314,2,EA,1,100,0.030320
1670855226.765557,1241567.000,4314,2,EA,1,100,0.030320
1670855226.832633,1241632.000,4332,2,EA,1,100,0.030320
1670855226.899709,1241697.000,4332,2,EA,1,100,0.030320
1670855226.967818,1241763.000,4349,1,EA,1,100,0.030320
1670855227.034378,1241827.500,4369,2,EA,1,100,0.030320
1670855227.100938,1241892.000,4369,2,EA,1,100,0.030320
1670855227.166982,1241956.000,4386,1,EA,1,100,0.030320
1670855227.233026,1242020.000,4400,2,EA,1,100,0.030320
1670855227.299071,1242084.000,4400,2,EA,1,100,0.030320
1670855227.367179,1242150.000,4417,1,EA,1,100,0.030320
1670855227.433223,1242214.000,4434,2,EA,1,100,0.030320
1670855227.499267,1242278.000,4434,2,EA,1,100,0.030320
1670855227.566344,1242343.000,4451,1,EA,1,100,0.030320
1670855227.632904,1242407.500,4466,2,EA,1,100,0.030319
1670855227.699464,1242472.000,4466,2,EA,1,100,0.030319
1670855227.766024,1242536.500,4490,2,EA,1,100,0.030319
1670855227.832584,1242601.000,4490,2,EA,1,100,0.030320
1670855227.899145,1242665.500,4506,2,EA,1,100,0.030319
1670855227.965705,1242730.000,4506,2,EA,1,100,0.030319
1670855228.032265,1242794.500,4524,2,EA,1,100,0.030319
1670855228.098825,1242859.000,4524,2,EA,1,100,0.030319
1670855228.165901,1242924.000,4540,1,EA,1,100,0.030319
1670855228.231946,1242988.000,4557,2,EA,1,100,0.030319
1670855228.297990,1243052.000,4557,2,EA,1,100,0.030319
1670855228.365066,1243117.000,4573,1,EA,1,100,0.030319
1670855228.431626,1243181.500,4592,2,EA,1,100,0.030319
1670855228.498187,1243246.000,4592,2,EA,1,100,0.030319
1670855228.565263,1243311.000,4608,1,EA,1,100,0.030319
1670855228.631823,1243375.500,4625,2,EA,1,100,0.030319
1670855228.698383,1243440.000,4625,2,EA,1,100,0.030319
1670855228.764427,1243504.000,4642,1,EA,1,100,0.030319
1670855228.830988,1243568.500,4660,2,EA,1,100,0.030319
1670855228.897548,1243633.000,4660,2,EA,1,100,0.030319
1670855228.965656,1243699.000,4675,2,EA,1,100,0.030319
1670855229.033764,1243765.000,4675,2,EA,1,100,0.030319
1670855229.100840,1243830.000,4693,1,EA,1,100,0.030319
1670855229.168948,1243896.000,4709,2,EA,1,100,0.030319
1670855229.237057,1243962.000,4709,2,EA,1,100,0.030319
1670855229.303101,1244026.000,4726,1,EA,1,100,0.030319
1670855229.369661,1244090.500,4741,2,EA,1,100,0.030319
1670855229.436221,1244155.000,4741,2,EA,1,100,0.030319
1670855229.501234,1244218.000,4758,1,EA,1,100,0.030319
1670855229.567794,1244282.500,4774,2,EA,1,100,0.030319
1670855229.634354,1244347.000,4774,2,EA,1,100,0.030319
1670855229.699366,1244410.000,4791,1,EA,1,100,0.030319
1670855229.767474,1244476.000,4809,2,EA,1,100,0.030319
1670855229.835583,1244542.000,4809,2,EA,1,100,0.030320
1670855229.902143,1244606.500,4825,2,EA,1,100,0.030319
1670855229.968703,1244671.000,4825,2,EA,1,100,0.030320
1670855230.035779,1244736.000,4844,1,EA,1,100,0.030319
1670855230.102340,1244800.500,4862,2,EA,1,100,0.030320
1670855230.168900,1244865.000,4862,2,EA,1,100,0.030320
1670855230.234944,1244929.000,4878,1,EA,1,100,0.030320
1670855230.300988,1244993.000,4893,2,EA,1,100,0.030320
1670855230.367033,1245057.000,4893,2,EA,1,100,0.030320
1670855230.434109,1245122.000,4910,1,EA,1,100,0.030320
1670855230.501185,1245187.000,4927,2,EA,1,100,0.030320
1670855230.568261,1245252.000,4927,2,EA,1,100,0.030320
1670855230.636369,1245318.000,4943,2,EA,1,100,0.030320
1670855230.704477,1245384.000,4943,2,EA,1,100,0.030320
1670855230.769490,1245447.000,4961,1,EA,1,100,0.030320
1670855230.835534,1245511.000,4977,2,EA,1,100,0.030320
1670855230.901578,1245575.000,4977,2,EA,1,100,0.030320
1670855230.967622,1245639.000,4994,1,EA,1,100,0.030320
1670855231.033667,1245703.000,5011,2,EA,1,100,0.030320
1670855231.099711,1245767.000,5011,2,EA,1,100,0.030320
1670855231.166787,1245832.000,5028,1,EA,1,100,0.030320
1670855231.234895,1245898.000,5042,2,EA,1,100,0.030320
1670855231.303003,1245964.000,5042,2,EA,1,100,0.030320
1670855231.369048,1246028.000,5059,1,EA,1,100,0.030320
1670855231.436640,1246093.500,5079,2,EA,1,100,0.030320
1670855231.504232,1246159.000,5079,2,EA,1,100,0.030320
1670855231.570792,1246223.500,5096,2,EA,1,100,0.030320
1670855231.637352,1246288.000,5096,2,EA,1,100,0.030320
1670855231.703397,1246352.000,5112,1,EA,1,100,0.030320
1670855231.767893,1246414.500,5131,2,EA,1,100,0.030320
1670855231.832389,1246477.000,5131,2,EA,1,100,0.030320
1670855231.898950,1246541.500,5146,2,EA,1,100,0.030320
1670855231.965510,1246606.000,5146,2,EA,1,100,0.030320
1670855232.034650,1246673.000,5163,1,EA,1,100,0.030320
1670855232.102758,1246739.000,5180,2,EA,1,100,0.030320
1670855232.170866,1246805.000,5180,2,EA,1,100,0.030320
1670855232.236910,1246869.000,5197,1,EA,1,100,0.030320
1670855232.303471,1246933.500,5211,2,EA,1,100,0.030320
1670855232.370031,1246998.000,5211,2,EA,1,100,0.030320
1670855232.436075,1247062.000,5229,1,EA,1,100,0.030320
1670855232.502119,1247126.000,5245,2,EA,1,100,0.030320
1670855232.568164,1247190.000,5245,2,EA,1,100,0.030320
1670855232.635240,1247255.000,5262,2,EA,1,100,0.030320
1670855232.702316,1247320.000,5262,2,EA,1,100,0.030320
1670855232.767328,1247383.000,5279,1,EA,1,100,0.030320
1670855232.833372,1247447.000,5296,2,EA,1,100,0.030320
1670855232.899417,1247511.000,5296,2,EA,1,100,0.030320
1670855232.966493,1247576.000,5312,1,EA,1,100,0.030320
1670855233.032193,1247639.667,5338,3,EA,1,100,0.030319
1670855233.097893,1247703.333,5338,3,EA,1,100,0.030319
1670855233.163594,1247767.000,5338,3,EA,1,100,0.030319
1670855233.229122,1247830.500,5354,2,EA,1,100,0.030319
1670855233.294650,1247894.000,5354,2,EA,1,100,0.030320
1670855233.361211,1247958.500,5371,2,EA,1,100,0.030320
1670855233.427771,1248023.000,5371,2,EA,1,100,0.030320
1670855233.494847,1248088.000,5387,1,EA,1,100,0.030320
1670855233.561923,1248153.000,5404,2,EA,1,100,0.030320
1670855233.628999,1248218.000,5404,2,EA,1,100,0.030319
1670855233.695044,1248282.000,5420,1,EA,1,100,0.030320
1670855233.761604,1248346.500,5438,2,EA,1,100,0.030320
1670855233.828164,1248411.000,5438,2,EA,1,100,0.030320
1670855233.894208,1248475.000,5454,1,EA,1,100,0.030320
1670855233.960768,1248539.500,5471,2,EA,1,100,0.030320
1670855234.027329,1248604.000,5471,2,EA,1,100,0.030320
1670855234.093373,1248668.000,5488,2,EA,1,100,0.030320
1670855234.159417,1248732.000,5488,2,EA,1,100,0.030320
1670855234.224430,1248795.000,5505,1,EA,1,100,0.030320
1670855234.291506,1248860.000,5519,2,EA,1,100,0.030320
1670855234.358582,1248925.000,5519,2,EA,1,100,0.030320
1670855234.424626,1248989.000,5537,1,EA,1,100,0.030320
1670855234.490670,1249053.000,5553,2,EA,1,100,0.030320
1670855234.556715,1249117.000,5553,2,EA,1,100,0.030320
1670855234.622759,1249181.000,5570,1,EA,1,100,0.030320
1670855234.689319,1249245.500,5589,2,EA,1,100,0.030320
1670855234.755879,1249310.000,5589,2,EA,1,100,0.030320
