LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1670855225.331158,1240177.000,4079,4,EM,1,100,RS
1670855225.331158,1240177.000,4079,4,EM,1,100,RB
1670855225.331158,1240177.000,4079,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855225.331158,1240177.000,4079,4,EM,1,100,PS
1670855225.383013,1240227.250,4112,4,EM,1,100,RS
1670855225.434868,1240277.500,4112,4,EM,1,100,RB
1670855225.486723,1240327.750,4112,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855225.538579,1240378.000,4112,4,EM,1,100,PS
1670855225.590434,1240428.250,4145,4,EM,1,100,RS
1670855225.642289,1240478.500,4145,4,EM,1,100,RB
1670855225.694144,1240528.750,4145,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855225.745999,1240579.000,4145,4,EM,1,100,PS
1670855225.798112,1240629.500,4179,4,EM,1,100,RS
1670855225.850225,1240680.000,4179,4,EM,1,100,RB
1670855225.902338,1240730.500,4179,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855225.954451,1240781.000,4179,4,EM,1,100,PS
1670855226.006048,1240831.000,4212,4,EM,1,100,RS
1670855226.057645,1240881.000,4212,4,EM,1,100,RB
1670855226.109242,1240931.000,4212,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855226.160839,1240981.000,4212,4,EM,1,100,PS
1670855226.212694,1241031.250,4244,4,EM,1,100,RS
1670855226.264549,1241081.500,4244,4,EM,1,100,RB
1670855226.316404,1241131.750,4244,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855226.368259,1241182.000,4244,4,EM,1,100,PS
1670855226.420115,1241232.250,4278,4,EM,1,100,RS
1670855226.471970,1241282.500,4278,4,EM,1,100,RB
1670855226.523825,1241332.750,4278,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855226.575680,1241383.000,4278,4,EM,1,100,PS
1670855226.627535,1241433.250,4309,4,EM,1,100,RS
1670855226.679390,1241483.500,4309,4,EM,1,100,RB
1670855226.731245,1241533.750,4309,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855226.783100,1241584.000,4309,4,EM,1,100,PS
1670855226.834955,1241634.250,4345,4,EM,1,100,RS
1670855226.886810,1241684.500,4345,4,EM,1,100,RB
1670855226.938665,1241734.750,4345,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855226.990520,1241785.000,4345,4,EM,1,100,PS
1670855227.042375,1241835.250,4382,4,EM,1,100,RS
1670855227.094230,1241885.500,4382,4,EM,1,100,RB
1670855227.146085,1241935.750,4382,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855227.197940,1241986.000,4382,4,EM,1,100,PS
1670855227.250053,1242036.500,4413,4,EM,1,100,RS
1670855227.302166,1242087.000,4413,4,EM,1,100,RB
1670855227.354280,1242137.500,4413,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855227.406393,1242188.000,4413,4,EM,1,100,PS
1670855227.458248,1242238.250,4447,4,EM,1,100,RS
1670855227.510103,1242288.500,4447,4,EM,1,100,RB
1670855227.561958,1242338.750,4447,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855227.613813,1242389.000,4447,4,EM,1,100,PS
1670855227.681147,1242454.250,4485,4,EM,1,100,RS
1670855227.748481,1242519.500,4485,4,EM,1,100,RB
1670855227.815815,1242584.750,4485,4,EM,1,100,2022-12-12_16-27-05-140907.csv
1670855227.883149,1242650.000,4485,4,EM,1,100,PS
1670855227.935004,1242700.250,4519,4,EM,1,100,RS
1670855227.986860,1242750.500,4519,4,EM,1,100,RB
