LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1670855225.333222,1240179.000,4087,3,GY,1,100,0.183
1670855225.333222,1240179.000,4087,3,GY,1,100,0.153
1670855225.333222,1240179.000,4087,3,GY,1,100,0.183
1670855225.362805,1240207.667,4107,3,GY,1,100,0.122
1670855225.392387,1240236.333,4107,3,GY,1,100,0.092
1670855225.421969,1240265.000,4107,3,GY,1,100,0.153
1670855225.461871,1240303.667,4124,3,GY,1,100,0.153
1670855225.501773,1240342.333,4124,3,GY,1,100,0.183
1670855225.541674,1240381.000,4124,3,GY,1,100,0.153
1670855225.588628,1240426.500,4140,2,GY,1,100,0.122
1670855225.635581,1240472.000,4140,2,GY,1,100,0.153
1670855225.675311,1240510.500,4155,2,GY,1,100,0.153
1670855225.715040,1240549.000,4155,2,GY,1,100,0.153
1670855225.754942,1240587.667,4174,3,GY,1,100,0.122
1670855225.794844,1240626.333,4174,3,GY,1,100,0.122
1670855225.834746,1240665.000,4174,3,GY,1,100,0.153
1670855225.873960,1240703.000,4191,3,GY,1,100,0.153
1670855225.913173,1240741.000,4191,3,GY,1,100,0.153
1670855225.952387,1240779.000,4191,3,GY,1,100,0.153
1670855225.993665,1240819.000,4207,2,GY,1,100,0.153
1670855226.034942,1240859.000,4207,2,GY,1,100,0.092
1670855226.075188,1240898.000,4225,3,GY,1,100,0.122
1670855226.115434,1240937.000,4225,3,GY,1,100,0.122
1670855226.155679,1240976.000,4225,3,GY,1,100,0.153
1670855226.195237,1241014.333,4239,3,GY,1,100,0.183
1670855226.234795,1241052.667,4239,3,GY,1,100,0.153
1670855226.274353,1241091.000,4239,3,GY,1,100,0.153
1670855226.314083,1241129.500,4256,2,GY,1,100,0.183
1670855226.353812,1241168.000,4256,2,GY,1,100,0.122
1670855226.393714,1241206.667,4273,3,GY,1,100,0.092
1670855226.433616,1241245.333,4273,3,GY,1,100,0.153
1670855226.473517,1241284.000,4273,3,GY,1,100,0.153
1670855226.513763,1241323.000,4290,2,GY,1,100,0.122
1670855226.554009,1241362.000,4290,2,GY,1,100,0.153
1670855226.593911,1241400.667,4304,3,GY,1,100,0.122
1670855226.633812,1241439.333,4304,3,GY,1,100,0.153
1670855226.673714,1241478.000,4304,3,GY,1,100,0.153
1670855226.719635,1241522.500,4322,2,GY,1,100,0.183
1670855226.765557,1241567.000,4322,2,GY,1,100,0.183
1670855226.805803,1241606.000,4340,3,GY,1,100,0.153
1670855226.846048,1241645.000,4340,3,GY,1,100,0.153
1670855226.886294,1241684.000,4340,3,GY,1,100,0.153
1670855226.926540,1241723.000,4357,3,GY,1,100,0.122
1670855226.966785,1241762.000,4357,3,GY,1,100,0.153
1670855227.007031,1241801.000,4357,3,GY,1,100,0.183
1670855227.047277,1241840.000,4377,2,GY,1,100,0.153
1670855227.087523,1241879.000,4377,2,GY,1,100,0.153
1670855227.127424,1241917.667,4392,3,GY,1,100,0.153
1670855227.167326,1241956.333,4392,3,GY,1,100,0.153
1670855227.207228,1241995.000,4392,3,GY,1,100,0.183
1670855227.246958,1242033.500,4408,2,GY,1,100,0.122
1670855227.286687,1242072.000,4408,2,GY,1,100,0.092
1670855227.325901,1242110.000,4425,3,GY,1,100,0.122
1670855227.365115,1242148.000,4425,3,GY,1,100,0.153
1670855227.404329,1242186.000,4425,3,GY,1,100,0.153
1670855227.444918,1242225.333,4442,3,GY,1,100,0.122
1670855227.485508,1242264.667,4442,3,GY,1,100,0.214
1670855227.526098,1242304.000,4442,3,GY,1,100,0.153
1670855227.566344,1242343.000,4458,2,GY,1,100,0.153
1670855227.606589,1242382.000,4458,2,GY,1,100,0.153
1670855227.646491,1242420.667,4473,3,GY,1,100,0.122
1670855227.686393,1242459.333,4473,3,GY,1,100,0.153
1670855227.726294,1242498.000,4473,3,GY,1,100,0.122
1670855227.766196,1242536.667,4498,3,GY,1,100,0.153
1670855227.806098,1242575.333,4498,3,GY,1,100,0.183
1670855227.845999,1242614.000,4498,3,GY,1,100,0.153
1670855227.890373,1242657.000,4514,3,GY,1,100,0.122
1670855227.934747,1242700.000,4514,3,GY,1,100,0.153
1670855227.979120,1242743.000,4514,3,GY,1,100,0.183
1670855228.019022,1242781.667,4532,3,GY,1,100,0.153
1670855228.058923,1242820.333,4532,3,GY,1,100,0.122
1670855228.098825,1242859.000,4532,3,GY,1,100,0.092
1670855228.138555,1242897.500,4548,2,GY,1,100,0.122
1670855228.178285,1242936.000,4548,2,GY,1,100,0.183
1670855228.218186,1242974.667,4565,3,GY,1,100,0.183
1670855228.258088,1243013.333,4565,3,GY,1,100,0.183
1670855228.297990,1243052.000,4565,3,GY,1,100,0.122
1670855228.338752,1243091.500,4579,2,GY,1,100,0.153
1670855228.379513,1243131.000,4579,2,GY,1,100,0.153
1670855228.419071,1243169.333,4600,3,GY,1,100,0.153
1670855228.458629,1243207.667,4600,3,GY,1,100,0.122
1670855228.498187,1243246.000,4600,3,GY,1,100,0.153
1670855228.538088,1243284.667,4616,3,GY,1,100,0.153
1670855228.577990,1243323.333,4616,3,GY,1,100,0.122
1670855228.617892,1243362.000,4616,3,GY,1,100,0.153
1670855228.658138,1243401.000,4633,2,GY,1,100,0.153
1670855228.698383,1243440.000,4633,2,GY,1,100,0.122
1670855228.738285,1243478.667,4649,3,GY,1,100,0.122
1670855228.778187,1243517.333,4649,3,GY,1,100,0.153
1670855228.818088,1243556.000,4649,3,GY,1,100,0.153
1670855228.857818,1243594.500,4667,2,GY,1,100,0.153
1670855228.897548,1243633.000,4667,2,GY,1,100,0.122
1670855228.942953,1243677.000,4683,3,GY,1,100,0.122
1670855228.988359,1243721.000,4683,3,GY,1,100,0.153
1670855229.033764,1243765.000,4683,3,GY,1,100,0.122
1670855229.074010,1243804.000,4701,2,GY,1,100,0.122
1670855229.114256,1243843.000,4701,2,GY,1,100,0.153
1670855229.155189,1243882.667,4717,3,GY,1,100,0.122
1670855229.196123,1243922.333,4717,3,GY,1,100,0.153
1670855229.237057,1243962.000,4717,3,GY,1,100,0.153
1670855229.276786,1244000.500,4732,2,GY,1,100,0.153
