LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1670855225.410618,1240254,4092,8,LM,1,100,1237399.8692316,1237399.8692563,1237399.9005475,Hello,
1670855227.083395,1241875,4362,8,LM,1,100,1237401.4021516,1237401.4021724,1237401.4367591,World,
1670855228.464133,1243213,4584,8,LM,1,100,1237402.9365633,1237402.9365572,1237402.9526142,Hello,
1670855230.032683,1244733,4838,8,LM,1,100,1237404.4709552,1237404.4709492,1237404.4864556,World,
1670855231.541382,1246195,5072,8,LM,1,100,1237406.0071929,1237406.0072029,1237406.0214719,Hello,
1670855233.198680,1247801,5330,8,LM,1,100,1237407.5403570,1237407.5403447,1237407.5714688,World,
1670855234.738336,1249293,5582,8,LM,1,100,1237409.0742852,1237409.0742747,1237409.0900430,Hello,
1670855236.147968,1250659,5803,8,LM,1,100,1237410.6089095,1237410.6088990,1237410.6243771,World,
1670855237.697944,1252161,6054,8,LM,1,100,1237412.1432876,1237412.1433077,1237412.1588015,Hello,
1670855239.209738,1253626,6295,8,LM,1,100,1237413.6773357,1237413.6773659,1237413.6929895,World,
1670855240.760746,1255129,6545,8,LM,1,100,1237415.2119491,1237415.2119689,1237415.2435812,Hello,
1670855242.312786,1256633,6797,8,LM,1,100,1237416.7458863,1237416.7459061,1237416.7619435,World,
1670855243.841092,1258114,7024,8,LM,1,100,1237418.2815256,1237418.2815399,1237418.2971210,Hello,
1670855245.369397,1259595,7274,8,LM,1,100,1237419.8293488,1237419.8293515,1237419.8504893,World,
1670855246.934852,1261112,7528,8,LM,1,100,1237421.3661328,1237421.3661566,1237421.3819876,Hello,
1670855248.494116,1262623,7762,8,LM,1,100,1237422.9012289,1237422.9012430,1237422.9332978,World,
1670855250.053379,1264134,8020,8,LM,1,100,1237424.4399412,1237424.4399552,1237424.5204876,Hello,
1670855251.509448,1265545,8255,8,LM,1,100,1237425.9742697,1237425.9742853,1237425.9865012,World,
