LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1670855225.333222,1240179.000,4082,3,PG,1,100,238
1670855225.333222,1240179.000,4082,3,PG,1,100,251
1670855225.333222,1240179.000,4082,3,PG,1,100,256
1670855225.362805,1240207.667,4098,3,PG,1,100,259
1670855225.392387,1240236.333,4098,3,PG,1,100,255
1670855225.421969,1240265.000,4098,3,PG,1,100,249
1670855225.461871,1240303.667,4115,3,PG,1,100,262
1670855225.501773,1240342.333,4115,3,PG,1,100,248
1670855225.541674,1240381.000,4115,3,PG,1,100,245
1670855225.581920,1240420.000,4131,2,PG,1,100,231
1670855225.622166,1240459.000,4131,2,PG,1,100,243
1670855225.662068,1240497.667,4148,3,PG,1,100,246
1670855225.701969,1240536.333,4148,3,PG,1,100,246
1670855225.741871,1240575.000,4148,3,PG,1,100,243
1670855225.781601,1240613.500,4165,2,PG,1,100,250
1670855225.821331,1240652.000,4165,2,PG,1,100,256
1670855225.860544,1240690.000,4182,3,PG,1,100,258
1670855225.899758,1240728.000,4182,3,PG,1,100,250
1670855225.938972,1240766.000,4182,3,PG,1,100,266
1670855225.979562,1240805.333,4198,3,PG,1,100,246
1670855226.020151,1240844.667,4198,3,PG,1,100,243
1670855226.060741,1240884.000,4198,3,PG,1,100,235
1670855226.108210,1240930.000,4216,2,PG,1,100,244
1670855226.155679,1240976.000,4216,2,PG,1,100,241
1670855226.195237,1241014.333,4232,3,PG,1,100,247
1670855226.234795,1241052.667,4232,3,PG,1,100,248
1670855226.274353,1241091.000,4232,3,PG,1,100,251
1670855226.314083,1241129.500,4247,2,PG,1,100,252
1670855226.353812,1241168.000,4247,2,PG,1,100,246
1670855226.393714,1241206.667,4264,3,PG,1,100,263
1670855226.433616,1241245.333,4264,3,PG,1,100,248
1670855226.473517,1241284.000,4264,3,PG,1,100,250
1670855226.513763,1241323.000,4281,2,PG,1,100,241
1670855226.554009,1241362.000,4281,2,PG,1,100,239
1670855226.593911,1241400.667,4297,3,PG,1,100,239
1670855226.633812,1241439.333,4297,3,PG,1,100,242
1670855226.673714,1241478.000,4297,3,PG,1,100,243
1670855226.712928,1241516.000,4313,3,PG,1,100,261
1670855226.752142,1241554.000,4313,3,PG,1,100,245
1670855226.791355,1241592.000,4313,3,PG,1,100,251
1670855226.831601,1241631.000,4331,2,PG,1,100,253
1670855226.871847,1241670.000,4331,2,PG,1,100,260
1670855226.912436,1241709.333,4348,3,PG,1,100,253
1670855226.953026,1241748.667,4348,3,PG,1,100,245
1670855226.993616,1241788.000,4348,3,PG,1,100,241
1670855227.033862,1241827.000,4368,2,PG,1,100,237
1670855227.074107,1241866.000,4368,2,PG,1,100,240
1670855227.114009,1241904.667,4385,3,PG,1,100,241
1670855227.153911,1241943.333,4385,3,PG,1,100,245
1670855227.193813,1241982.000,4385,3,PG,1,100,249
1670855227.233714,1242020.667,4399,3,PG,1,100,256
1670855227.273616,1242059.333,4399,3,PG,1,100,258
1670855227.313518,1242098.000,4399,3,PG,1,100,257
1670855227.352216,1242135.500,4416,2,PG,1,100,248
1670855227.390913,1242173.000,4416,2,PG,1,100,259
1670855227.431159,1242212.000,4433,3,PG,1,100,247
1670855227.471405,1242251.000,4433,3,PG,1,100,242
1670855227.511651,1242290.000,4433,3,PG,1,100,237
1670855227.552412,1242329.500,4450,2,PG,1,100,243
1670855227.593174,1242369.000,4450,2,PG,1,100,243
1670855227.633076,1242407.667,4465,3,PG,1,100,242
1670855227.672977,1242446.333,4465,3,PG,1,100,245
1670855227.712879,1242485.000,4465,3,PG,1,100,266
1670855227.752867,1242523.750,4489,4,PG,1,100,252
1670855227.792855,1242562.500,4489,4,PG,1,100,253
1670855227.832842,1242601.250,4489,4,PG,1,100,254
1670855227.872830,1242640.000,4489,4,PG,1,100,259
1670855227.919267,1242685.000,4505,2,PG,1,100,243
1670855227.965705,1242730.000,4505,2,PG,1,100,239
1670855228.005606,1242768.667,4523,3,PG,1,100,239
1670855228.045508,1242807.333,4523,3,PG,1,100,245
1670855228.085410,1242846.000,4523,3,PG,1,100,239
1670855228.125656,1242885.000,4539,2,PG,1,100,238
1670855228.165901,1242924.000,4539,2,PG,1,100,259
1670855228.205115,1242962.000,4556,3,PG,1,100,257
1670855228.244329,1243000.000,4556,3,PG,1,100,253
1670855228.283543,1243038.000,4556,3,PG,1,100,250
1670855228.324476,1243077.667,4572,3,PG,1,100,259
1670855228.365410,1243117.333,4572,3,PG,1,100,248
1670855228.406344,1243157.000,4572,3,PG,1,100,240
1670855228.445558,1243195.000,4591,2,PG,1,100,240
1670855228.484771,1243233.000,4591,2,PG,1,100,255
1670855228.524673,1243271.667,4607,3,PG,1,100,236
1670855228.564575,1243310.333,4607,3,PG,1,100,244
1670855228.604476,1243349.000,4607,3,PG,1,100,246
1670855228.644378,1243387.667,4624,3,PG,1,100,254
1670855228.684280,1243426.333,4624,3,PG,1,100,257
1670855228.724182,1243465.000,4624,3,PG,1,100,256
1670855228.764427,1243504.000,4641,2,PG,1,100,250
1670855228.804673,1243543.000,4641,2,PG,1,100,258
1670855228.844575,1243581.667,4659,3,PG,1,100,246
1670855228.884477,1243620.333,4659,3,PG,1,100,254
1670855228.924378,1243659.000,4659,3,PG,1,100,240
1670855228.965140,1243698.500,4674,2,PG,1,100,244
1670855229.005902,1243738.000,4674,2,PG,1,100,245
1670855229.046491,1243777.333,4692,3,PG,1,100,249
1670855229.087081,1243816.667,4692,3,PG,1,100,248
1670855229.127671,1243856.000,4692,3,PG,1,100,252
1670855229.168948,1243896.000,4708,2,PG,1,100,255
1670855229.210226,1243936.000,4708,2,PG,1,100,260
1670855229.250128,1243974.667,4725,3,PG,1,100,257
1670855229.290030,1244013.333,4725,3,PG,1,100,252
1670855229.329931,1244052.000,4725,3,PG,1,100,250
1670855229.369489,1244090.333,4740,3,PG,1,100,238
