LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1670855227.809882,1242579.000,4482,2,RD,1,100,TL
1670855227.809882,1242579.000,4482,2,RD,1,100,TU
1670855230.448040,1245135.500,5327,2,RD,1,100,TL
1670855233.086198,1247692.000,5327,2,RD,1,100,TU
1670855235.722292,1250246.500,6158,2,RD,1,100,TL
1670855238.358387,1252801.000,6158,2,RD,1,100,TU
1670855240.989837,1255351.000,7002,2,RD,1,100,TL
1670855243.621288,1257901.000,7002,2,RD,1,100,TU
1670855246.258415,1260456.500,7837,2,RD,1,100,TL
1670855248.895541,1263012.000,7837,2,RD,1,100,TU
1670855251.557434,1265591.500,8696,2,RD,1,100,TL
1670855254.219326,1268171.000,8696,2,RD,1,100,TU
1670855256.854389,1270724.500,9543,2,RD,1,100,TL
1670855259.489451,1273278.000,9543,2,RD,1,100,TU
1670855262.126578,1275833.500,10387,2,RD,1,100,TL
1670855264.763704,1278389.000,10387,2,RD,1,100,TU
1670855267.397734,1280941.500,11235,2,RD,1,100,TL
1670855270.031765,1283494.000,11235,2,RD,1,100,TU
1670855272.681790,1286062.000,12094,2,RD,1,100,TL
1670855275.331816,1288630.000,12094,2,RD,1,100,TU
1670855277.962751,1291179.500,12940,2,RD,1,100,TL
1670855280.593685,1293729.000,12940,2,RD,1,100,TU
1670855283.233392,1296287.000,13788,2,RD,1,100,TL
1670855285.873098,1298845.000,13788,2,RD,1,100,TU
1670855288.512288,1301402.500,14631,2,RD,1,100,TL
1670855291.151478,1303960.000,14631,2,RD,1,100,TU
1670855293.789636,1306516.500,15479,2,RD,1,100,TL
1670855296.427794,1309073.000,15479,2,RD,1,100,TU
1670855299.058729,1311622.500,16323,2,RD,1,100,TL
1670855301.689664,1314172.000,16323,2,RD,1,100,TU
1670855304.329370,1316730.000,17171,2,RD,1,100,TL
1670855306.969076,1319288.000,17171,2,RD,1,100,TU
1670855309.602591,1321840.000,18016,2,RD,1,100,TL
1670855312.236105,1324392.000,18016,2,RD,1,100,TU
1670855314.897998,1326971.500,18860,2,RD,1,100,TL
1670855317.559891,1329551.000,18860,2,RD,1,100,TU
1670855320.185666,1332095.500,19695,2,RD,1,100,TL
1670855322.811441,1334640.000,19695,2,RD,1,100,TU
1670855325.446503,1337193.500,20538,2,RD,1,100,TL
1670855328.081566,1339747.000,20538,2,RD,1,100,TU
1670855330.713532,1342297.500,21384,2,RD,1,100,TL
1670855333.345499,1344848.000,21384,2,RD,1,100,TU
1670855335.985205,1347406.000,22228,2,RD,1,100,TL
1670855338.624911,1349964.000,22228,2,RD,1,100,TU
1670855341.258426,1352516.000,23076,2,RD,1,100,TL
1670855343.891940,1355068.000,23076,2,RD,1,100,TU
1670855346.527519,1357622.000,23921,2,RD,1,100,TL
1670855349.163097,1360176.000,23921,2,RD,1,100,TU
1670855351.910125,1362838.000,24780,2,RD,1,100,TL
1670855354.657153,1365500.000,24780,2,RD,1,100,TU
1670855357.311822,1368072.500,25615,2,RD,1,100,TL
1670855359.966492,1370645.000,25615,2,RD,1,100,TU
1670855362.623225,1373219.500,26462,2,RD,1,100,TL
1670855365.279958,1375794.000,26462,2,RD,1,100,TU
1670855367.989320,1378419.500,27305,2,RD,1,100,TL
1670855370.698683,1381045.000,27305,2,RD,1,100,TU
1670855373.333745,1383598.500,28125,2,RD,1,100,TL
1670855375.968807,1386152.000,28125,2,RD,1,100,TU
1670855378.620897,1388722.000,28969,2,RD,1,100,TL
1670855381.272986,1391292.000,28969,2,RD,1,100,TU
1670855383.913208,1393850.500,29813,2,RD,1,100,TL
1670855386.553431,1396409.000,29813,2,RD,1,100,TU
1670855389.189009,1398963.000,30647,2,RD,1,100,TL
1670855391.824587,1401517.000,30647,2,RD,1,100,TU
1670855394.467905,1404078.500,31490,2,RD,1,100,TL
1670855397.111223,1406640.000,31490,2,RD,1,100,TU
1670855399.747318,1409194.500,32338,2,RD,1,100,TL
1670855402.383412,1411749.000,32338,2,RD,1,100,TU
1670855405.023118,1414307.000,33183,2,RD,1,100,TL
1670855407.662824,1416865.000,33183,2,RD,1,100,TU
1670855410.312334,1419432.500,34029,2,RD,1,100,TL
1670855412.961843,1422000.000,34029,2,RD,1,100,TU
1670855415.614965,1424571.000,34872,2,RD,1,100,TL
1670855418.268086,1427142.000,34872,2,RD,1,100,TU
1670855420.928947,1429720.500,35720,2,RD,1,100,TL
1670855423.589808,1432299.000,35720,2,RD,1,100,TU
1670855426.224355,1434852.000,36550,2,RD,1,100,TL
1670855428.858901,1437405.000,36550,2,RD,1,100,TU
1670855431.518730,1439982.500,37395,2,RD,1,100,TL
1670855434.178559,1442560.000,37395,2,RD,1,100,TU
1670855436.816717,1445116.500,38226,2,RD,1,100,TL
1670855439.454875,1447673.000,38226,2,RD,1,100,TU
1670855442.103869,1450240.000,39071,2,RD,1,100,TL
1670855444.752863,1452807.000,39071,2,RD,1,100,TU
1670855447.412692,1455384.500,39919,2,RD,1,100,TL
1670855450.072521,1457962.000,39919,2,RD,1,100,TU
