LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1670855225.435385,1240278.000,4095,1,SF,1,100,0.0000
1670855225.834746,1240665.000,4162,1,SF,1,100,0.0000
1670855226.169095,1240989.000,4213,1,SF,1,100,0.0000
1670855226.434304,1241246.000,4261,1,SF,1,100,0.0000
1670855226.765557,1241567.000,4310,1,SF,1,100,0.0000
1670855227.100938,1241892.000,4365,1,SF,1,100,0.0000
1670855227.499267,1242278.000,4430,1,SF,1,100,0.0000
1670855227.832584,1242601.000,4486,1,SF,1,100,0.0000
1670855228.098825,1242859.000,4520,1,SF,1,100,0.0000
1670855228.498187,1243246.000,4588,1,SF,1,100,0.0000
1670855228.764427,1243504.000,4638,1,SF,1,100,0.0000
1670855229.100840,1243830.000,4689,1,SF,1,100,0.0000
1670855229.436221,1244155.000,4737,1,SF,1,100,0.0000
1670855229.835583,1244542.000,4805,1,SF,1,100,0.0000
1670855230.168900,1244865.000,4858,1,SF,1,100,0.0000
1670855230.434109,1245122.000,4906,1,SF,1,100,0.0000
1670855230.769490,1245447.000,4957,1,SF,1,100,0.0000
1670855231.099711,1245767.000,5007,1,SF,1,100,0.0000
1670855231.504232,1246159.000,5075,1,SF,1,100,0.0000
1670855231.832389,1246477.000,5127,1,SF,1,100,0.0000
1670855232.170866,1246805.000,5176,1,SF,1,100,0.0000
1670855232.436075,1247062.000,5225,1,SF,1,100,0.0000
1670855232.767328,1247383.000,5275,1,SF,1,100,0.0000
1670855233.163594,1247767.000,5334,1,SF,1,100,0.0000
1670855233.427771,1248023.000,5367,1,SF,1,100,0.0000
1670855233.828164,1248411.000,5434,1,SF,1,100,0.0000
1670855234.159417,1248732.000,5484,1,SF,1,100,0.0000
1670855234.424626,1248989.000,5533,1,SF,1,100,0.0000
1670855234.755879,1249310.000,5585,1,SF,1,100,0.0000
1670855235.089196,1249633.000,5637,1,SF,1,100,0.0000
1670855235.485462,1250017.000,5702,1,SF,1,100,0.0000
1670855235.816715,1250338.000,5752,1,SF,1,100,0.0000
1670855236.152096,1250663.000,5806,1,SF,1,100,0.0000
1670855236.418337,1250921.000,5854,1,SF,1,100,0.0000
1670855236.750622,1251243.000,5905,1,SF,1,100,0.0000
1670855237.083939,1251566.000,5955,1,SF,1,100,0.0000
1670855237.414160,1251886.000,6004,1,SF,1,100,0.0000
1670855237.815586,1252275.000,6075,1,SF,1,100,0.0000
1670855238.147871,1252597.000,6124,1,SF,1,100,0.0000
1670855238.482220,1252921.000,6178,1,SF,1,100,0.0000
1670855238.814505,1253243.000,6229,1,SF,1,100,0.0000
1670855239.084874,1253505.000,6278,1,SF,1,100,0.0000
1670855239.417159,1253827.000,6330,1,SF,1,100,0.0000
1670855239.749444,1254149.000,6380,1,SF,1,100,0.0000
1670855240.147773,1254535.000,6447,1,SF,1,100,0.0000
1670855240.482122,1254859.000,6495,1,SF,1,100,0.0000
1670855240.752491,1255121.000,6549,1,SF,1,100,0.0000
1670855241.082712,1255441.000,6599,1,SF,1,100,0.0000
1670855241.419125,1255767.000,6648,1,SF,1,100,0.0000
1670855241.815391,1256151.000,6716,1,SF,1,100,0.0000
1670855242.149740,1256475.000,6765,1,SF,1,100,0.0000
1670855242.413917,1256731.000,6817,1,SF,1,100,0.0000
1670855242.746202,1257053.000,6867,1,SF,1,100,0.0000
1670855243.076423,1257373.000,6918,1,SF,1,100,0.0000
1670855243.408708,1257695.000,6966,1,SF,1,100,0.0000
1670855243.807038,1258081.000,7027,1,SF,1,100,0.0000
1670855244.139323,1258403.000,7077,1,SF,1,100,0.0000
1670855244.469544,1258723.000,7125,1,SF,1,100,0.0000
1670855244.735785,1258981.000,7176,1,SF,1,100,0.0000
1670855245.068070,1259303.000,7226,1,SF,1,100,0.0000
1670855245.401387,1259626.000,7278,1,SF,1,100,0.0000
1670855245.799716,1260012.000,7346,1,SF,1,100,0.0000
1670855246.132002,1260334.000,7395,1,SF,1,100,0.0000
1670855246.397211,1260591.000,7444,1,SF,1,100,0.0000
1670855246.730528,1260914.000,7494,1,SF,1,100,0.0000
1670855247.063845,1261237.000,7548,1,SF,1,100,0.0000
1670855247.394066,1261557.000,7596,1,SF,1,100,0.0000
1670855247.796523,1261947.000,7663,1,SF,1,100,0.0000
1670855248.130872,1262271.000,7714,1,SF,1,100,0.0000
1670855248.464189,1262594.000,7765,1,SF,1,100,0.0000
1670855248.795442,1262915.000,7818,1,SF,1,100,0.0000
1670855249.132887,1263242.000,7871,1,SF,1,100,0.0000
1670855249.398096,1263499.000,7922,1,SF,1,100,0.0000
1670855249.731413,1263822.000,7970,1,SF,1,100,0.0000
1670855250.064730,1264145.000,8024,1,SF,1,100,0.0000
1670855250.467187,1264535.000,8090,1,SF,1,100,0.0000
1670855250.798441,1264856.000,8141,1,SF,1,100,0.0000
1670855251.063650,1265113.000,8190,1,SF,1,100,0.0000
1670855251.400063,1265439.000,8240,1,SF,1,100,0.0000
1670855251.731316,1265760.000,8292,1,SF,1,100,0.0000
1670855252.062569,1266081.000,8342,1,SF,1,100,0.0000
1670855252.459866,1266466.000,8407,1,SF,1,100,0.0000
1670855252.792151,1266788.000,8460,1,SF,1,100,0.0000
1670855253.056329,1267044.000,8511,1,SF,1,100,0.0000
1670855253.388614,1267366.000,8561,1,SF,1,100,0.0000
1670855253.719867,1267687.000,8610,1,SF,1,100,0.0000
1670855254.118196,1268073.000,8677,1,SF,1,100,0.0000
