LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1670855225.362117,1240207.000,4101,1,T1,1,100,27.912
1670855225.495237,1240336.000,4118,1,T1,1,100,27.926
1670855225.629390,1240466.000,4134,1,T1,1,100,27.862
1670855225.761478,1240594.000,4168,1,T1,1,100,27.869
1670855225.894598,1240723.000,4185,1,T1,1,100,27.873
1670855226.027719,1240852.000,4201,1,T1,1,100,27.874
1670855226.161871,1240982.000,4219,1,T1,1,100,27.839
1670855226.293960,1241110.000,4250,1,T1,1,100,27.789
1670855226.427080,1241239.000,4267,1,T1,1,100,27.838
1670855226.559169,1241367.000,4284,1,T1,1,100,27.894
1670855226.693321,1241497.000,4316,1,T1,1,100,27.883
1670855226.825409,1241625.000,4334,1,T1,1,100,27.843
1670855226.961626,1241757.000,4351,1,T1,1,100,27.861
1670855227.093714,1241885.000,4371,1,T1,1,100,27.798
1670855227.226835,1242014.000,4402,1,T1,1,100,27.806
1670855227.359955,1242143.000,4419,1,T1,1,100,27.845
1670855227.492044,1242271.000,4436,1,T1,1,100,27.862
1670855227.626196,1242401.000,4453,1,T1,1,100,27.869
1670855227.760349,1242531.000,4492,1,T1,1,100,27.873
1670855227.893469,1242660.000,4508,1,T1,1,100,27.909
1670855228.025557,1242788.000,4526,1,T1,1,100,27.854
1670855228.158678,1242917.000,4542,1,T1,1,100,27.866
1670855228.290766,1243045.000,4559,1,T1,1,100,27.907
1670855228.425951,1243176.000,4594,1,T1,1,100,27.853
1670855228.558039,1243304.000,4610,1,T1,1,100,27.830
1670855228.691159,1243433.000,4627,1,T1,1,100,27.856
1670855228.823248,1243561.000,4644,1,T1,1,100,27.831
1670855228.959464,1243693.000,4677,1,T1,1,100,27.856
1670855229.094649,1243824.000,4695,1,T1,1,100,27.867
1670855229.230865,1243956.000,4711,1,T1,1,100,27.871
1670855229.362953,1244084.000,4743,1,T1,1,100,27.909
1670855229.494010,1244211.000,4760,1,T1,1,100,27.890
1670855229.627131,1244340.000,4776,1,T1,1,100,27.846
1670855229.760251,1244469.000,4793,1,T1,1,100,27.898
1670855229.895435,1244600.000,4827,1,T1,1,100,27.849
1670855230.029588,1244730.000,4846,1,T1,1,100,27.864
1670855230.162708,1244859.000,4864,1,T1,1,100,27.799
1670855230.294796,1244987.000,4895,1,T1,1,100,27.807
1670855230.426885,1245115.000,4912,1,T1,1,100,27.810
1670855230.561038,1245245.000,4929,1,T1,1,100,27.811
1670855230.697254,1245377.000,4945,1,T1,1,100,27.812
