LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1670855225.376564,1240221.000,4102,1,TH,1,100,21.496
1670855225.508652,1240349.000,4119,1,TH,1,100,21.593
1670855225.641773,1240478.000,4135,1,TH,1,100,21.593
1670855225.774893,1240607.000,4169,1,TH,1,100,21.639
1670855225.906982,1240735.000,4186,1,TH,1,100,21.639
1670855226.041134,1240865.000,4202,1,TH,1,100,21.698
1670855226.175287,1240995.000,4220,1,TH,1,100,21.698
1670855226.308407,1241124.000,4251,1,TH,1,100,21.580
1670855226.440495,1241252.000,4268,1,TH,1,100,21.580
1670855226.573616,1241381.000,4285,1,TH,1,100,21.639
1670855226.706736,1241510.000,4317,1,TH,1,100,21.639
1670855226.838825,1241638.000,4335,1,TH,1,100,21.569
1670855226.974009,1241769.000,4352,1,TH,1,100,21.569
1670855227.107130,1241898.000,4372,1,TH,1,100,21.628
1670855227.240250,1242027.000,4403,1,TH,1,100,21.628
1670855227.372339,1242155.000,4420,1,TH,1,100,21.547
1670855227.506491,1242285.000,4437,1,TH,1,100,21.547
1670855227.640643,1242415.000,4468,1,TH,1,100,21.569
1670855227.772732,1242543.000,4493,1,TH,1,100,21.569
1670855227.905852,1242672.000,4509,1,TH,1,100,21.628
1670855228.038973,1242801.000,4527,1,TH,1,100,21.628
1670855228.172093,1242930.000,4543,1,TH,1,100,21.617
1670855228.304182,1243058.000,4560,1,TH,1,100,21.617
1670855228.439366,1243189.000,4595,1,TH,1,100,21.591
1670855228.572486,1243318.000,4611,1,TH,1,100,21.590
1670855228.704575,1243446.000,4628,1,TH,1,100,21.547
1670855228.837695,1243575.000,4662,1,TH,1,100,21.547
1670855228.972880,1243706.000,4678,1,TH,1,100,21.628
1670855229.108064,1243837.000,4696,1,TH,1,100,21.628
1670855229.243248,1243968.000,4712,1,TH,1,100,21.601
1670855229.376369,1244097.000,4744,1,TH,1,100,21.601
1670855229.507425,1244224.000,4761,1,TH,1,100,21.644
1670855229.640546,1244353.000,4777,1,TH,1,100,21.644
1670855229.774698,1244483.000,4811,1,TH,1,100,21.652
1670855229.909882,1244614.000,4828,1,TH,1,100,21.652
1670855230.041971,1244742.000,4847,1,TH,1,100,21.644
1670855230.175091,1244871.000,4865,1,TH,1,100,21.644
1670855230.307180,1244999.000,4896,1,TH,1,100,21.655
1670855230.440300,1245128.000,4913,1,TH,1,100,21.655
1670855230.574453,1245258.000,4930,1,TH,1,100,21.669
1670855230.710669,1245390.000,4946,1,TH,1,100,21.669
1670855230.843789,1245519.000,4980,1,TH,1,100,21.642
1670855230.973814,1245645.000,4997,1,TH,1,100,21.642
1670855231.106935,1245774.000,5014,1,TH,1,100,21.666
1670855231.242119,1245905.000,5045,1,TH,1,100,21.666
1670855231.376271,1246035.000,5062,1,TH,1,100,21.628
1670855231.510424,1246165.000,5082,1,TH,1,100,21.628
1670855231.643544,1246294.000,5099,1,TH,1,100,21.674
1670855231.775633,1246422.000,5133,1,TH,1,100,21.674
1670855231.906689,1246549.000,5149,1,TH,1,100,21.607
1670855232.041873,1246680.000,5166,1,TH,1,100,21.607
1670855232.178090,1246812.000,5183,1,TH,1,100,21.639
