LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1670855227.804722,1242574.000,4480,1,TL,1,100,2022-12-12_16-27-02-618219
1670855227.880054,1242647.000,4483,1,TL,1,100,2022-12-12_16-27-07-874524
1670855233.074847,1247681.000,5325,1,TL,1,100,2022-12-12_16-27-07-943032
1670855233.190424,1247793.000,5328,1,TL,1,100,2022-12-12_16-27-13-168337
1670855238.352195,1252795.000,6156,1,TL,1,100,2022-12-12_16-27-13-277619
1670855238.407920,1252849.000,6159,1,TL,1,100,2022-12-12_16-27-18-390791
1670855243.617160,1257897.000,7000,1,TL,1,100,2022-12-12_16-27-18-460910
1670855243.725514,1258002.000,7003,1,TL,1,100,2022-12-12_16-27-23-718869
1670855248.892445,1263009.000,7835,1,TL,1,100,2022-12-12_16-27-23-827209
1670855248.929595,1263045.000,7838,1,TL,1,100,2022-12-12_16-27-28-911651
1670855254.216231,1268168.000,8694,1,TL,1,100,2022-12-12_16-27-28-990433
1670855254.259572,1268210.000,8697,1,TL,1,100,2022-12-12_16-27-34-249919
1670855259.486356,1273275.000,9541,1,TL,1,100,2022-12-12_16-27-34-317635
1670855259.513186,1273301.000,9544,1,TL,1,100,2022-12-12_16-27-39-501686
1670855264.757512,1278383.000,10385,1,TL,1,100,2022-12-12_16-27-39-554976
1670855264.809109,1278433.000,10388,1,TL,1,100,2022-12-12_16-27-44-806174
1670855270.028669,1283491.000,11233,1,TL,1,100,2022-12-12_16-27-44-915664
1670855270.055500,1283517.000,11236,1,TL,1,100,2022-12-12_16-27-50-039920
1670855275.325624,1288624.000,12092,1,TL,1,100,2022-12-12_16-27-50-097264
1670855275.371030,1288668.000,12095,1,TL,1,100,2022-12-12_16-27-55-364774
1670855280.589558,1293725.000,12938,1,TL,1,100,2022-12-12_16-27-55-458936
1670855280.621548,1293756.000,12941,1,TL,1,100,2022-12-12_16-28-00-612794
1670855285.866906,1298839.000,13786,1,TL,1,100,2022-12-12_16-28-00-671051
1670855285.931918,1298902.000,13789,1,TL,1,100,2022-12-12_16-28-05-917420
1670855291.145286,1303954.000,14629,1,TL,1,100,2022-12-12_16-28-06-003941
1670855291.222682,1304029.000,14632,1,TL,1,100,2022-12-12_16-28-11-220429
1670855296.421603,1309067.000,15477,1,TL,1,100,2022-12-12_16-28-11-332759
1670855296.468040,1309112.000,15480,1,TL,1,100,2022-12-12_16-28-16-454244
1670855301.685536,1314168.000,16321,1,TL,1,100,2022-12-12_16-28-16-547342
1670855301.725782,1314207.000,16324,1,TL,1,100,2022-12-12_16-28-21-724417
1670855306.962884,1319282.000,17169,1,TL,1,100,2022-12-12_16-28-21-781730
1670855307.020673,1319338.000,17172,1,TL,1,100,2022-12-12_16-28-27-001477
1670855312.229913,1324386.000,18014,1,TL,1,100,2022-12-12_16-28-27-104526
1670855312.347555,1324500.000,18017,1,TL,1,100,2022-12-12_16-28-32-323788
1670855317.555763,1329547.000,18858,1,TL,1,100,2022-12-12_16-28-32-416906
1670855317.582594,1329573.000,18861,1,TL,1,100,2022-12-12_16-28-37-574672
1670855322.803185,1334632.000,19693,1,TL,1,100,2022-12-12_16-28-37-648960
1670855322.864070,1334691.000,19696,1,TL,1,100,2022-12-12_16-28-42-862561
1670855328.076406,1339742.000,20536,1,TL,1,100,2022-12-12_16-28-42-927633
1670855328.128003,1339792.000,20539,1,TL,1,100,2022-12-12_16-28-48-107074
1670855333.342403,1344845.000,21382,1,TL,1,100,2022-12-12_16-28-48-199287
1670855333.368201,1344870.000,21385,1,TL,1,100,2022-12-12_16-28-53-357825
