LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1670855225.420937,1240264,4093,4,TX,1,100,1237399.8692316,1237399.8692563,
1670855227.101970,1241893,4363,4,TX,1,100,1237401.4021516,1237401.4021724,
1670855228.475484,1243224,4585,4,TX,1,100,1237402.9365633,1237402.9365572,
1670855230.051258,1244751,4839,4,TX,1,100,1237404.4709552,1237404.4709492,
1670855231.551701,1246205,5073,4,TX,1,100,1237406.0071929,1237406.0072029,
1670855233.215191,1247817,5331,4,TX,1,100,1237407.5403570,1237407.5403447,
1670855234.749688,1249304,5583,4,TX,1,100,1237409.0742852,1237409.0742747,
1670855236.160352,1250671,5804,4,TX,1,100,1237410.6089095,1237410.6088990,
1670855237.708264,1252171,6055,4,TX,1,100,1237412.1432876,1237412.1433077,
1670855239.220058,1253636,6296,4,TX,1,100,1237413.6773357,1237413.6773659,
1670855240.771066,1255139,6546,4,TX,1,100,1237415.2119491,1237415.2119689,
1670855242.324138,1256644,6798,4,TX,1,100,1237416.7458863,1237416.7459061,
1670855243.851411,1258124,7025,4,TX,1,100,1237418.2815256,1237418.2815399,
1670855245.387972,1259613,7275,4,TX,1,100,1237419.8293488,1237419.8293515,
1670855246.947235,1261124,7529,4,TX,1,100,1237421.3661328,1237421.3661566,
1670855248.504435,1262633,7763,4,TX,1,100,1237422.9012289,1237422.9012430,
1670855250.081241,1264161,8022,4,TX,1,100,1237424.4399412,1237424.4399552,
1670855251.524927,1265560,8256,4,TX,1,100,1237425.9742697,1237425.9742853,
1670855253.073872,1267061,8509,4,TX,1,100,1237427.5033334,1237427.5033602,
1670855254.586698,1268527,8749,4,TX,1,100,1237429.0404297,1237429.0404584,
1670855256.121195,1270014,9001,4,TX,1,100,1237430.5762598,1237430.5762885,
1670855257.684586,1271529,9253,4,TX,1,100,1237432.1083901,1237432.1083982,
1670855259.233530,1273030,9505,4,TX,1,100,1237433.6492254,1237433.6492476,
1670855260.736037,1274486,9746,4,TX,1,100,1237435.1763926,1237435.1763897,
1670855262.293236,1275995,9997,4,TX,1,100,1237436.7136393,1237436.7136364,
1670855263.918544,1277570,10251,4,TX,1,100,1237438.2437574,1237438.2437786,
1670855265.333336,1278941,10475,4,TX,1,100,1237439.7811158,1237439.7811109,
1670855266.872992,1280433,10729,4,TX,1,100,1237441.3171435,1237441.3171585,
1670855268.422968,1281935,10978,4,TX,1,100,1237442.8473183,1237442.8473334,
1670855269.941986,1283407,11215,4,TX,1,100,1237444.3821305,1237444.3821511,
1670855271.602380,1285016,11487,4,TX,1,100,1237445.9170967,1237445.9171074,
1670855273.044002,1286413,11723,4,TX,1,100,1237447.4544477,1237447.4544617,
1670855274.619776,1287940,11975,4,TX,1,100,1237448.9862777,1237448.9862989,
1670855276.079973,1289355,12216,4,TX,1,100,1237450.5223221,1237450.5223433,
1670855277.650589,1290877,12467,4,TX,1,100,1237452.0522435,1237452.0522643,
1670855279.132456,1292313,12705,4,TX,1,100,1237453.5889577,1237453.5889783,
1670855280.711327,1293843,12960,4,TX,1,100,1237455.1561951,1237455.1562146,
1670855282.358305,1295439,13228,4,TX,1,100,1237456.6904773,1237456.6904968,
1670855283.775161,1296812,13448,4,TX,1,100,1237458.2244693,1237458.2244883,
1670855285.313785,1298303,13699,4,TX,1,100,1237459.7617722,1237459.7617910,
1670855286.840027,1299782,13941,4,TX,1,100,1237461.2930644,1237461.2930845,
1670855288.402386,1301296,14192,4,TX,1,100,1237462.8337865,1237462.8338066,
1670855289.965777,1302811,14443,4,TX,1,100,1237464.3623739,1237464.3623917,
1670855291.445581,1304245,14669,4,TX,1,100,1237465.8962942,1237465.8963135,
1670855292.985238,1305737,14921,4,TX,1,100,1237467.4309482,1237467.4309694,
1670855294.753985,1307451,15207,4,TX,1,100,1237468.9652353,1237468.9652709,
1670855296.098605,1308754,15424,4,TX,1,100,1237470.4995131,1237470.4995486,
1670855297.619687,1310228,15665,4,TX,1,100,1237472.0344023,1237472.0344291,
1670855299.100523,1311663,15902,4,TX,1,100,1237473.5665285,1237473.5665369,
1670855300.664946,1313179,16151,4,TX,1,100,1237475.1022829,1237475.1023102,
1670855302.214922,1314681,16409,4,TX,1,100,1237476.6373130,1237476.6373404,
1670855303.711237,1316131,16646,4,TX,1,100,1237478.1715994,1237478.1716143,
1670855305.244702,1317617,16897,4,TX,1,100,1237479.7055391,1237479.7055571,
1670855306.813253,1319137,17150,4,TX,1,100,1237481.2402698,1237481.2402891,
1670855308.362197,1320638,17390,4,TX,1,100,1237482.7742119,1237482.7742312,
1670855309.922493,1322150,17643,4,TX,1,100,1237484.3094220,1237484.3094420,
1670855311.419839,1323601,17879,4,TX,1,100,1237485.8432962,1237485.8433247,
1670855312.944017,1325078,18120,4,TX,1,100,1237487.3782093,1237487.3782275,
1670855314.515664,1326601,18372,4,TX,1,100,1237488.9118914,1237488.9119091,
1670855316.062544,1328100,18623,4,TX,1,100,1237490.4465607,1237490.4465783,
1670855317.599105,1329589,18864,4,TX,1,100,1237491.9797704,1237491.9798041,
1670855319.133602,1331076,19102,4,TX,1,100,1237493.5155892,1237493.5156184,
1670855320.594831,1332492,19336,4,TX,1,100,1237495.0495305,1237495.0495372,
1670855322.133455,1333983,19590,4,TX,1,100,1237496.5845676,1237496.5845743,
1670855323.688591,1335490,19832,4,TX,1,100,1237498.1184155,1237498.1184321,
1670855325.361368,1337111,20100,4,TX,1,100,1237499.6531619,1237499.6531685,
1670855326.901025,1338603,20352,4,TX,1,100,1237501.1894453,1237501.1894558,
1670855328.296210,1339955,20573,4,TX,1,100,1237502.7235950,1237502.7236055,
1670855329.874048,1341484,20826,4,TX,1,100,1237504.2574589,1237504.2574747,
1670855331.335277,1342900,21061,4,TX,1,100,1237505.7902400,1237505.7902490,
1670855332.943042,1344458,21314,4,TX,1,100,1237507.3240858,1237507.3241151,
1670855334.417686,1345887,21554,4,TX,1,100,1237508.8593078,1237508.8593371,
1670855335.957343,1347379,21806,4,TX,1,100,1237510.3993122,1237510.3993265,
1670855337.471201,1348846,22042,4,TX,1,100,1237511.9273355,1237511.9273541,
1670855338.998474,1350326,22283,4,TX,1,100,1237513.4634302,1237513.4634612,
1670855340.550514,1351830,22534,4,TX,1,100,1237515.0023414,1237515.0023605,
1670855342.141768,1353372,22788,4,TX,1,100,1237516.5314103,1237516.5314293,
1670855343.623636,1354808,23022,4,TX,1,100,1237518.0836030,1237518.0836305,
1670855345.274742,1356408,23296,4,TX,1,100,1237519.6148885,1237519.6149133,
1670855346.760737,1357848,23534,4,TX,1,100,1237521.1515712,1237521.1515917,
1670855348.292138,1359332,23783,4,TX,1,100,1237522.6853031,1237522.6853236,
1670855349.824571,1360817,24026,4,TX,1,100,1237524.2196406,1237524.2196626,
1670855351.364228,1362309,24276,4,TX,1,100,1237525.7541246,1237525.7541328,
1670855352.922460,1363819,24528,4,TX,1,100,1237527.2877227,1237527.2877375,
1670855354.786146,1365625,24782,4,TX,1,100,1237528.8226822,1237528.8226970,
1670855355.980102,1366782,24971,4,TX,1,100,1237530.3577219,1237530.3577534,
1670855357.459906,1368216,25206,4,TX,1,100,1237531.8909622,1237531.8909820,
1670855359.036712,1369744,25459,4,TX,1,100,1237533.4258763,1237533.4258986,
1670855360.527868,1371189,25701,4,TX,1,100,1237534.9599868,1237534.9600201,
1670855362.034502,1372649,25940,4,TX,1,100,1237536.5002092,1237536.5002425,
1670855363.575191,1374142,26190,4,TX,1,100,1237538.0297892,1237538.0298222,
1670855365.197403,1375714,26442,4,TX,1,100,1237539.5630866,1237539.5631083,
1670855366.648312,1377120,26683,4,TX,1,100,1237541.0977652,1237541.0977740,
1670855368.186937,1378611,26934,4,TX,1,100,1237542.6389004,1237542.6389092,
1670855369.803989,1380178,27188,4,TX,1,100,1237544.1665335,1237544.1665483,
1670855371.331263,1381658,27381,4,TX,1,100,1237545.6995636,1237545.6995741,
1670855372.799715,1383081,27617,4,TX,1,100,1237547.2400951,1237547.2401225,
1670855374.340404,1384574,27868,4,TX,1,100,1237548.7694660,1237548.7694935,
1670855375.851166,1386038,28105,4,TX,1,100,1237550.3045488,1237550.3045754,
