LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1670855225.424033,1240267,4094,4,TX,1,100,2022-12-12_16-27-05-412701,1237399.9043671,
1670855227.104034,1241895,4364,4,TX,1,100,2022-12-12_16-27-06-948495,1237401.4401916,
1670855228.477548,1243226,4586,4,TX,1,100,2022-12-12_16-27-08-464116,1237402.9558410,
1670855230.053322,1244753,4840,4,TX,1,100,2022-12-12_16-27-09-998214,1237404.4899688,
1670855231.553765,1246207,5074,4,TX,1,100,2022-12-12_16-27-11-533216,1237406.0249997,
1670855233.218287,1247820,5332,4,TX,1,100,2022-12-12_16-27-13-082775,1237407.5745883,
1670855234.751752,1249306,5584,4,TX,1,100,2022-12-12_16-27-14-602389,1237409.0942309,
1670855236.162416,1250673,5805,4,TX,1,100,2022-12-12_16-27-16-135776,1237410.6276477,
1670855237.710328,1252173,6056,4,TX,1,100,2022-12-12_16-27-17-671069,1237412.1629699,
1670855239.222122,1253638,6297,4,TX,1,100,2022-12-12_16-27-19-204743,1237413.6966734,
1670855240.773130,1255141,6547,4,TX,1,100,2022-12-12_16-27-20-755290,1237415.2472479,
1670855242.326202,1256646,6799,4,TX,1,100,2022-12-12_16-27-22-273704,1237416.7656935,
1670855243.853475,1258126,7026,4,TX,1,100,2022-12-12_16-27-23-808410,1237418.3004277,
1670855245.390036,1259615,7276,4,TX,1,100,2022-12-12_16-27-25-362112,1237419.8541577,
1670855246.949299,1261126,7530,4,TX,1,100,2022-12-12_16-27-26-893527,1237421.3856049,
1670855248.507531,1262636,7764,4,TX,1,100,2022-12-12_16-27-28-444729,1237422.9368332,
1670855250.083305,1264163,8023,4,TX,1,100,2022-12-12_16-27-30-032276,1237424.5244133,
1670855251.526991,1265562,8257,4,TX,1,100,2022-12-12_16-27-31-498075,1237425.9902398,
1670855253.075935,1267063,8510,4,TX,1,100,2022-12-12_16-27-33-033136,1237427.5253275,
1670855254.588762,1268529,8750,4,TX,1,100,2022-12-12_16-27-34-581900,1237429.0741223,
1670855256.123258,1270016,9002,4,TX,1,100,2022-12-12_16-27-36-100299,1237430.5925517,
1670855257.686650,1271531,9254,4,TX,1,100,2022-12-12_16-27-37-634970,1237432.1272496,
1670855259.235594,1273032,9506,4,TX,1,100,2022-12-12_16-27-39-170461,1237433.6627731,
1670855260.737068,1274487,9747,4,TX,1,100,2022-12-12_16-27-40-718641,1237435.2109821,
1670855262.295300,1275997,9998,4,TX,1,100,2022-12-12_16-27-42-238383,1237436.7307518,
1670855263.920608,1277572,10252,4,TX,1,100,2022-12-12_16-27-43-835707,1237438.3281071,
1670855265.335399,1278943,10476,4,TX,1,100,2022-12-12_16-27-45-324356,1237439.8167851,
1670855266.875056,1280435,10730,4,TX,1,100,2022-12-12_16-27-46-856990,1237441.3494471,
1670855268.425032,1281937,10979,4,TX,1,100,2022-12-12_16-27-48-373557,1237442.8660452,
1670855269.945082,1283410,11216,4,TX,1,100,2022-12-12_16-27-49-923649,1237444.4161662,
1670855271.604444,1285018,11488,4,TX,1,100,2022-12-12_16-27-51-518083,1237446.0106290,
1670855273.046066,1286415,11724,4,TX,1,100,2022-12-12_16-27-52-980933,1237447.4735070,
1670855274.621840,1287942,11976,4,TX,1,100,2022-12-12_16-27-54-575994,1237449.0685992,
1670855276.082037,1289357,12217,4,TX,1,100,2022-12-12_16-27-56-065144,1237450.5577755,
1670855277.652652,1290879,12468,4,TX,1,100,2022-12-12_16-27-57-587048,1237452.0797107,
1670855279.134520,1292315,12706,4,TX,1,100,2022-12-12_16-27-59-115535,1237453.6082281,
1670855280.713391,1293845,12961,4,TX,1,100,2022-12-12_16-28-00-683853,1237455.1765755,
1670855282.361401,1295442,13229,4,TX,1,100,2022-12-12_16-28-02-232199,1237456.7249504,
1670855283.777225,1296814,13449,4,TX,1,100,2022-12-12_16-28-03-766836,1237458.2596173,
1670855285.315849,1298305,13700,4,TX,1,100,2022-12-12_16-28-05-300841,1237459.7936521,
1670855286.842091,1299784,13942,4,TX,1,100,2022-12-12_16-28-06-819640,1237461.3124784,
1670855288.404450,1301298,14193,4,TX,1,100,2022-12-12_16-28-08-354334,1237462.8472026,
1670855289.967841,1302813,14444,4,TX,1,100,2022-12-12_16-28-09-929290,1237464.4221902,
1670855291.447645,1304247,14670,4,TX,1,100,2022-12-12_16-28-11-438698,1237465.9316255,
1670855292.988334,1305740,14922,4,TX,1,100,2022-12-12_16-28-12-973045,1237467.4660013,
1670855294.756049,1307453,15208,4,TX,1,100,2022-12-12_16-28-14-542380,1237469.0353672,
1670855296.101701,1308757,15425,4,TX,1,100,2022-12-12_16-28-16-026439,1237470.5194553,
1670855297.621751,1310230,15666,4,TX,1,100,2022-12-12_16-28-17-560995,1237472.0540399,
1670855299.102587,1311665,15903,4,TX,1,100,2022-12-12_16-28-19-079657,1237473.5727316,
1670855300.668042,1313182,16152,4,TX,1,100,2022-12-12_16-28-20-628402,1237475.1215070,
1670855302.216986,1314683,16410,4,TX,1,100,2022-12-12_16-28-22-179009,1237476.6721403,
1670855303.713301,1316133,16647,4,TX,1,100,2022-12-12_16-28-23-697985,1237478.1911478,
1670855305.248830,1317621,16898,4,TX,1,100,2022-12-12_16-28-25-231291,1237479.7244832,
1670855306.815317,1319139,17151,4,TX,1,100,2022-12-12_16-28-26-766414,1237481.2596338,
1670855308.364261,1320640,17391,4,TX,1,100,2022-12-12_16-28-28-317251,1237482.8105003,
1670855309.925588,1322153,17644,4,TX,1,100,2022-12-12_16-28-29-834461,1237484.3277414,
1670855311.421903,1323603,17880,4,TX,1,100,2022-12-12_16-28-31-384662,1237485.8779713,
1670855312.946081,1325080,18121,4,TX,1,100,2022-12-12_16-28-32-918914,1237487.4122536,
1670855314.517728,1326603,18373,4,TX,1,100,2022-12-12_16-28-34-454103,1237488.9474706,
1670855316.064608,1328102,18624,4,TX,1,100,2022-12-12_16-28-35-989844,1237490.4832380,
1670855317.601169,1329591,18865,4,TX,1,100,2022-12-12_16-28-37-528322,1237492.0217473,
1670855319.135665,1331078,19103,4,TX,1,100,2022-12-12_16-28-39-042178,1237493.5356334,
1670855320.596895,1332494,19337,4,TX,1,100,2022-12-12_16-28-40-591889,1237495.0853694,
1670855322.135519,1333985,19591,4,TX,1,100,2022-12-12_16-28-42-109799,1237496.6033128,
1670855323.690655,1335492,19833,4,TX,1,100,2022-12-12_16-28-43-644785,1237498.1383293,
1670855325.363432,1337113,20101,4,TX,1,100,2022-12-12_16-28-45-187313,1237499.6808850,
1670855326.903089,1338605,20353,4,TX,1,100,2022-12-12_16-28-46-728895,1237501.2224971,
1670855328.298273,1339957,20574,4,TX,1,100,2022-12-12_16-28-48-250352,1237502.7439829,
1670855329.876112,1341486,20827,4,TX,1,100,2022-12-12_16-28-49-798879,1237504.2925387,
1670855331.337341,1342902,21062,4,TX,1,100,2022-12-12_16-28-51-316408,1237505.8100975,
1670855332.945106,1344460,21315,4,TX,1,100,2022-12-12_16-28-52-840007,1237507.3337263,
1670855334.419750,1345889,21555,4,TX,1,100,2022-12-12_16-28-54-401085,1237508.8948337,
1670855335.959406,1347381,21807,4,TX,1,100,2022-12-12_16-28-55-919693,1237510.4134703,
1670855337.473264,1348848,22043,4,TX,1,100,2022-12-12_16-28-57-453203,1237511.9470099,
1670855339.000538,1350328,22284,4,TX,1,100,2022-12-12_16-28-58-987685,1237513.4815213,
1670855340.552578,1351832,22535,4,TX,1,100,2022-12-12_16-29-00-540420,1237515.0342832,
1670855342.143831,1353374,22789,4,TX,1,100,2022-12-12_16-29-02-056186,1237516.5500814,
1670855343.625699,1354810,23023,4,TX,1,100,2022-12-12_16-29-03-607535,1237518.1014591,
1670855345.276806,1356410,23297,4,TX,1,100,2022-12-12_16-29-05-137623,1237519.6315773,
1670855346.762801,1357850,23535,4,TX,1,100,2022-12-12_16-29-06-691896,1237521.1858785,
1670855348.294202,1359334,23784,4,TX,1,100,2022-12-12_16-29-08-226049,1237522.7200609,
1670855349.827667,1360820,24027,4,TX,1,100,2022-12-12_16-29-09-795979,1237524.2900215,
1670855351.366292,1362311,24277,4,TX,1,100,2022-12-12_16-29-11-294764,1237525.7888355,
1670855352.924523,1363821,24529,4,TX,1,100,2022-12-12_16-29-12-829675,1237527.3237756,
1670855354.788210,1365627,24783,4,TX,1,100,2022-12-12_16-29-14-405408,1237528.8995397,
1670855355.983198,1366785,24972,4,TX,1,100,2022-12-12_16-29-15-882396,1237530.3765532,
1670855357.461970,1368218,25207,4,TX,1,100,2022-12-12_16-29-17-416364,1237531.9105520,
1670855359.038776,1369746,25460,4,TX,1,100,2022-12-12_16-29-18-966263,1237533.4604815,
1670855360.529932,1371191,25702,4,TX,1,100,2022-12-12_16-29-20-485356,1237534.9796022,
1670855362.036566,1372651,25941,4,TX,1,100,2022-12-12_16-29-22-020471,1237536.5147454,
1670855363.577255,1374144,26191,4,TX,1,100,2022-12-12_16-29-23-555047,1237538.0493484,
1670855365.199467,1375716,26443,4,TX,1,100,2022-12-12_16-29-25-088764,1237539.5830991,
1670855366.650376,1377122,26684,4,TX,1,100,2022-12-12_16-29-26-623195,1237541.1175575,
1670855368.190033,1378614,26935,4,TX,1,100,2022-12-12_16-29-28-160942,1237542.6553320,
1670855369.808117,1380182,27189,4,TX,1,100,2022-12-12_16-29-29-706976,1237544.2014001,
1670855371.333327,1381660,27382,4,TX,1,100,2022-12-12_16-29-31-219153,1237545.7136048,
1670855372.801779,1383083,27618,4,TX,1,100,2022-12-12_16-29-32-777369,1237547.2718497,
1670855374.343500,1384577,27869,4,TX,1,100,2022-12-12_16-29-34-294302,1237548.7888113,
1670855375.853230,1386040,28106,4,TX,1,100,2022-12-12_16-29-35-828874,1237550.3234124,
1670855377.485761,1387622,28362,4,TX,1,100,2022-12-12_16-29-37-381344,1237551.8759126,
1670855378.917064,1389009,28582,4,TX,1,100,2022-12-12_16-29-38-898432,1237553.3930298,
1670855380.444337,1390489,28833,4,TX,1,100,2022-12-12_16-29-40-416484,1237554.9111115,
1670855382.010824,1392007,29092,4,TX,1,100,2022-12-12_16-29-41-950054,1237556.4447100,
1670855383.537066,1393486,29326,4,TX,1,100,2022-12-12_16-29-43-496821,1237557.9915049,
1670855385.077754,1394979,29579,4,TX,1,100,2022-12-12_16-29-45-018744,1237559.5134564,
1670855386.605028,1396459,29818,4,TX,1,100,2022-12-12_16-29-46-551971,1237561.0467163,
1670855388.149844,1397956,30072,4,TX,1,100,2022-12-12_16-29-48-103483,1237562.5982553,
1670855389.652351,1399412,30309,4,TX,1,100,2022-12-12_16-29-49-621335,1237564.1161378,
1670855391.213678,1400925,30543,4,TX,1,100,2022-12-12_16-29-51-158011,1237565.6528427,
1670855392.735791,1402400,30785,4,TX,1,100,2022-12-12_16-29-52-706761,1237567.2016204,
1670855394.302279,1403918,31037,4,TX,1,100,2022-12-12_16-29-54-224611,1237568.7195032,
1670855395.778987,1405349,31273,4,TX,1,100,2022-12-12_16-29-55-759245,1237570.2541654,
1670855397.342378,1406864,31529,4,TX,1,100,2022-12-12_16-29-57-292735,1237571.7876847,
1670855398.900609,1408374,31783,4,TX,1,100,2022-12-12_16-29-58-827702,1237573.3226808,
