RD,TS_received,TS_sent,AK,RoundTrip,
1242579,1242647,2022-12-12_16-27-07-874524,1242649,68,
1247692,1247793,2022-12-12_16-27-13-168337,1247799,101,
1252801,1252849,2022-12-12_16-27-18-390791,1252852,48,
1257901,1258002,2022-12-12_16-27-23-718869,1258006,101,
1263012,1263045,2022-12-12_16-27-28-911651,1263049,33,
1268171,1268210,2022-12-12_16-27-34-249919,1268213,39,
1273278,1273301,2022-12-12_16-27-39-501686,1273304,23,
1278389,1278433,2022-12-12_16-27-44-806174,1278436,44,
1283494,1283517,2022-12-12_16-27-50-039920,1283520,23,
1288630,1288668,2022-12-12_16-27-55-364774,1288673,38,
1293729,1293756,2022-12-12_16-28-00-612794,1293760,27,
1298845,1298902,2022-12-12_16-28-05-917420,1298907,57,
1303960,1304029,2022-12-12_16-28-11-220429,1304032,69,
1309073,1309112,2022-12-12_16-28-16-454244,1309117,39,
1314172,1314207,2022-12-12_16-28-21-724417,1314211,35,
1319288,1319338,2022-12-12_16-28-27-001477,1319344,50,
1324392,1324500,2022-12-12_16-28-32-323788,1329527,108,
1329551,1329573,2022-12-12_16-28-37-574672,1329576,22,
1334640,1334691,2022-12-12_16-28-42-862561,1334694,51,
1339747,1339792,2022-12-12_16-28-48-107074,1339798,45,
1344848,1344870,2022-12-12_16-28-53-357825,1344873,22,
1349964,1350000,2022-12-12_16-28-58-640722,1350005,36,
1355068,1355089,2022-12-12_16-29-03-898091,1355092,21,
1360176,1360195,2022-12-12_16-29-09-176728,1360199,19,
1365500,1370623,2022-12-12_16-29-14-736187,1370633,5123,
1370645,1370666,2022-12-12_16-29-19-983343,1370669,21,
1375794,1375815,2022-12-12_16-29-25-281491,1375818,21,
1381045,1381068,2022-12-12_16-29-30-708263,1381071,23,
1386152,1386228,2022-12-12_16-29-36-018377,1386234,76,
1391292,1391314,2022-12-12_16-29-41-276562,1391317,22,
1396409,1396440,2022-12-12_16-29-46-570981,1396443,31,
1401517,1401616,2022-12-12_16-29-51-897251,1401621,99,
1406640,1406673,2022-12-12_16-29-57-125872,1406678,33,
1411749,1411827,2022-12-12_16-30-02-437342,1411833,78,
1416865,1416886,2022-12-12_16-30-07-673995,1416889,21,
1422000,1422025,2022-12-12_16-30-12-968550,1422028,25,
1427142,1432276,2022-12-12_16-30-18-324353,1432285,5134,
1432299,1432365,2022-12-12_16-30-23-633951,1432370,66,
1437405,1437429,2022-12-12_16-30-28-859270,1437432,24,
1442560,1442601,2022-12-12_16-30-34-181173,1442603,41,
1447673,1447741,2022-12-12_16-30-39-499634,1447744,68,
1452807,1452829,2022-12-12_16-30-44-753037,1452832,22,
1457962,1458001,2022-12-12_16-30-50-064543,1458007,39,
