LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1671000910.662056,19762.000,519,1,B%,1,100, 8
1671000911.661277,20750.000,596,1,B%,1,100, 8
1671000912.660499,21738.000,670,1,B%,1,100, 8
1671000913.658709,22725.000,746,1,B%,1,100, 8
1671000914.654897,23710.000,814,1,B%,1,100, 7
1671000915.654119,24698.000,891,1,B%,1,100, 7
1671000916.652329,25685.000,968,1,B%,1,100, 8
1671000917.650539,26672.000,1044,1,B%,1,100, 8
1671000918.647738,27658.000,1118,1,B%,1,100, 7
1671000919.647971,28647.000,1185,1,B%,1,100, 8
1671000920.645170,29633.000,1267,1,B%,1,100, 8
1671000921.644392,30621.000,1343,1,B%,1,100, 7
1671000922.641591,31607.000,1417,1,B%,1,100, 7
1671000923.640812,32595.000,1488,1,B%,1,100, 7
1671000924.639023,33582.000,1562,1,B%,1,100, 7
1671000925.637233,34569.000,1634,1,B%,1,100, 7
1671000926.633420,35554.000,1713,1,B%,1,100, 7
1671000927.631631,36541.000,1790,1,B%,1,100, 8
1671000928.630852,37529.000,1864,1,B%,1,100, 7
1671000929.630074,38517.000,1940,1,B%,1,100, 7
1671000930.627273,39503.000,2008,1,B%,1,100, 8
1671000931.626495,40491.000,2090,1,B%,1,100, 7
1671000932.623693,41477.000,2164,1,B%,1,100, 7
1671000933.623926,42466.000,2240,1,B%,1,100, 7
1671000934.621125,43452.000,2307,1,B%,1,100, 7
1671000935.619336,44439.000,2384,1,B%,1,100, 6
1671000936.617546,45426.000,2463,1,B%,1,100, 7
1671000937.615756,46413.000,2534,1,B%,1,100, 7
1671000938.612955,47399.000,2610,1,B%,1,100, 6
1671000939.612177,48387.000,2687,1,B%,1,100, 6
1671000940.610387,49374.000,2761,1,B%,1,100, 7
1671000941.609609,50362.000,2833,1,B%,1,100, 7
1671000942.607819,51349.000,2909,1,B%,1,100, 7
1671000943.607041,52337.000,2986,1,B%,1,100, 8
1671000944.604240,53323.000,3060,1,B%,1,100, 7
1671000945.603462,54311.000,3136,1,B%,1,100, 7
1671000946.601672,55298.000,3209,1,B%,1,100, 7
1671000947.598871,56284.000,3286,1,B%,1,100, 6
1671000948.597081,57271.000,3363,1,B%,1,100, 6
1671000949.596303,58259.000,3430,1,B%,1,100, 7
1671000950.592490,59244.000,3506,1,B%,1,100, 7
1671000951.591712,60232.000,3588,1,B%,1,100, 6
1671000952.589922,61219.000,3662,1,B%,1,100, 6
1671000953.589144,62207.000,3730,1,B%,1,100, 6
1671000954.586343,63193.000,3806,1,B%,1,100, 6
1671000955.584553,64180.000,3883,1,B%,1,100, 6
1671000956.582763,65167.000,3964,1,B%,1,100, 6
1671000957.581985,66155.000,4033,1,B%,1,100, 6
1671000958.580195,67142.000,4107,1,B%,1,100, 7
1671000959.577394,68128.000,4178,1,B%,1,100, 6
1671000960.575604,69115.000,4254,1,B%,1,100, 7
1671000961.574826,70103.000,4330,1,B%,1,100, 6
1671000962.572025,71089.000,4403,1,B%,1,100, 6
1671000963.571247,72077.000,4480,1,B%,1,100, 6
1671000964.568446,73063.000,4554,1,B%,1,100, 6
1671000965.567667,74051.000,4630,1,B%,1,100, 6
1671000966.565878,75038.000,4697,1,B%,1,100, 6
1671000967.564088,76025.000,4769,1,B%,1,100, 6
1671000968.562298,77012.000,4846,1,B%,1,100, 7
1671000969.561520,78000.000,4922,1,B%,1,100, 6
1671000970.559730,78987.000,5000,1,B%,1,100, 6
1671000971.556929,79973.000,5067,1,B%,1,100, 7
1671000972.555139,80960.000,5149,1,B%,1,100, 7
1671000973.554361,81948.000,5225,1,B%,1,100, 6
1671000974.550549,82933.000,5292,1,B%,1,100, 6
1671000975.549770,83921.000,5367,1,B%,1,100, 7
1671000976.547981,84908.000,5443,1,B%,1,100, 7
1671000977.547202,85896.000,5519,1,B%,1,100, 6
1671000978.545413,86883.000,5586,1,B%,1,100, 6
1671000979.542611,87869.000,5663,1,B%,1,100, 6
1671000980.540822,88856.000,5737,1,B%,1,100, 6
1671000981.540043,89844.000,5808,1,B%,1,100, 6
1671000982.538254,90831.000,5889,1,B%,1,100, 5
1671000983.535453,91817.000,5966,1,B%,1,100, 6
1671000984.531640,92802.000,6040,1,B%,1,100, 6
1671000985.532885,93792.000,6107,1,B%,1,100, 6
1671000986.530083,94778.000,6183,1,B%,1,100, 6
1671000987.529305,95766.000,6260,1,B%,1,100, 6
1671000988.527515,96753.000,6334,1,B%,1,100, 6
1671000989.525726,97740.000,6410,1,B%,1,100, 6
1671000990.524947,98728.000,6478,1,B%,1,100, 5
1671000991.522146,99714.000,6552,1,B%,1,100, 6
1671000992.520357,100701.000,6632,1,B%,1,100, 6
1671000993.519578,101689.000,6713,1,B%,1,100, 6
1671000994.515766,102674.000,6780,1,B%,1,100, 6
1671000995.514987,103662.000,6855,1,B%,1,100, 6
1671000996.511175,104647.000,6931,1,B%,1,100, 6
1671000997.511408,105636.000,7007,1,B%,1,100, 5
1671000998.509618,106623.000,7081,1,B%,1,100, 6
1671000999.507829,107610.000,7157,1,B%,1,100, 6
1671001000.508062,108599.000,7225,1,B%,1,100, 6
1671001001.505261,109585.000,7299,1,B%,1,100, 6
1671001002.504482,110573.000,7376,1,B%,1,100, 5
1671001003.501681,111559.000,7460,1,B%,1,100, 6
