LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1671000910.662056,19762.000,518,1,BV,1,100,3.61
1671000911.661277,20750.000,595,1,BV,1,100,3.61
1671000912.660499,21738.000,669,1,BV,1,100,3.61
1671000913.658709,22725.000,745,1,BV,1,100,3.61
1671000914.654897,23710.000,813,1,BV,1,100,3.60
1671000915.654119,24698.000,890,1,BV,1,100,3.60
1671000916.652329,25685.000,967,1,BV,1,100,3.60
1671000917.650539,26672.000,1043,1,BV,1,100,3.61
1671000918.647738,27658.000,1117,1,BV,1,100,3.60
1671000919.647971,28647.000,1184,1,BV,1,100,3.60
1671000920.645170,29633.000,1266,1,BV,1,100,3.60
1671000921.644392,30621.000,1342,1,BV,1,100,3.60
1671000922.641591,31607.000,1416,1,BV,1,100,3.60
1671000923.640812,32595.000,1487,1,BV,1,100,3.60
1671000924.639023,33582.000,1561,1,BV,1,100,3.60
1671000925.637233,34569.000,1633,1,BV,1,100,3.60
1671000926.633420,35554.000,1712,1,BV,1,100,3.60
1671000927.631631,36541.000,1789,1,BV,1,100,3.61
1671000928.630852,37529.000,1863,1,BV,1,100,3.60
1671000929.630074,38517.000,1939,1,BV,1,100,3.60
1671000930.627273,39503.000,2007,1,BV,1,100,3.60
1671000931.626495,40491.000,2089,1,BV,1,100,3.60
1671000932.623693,41477.000,2163,1,BV,1,100,3.60
1671000933.623926,42466.000,2239,1,BV,1,100,3.60
1671000934.621125,43452.000,2306,1,BV,1,100,3.60
1671000935.619336,44439.000,2383,1,BV,1,100,3.60
1671000936.617546,45426.000,2462,1,BV,1,100,3.60
1671000937.615756,46413.000,2533,1,BV,1,100,3.60
1671000938.612955,47399.000,2609,1,BV,1,100,3.60
1671000939.612177,48387.000,2686,1,BV,1,100,3.60
1671000940.610387,49374.000,2760,1,BV,1,100,3.60
1671000941.609609,50362.000,2832,1,BV,1,100,3.60
1671000942.607819,51349.000,2908,1,BV,1,100,3.60
1671000943.607041,52337.000,2985,1,BV,1,100,3.60
1671000944.604240,53323.000,3059,1,BV,1,100,3.60
1671000945.603462,54311.000,3135,1,BV,1,100,3.60
1671000946.601672,55298.000,3208,1,BV,1,100,3.60
1671000947.598871,56284.000,3285,1,BV,1,100,3.60
1671000948.597081,57271.000,3362,1,BV,1,100,3.60
1671000949.596303,58259.000,3429,1,BV,1,100,3.60
1671000950.592490,59244.000,3505,1,BV,1,100,3.60
1671000951.591712,60232.000,3587,1,BV,1,100,3.60
1671000952.589922,61219.000,3661,1,BV,1,100,3.59
1671000953.589144,62207.000,3729,1,BV,1,100,3.60
1671000954.586343,63193.000,3805,1,BV,1,100,3.60
1671000955.584553,64180.000,3882,1,BV,1,100,3.60
1671000956.582763,65167.000,3963,1,BV,1,100,3.60
1671000957.581985,66155.000,4032,1,BV,1,100,3.60
1671000958.580195,67142.000,4106,1,BV,1,100,3.60
1671000959.577394,68128.000,4177,1,BV,1,100,3.60
1671000960.575604,69115.000,4253,1,BV,1,100,3.60
1671000961.574826,70103.000,4329,1,BV,1,100,3.60
1671000962.572025,71089.000,4402,1,BV,1,100,3.60
1671000963.571247,72077.000,4479,1,BV,1,100,3.60
1671000964.568446,73063.000,4553,1,BV,1,100,3.60
1671000965.567667,74051.000,4629,1,BV,1,100,3.60
1671000966.565878,75038.000,4696,1,BV,1,100,3.59
1671000967.564088,76025.000,4768,1,BV,1,100,3.60
1671000968.562298,77012.000,4845,1,BV,1,100,3.60
1671000969.561520,78000.000,4921,1,BV,1,100,3.59
1671000970.559730,78987.000,4999,1,BV,1,100,3.60
1671000971.556929,79973.000,5066,1,BV,1,100,3.60
1671000972.555139,80960.000,5148,1,BV,1,100,3.60
1671000973.554361,81948.000,5224,1,BV,1,100,3.60
1671000974.550549,82933.000,5291,1,BV,1,100,3.60
1671000975.549770,83921.000,5366,1,BV,1,100,3.60
1671000976.547981,84908.000,5442,1,BV,1,100,3.60
1671000977.547202,85896.000,5518,1,BV,1,100,3.60
1671000978.545413,86883.000,5585,1,BV,1,100,3.59
1671000979.542611,87869.000,5662,1,BV,1,100,3.60
1671000980.540822,88856.000,5736,1,BV,1,100,3.60
1671000981.540043,89844.000,5807,1,BV,1,100,3.59
1671000982.538254,90831.000,5888,1,BV,1,100,3.59
1671000983.535453,91817.000,5965,1,BV,1,100,3.60
1671000984.531640,92802.000,6039,1,BV,1,100,3.60
1671000985.532885,93792.000,6106,1,BV,1,100,3.60
1671000986.530083,94778.000,6182,1,BV,1,100,3.60
1671000987.529305,95766.000,6259,1,BV,1,100,3.59
1671000988.527515,96753.000,6333,1,BV,1,100,3.59
1671000989.525726,97740.000,6409,1,BV,1,100,3.59
1671000990.524947,98728.000,6477,1,BV,1,100,3.59
1671000991.522146,99714.000,6551,1,BV,1,100,3.59
1671000992.520357,100701.000,6631,1,BV,1,100,3.59
1671000993.519578,101689.000,6712,1,BV,1,100,3.59
1671000994.515766,102674.000,6779,1,BV,1,100,3.59
1671000995.514987,103662.000,6854,1,BV,1,100,3.59
1671000996.511175,104647.000,6930,1,BV,1,100,3.59
1671000997.511408,105636.000,7006,1,BV,1,100,3.59
1671000998.509618,106623.000,7080,1,BV,1,100,3.59
1671000999.507829,107610.000,7156,1,BV,1,100,3.59
1671001000.508062,108599.000,7224,1,BV,1,100,3.59
1671001001.505261,109585.000,7298,1,BV,1,100,3.59
1671001002.504482,110573.000,7375,1,BV,1,100,3.59
1671001003.501681,111559.000,7459,1,BV,1,100,3.59
1671001004.497869,112544.000,7534,1,BV,1,100,3.59
1671001005.499113,113534.000,7600,1,BV,1,100,3.60
1671001006.495301,114519.000,7677,1,BV,1,100,3.59
1671001007.494522,115507.000,7753,1,BV,1,100,3.59
1671001008.490710,116492.000,7827,1,BV,1,100,3.59
1671001009.490943,117481.000,7903,1,BV,1,100,3.59
1671001010.491176,118470.000,7977,1,BV,1,100,3.59
1671001011.488375,119456.000,8044,1,BV,1,100,3.59
1671001012.486585,120443.000,8121,1,BV,1,100,3.60
1671001013.483784,121429.000,8203,1,BV,1,100,3.59
1671001014.481994,122416.000,8266,1,BV,1,100,3.59
1671001015.484250,123407.000,8343,1,BV,1,100,3.59
1671001016.478415,124390.000,8417,1,BV,1,100,3.59
1671001017.478648,125379.000,8493,1,BV,1,100,3.59
1671001018.475847,126365.000,8560,1,BV,1,100,3.59
1671001019.476080,127354.000,8632,1,BV,1,100,3.59
1671001020.476313,128343.000,8709,1,BV,1,100,3.59
1671001021.472501,129328.000,8785,1,BV,1,100,3.59
1671001022.472734,130317.000,8853,1,BV,1,100,3.59
1671001023.469933,131303.000,8930,1,BV,1,100,3.59
1671001024.466120,132288.000,9009,1,BV,1,100,3.59
1671001025.467365,133278.000,9088,1,BV,1,100,3.59
1671001026.463552,134263.000,9155,1,BV,1,100,3.59
1671001027.463785,135252.000,9230,1,BV,1,100,3.59
