LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1671000909.964219,19072.000,462,1,EA,1,100,0.030318
1671000910.029957,19137.000,468,1,EA,1,100,0.030318
1671000910.096707,19203.000,478,2,EA,1,100,0.030318
1671000910.163456,19269.000,478,2,EA,1,100,0.030318
1671000910.230206,19335.000,485,1,EA,1,100,0.030319
1671000910.296955,19401.000,494,2,EA,1,100,0.030318
1671000910.363705,19467.000,494,2,EA,1,100,0.030318
1671000910.430455,19533.000,501,1,EA,1,100,0.030318
1671000910.496193,19598.000,507,2,EA,1,100,0.030318
1671000910.561931,19663.000,507,2,EA,1,100,0.030319
1671000910.629692,19730.000,514,1,EA,1,100,0.030318
1671000910.696442,19796.000,525,2,EA,1,100,0.030319
1671000910.763191,19862.000,525,2,EA,1,100,0.030318
1671000910.828930,19927.000,532,1,EA,1,100,0.030319
1671000910.895174,19992.500,538,2,EA,1,100,0.030318
1671000910.961418,20058.000,538,2,EA,1,100,0.030319
1671000911.029179,20125.000,546,1,EA,1,100,0.030319
1671000911.095928,20191.000,554,2,EA,1,100,0.030318
1671000911.162678,20257.000,554,2,EA,1,100,0.030318
1671000911.229427,20323.000,561,1,EA,1,100,0.030319
1671000911.295166,20388.000,570,2,EA,1,100,0.030318
1671000911.360904,20453.000,570,2,EA,1,100,0.030319
1671000911.427654,20519.000,575,2,EA,1,100,0.030318
1671000911.494403,20585.000,575,2,EA,1,100,0.030319
1671000911.561153,20651.000,583,1,EA,1,100,0.030319
1671000911.628408,20717.500,591,2,EA,1,100,0.030319
1671000911.695663,20784.000,591,2,EA,1,100,0.030319
1671000911.761402,20849.000,601,1,EA,1,100,0.030319
1671000911.828151,20915.000,606,2,EA,1,100,0.030319
1671000911.894901,20981.000,606,2,EA,1,100,0.030318
1671000911.960639,21046.000,614,1,EA,1,100,0.030319
1671000912.026883,21111.500,622,2,EA,1,100,0.030318
1671000912.093127,21177.000,622,2,EA,1,100,0.030319
1671000912.158865,21242.000,630,1,EA,1,100,0.030319
1671000912.226121,21308.500,635,2,EA,1,100,0.030319
1671000912.293376,21375.000,635,2,EA,1,100,0.030319
1671000912.360126,21441.000,644,1,EA,1,100,0.030319
1671000912.426875,21507.000,651,2,EA,1,100,0.030318
1671000912.493625,21573.000,651,2,EA,1,100,0.030318
1671000912.560374,21639.000,659,1,EA,1,100,0.030318
1671000912.627124,21705.000,666,2,EA,1,100,0.030318
1671000912.693874,21771.000,666,2,EA,1,100,0.030319
1671000912.759612,21836.000,675,2,EA,1,100,0.030318
1671000912.825350,21901.000,675,2,EA,1,100,0.030318
1671000912.893111,21968.000,682,1,EA,1,100,0.030318
1671000912.959861,22034.000,691,2,EA,1,100,0.030318
1671000913.026611,22100.000,691,2,EA,1,100,0.030318
1671000913.092349,22165.000,698,1,EA,1,100,0.030318
1671000913.158593,22230.500,704,2,EA,1,100,0.030318
1671000913.224837,22296.000,704,2,EA,1,100,0.030318
1671000913.292598,22363.000,711,1,EA,1,100,0.030318
1671000913.358842,22428.500,720,2,EA,1,100,0.030318
1671000913.425086,22494.000,720,2,EA,1,100,0.030318
1671000913.491835,22560.000,727,1,EA,1,100,0.030318
1671000913.558585,22626.000,733,2,EA,1,100,0.030318
1671000913.625335,22692.000,733,2,EA,1,100,0.030318
1671000913.692084,22758.000,741,1,EA,1,100,0.030318
1671000913.758834,22824.000,751,2,EA,1,100,0.030318
1671000913.825583,22890.000,751,2,EA,1,100,0.030318
1671000913.892333,22956.000,758,1,EA,1,100,0.030318
1671000913.958577,23021.500,766,2,EA,1,100,0.030318
1671000914.024821,23087.000,766,2,EA,1,100,0.030318
1671000914.091065,23152.500,772,2,EA,1,100,0.030318
1671000914.157309,23218.000,772,2,EA,1,100,0.030318
1671000914.224058,23284.000,780,1,EA,1,100,0.030319
1671000914.289797,23349.000,788,2,EA,1,100,0.030318
1671000914.355535,23414.000,788,2,EA,1,100,0.030319
1671000914.421273,23479.000,796,1,EA,1,100,0.030318
1671000914.488528,23545.500,801,2,EA,1,100,0.030319
1671000914.555784,23612.000,801,2,EA,1,100,0.030319
1671000914.622533,23678.000,809,1,EA,1,100,0.030319
1671000914.689283,23744.000,819,2,EA,1,100,0.030319
1671000914.756033,23810.000,819,2,EA,1,100,0.030319
1671000914.822782,23876.000,827,1,EA,1,100,0.030319
1671000914.888520,23941.000,832,2,EA,1,100,0.030319
1671000914.954259,24006.000,832,2,EA,1,100,0.030319
1671000915.022020,24073.000,841,1,EA,1,100,0.030319
1671000915.088769,24139.000,851,2,EA,1,100,0.030319
1671000915.155519,24205.000,851,2,EA,1,100,0.030319
1671000915.221931,24270.667,865,3,EA,1,100,0.030319
1671000915.288344,24336.333,865,3,EA,1,100,0.030319
1671000915.354757,24402.000,865,3,EA,1,100,0.030319
1671000915.422518,24469.000,873,1,EA,1,100,0.030319
1671000915.488256,24534.000,880,2,EA,1,100,0.030319
1671000915.553994,24599.000,880,2,EA,1,100,0.030319
1671000915.620744,24665.000,888,1,EA,1,100,0.030319
1671000915.687493,24731.000,896,2,EA,1,100,0.030319
1671000915.754243,24797.000,896,2,EA,1,100,0.030319
1671000915.820992,24863.000,904,1,EA,1,100,0.030319
1671000915.887742,24929.000,911,2,EA,1,100,0.030319
1671000915.954492,24995.000,911,2,EA,1,100,0.030319
1671000916.021241,25061.000,920,1,EA,1,100,0.030319
1671000916.087991,25127.000,925,2,EA,1,100,0.030319
1671000916.154741,25193.000,925,2,EA,1,100,0.030319
1671000916.222502,25260.000,933,1,EA,1,100,0.030319
1671000916.288240,25325.000,941,2,EA,1,100,0.030318
1671000916.353978,25390.000,941,2,EA,1,100,0.030319
1671000916.420728,25456.000,949,2,EA,1,100,0.030318
1671000916.487478,25522.000,949,2,EA,1,100,0.030319
1671000916.552204,25586.000,956,1,EA,1,100,0.030318
1671000916.619460,25652.500,963,2,EA,1,100,0.030319
1671000916.686715,25719.000,963,2,EA,1,100,0.030319
1671000916.753464,25785.000,972,1,EA,1,100,0.030318
1671000916.820214,25851.000,980,2,EA,1,100,0.030319
1671000916.886964,25917.000,980,2,EA,1,100,0.030319
1671000916.951691,25981.000,987,1,EA,1,100,0.030319
1671000917.018440,26047.000,994,2,EA,1,100,0.030318
1671000917.085190,26113.000,994,2,EA,1,100,0.030318
1671000917.151940,26179.000,1001,1,EA,1,100,0.030319
1671000917.219195,26245.500,1009,2,EA,1,100,0.030318
1671000917.286450,26312.000,1009,2,EA,1,100,0.030318
1671000917.352189,26377.000,1017,1,EA,1,100,0.030319
1671000917.418938,26443.000,1023,2,EA,1,100,0.030319
1671000917.485688,26509.000,1023,2,EA,1,100,0.030319
1671000917.552437,26575.000,1030,1,EA,1,100,0.030319
1671000917.618176,26640.000,1039,2,EA,1,100,0.030319
1671000917.683914,26705.000,1039,2,EA,1,100,0.030319
1671000917.749652,26770.000,1048,2,EA,1,100,0.030319
1671000917.815390,26835.000,1048,2,EA,1,100,0.030318
1671000917.882140,26901.000,1056,1,EA,1,100,0.030319
1671000917.948890,26967.000,1062,2,EA,1,100,0.030319
1671000918.015639,27033.000,1062,2,EA,1,100,0.030319
1671000918.082389,27099.000,1070,1,EA,1,100,0.030318
1671000918.149138,27165.000,1077,2,EA,1,100,0.030319
1671000918.215888,27231.000,1077,2,EA,1,100,0.030318
1671000918.282638,27297.000,1085,1,EA,1,100,0.030319
1671000918.348882,27362.500,1091,2,EA,1,100,0.030318
1671000918.415126,27428.000,1091,2,EA,1,100,0.030318
1671000918.482887,27495.000,1099,1,EA,1,100,0.030319
1671000918.549636,27561.000,1106,2,EA,1,100,0.030319
1671000918.616386,27627.000,1106,2,EA,1,100,0.030318
1671000918.681113,27691.000,1115,1,EA,1,100,0.030319
1671000918.747862,27757.000,1122,2,EA,1,100,0.030318
1671000918.814612,27823.000,1122,2,EA,1,100,0.030318
1671000918.882373,27890.000,1130,1,EA,1,100,0.030318
1671000918.948617,27955.500,1138,2,EA,1,100,0.030318
1671000919.014861,28021.000,1138,2,EA,1,100,0.030318
1671000919.081105,28086.500,1146,2,EA,1,100,0.030318
1671000919.147349,28152.000,1146,2,EA,1,100,0.030318
1671000919.214098,28218.000,1153,1,EA,1,100,0.030318
1671000919.280848,28284.000,1160,2,EA,1,100,0.030318
1671000919.347598,28350.000,1160,2,EA,1,100,0.030318
1671000919.414347,28416.000,1167,1,EA,1,100,0.030318
1671000919.481603,28482.500,1175,2,EA,1,100,0.030318
1671000919.548858,28549.000,1175,2,EA,1,100,0.030318
1671000919.614596,28614.000,1182,1,EA,1,100,0.030319
1671000919.681346,28680.000,1191,2,EA,1,100,0.030318
1671000919.748096,28746.000,1191,2,EA,1,100,0.030318
1671000919.815856,28813.000,1198,1,EA,1,100,0.030318
1671000919.881089,28877.500,1206,2,EA,1,100,0.030318
1671000919.946322,28942.000,1206,2,EA,1,100,0.030318
1671000920.013071,29008.000,1214,1,EA,1,100,0.030318
