LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1671000909.964219,19072.000,463,1,EL,1,100,26466.400391
1671000910.029957,19137.000,469,1,EL,1,100,26466.199219
1671000910.096707,19203.000,479,2,EL,1,100,26466.199219
1671000910.163456,19269.000,479,2,EL,1,100,26466.400391
1671000910.230206,19335.000,486,1,EL,1,100,26466.000000
1671000910.296955,19401.000,495,2,EL,1,100,26466.800781
1671000910.363705,19467.000,495,2,EL,1,100,26466.400391
1671000910.430455,19533.000,502,1,EL,1,100,26466.400391
1671000910.496193,19598.000,508,2,EL,1,100,26466.400391
1671000910.561931,19663.000,508,2,EL,1,100,26466.000000
1671000910.629692,19730.000,515,1,EL,1,100,26466.199219
1671000910.696442,19796.000,526,2,EL,1,100,26466.000000
1671000910.763191,19862.000,526,2,EL,1,100,26466.400391
1671000910.828930,19927.000,533,1,EL,1,100,26466.000000
1671000910.895174,19992.500,539,2,EL,1,100,26466.400391
1671000910.961418,20058.000,539,2,EL,1,100,26466.000000
1671000911.029179,20125.000,547,1,EL,1,100,26466.000000
1671000911.095928,20191.000,555,2,EL,1,100,26466.199219
1671000911.162678,20257.000,555,2,EL,1,100,26466.400391
1671000911.229427,20323.000,562,1,EL,1,100,26466.000000
1671000911.295166,20388.000,571,2,EL,1,100,26466.199219
1671000911.360904,20453.000,571,2,EL,1,100,26466.000000
1671000911.427654,20519.000,576,2,EL,1,100,26466.199219
1671000911.494403,20585.000,576,2,EL,1,100,26466.000000
1671000911.561153,20651.000,584,1,EL,1,100,26466.000000
1671000911.628408,20717.500,592,2,EL,1,100,26466.000000
1671000911.695663,20784.000,592,2,EL,1,100,26466.000000
1671000911.761402,20849.000,602,1,EL,1,100,26466.000000
1671000911.828151,20915.000,607,2,EL,1,100,26466.000000
1671000911.894901,20981.000,607,2,EL,1,100,26466.199219
1671000911.960639,21046.000,615,1,EL,1,100,26466.000000
1671000912.026883,21111.500,623,2,EL,1,100,26466.199219
1671000912.093127,21177.000,623,2,EL,1,100,26466.000000
1671000912.158865,21242.000,631,1,EL,1,100,26466.000000
1671000912.226121,21308.500,636,2,EL,1,100,26466.000000
1671000912.293376,21375.000,636,2,EL,1,100,26466.000000
1671000912.360126,21441.000,645,1,EL,1,100,26466.000000
1671000912.426875,21507.000,652,2,EL,1,100,26466.400391
1671000912.493625,21573.000,652,2,EL,1,100,26466.199219
1671000912.560374,21639.000,660,1,EL,1,100,26466.199219
1671000912.627124,21705.000,667,2,EL,1,100,26466.599609
1671000912.693874,21771.000,667,2,EL,1,100,26466.000000
1671000912.759612,21836.000,676,2,EL,1,100,26466.199219
1671000912.825350,21901.000,676,2,EL,1,100,26466.800781
1671000912.893111,21968.000,683,1,EL,1,100,26466.800781
1671000912.959861,22034.000,692,2,EL,1,100,26467.000000
1671000913.026611,22100.000,692,2,EL,1,100,26466.400391
1671000913.092349,22165.000,699,1,EL,1,100,26466.800781
1671000913.158593,22230.500,705,2,EL,1,100,26466.599609
1671000913.224837,22296.000,705,2,EL,1,100,26466.800781
1671000913.292598,22363.000,712,1,EL,1,100,26466.400391
1671000913.358842,22428.500,721,2,EL,1,100,26466.599609
1671000913.425086,22494.000,721,2,EL,1,100,26466.800781
1671000913.491835,22560.000,728,1,EL,1,100,26466.800781
1671000913.558585,22626.000,734,2,EL,1,100,26466.599609
1671000913.625335,22692.000,734,2,EL,1,100,26466.800781
1671000913.692084,22758.000,742,1,EL,1,100,26466.599609
1671000913.758834,22824.000,752,2,EL,1,100,26467.000000
1671000913.825583,22890.000,752,2,EL,1,100,26466.800781
1671000913.892333,22956.000,759,1,EL,1,100,26466.800781
1671000913.958577,23021.500,767,2,EL,1,100,26466.599609
1671000914.024821,23087.000,767,2,EL,1,100,26467.000000
1671000914.091065,23152.500,773,2,EL,1,100,26467.000000
1671000914.157309,23218.000,773,2,EL,1,100,26466.199219
1671000914.224058,23284.000,781,1,EL,1,100,26466.000000
1671000914.289797,23349.000,789,2,EL,1,100,26466.400391
1671000914.355535,23414.000,789,2,EL,1,100,26466.000000
1671000914.421273,23479.000,797,1,EL,1,100,26466.199219
1671000914.488528,23545.500,802,2,EL,1,100,26466.000000
1671000914.555784,23612.000,802,2,EL,1,100,26466.000000
1671000914.622533,23678.000,810,1,EL,1,100,26466.000000
1671000914.689283,23744.000,820,2,EL,1,100,26466.000000
1671000914.756033,23810.000,820,2,EL,1,100,26466.000000
1671000914.822782,23876.000,828,1,EL,1,100,26466.000000
1671000914.888520,23941.000,833,2,EL,1,100,26466.000000
1671000914.954259,24006.000,833,2,EL,1,100,26466.000000
1671000915.022020,24073.000,842,1,EL,1,100,26466.000000
1671000915.088769,24139.000,852,2,EL,1,100,26466.000000
1671000915.155519,24205.000,852,2,EL,1,100,26466.000000
1671000915.221931,24270.667,866,3,EL,1,100,26466.000000
1671000915.288344,24336.333,866,3,EL,1,100,26466.000000
1671000915.354757,24402.000,866,3,EL,1,100,26466.000000
1671000915.422518,24469.000,874,1,EL,1,100,26466.000000
1671000915.488256,24534.000,881,2,EL,1,100,26466.000000
1671000915.553994,24599.000,881,2,EL,1,100,26466.000000
1671000915.620744,24665.000,889,1,EL,1,100,26466.000000
1671000915.687493,24731.000,897,2,EL,1,100,26466.000000
1671000915.754243,24797.000,897,2,EL,1,100,26466.000000
1671000915.820992,24863.000,905,1,EL,1,100,26466.000000
1671000915.887742,24929.000,912,2,EL,1,100,26466.000000
1671000915.954492,24995.000,912,2,EL,1,100,26466.000000
1671000916.021241,25061.000,921,1,EL,1,100,26466.000000
1671000916.087991,25127.000,926,2,EL,1,100,26466.000000
1671000916.154741,25193.000,926,2,EL,1,100,26466.000000
1671000916.222502,25260.000,934,1,EL,1,100,26466.000000
1671000916.288240,25325.000,942,2,EL,1,100,26466.199219
1671000916.353978,25390.000,942,2,EL,1,100,26466.000000
1671000916.420728,25456.000,950,2,EL,1,100,26466.199219
1671000916.487478,25522.000,950,2,EL,1,100,26466.000000
1671000916.552204,25586.000,957,1,EL,1,100,26466.199219
1671000916.619460,25652.500,964,2,EL,1,100,26466.000000
1671000916.686715,25719.000,964,2,EL,1,100,26466.000000
1671000916.753464,25785.000,973,1,EL,1,100,26466.199219
1671000916.820214,25851.000,981,2,EL,1,100,26466.000000
1671000916.886964,25917.000,981,2,EL,1,100,26466.000000
1671000916.951691,25981.000,988,1,EL,1,100,26466.000000
1671000917.018440,26047.000,995,2,EL,1,100,26466.199219
1671000917.085190,26113.000,995,2,EL,1,100,26466.199219
1671000917.151940,26179.000,1002,1,EL,1,100,26466.000000
1671000917.219195,26245.500,1010,2,EL,1,100,26466.199219
1671000917.286450,26312.000,1010,2,EL,1,100,26466.199219
1671000917.352189,26377.000,1018,1,EL,1,100,26466.000000
1671000917.418938,26443.000,1024,2,EL,1,100,26466.000000
1671000917.485688,26509.000,1024,2,EL,1,100,26466.000000
1671000917.552437,26575.000,1031,1,EL,1,100,26466.000000
1671000917.618176,26640.000,1040,2,EL,1,100,26466.000000
1671000917.683914,26705.000,1040,2,EL,1,100,26466.000000
1671000917.749652,26770.000,1049,2,EL,1,100,26466.000000
1671000917.815390,26835.000,1049,2,EL,1,100,26466.400391
1671000917.882140,26901.000,1057,1,EL,1,100,26466.000000
1671000917.948890,26967.000,1063,2,EL,1,100,26466.000000
1671000918.015639,27033.000,1063,2,EL,1,100,26466.000000
1671000918.082389,27099.000,1071,1,EL,1,100,26466.199219
1671000918.149138,27165.000,1078,2,EL,1,100,26466.000000
1671000918.215888,27231.000,1078,2,EL,1,100,26466.199219
1671000918.282638,27297.000,1086,1,EL,1,100,26466.000000
1671000918.348882,27362.500,1092,2,EL,1,100,26466.199219
1671000918.415126,27428.000,1092,2,EL,1,100,26466.199219
1671000918.482887,27495.000,1100,1,EL,1,100,26466.000000
1671000918.549636,27561.000,1107,2,EL,1,100,26466.000000
1671000918.616386,27627.000,1107,2,EL,1,100,26466.199219
1671000918.681113,27691.000,1116,1,EL,1,100,26466.000000
1671000918.747862,27757.000,1123,2,EL,1,100,26466.599609
1671000918.814612,27823.000,1123,2,EL,1,100,26466.599609
1671000918.882373,27890.000,1131,1,EL,1,100,26466.599609
1671000918.948617,27955.500,1139,2,EL,1,100,26466.599609
1671000919.014861,28021.000,1139,2,EL,1,100,26466.599609
1671000919.081105,28086.500,1147,2,EL,1,100,26466.800781
1671000919.147349,28152.000,1147,2,EL,1,100,26467.000000
1671000919.214098,28218.000,1154,1,EL,1,100,26466.800781
1671000919.280848,28284.000,1161,2,EL,1,100,26466.599609
1671000919.347598,28350.000,1161,2,EL,1,100,26466.800781
1671000919.414347,28416.000,1168,1,EL,1,100,26466.400391
1671000919.481603,28482.500,1176,2,EL,1,100,26466.800781
1671000919.548858,28549.000,1176,2,EL,1,100,26466.199219
1671000919.614596,28614.000,1183,1,EL,1,100,26466.000000
1671000919.681346,28680.000,1192,2,EL,1,100,26466.199219
1671000919.748096,28746.000,1192,2,EL,1,100,26466.199219
1671000919.815856,28813.000,1199,1,EL,1,100,26466.400391
1671000919.881089,28877.500,1207,2,EL,1,100,26466.400391
1671000919.946322,28942.000,1207,2,EL,1,100,26466.400391
1671000920.013071,29008.000,1215,1,EL,1,100,26466.199219
1671000920.079821,29074.000,1222,2,EL,1,100,26466.599609
1671000920.146570,29140.000,1222,2,EL,1,100,26466.599609
1671000920.213320,29206.000,1228,2,EL,1,100,26466.400391
1671000920.280070,29272.000,1228,2,EL,1,100,26467.000000
1671000920.346819,29338.000,1237,1,EL,1,100,26466.800781
1671000920.413063,29403.500,1249,2,EL,1,100,26466.599609
1671000920.479307,29469.000,1249,2,EL,1,100,26467.000000
1671000920.545046,29534.000,1257,1,EL,1,100,26467.000000
1671000920.611795,29600.000,1263,2,EL,1,100,26467.000000
1671000920.678545,29666.000,1263,2,EL,1,100,26467.000000
1671000920.746306,29733.000,1273,1,EL,1,100,26467.000000
1671000920.813055,29799.000,1280,2,EL,1,100,26467.000000
1671000920.879805,29865.000,1280,2,EL,1,100,26467.000000
1671000920.944532,29929.000,1288,1,EL,1,100,26466.800781
1671000921.011281,29995.000,1294,2,EL,1,100,26467.000000
1671000921.078031,30061.000,1294,2,EL,1,100,26467.000000
1671000921.145792,30128.000,1302,1,EL,1,100,26467.000000
1671000921.212542,30194.000,1309,2,EL,1,100,26467.000000
1671000921.279291,30260.000,1309,2,EL,1,100,26467.000000
1671000921.344018,30324.000,1318,1,EL,1,100,26467.000000
1671000921.410768,30390.000,1324,2,EL,1,100,26467.000000
1671000921.477518,30456.000,1324,2,EL,1,100,26467.000000
1671000921.544267,30522.000,1331,2,EL,1,100,26467.000000
1671000921.611017,30588.000,1331,2,EL,1,100,26467.000000
1671000921.678778,30655.000,1339,1,EL,1,100,26467.000000
1671000921.745528,30721.000,1349,2,EL,1,100,26467.000000
1671000921.812277,30787.000,1349,2,EL,1,100,26467.000000
1671000921.878015,30852.000,1356,1,EL,1,100,26467.000000
1671000921.943248,30916.500,1363,2,EL,1,100,26467.199219
1671000922.008481,30981.000,1363,2,EL,1,100,26467.000000
1671000922.076241,31048.000,1370,1,EL,1,100,26467.199219
1671000922.142991,31114.000,1378,2,EL,1,100,26467.000000
1671000922.209741,31180.000,1378,2,EL,1,100,26467.000000
1671000922.276490,31246.000,1385,1,EL,1,100,26467.000000
1671000922.343240,31312.000,1392,2,EL,1,100,26467.000000
1671000922.409990,31378.000,1392,2,EL,1,100,26467.000000
1671000922.476739,31444.000,1399,1,EL,1,100,26467.000000
1671000922.542477,31509.000,1407,2,EL,1,100,26467.000000
1671000922.608216,31574.000,1407,2,EL,1,100,26467.000000
1671000922.674965,31640.000,1415,1,EL,1,100,26467.000000
1671000922.741209,31705.500,1423,2,EL,1,100,26467.000000
1671000922.807453,31771.000,1423,2,EL,1,100,26467.000000
1671000922.875214,31838.000,1430,1,EL,1,100,26467.000000
1671000922.941964,31904.000,1439,2,EL,1,100,26467.000000
1671000923.008713,31970.000,1439,2,EL,1,100,26467.000000
1671000923.075463,32036.000,1446,2,EL,1,100,26467.000000
1671000923.142213,32102.000,1446,2,EL,1,100,26467.000000
1671000923.206940,32166.000,1454,1,EL,1,100,26467.000000
1671000923.274195,32232.500,1460,2,EL,1,100,26467.000000
1671000923.341450,32299.000,1460,2,EL,1,100,26467.000000
1671000923.407188,32364.000,1468,1,EL,1,100,26467.000000
1671000923.473938,32430.000,1475,2,EL,1,100,26467.199219
1671000923.540688,32496.000,1475,2,EL,1,100,26466.800781
1671000923.607437,32562.000,1484,2,EL,1,100,26467.000000
1671000923.674187,32628.000,1484,2,EL,1,100,26467.000000
1671000923.740937,32694.000,1493,1,EL,1,100,26467.000000
1671000923.807686,32760.000,1499,2,EL,1,100,26467.000000
1671000923.874436,32826.000,1499,2,EL,1,100,26467.000000
1671000923.942197,32893.000,1506,1,EL,1,100,26467.000000
1671000924.007935,32958.000,1515,2,EL,1,100,26467.000000
1671000924.073673,33023.000,1515,2,EL,1,100,26467.000000
1671000924.140423,33089.000,1522,2,EL,1,100,26467.199219
