LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1671000909.962196,19070.000,458,4,EM,1,100,RS
1671000909.962196,19070.000,458,4,EM,1,100,RB
1671000909.962196,19070.000,458,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000909.962196,19070.000,458,4,EM,1,100,PS
1671000910.013017,19120.250,474,4,EM,1,100,RS
1671000910.063838,19170.500,474,4,EM,1,100,RB
1671000910.114658,19220.750,474,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000910.165479,19271.000,474,4,EM,1,100,PS
1671000910.216300,19321.250,489,4,EM,1,100,RS
1671000910.267120,19371.500,489,4,EM,1,100,RB
1671000910.317941,19421.750,489,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000910.368762,19472.000,489,4,EM,1,100,PS
1671000910.419583,19522.250,503,4,EM,1,100,RS
1671000910.470403,19572.500,503,4,EM,1,100,RB
1671000910.521224,19622.750,503,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000910.572045,19673.000,503,4,EM,1,100,PS
1671000910.622865,19723.250,520,4,EM,1,100,RS
1671000910.673686,19773.500,520,4,EM,1,100,RB
1671000910.724507,19823.750,520,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000910.775328,19874.000,520,4,EM,1,100,PS
1671000910.826149,19924.250,534,4,EM,1,100,RS
1671000910.876969,19974.500,534,4,EM,1,100,RB
1671000910.927790,20024.750,534,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000910.978611,20075.000,534,4,EM,1,100,PS
1671000911.029431,20125.250,550,4,EM,1,100,RS
1671000911.080252,20175.500,550,4,EM,1,100,RB
1671000911.131073,20225.750,550,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000911.181894,20276.000,550,4,EM,1,100,PS
1671000911.232714,20326.250,565,4,EM,1,100,RS
1671000911.283535,20376.500,565,4,EM,1,100,RB
1671000911.334356,20426.750,565,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000911.385177,20477.000,565,4,EM,1,100,PS
1671000911.435997,20527.250,579,4,EM,1,100,RS
1671000911.486818,20577.500,579,4,EM,1,100,RB
1671000911.537639,20627.750,579,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000911.588459,20678.000,579,4,EM,1,100,PS
1671000911.639280,20728.250,597,4,EM,1,100,RS
1671000911.690101,20778.500,597,4,EM,1,100,RB
1671000911.740922,20828.750,597,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000911.791743,20879.000,597,4,EM,1,100,PS
1671000911.842563,20929.250,610,4,EM,1,100,RS
1671000911.893384,20979.500,610,4,EM,1,100,RB
1671000911.944205,21029.750,610,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000911.995025,21080.000,610,4,EM,1,100,PS
1671000912.045846,21130.250,626,4,EM,1,100,RS
1671000912.096667,21180.500,626,4,EM,1,100,RB
1671000912.147488,21230.750,626,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000912.198308,21281.000,626,4,EM,1,100,PS
1671000912.249129,21331.250,639,4,EM,1,100,RS
1671000912.299950,21381.500,639,4,EM,1,100,RB
1671000912.350770,21431.750,639,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000912.401591,21482.000,639,4,EM,1,100,PS
1671000912.452412,21532.250,655,4,EM,1,100,RS
1671000912.503233,21582.500,655,4,EM,1,100,RB
1671000912.554054,21632.750,655,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000912.604874,21683.000,655,4,EM,1,100,PS
1671000912.657465,21735.000,671,4,EM,1,100,RS
1671000912.710056,21787.000,671,4,EM,1,100,RB
1671000912.762646,21839.000,671,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000912.815237,21891.000,671,4,EM,1,100,PS
1671000912.866057,21941.250,686,4,EM,1,100,RS
1671000912.916878,21991.500,686,4,EM,1,100,RB
1671000912.967699,22041.750,686,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000913.018520,22092.000,686,4,EM,1,100,PS
1671000913.069340,22142.250,700,4,EM,1,100,RS
1671000913.120161,22192.500,700,4,EM,1,100,RB
1671000913.170982,22242.750,700,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000913.221803,22293.000,700,4,EM,1,100,PS
1671000913.272623,22343.250,715,4,EM,1,100,RS
1671000913.323444,22393.500,715,4,EM,1,100,RB
1671000913.374265,22443.750,715,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000913.425086,22494.000,715,4,EM,1,100,PS
1671000913.475906,22544.250,729,4,EM,1,100,RS
1671000913.526727,22594.500,729,4,EM,1,100,RB
1671000913.577548,22644.750,729,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000913.628369,22695.000,729,4,EM,1,100,PS
1671000913.679189,22745.250,747,4,EM,1,100,RS
1671000913.730010,22795.500,747,4,EM,1,100,RB
1671000913.780831,22845.750,747,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000913.831651,22896.000,747,4,EM,1,100,PS
1671000913.882472,22946.250,761,4,EM,1,100,RS
1671000913.933293,22996.500,761,4,EM,1,100,RB
1671000913.984114,23046.750,761,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.034935,23097.000,761,4,EM,1,100,PS
1671000914.085755,23147.250,776,4,EM,1,100,RS
1671000914.136576,23197.500,776,4,EM,1,100,RB
1671000914.187397,23247.750,776,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.238217,23298.000,776,4,EM,1,100,PS
1671000914.289038,23348.250,792,4,EM,1,100,RS
1671000914.339859,23398.500,792,4,EM,1,100,RB
1671000914.390680,23448.750,792,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.441500,23499.000,792,4,EM,1,100,PS
1671000914.492321,23549.250,805,4,EM,1,100,RS
1671000914.543142,23599.500,805,4,EM,1,100,RB
1671000914.593962,23649.750,805,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.644783,23700.000,805,4,EM,1,100,PS
1671000914.695604,23750.250,823,4,EM,1,100,RS
1671000914.746425,23800.500,823,4,EM,1,100,RB
1671000914.797246,23850.750,823,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000914.848066,23901.000,823,4,EM,1,100,PS
1671000914.898887,23951.250,836,4,EM,1,100,RS
1671000914.949708,24001.500,836,4,EM,1,100,RB
1671000915.000528,24051.750,836,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.051349,24102.000,836,4,EM,1,100,PS
1671000915.102170,24152.250,855,4,EM,1,100,RS
1671000915.152991,24202.500,855,4,EM,1,100,RB
1671000915.203811,24252.750,855,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.254632,24303.000,855,4,EM,1,100,PS
1671000915.305453,24353.250,869,4,EM,1,100,RS
1671000915.356274,24403.500,869,4,EM,1,100,RB
1671000915.407094,24453.750,869,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.457915,24504.000,869,4,EM,1,100,PS
1671000915.508736,24554.250,884,4,EM,1,100,RS
1671000915.559556,24604.500,884,4,EM,1,100,RB
1671000915.610377,24654.750,884,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.661198,24705.000,884,4,EM,1,100,PS
1671000915.712019,24755.250,900,4,EM,1,100,RS
1671000915.762840,24805.500,900,4,EM,1,100,RB
1671000915.813660,24855.750,900,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000915.864481,24906.000,900,4,EM,1,100,PS
1671000915.915302,24956.250,915,4,EM,1,100,RS
1671000915.966122,25006.500,915,4,EM,1,100,RB
1671000916.016943,25056.750,915,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.067764,25107.000,915,4,EM,1,100,PS
1671000916.120860,25159.500,929,4,EM,1,100,RS
1671000916.173956,25212.000,929,4,EM,1,100,RB
1671000916.227053,25264.500,929,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.280149,25317.000,929,4,EM,1,100,PS
1671000916.330970,25367.250,945,4,EM,1,100,RS
1671000916.381791,25417.500,945,4,EM,1,100,RB
1671000916.432611,25467.750,945,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.483432,25518.000,945,4,EM,1,100,PS
1671000916.534253,25568.250,958,4,EM,1,100,RS
1671000916.585073,25618.500,958,4,EM,1,100,RB
1671000916.635894,25668.750,958,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.686715,25719.000,958,4,EM,1,100,PS
1671000916.737788,25769.500,976,4,EM,1,100,RS
1671000916.788862,25820.000,976,4,EM,1,100,RB
1671000916.839936,25870.500,976,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000916.891009,25921.000,976,4,EM,1,100,PS
1671000916.941830,25971.250,989,4,EM,1,100,RS
1671000916.992651,26021.500,989,4,EM,1,100,RB
1671000917.043472,26071.750,989,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.094292,26122.000,989,4,EM,1,100,PS
1671000917.145113,26172.250,1005,4,EM,1,100,RS
1671000917.195934,26222.500,1005,4,EM,1,100,RB
1671000917.246754,26272.750,1005,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.297575,26323.000,1005,4,EM,1,100,PS
1671000917.348396,26373.250,1019,4,EM,1,100,RS
1671000917.399217,26423.500,1019,4,EM,1,100,RB
1671000917.450037,26473.750,1019,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.500858,26524.000,1019,4,EM,1,100,PS
1671000917.551679,26574.250,1034,4,EM,1,100,RS
1671000917.602499,26624.500,1034,4,EM,1,100,RB
1671000917.653320,26674.750,1034,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.704141,26725.000,1034,4,EM,1,100,PS
1671000917.754962,26775.250,1052,4,EM,1,100,RS
1671000917.805783,26825.500,1052,4,EM,1,100,RB
1671000917.856603,26875.750,1052,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000917.907424,26926.000,1052,4,EM,1,100,PS
1671000917.960520,26978.500,1066,4,EM,1,100,RS
1671000918.013617,27031.000,1066,4,EM,1,100,RB
1671000918.066713,27083.500,1066,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.119809,27136.000,1066,4,EM,1,100,PS
1671000918.170630,27186.250,1081,4,EM,1,100,RS
1671000918.221451,27236.500,1081,4,EM,1,100,RB
1671000918.272271,27286.750,1081,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.323092,27337.000,1081,4,EM,1,100,PS
1671000918.373913,27387.250,1095,4,EM,1,100,RS
1671000918.424734,27437.500,1095,4,EM,1,100,RB
1671000918.475554,27487.750,1095,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.526375,27538.000,1095,4,EM,1,100,PS
1671000918.577196,27588.250,1110,4,EM,1,100,RS
1671000918.628016,27638.500,1110,4,EM,1,100,RB
1671000918.678837,27688.750,1110,4,EM,1,100,2022-12-14_08-55-09-834278.csv
1671000918.729658,27739.000,1110,4,EM,1,100,PS
1671000918.780479,27789.250,1126,4,EM,1,100,RS
1671000918.831300,27839.500,1126,4,EM,1,100,RB
