LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1671000910.102775,19209.000,471,2,RD,1,100,TL
1671000910.102775,19209.000,471,2,RD,1,100,TU
1671000912.696402,21773.500,858,2,RD,1,100,TL
1671000915.290030,24338.000,858,2,RD,1,100,TU
1671000917.867981,26887.000,1242,2,RD,1,100,TL
1671000920.445932,29436.000,1242,2,RD,1,100,TU
1671000923.028941,31990.000,1624,2,RD,1,100,TL
1671000925.611949,34544.000,1624,2,RD,1,100,TU
1671000928.204565,37107.500,2019,2,RD,1,100,TL
1671000930.797181,39671.000,2019,2,RD,1,100,TU
1671000933.379683,42224.500,2401,2,RD,1,100,TL
1671000935.962186,44778.000,2401,2,RD,1,100,TU
1671000938.547217,47334.000,2793,2,RD,1,100,TL
1671000941.132248,49890.000,2793,2,RD,1,100,TU
1671000943.716268,52445.000,3176,2,RD,1,100,TL
1671000946.300287,55000.000,3176,2,RD,1,100,TU
1671000948.892397,57563.000,3568,2,RD,1,100,TL
1671000951.484508,60126.000,3568,2,RD,1,100,TU
1671000954.069539,62682.000,3952,2,RD,1,100,TL
1671000956.654570,65238.000,3952,2,RD,1,100,TU
1671000959.233532,67788.000,4341,2,RD,1,100,TL
1671000961.812495,70338.000,4341,2,RD,1,100,TU
1671000964.394998,72891.500,4722,2,RD,1,100,TL
1671000966.977500,75445.000,4722,2,RD,1,100,TU
1671000969.565060,78003.500,5107,2,RD,1,100,TL
1671000972.152619,80562.000,5107,2,RD,1,100,TU
1671000974.734110,83114.500,5490,2,RD,1,100,TL
1671000977.315601,85667.000,5490,2,RD,1,100,TU
1671000979.912768,88235.000,5877,2,RD,1,100,TL
1671000982.509936,90803.000,5877,2,RD,1,100,TU
1671000985.088898,93353.000,6264,2,RD,1,100,TL
1671000987.667861,95903.000,6264,2,RD,1,100,TU
1671000990.254915,98461.000,6650,2,RD,1,100,TL
1671000992.841969,101019.000,6650,2,RD,1,100,TU
1671000995.428011,103576.000,7032,2,RD,1,100,TL
1671000998.014053,106133.000,7032,2,RD,1,100,TU
1671001000.611220,108701.000,7423,2,RD,1,100,TL
1671001003.208387,111269.000,7423,2,RD,1,100,TU
1671001005.795947,113827.500,7808,2,RD,1,100,TL
1671001008.383506,116386.000,7808,2,RD,1,100,TU
1671001011.012025,118985.000,8191,2,RD,1,100,TL
1671001013.640545,121584.000,8191,2,RD,1,100,TU
1671001016.223553,124138.000,8579,2,RD,1,100,TL
1671001018.806561,126692.000,8579,2,RD,1,100,TU
1671001021.384512,129241.000,8963,2,RD,1,100,TL
1671001023.962464,131790.000,8963,2,RD,1,100,TU
