LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1671000910.029957,19137.000,464,1,SF,1,100,0.0000
1671000910.363705,19467.000,490,1,SF,1,100,0.0000
1671000910.763191,19862.000,521,1,SF,1,100,0.0000
1671000911.029179,20125.000,542,1,SF,1,100,0.0000
1671000911.360904,20453.000,566,1,SF,1,100,0.0000
1671000911.695663,20784.000,587,1,SF,1,100,0.0000
1671000912.093127,21177.000,618,1,SF,1,100,0.0000
1671000912.360126,21441.000,640,1,SF,1,100,0.0000
1671000912.693874,21771.000,662,1,SF,1,100,0.0000
1671000913.026611,22100.000,687,1,SF,1,100,0.0000
1671000913.425086,22494.000,716,1,SF,1,100,0.0000
1671000913.692084,22758.000,737,1,SF,1,100,0.0000
1671000914.024821,23087.000,762,1,SF,1,100,0.0000
1671000914.355535,23414.000,784,1,SF,1,100,0.0000
1671000914.756033,23810.000,815,1,SF,1,100,0.0000
1671000915.022020,24073.000,837,1,SF,1,100,0.0000
1671000915.354757,24402.000,861,1,SF,1,100,0.0000
1671000915.754243,24797.000,892,1,SF,1,100,0.0000
1671000916.021241,25061.000,916,1,SF,1,100,0.0000
1671000916.353978,25390.000,937,1,SF,1,100,0.0000
1671000916.686715,25719.000,959,1,SF,1,100,0.0000
1671000917.085190,26113.000,990,1,SF,1,100,0.0000
1671000917.352189,26377.000,1013,1,SF,1,100,0.0000
1671000917.683914,26705.000,1035,1,SF,1,100,0.0000
1671000918.015639,27033.000,1058,1,SF,1,100,0.0000
1671000918.415126,27428.000,1087,1,SF,1,100,0.0000
1671000918.681113,27691.000,1111,1,SF,1,100,0.0000
1671000919.014861,28021.000,1134,1,SF,1,100,0.0000
1671000919.347598,28350.000,1156,1,SF,1,100,0.0000
1671000919.748096,28746.000,1187,1,SF,1,100,0.0000
1671000920.013071,29008.000,1210,1,SF,1,100,0.0000
1671000920.346819,29338.000,1232,1,SF,1,100,0.0000
1671000920.678545,29666.000,1258,1,SF,1,100,0.0000
1671000921.078031,30061.000,1289,1,SF,1,100,0.0000
1671000921.344018,30324.000,1313,1,SF,1,100,0.0000
1671000921.678778,30655.000,1334,1,SF,1,100,0.0000
1671000922.008481,30981.000,1358,1,SF,1,100,0.0000
1671000922.409990,31378.000,1387,1,SF,1,100,0.0000
1671000922.674965,31640.000,1410,1,SF,1,100,0.0000
1671000923.008713,31970.000,1434,1,SF,1,100,0.0000
1671000923.341450,32299.000,1455,1,SF,1,100,0.0000
1671000923.674187,32628.000,1479,1,SF,1,100,0.0000
1671000924.073673,33023.000,1510,1,SF,1,100,0.0000
1671000924.405399,33351.000,1531,1,SF,1,100,0.0000
1671000924.673409,33616.000,1555,1,SF,1,100,0.0000
1671000925.006145,33945.000,1578,1,SF,1,100,0.0000
