LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1671000910.089627,19196.000,480,1,T1,1,100,29.039
1671000910.224138,19329.000,487,1,T1,1,100,29.017
1671000910.357637,19461.000,496,1,T1,1,100,29.043
1671000910.490125,19592.000,509,1,T1,1,100,29.054
1671000910.622613,19723.000,516,1,T1,1,100,29.023
1671000910.756112,19855.000,527,1,T1,1,100,29.010
1671000910.889611,19987.000,540,1,T1,1,100,29.040
1671000911.022099,20118.000,548,1,T1,1,100,29.017
1671000911.155598,20250.000,556,1,T1,1,100,29.078
1671000911.289098,20382.000,563,1,T1,1,100,29.069
1671000911.421586,20513.000,577,1,T1,1,100,28.995
1671000911.555085,20645.000,585,1,T1,1,100,29.069
1671000911.688584,20777.000,593,1,T1,1,100,28.888
1671000911.822083,20909.000,608,1,T1,1,100,28.987
1671000911.953560,21039.000,616,1,T1,1,100,28.923
1671000912.086048,21170.000,624,1,T1,1,100,28.967
1671000912.219547,21302.000,637,1,T1,1,100,28.986
1671000912.353046,21434.000,646,1,T1,1,100,28.994
1671000912.487557,21567.000,653,1,T1,1,100,28.997
1671000912.621056,21699.000,661,1,T1,1,100,29.034
1671000912.754555,21831.000,677,1,T1,1,100,29.015
1671000912.886032,21961.000,684,1,T1,1,100,29.148
1671000913.019531,22093.000,693,1,T1,1,100,29.135
1671000913.153030,22225.000,706,1,T1,1,100,29.094
1671000913.285518,22356.000,713,1,T1,1,100,29.147
1671000913.418006,22487.000,722,1,T1,1,100,28.993
1671000913.552517,22620.000,735,1,T1,1,100,29.032
1671000913.686016,22752.000,743,1,T1,1,100,29.014
1671000913.819515,22884.000,753,1,T1,1,100,29.006
1671000913.953014,23016.000,760,1,T1,1,100,29.038
1671000914.084491,23146.000,774,1,T1,1,100,29.052
1671000914.216979,23277.000,782,1,T1,1,100,28.987
1671000914.348455,23407.000,790,1,T1,1,100,28.959
1671000914.481955,23539.000,803,1,T1,1,100,28.982
1671000914.615454,23671.000,811,1,T1,1,100,29.063
1671000914.749964,23804.000,821,1,T1,1,100,29.027
1671000914.882452,23935.000,834,1,T1,1,100,29.012
1671000915.014940,24066.000,843,1,T1,1,100,29.076
1671000915.148439,24198.000,853,1,T1,1,100,29.068
1671000915.281939,24330.000,867,1,T1,1,100,29.065
1671000915.415438,24462.000,875,1,T1,1,100,29.028
1671000915.546915,24592.000,882,1,T1,1,100,29.048
1671000915.680414,24724.000,898,1,T1,1,100,29.021
1671000915.814924,24857.000,906,1,T1,1,100,29.044
1671000915.948424,24989.000,913,1,T1,1,100,29.090
1671000916.081923,25121.000,927,1,T1,1,100,29.039
1671000916.215422,25253.000,935,1,T1,1,100,29.088
1671000916.346899,25383.000,943,1,T1,1,100,29.038
1671000916.480398,25515.000,951,1,T1,1,100,29.158
1671000916.612886,25646.000,965,1,T1,1,100,29.068
1671000916.746385,25778.000,974,1,T1,1,100,29.065
1671000916.880896,25911.000,982,1,T1,1,100,28.993
1671000917.012372,26041.000,996,1,T1,1,100,28.997
1671000917.145871,26173.000,1003,1,T1,1,100,29.034
1671000917.279371,26305.000,1011,1,T1,1,100,29.015
1671000917.412870,26437.000,1025,1,T1,1,100,29.042
1671000917.545358,26568.000,1032,1,T1,1,100,29.054
1671000917.676834,26698.000,1041,1,T1,1,100,29.023
1671000917.808311,26828.000,1050,1,T1,1,100,29.045
1671000917.941810,26960.000,1064,1,T1,1,100,29.126
1671000918.076321,27093.000,1072,1,T1,1,100,29.125
1671000918.209820,27225.000,1079,1,T1,1,100,29.125
1671000918.343319,27357.000,1093,1,T1,1,100,29.054
1671000918.475807,27488.000,1101,1,T1,1,100,29.023
1671000918.609306,27620.000,1108,1,T1,1,100,29.081
1671000918.741794,27751.000,1124,1,T1,1,100,29.035
1671000918.875293,27883.000,1132,1,T1,1,100,29.051
1671000919.007782,28014.000,1140,1,T1,1,100,29.022
1671000919.141281,28146.000,1148,1,T1,1,100,29.045
1671000919.274780,28278.000,1162,1,T1,1,100,28.984
1671000919.408279,28410.000,1169,1,T1,1,100,29.099
1671000919.541778,28542.000,1177,1,T1,1,100,29.114
1671000919.675278,28674.000,1193,1,T1,1,100,29.120
1671000919.808777,28806.000,1200,1,T1,1,100,29.123
1671000919.939242,28935.000,1208,1,T1,1,100,28.982
1671000920.072741,29067.000,1216,1,T1,1,100,29.028
1671000920.207252,29200.000,1229,1,T1,1,100,29.012
1671000920.340751,29332.000,1238,1,T1,1,100,29.041
1671000920.473239,29463.000,1250,1,T1,1,100,28.947
1671000920.605727,29594.000,1264,1,T1,1,100,29.048
1671000920.739226,29726.000,1274,1,T1,1,100,28.985
1671000920.872725,29858.000,1281,1,T1,1,100,29.029
1671000921.005213,29989.000,1295,1,T1,1,100,29.048
1671000921.138713,30121.000,1303,1,T1,1,100,29.056
1671000921.272212,30253.000,1310,1,T1,1,100,29.095
1671000921.404700,30384.000,1319,1,T1,1,100,29.112
1671000921.538199,30516.000,1332,1,T1,1,100,29.155
1671000921.671698,30648.000,1340,1,T1,1,100,29.032
1671000921.805197,30780.000,1350,1,T1,1,100,29.120
1671000921.936674,30910.000,1364,1,T1,1,100,29.052
1671000922.069162,31041.000,1371,1,T1,1,100,29.022
1671000922.202661,31173.000,1379,1,T1,1,100,29.010
1671000922.336160,31305.000,1393,1,T1,1,100,28.969
1671000922.470671,31438.000,1400,1,T1,1,100,28.951
1671000922.602148,31568.000,1408,1,T1,1,100,28.872
1671000922.735647,31700.000,1424,1,T1,1,100,29.087
1671000922.868135,31831.000,1431,1,T1,1,100,28.967
1671000923.001634,31963.000,1440,1,T1,1,100,29.021
1671000923.135133,32095.000,1447,1,T1,1,100,29.009
1671000923.267621,32226.000,1461,1,T1,1,100,29.075
1671000923.400109,32357.000,1469,1,T1,1,100,28.997
1671000923.534620,32490.000,1476,1,T1,1,100,28.928
1671000923.668119,32622.000,1485,1,T1,1,100,29.040
1671000923.801618,32754.000,1500,1,T1,1,100,28.946
1671000923.935117,32886.000,1507,1,T1,1,100,28.977
1671000924.066594,33016.000,1516,1,T1,1,100,28.919
1671000924.200093,33148.000,1523,1,T1,1,100,28.965
1671000924.332581,33279.000,1537,1,T1,1,100,29.056
1671000924.466080,33411.000,1545,1,T1,1,100,29.166
1671000924.599580,33543.000,1552,1,T1,1,100,29.107
1671000924.734090,33676.000,1568,1,T1,1,100,29.046
1671000924.866578,33807.000,1576,1,T1,1,100,29.056
1671000924.999066,33938.000,1584,1,T1,1,100,29.024
1671000925.132565,34070.000,1597,1,T1,1,100,29.010
1671000925.266064,34202.000,1605,1,T1,1,100,29.004
1671000925.398552,34333.000,1613,1,T1,1,100,29.073
1671000925.530029,34463.000,1621,1,T1,1,100,28.961
1671000925.663528,34595.000,1642,1,T1,1,100,28.983
1671000925.798039,34728.000,1649,1,T1,1,100,29.028
1671000925.931538,34860.000,1657,1,T1,1,100,29.012
1671000926.065037,34992.000,1671,1,T1,1,100,29.005
1671000926.196514,35122.000,1678,1,T1,1,100,29.002
