LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1671000909.970287,19078.000,470,1,TH,1,100,22.907
1671000910.103786,19210.000,481,1,TH,1,100,22.907
1671000910.237285,19342.000,488,1,TH,1,100,22.851
1671000910.370785,19474.000,497,1,TH,1,100,22.851
1671000910.502261,19604.000,510,1,TH,1,100,22.928
1671000910.635760,19736.000,517,1,TH,1,100,22.928
1671000910.769260,19868.000,528,1,TH,1,100,22.992
1671000910.902759,20000.000,541,1,TH,1,100,22.992
1671000911.036258,20132.000,549,1,TH,1,100,22.905
1671000911.169757,20264.000,557,1,TH,1,100,22.897
1671000911.303257,20396.000,564,1,TH,1,100,22.990
1671000911.434733,20526.000,578,1,TH,1,100,22.990
1671000911.568232,20658.000,586,1,TH,1,100,22.985
1671000911.701732,20790.000,594,1,TH,1,100,22.985
1671000911.835231,20922.000,609,1,TH,1,100,22.911
1671000911.966707,21052.000,617,1,TH,1,100,22.910
1671000912.100207,21184.000,625,1,TH,1,100,22.956
1671000912.233706,21316.000,638,1,TH,1,100,22.956
1671000912.367205,21448.000,647,1,TH,1,100,22.921
1671000912.500704,21580.000,654,1,TH,1,100,22.921
1671000912.634204,21712.000,668,1,TH,1,100,23.078
1671000912.766691,21843.000,678,1,TH,1,100,23.078
1671000912.899179,21974.000,685,1,TH,1,100,23.105
1671000913.032679,22106.000,694,1,TH,1,100,23.098
1671000913.166178,22238.000,707,1,TH,1,100,23.108
1671000913.299677,22370.000,714,1,TH,1,100,23.108
1671000913.432165,22501.000,723,1,TH,1,100,23.082
1671000913.565664,22633.000,736,1,TH,1,100,23.082
1671000913.699164,22765.000,744,1,TH,1,100,23.015
1671000913.832663,22897.000,754,1,TH,1,100,23.015
1671000913.966162,23029.000,768,1,TH,1,100,22.954
1671000914.097639,23159.000,775,1,TH,1,100,22.954
1671000914.230126,23290.000,783,1,TH,1,100,23.031
1671000914.362614,23421.000,791,1,TH,1,100,23.024
1671000914.496114,23553.000,804,1,TH,1,100,23.093
1671000914.629613,23685.000,812,1,TH,1,100,23.093
1671000914.763112,23817.000,822,1,TH,1,100,23.098
1671000914.894589,23947.000,835,1,TH,1,100,23.098
1671000915.028088,24079.000,844,1,TH,1,100,23.048
1671000915.161587,24211.000,854,1,TH,1,100,23.048
1671000915.295086,24343.000,868,1,TH,1,100,23.112
1671000915.429597,24476.000,876,1,TH,1,100,23.112
1671000915.561074,24606.000,883,1,TH,1,100,23.138
1671000915.694573,24738.000,899,1,TH,1,100,23.138
1671000915.828072,24870.000,907,1,TH,1,100,23.009
1671000915.961571,25002.000,914,1,TH,1,100,23.008
1671000916.095071,25134.000,928,1,TH,1,100,23.080
1671000916.228570,25266.000,936,1,TH,1,100,23.080
1671000916.360046,25396.000,944,1,TH,1,100,23.143
1671000916.493546,25528.000,952,1,TH,1,100,23.144
1671000916.627045,25660.000,966,1,TH,1,100,23.141
1671000916.760544,25792.000,975,1,TH,1,100,23.134
1671000916.894043,25924.000,983,1,TH,1,100,23.134
1671000917.025520,26054.000,997,1,TH,1,100,23.134
1671000917.159019,26186.000,1004,1,TH,1,100,23.166
1671000917.292518,26318.000,1012,1,TH,1,100,23.166
1671000917.426018,26450.000,1026,1,TH,1,100,23.102
1671000917.558506,26581.000,1033,1,TH,1,100,23.102
1671000917.690993,26712.000,1042,1,TH,1,100,23.200
1671000917.822470,26842.000,1051,1,TH,1,100,23.200
1671000917.955969,26974.000,1065,1,TH,1,100,23.169
1671000918.089468,27106.000,1073,1,TH,1,100,23.168
1671000918.222968,27238.000,1080,1,TH,1,100,23.184
1671000918.356467,27370.000,1094,1,TH,1,100,23.184
1671000918.488955,27501.000,1102,1,TH,1,100,23.203
1671000918.622454,27633.000,1109,1,TH,1,100,23.203
1671000918.755953,27765.000,1125,1,TH,1,100,23.264
1671000918.889452,27897.000,1133,1,TH,1,100,23.264
1671000919.021940,28028.000,1141,1,TH,1,100,23.227
1671000919.154428,28159.000,1149,1,TH,1,100,23.220
