LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1671000910.129070,19235.000,472,1,TL,1,100,2022-12-14_08-55-10-116450
1671000915.283962,24332.000,856,1,TL,1,100,2022-12-14_08-55-10-223340
1671000915.353745,24401.000,859,1,TL,1,100,2022-12-14_08-55-15-343376
1671000920.442898,29433.000,1240,1,TL,1,100,2022-12-14_08-55-15-449051
1671000920.467171,29457.000,1243,1,TL,1,100,2022-12-14_08-55-20-456671
1671000925.608915,34541.000,1622,1,TL,1,100,2022-12-14_08-55-20-565986
1671000925.638244,34570.000,1625,1,TL,1,100,2022-12-14_08-55-25-624030
1671000930.793136,39667.000,2017,1,TL,1,100,2022-12-14_08-55-25-667950
1671000930.822465,39696.000,2020,1,TL,1,100,2022-12-14_08-55-30-809170
1671000935.959152,44775.000,2399,1,TL,1,100,2022-12-14_08-55-30-881338
1671000935.984436,44800.000,2402,1,TL,1,100,2022-12-14_08-55-35-973941
1671000941.129214,49887.000,2791,1,TL,1,100,2022-12-14_08-55-36-015149
1671000941.155509,49913.000,2794,1,TL,1,100,2022-12-14_08-55-41-145105
1671000946.297253,54997.000,3174,1,TL,1,100,2022-12-14_08-55-41-250904
1671000946.325571,55025.000,3177,1,TL,1,100,2022-12-14_08-55-46-310923
1671000951.481474,60123.000,3566,1,TL,1,100,2022-12-14_08-55-46-355772
1671000951.508780,60150.000,3569,1,TL,1,100,2022-12-14_08-55-51-496277
1671000956.649513,65233.000,3950,1,TL,1,100,2022-12-14_08-55-51-593273
1671000956.724353,65307.000,3953,1,TL,1,100,2022-12-14_08-55-56-713337
1671000961.809461,70335.000,4339,1,TL,1,100,2022-12-14_08-55-56-809502
1671000961.833734,70359.000,4342,1,TL,1,100,2022-12-14_08-56-01-823405
1671000966.974466,75442.000,4720,1,TL,1,100,2022-12-14_08-56-01-936923
1671000967.069534,75536.000,4723,1,TL,1,100,2022-12-14_08-56-07-055655
1671000972.147562,80557.000,5105,1,TL,1,100,2022-12-14_08-56-07-113879
1671000972.192062,80601.000,5108,1,TL,1,100,2022-12-14_08-56-12-179153
1671000977.309533,85661.000,5488,1,TL,1,100,2022-12-14_08-56-12-271843
1671000977.411680,85762.000,5491,1,TL,1,100,2022-12-14_08-56-17-401536
1671000982.506902,90800.000,5875,1,TL,1,100,2022-12-14_08-56-17-454073
1671000982.533197,90826.000,5878,1,TL,1,100,2022-12-14_08-56-22-523742
1671000987.664827,95900.000,6262,1,TL,1,100,2022-12-14_08-56-22-620619
1671000987.755849,95990.000,6265,1,TL,1,100,2022-12-14_08-56-27-740657
1671000992.836912,101014.000,6648,1,TL,1,100,2022-12-14_08-56-27-796517
1671000992.870286,101047.000,6651,1,TL,1,100,2022-12-14_08-56-32-858396
1671000998.011019,106130.000,7030,1,TL,1,100,2022-12-14_08-56-32-924567
1671000998.049451,106168.000,7033,1,TL,1,100,2022-12-14_08-56-38-041447
1671001003.204342,111265.000,7421,1,TL,1,100,2022-12-14_08-56-38-087612
1671001003.229626,111290.000,7424,1,TL,1,100,2022-12-14_08-56-43-219126
1671001008.377438,116380.000,7806,1,TL,1,100,2022-12-14_08-56-43-305616
1671001008.435085,116437.000,7809,1,TL,1,100,2022-12-14_08-56-48-425629
1671001013.634476,121578.000,8189,1,TL,1,100,2022-12-14_08-56-48-467703
1671001013.664817,121608.000,8192,1,TL,1,100,2022-12-14_08-56-53-652886
1671001018.800493,126686.000,8577,1,TL,1,100,2022-12-14_08-56-53-711390
1671001018.885447,126770.000,8580,1,TL,1,100,2022-12-14_08-56-58-870740
1671001023.959430,131787.000,8961,1,TL,1,100,2022-12-14_08-56-58-926057
1671001023.985725,131813.000,8964,1,TL,1,100,2022-12-14_08-57-03-970216
