RD,TS_received,TS_sent,AK,RoundTrip,
19209,19235,2022-12-14_08-55-10-116450,19238,26,
24338,24401,2022-12-14_08-55-15-343376,24405,63,
29436,29457,2022-12-14_08-55-20-456671,29460,21,
34544,34570,2022-12-14_08-55-25-624030,34573,26,
39671,39696,2022-12-14_08-55-30-809170,39699,25,
44778,44800,2022-12-14_08-55-35-973941,44804,22,
49890,49913,2022-12-14_08-55-41-145105,49916,23,
55000,55025,2022-12-14_08-55-46-310923,55028,25,
60126,60150,2022-12-14_08-55-51-496277,60153,24,
65238,65307,2022-12-14_08-55-56-713337,65312,69,
70338,70359,2022-12-14_08-56-01-823405,70362,21,
75445,75536,2022-12-14_08-56-07-055655,75539,91,
80562,80601,2022-12-14_08-56-12-179153,80606,39,
85667,85762,2022-12-14_08-56-17-401536,85765,95,
90803,90826,2022-12-14_08-56-22-523742,90829,23,
95903,95990,2022-12-14_08-56-27-740657,95993,87,
101019,101047,2022-12-14_08-56-32-858396,101055,28,
106133,106168,2022-12-14_08-56-38-041447,106172,35,
111269,111290,2022-12-14_08-56-43-219126,111293,21,
116386,116437,2022-12-14_08-56-48-425629,116440,51,
121584,121608,2022-12-14_08-56-53-652886,121611,24,
126692,126770,2022-12-14_08-56-58-870740,126772,78,
131790,131813,2022-12-14_08-57-03-970216,131815,23,
