LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1671015036.578559,50229.000,6271,2,AK,1,100,5419
1671015036.578559,50229.000,6271,2,AK,1,100,RD
1671015036.590947,50241.000,6274,2,AK,1,100,6272
1671015036.603335,50253.000,6274,2,AK,1,100,RD
1671015039.228052,52795.500,7142,2,AK,1,100,6272
1671015041.852769,55338.000,7142,2,AK,1,100,RD
1671015041.865673,55350.500,7145,2,AK,1,100,7143
1671015041.878577,55363.000,7145,2,AK,1,100,RD
1671015044.505875,57908.000,8012,2,AK,1,100,7143
1671015047.133173,60453.000,8012,2,AK,1,100,RD
1671015049.770794,63008.000,8866,2,AK,1,100,8013
1671015052.408415,65563.000,8866,2,AK,1,100,RD
1671015052.414609,65569.000,8868,2,AK,1,100,8013
1671015052.420803,65575.000,8868,2,AK,1,100,RD
1671015052.453321,65606.500,8871,2,AK,1,100,8869
1671015052.485840,65638.000,8871,2,AK,1,100,RD
1671015055.087846,68158.500,9726,2,AK,1,100,8869
1671015057.689851,70679.000,9726,2,AK,1,100,RD
1671015057.715660,70704.000,9729,2,AK,1,100,9727
1671015057.741468,70729.000,9729,2,AK,1,100,RD
1671015060.348635,73254.500,10599,2,AK,1,100,9727
1671015062.955802,75780.000,10599,2,AK,1,100,RD
1671015062.969223,75793.000,10602,2,AK,1,100,10600
1671015062.982643,75806.000,10602,2,AK,1,100,RD
1671015065.610457,78351.500,11476,2,AK,1,100,10600
1671015068.238271,80897.000,11476,2,AK,1,100,RD
1671015068.251691,80910.000,11479,2,AK,1,100,11477
1671015068.265112,80923.000,11479,2,AK,1,100,RD
1671015070.888280,83464.000,12356,2,AK,1,100,11477
1671015073.511449,86005.000,12356,2,AK,1,100,RD
1671015073.524353,86017.500,12359,2,AK,1,100,12357
1671015073.537257,86030.000,12359,2,AK,1,100,RD
1671015076.166103,88576.500,13239,2,AK,1,100,12357
1671015078.794950,91123.000,13239,2,AK,1,100,RD
1671015081.425860,93671.500,14114,2,AK,1,100,13240
1671015084.056771,96220.000,14114,2,AK,1,100,RD
1671015084.070192,96233.000,14117,2,AK,1,100,14115
1671015084.083612,96246.000,14117,2,AK,1,100,RD
1671015086.712458,98792.500,14998,2,AK,1,100,14115
1671015089.341305,101339.000,14998,2,AK,1,100,RD
1671015089.355757,101353.000,15001,2,AK,1,100,14999
1671015089.370210,101367.000,15001,2,AK,1,100,RD
1671015092.006283,103920.500,15886,2,AK,1,100,14999
1671015094.642355,106474.000,15886,2,AK,1,100,RD
1671015094.660421,106491.500,15889,2,AK,1,100,15887
1671015094.678487,106509.000,15889,2,AK,1,100,RD
1671015097.299591,109048.000,16775,2,AK,1,100,15887
1671015099.920695,111587.000,16775,2,AK,1,100,RD
1671015099.974376,111639.000,16778,2,AK,1,100,16776
1671015100.028058,111691.000,16778,2,AK,1,100,RD
1671015102.612513,114194.500,17654,2,AK,1,100,16776
1671015105.196969,116698.000,17654,2,AK,1,100,RD
1671015105.209873,116710.500,17657,2,AK,1,100,17655
1671015105.222778,116723.000,17657,2,AK,1,100,RD
1671015107.843365,119261.500,18542,2,AK,1,100,17655
1671015110.463953,121800.000,18542,2,AK,1,100,RD
1671015110.476341,121812.000,18545,2,AK,1,100,18543
1671015110.488729,121824.000,18545,2,AK,1,100,RD
1671015113.126866,124379.500,19430,2,AK,1,100,18543
1671015115.765003,126935.000,19430,2,AK,1,100,RD
1671015115.779972,126949.500,19433,2,AK,1,100,19431
1671015115.794941,126964.000,19433,2,AK,1,100,RD
1671015118.414496,129501.500,20316,2,AK,1,100,19431
1671015121.034051,132039.000,20316,2,AK,1,100,RD
1671015121.074829,132078.500,20319,2,AK,1,100,20317
1671015121.115606,132118.000,20319,2,AK,1,100,RD
1671015123.719160,134640.000,21199,2,AK,1,100,20317
1671015126.322714,137162.000,21199,2,AK,1,100,RD
1671015126.334586,137173.500,21202,2,AK,1,100,21200
1671015126.346458,137185.000,21202,2,AK,1,100,RD
1671015128.974272,139730.500,22073,2,AK,1,100,21200
1671015131.602086,142276.000,22073,2,AK,1,100,RD
1671015131.630991,142304.000,22076,2,AK,1,100,22074
1671015131.659897,142332.000,22076,2,AK,1,100,RD
1671015134.275322,144865.500,22962,2,AK,1,100,22074
1671015136.890748,147399.000,22962,2,AK,1,100,RD
1671015139.534047,149959.500,23834,2,AK,1,100,22963
1671015142.177346,152520.000,23834,2,AK,1,100,RD
1671015142.186637,152529.000,23836,2,AK,1,100,22963
1671015142.195928,152538.000,23836,2,AK,1,100,RD
1671015142.208316,152550.000,23839,2,AK,1,100,23837
1671015142.220705,152562.000,23839,2,AK,1,100,RD
