LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1671015035.447117,49133.000,6089,6,AX,1,100,-0.092
1671015035.447117,49133.000,6089,6,AX,1,100,-0.095
1671015035.447117,49133.000,6089,6,AX,1,100,-0.097
1671015035.447117,49133.000,6089,6,AX,1,100,-0.097
1671015035.447117,49133.000,6089,6,AX,1,100,-0.091
1671015035.447117,49133.000,6089,6,AX,1,100,-0.094
1671015035.487034,49171.667,6106,3,AX,1,100,-0.101
1671015035.526952,49210.333,6106,3,AX,1,100,-0.094
1671015035.566869,49249.000,6106,3,AX,1,100,-0.092
1671015035.606786,49287.667,6125,3,AX,1,100,-0.095
1671015035.646703,49326.333,6125,3,AX,1,100,-0.094
1671015035.686620,49365.000,6125,3,AX,1,100,-0.096
1671015035.726881,49404.000,6143,2,AX,1,100,-0.090
1671015035.767142,49443.000,6143,2,AX,1,100,-0.096
1671015035.806715,49481.333,6157,3,AX,1,100,-0.094
1671015035.846288,49519.667,6157,3,AX,1,100,-0.094
1671015035.885861,49558.000,6157,3,AX,1,100,-0.093
1671015035.926638,49597.500,6174,2,AX,1,100,-0.100
1671015035.967415,49637.000,6174,2,AX,1,100,-0.094
1671015036.011806,49680.000,6191,3,AX,1,100,-0.094
1671015036.056196,49723.000,6191,3,AX,1,100,-0.090
1671015036.100587,49766.000,6191,3,AX,1,100,-0.127
1671015036.141880,49806.000,6213,2,AX,1,100,-0.096
1671015036.183174,49846.000,6213,2,AX,1,100,-0.080
1671015036.223091,49884.667,6228,3,AX,1,100,-0.127
1671015036.263008,49923.333,6228,3,AX,1,100,-0.139
1671015036.302925,49962.000,6228,3,AX,1,100,-0.110
1671015036.342670,50000.500,6245,2,AX,1,100,-0.111
1671015036.382415,50039.000,6245,2,AX,1,100,-0.114
1671015036.421988,50077.333,6261,3,AX,1,100,-0.135
1671015036.461560,50115.667,6261,3,AX,1,100,-0.138
1671015036.501133,50154.000,6261,3,AX,1,100,-0.137
1671015036.541050,50192.667,6286,3,AX,1,100,-0.119
1671015036.580968,50231.333,6286,3,AX,1,100,-0.140
1671015036.620885,50270.000,6286,3,AX,1,100,-0.125
1671015036.660458,50308.333,6303,3,AX,1,100,-0.110
1671015036.700031,50346.667,6303,3,AX,1,100,-0.120
1671015036.739603,50385.000,6303,3,AX,1,100,-0.113
1671015036.780897,50425.000,6318,2,AX,1,100,-0.083
1671015036.822190,50465.000,6318,2,AX,1,100,-0.084
