LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1671015035.447117,49133.000,6090,6,AY,1,100,-0.841
1671015035.447117,49133.000,6090,6,AY,1,100,-0.840
1671015035.447117,49133.000,6090,6,AY,1,100,-0.840
1671015035.447117,49133.000,6090,6,AY,1,100,-0.834
1671015035.447117,49133.000,6090,6,AY,1,100,-0.839
1671015035.447117,49133.000,6090,6,AY,1,100,-0.838
1671015035.487034,49171.667,6107,3,AY,1,100,-0.833
1671015035.526952,49210.333,6107,3,AY,1,100,-0.840
1671015035.566869,49249.000,6107,3,AY,1,100,-0.838
1671015035.606786,49287.667,6126,3,AY,1,100,-0.840
1671015035.646703,49326.333,6126,3,AY,1,100,-0.840
1671015035.686620,49365.000,6126,3,AY,1,100,-0.831
1671015035.726881,49404.000,6144,2,AY,1,100,-0.843
1671015035.767142,49443.000,6144,2,AY,1,100,-0.838
1671015035.806715,49481.333,6158,3,AY,1,100,-0.830
1671015035.846288,49519.667,6158,3,AY,1,100,-0.847
1671015035.885861,49558.000,6158,3,AY,1,100,-0.839
1671015035.926638,49597.500,6175,2,AY,1,100,-0.839
1671015035.967415,49637.000,6175,2,AY,1,100,-0.840
1671015036.011806,49680.000,6192,3,AY,1,100,-0.838
1671015036.056196,49723.000,6192,3,AY,1,100,-0.832
1671015036.100587,49766.000,6192,3,AY,1,100,-0.836
1671015036.141880,49806.000,6214,2,AY,1,100,-0.869
1671015036.183174,49846.000,6214,2,AY,1,100,-0.877
1671015036.223091,49884.667,6229,3,AY,1,100,-0.854
1671015036.263008,49923.333,6229,3,AY,1,100,-0.836
1671015036.302925,49962.000,6229,3,AY,1,100,-0.868
1671015036.342670,50000.500,6246,2,AY,1,100,-0.844
1671015036.382415,50039.000,6246,2,AY,1,100,-0.885
1671015036.421988,50077.333,6262,3,AY,1,100,-0.831
1671015036.461560,50115.667,6262,3,AY,1,100,-0.836
1671015036.501133,50154.000,6262,3,AY,1,100,-0.849
1671015036.541050,50192.667,6287,3,AY,1,100,-0.882
1671015036.580968,50231.333,6287,3,AY,1,100,-0.892
1671015036.620885,50270.000,6287,3,AY,1,100,-0.886
1671015036.660458,50308.333,6304,3,AY,1,100,-0.928
1671015036.700031,50346.667,6304,3,AY,1,100,-0.881
1671015036.739603,50385.000,6304,3,AY,1,100,-0.908
1671015036.780897,50425.000,6319,2,AY,1,100,-0.938
1671015036.822190,50465.000,6319,2,AY,1,100,-0.930
1671015036.862107,50503.667,6335,3,AY,1,100,-0.950
1671015036.902025,50542.333,6335,3,AY,1,100,-0.889
1671015036.941941,50581.000,6335,3,AY,1,100,-0.941
1671015036.981686,50619.500,6353,2,AY,1,100,-0.853
1671015037.021431,50658.000,6353,2,AY,1,100,-0.895
1671015037.065822,50701.000,6374,3,AY,1,100,-0.878
1671015037.110212,50744.000,6374,3,AY,1,100,-0.889
1671015037.154603,50787.000,6374,3,AY,1,100,-0.897
1671015037.194864,50826.000,6391,2,AY,1,100,-0.895
1671015037.235125,50865.000,6391,2,AY,1,100,-0.893
1671015037.274354,50903.000,6405,3,AY,1,100,-0.905
1671015037.313583,50941.000,6405,3,AY,1,100,-0.892
1671015037.352812,50979.000,6405,3,AY,1,100,-0.891
1671015037.392729,51017.667,6423,3,AY,1,100,-0.872
1671015037.432646,51056.333,6423,3,AY,1,100,-0.885
1671015037.472563,51095.000,6423,3,AY,1,100,-0.886
1671015037.511791,51133.000,6439,2,AY,1,100,-0.879
1671015037.551020,51171.000,6439,2,AY,1,100,-0.887
1671015037.591970,51210.667,6459,3,AY,1,100,-0.882
1671015037.632919,51250.333,6459,3,AY,1,100,-0.906
1671015037.673868,51290.000,6459,3,AY,1,100,-0.892
1671015037.713785,51328.667,6478,3,AY,1,100,-0.878
1671015037.753702,51367.333,6478,3,AY,1,100,-0.888
1671015037.793619,51406.000,6478,3,AY,1,100,-0.902
1671015037.833881,51445.000,6493,2,AY,1,100,-0.884
