LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1671015035.447117,49133.000,6091,6,AZ,1,100,0.583
1671015035.447117,49133.000,6091,6,AZ,1,100,0.579
1671015035.447117,49133.000,6091,6,AZ,1,100,0.583
1671015035.447117,49133.000,6091,6,AZ,1,100,0.584
1671015035.447117,49133.000,6091,6,AZ,1,100,0.584
1671015035.447117,49133.000,6091,6,AZ,1,100,0.583
1671015035.487034,49171.667,6108,3,AZ,1,100,0.582
1671015035.526952,49210.333,6108,3,AZ,1,100,0.587
1671015035.566869,49249.000,6108,3,AZ,1,100,0.590
1671015035.606786,49287.667,6127,3,AZ,1,100,0.583
1671015035.646703,49326.333,6127,3,AZ,1,100,0.583
1671015035.686620,49365.000,6127,3,AZ,1,100,0.587
1671015035.726881,49404.000,6145,2,AZ,1,100,0.592
1671015035.767142,49443.000,6145,2,AZ,1,100,0.581
1671015035.806715,49481.333,6159,3,AZ,1,100,0.581
1671015035.846288,49519.667,6159,3,AZ,1,100,0.587
1671015035.885861,49558.000,6159,3,AZ,1,100,0.585
1671015035.926638,49597.500,6176,2,AZ,1,100,0.581
1671015035.967415,49637.000,6176,2,AZ,1,100,0.586
1671015036.011806,49680.000,6193,3,AZ,1,100,0.603
1671015036.056196,49723.000,6193,3,AZ,1,100,0.590
1671015036.100587,49766.000,6193,3,AZ,1,100,0.565
1671015036.141880,49806.000,6215,2,AZ,1,100,0.566
1671015036.183174,49846.000,6215,2,AZ,1,100,0.578
1671015036.223091,49884.667,6230,3,AZ,1,100,0.555
1671015036.263008,49923.333,6230,3,AZ,1,100,0.539
1671015036.302925,49962.000,6230,3,AZ,1,100,0.548
1671015036.342670,50000.500,6247,2,AZ,1,100,0.547
1671015036.382415,50039.000,6247,2,AZ,1,100,0.554
1671015036.421988,50077.333,6263,3,AZ,1,100,0.532
1671015036.461560,50115.667,6263,3,AZ,1,100,0.541
1671015036.501133,50154.000,6263,3,AZ,1,100,0.538
1671015036.541050,50192.667,6288,3,AZ,1,100,0.508
1671015036.580968,50231.333,6288,3,AZ,1,100,0.488
1671015036.620885,50270.000,6288,3,AZ,1,100,0.482
1671015036.660458,50308.333,6305,3,AZ,1,100,0.491
1671015036.700031,50346.667,6305,3,AZ,1,100,0.469
1671015036.739603,50385.000,6305,3,AZ,1,100,0.479
1671015036.780897,50425.000,6320,2,AZ,1,100,0.474
1671015036.822190,50465.000,6320,2,AZ,1,100,0.478
1671015036.862107,50503.667,6336,3,AZ,1,100,0.484
1671015036.902025,50542.333,6336,3,AZ,1,100,0.470
1671015036.941941,50581.000,6336,3,AZ,1,100,0.504
1671015036.981686,50619.500,6354,2,AZ,1,100,0.488
1671015037.021431,50658.000,6354,2,AZ,1,100,0.509
1671015037.065822,50701.000,6375,3,AZ,1,100,0.504
1671015037.110212,50744.000,6375,3,AZ,1,100,0.506
1671015037.154603,50787.000,6375,3,AZ,1,100,0.506
1671015037.194864,50826.000,6392,2,AZ,1,100,0.504
1671015037.235125,50865.000,6392,2,AZ,1,100,0.507
1671015037.274354,50903.000,6406,3,AZ,1,100,0.507
1671015037.313583,50941.000,6406,3,AZ,1,100,0.499
1671015037.352812,50979.000,6406,3,AZ,1,100,0.503
1671015037.392729,51017.667,6424,3,AZ,1,100,0.498
1671015037.432646,51056.333,6424,3,AZ,1,100,0.506
1671015037.472563,51095.000,6424,3,AZ,1,100,0.513
1671015037.511791,51133.000,6440,2,AZ,1,100,0.516
1671015037.551020,51171.000,6440,2,AZ,1,100,0.510
1671015037.591970,51210.667,6460,3,AZ,1,100,0.502
1671015037.632919,51250.333,6460,3,AZ,1,100,0.516
1671015037.673868,51290.000,6460,3,AZ,1,100,0.509
1671015037.713785,51328.667,6479,3,AZ,1,100,0.502
1671015037.753702,51367.333,6479,3,AZ,1,100,0.508
1671015037.793619,51406.000,6479,3,AZ,1,100,0.518
1671015037.833881,51445.000,6494,2,AZ,1,100,0.517
1671015037.874142,51484.000,6494,2,AZ,1,100,0.516
1671015037.914059,51522.667,6510,3,AZ,1,100,0.514
