LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1671015035.447117,49133.000,6092,6,GX,1,100,0.153
1671015035.447117,49133.000,6092,6,GX,1,100,0.061
1671015035.447117,49133.000,6092,6,GX,1,100,0.244
1671015035.447117,49133.000,6092,6,GX,1,100,0.153
1671015035.447117,49133.000,6092,6,GX,1,100,0.275
1671015035.447117,49133.000,6092,6,GX,1,100,-0.061
1671015035.487034,49171.667,6109,3,GX,1,100,0.122
1671015035.526952,49210.333,6109,3,GX,1,100,0.488
1671015035.566869,49249.000,6109,3,GX,1,100,-0.122
1671015035.606786,49287.667,6128,3,GX,1,100,-0.183
1671015035.646703,49326.333,6128,3,GX,1,100,0.183
1671015035.686620,49365.000,6128,3,GX,1,100,0.031
1671015035.726881,49404.000,6146,2,GX,1,100,-0.061
1671015035.767142,49443.000,6146,2,GX,1,100,-0.305
1671015035.806715,49481.333,6160,3,GX,1,100,-0.366
1671015035.846288,49519.667,6160,3,GX,1,100,-0.427
1671015035.885861,49558.000,6160,3,GX,1,100,-0.366
1671015035.926638,49597.500,6177,2,GX,1,100,-0.214
1671015035.967415,49637.000,6177,2,GX,1,100,-0.061
1671015036.011806,49680.000,6194,3,GX,1,100,-0.122
1671015036.056196,49723.000,6194,3,GX,1,100,-0.824
1671015036.100587,49766.000,6194,3,GX,1,100,-2.747
1671015036.141880,49806.000,6216,2,GX,1,100,-7.294
1671015036.183174,49846.000,6216,2,GX,1,100,-7.874
1671015036.223091,49884.667,6231,3,GX,1,100,-5.371
1671015036.263008,49923.333,6231,3,GX,1,100,-7.904
1671015036.302925,49962.000,6231,3,GX,1,100,-11.658
1671015036.342670,50000.500,6248,2,GX,1,100,-11.017
1671015036.382415,50039.000,6248,2,GX,1,100,-13.519
1671015036.421988,50077.333,6264,3,GX,1,100,-10.406
1671015036.461560,50115.667,6264,3,GX,1,100,-10.529
1671015036.501133,50154.000,6264,3,GX,1,100,-17.395
1671015036.541050,50192.667,6289,3,GX,1,100,-15.045
1671015036.580968,50231.333,6289,3,GX,1,100,-12.878
1671015036.620885,50270.000,6289,3,GX,1,100,-9.033
1671015036.660458,50308.333,6306,3,GX,1,100,-11.353
1671015036.700031,50346.667,6306,3,GX,1,100,-6.348
1671015036.739603,50385.000,6306,3,GX,1,100,-7.446
1671015036.780897,50425.000,6321,2,GX,1,100,-6.256
1671015036.822190,50465.000,6321,2,GX,1,100,-2.594
1671015036.862107,50503.667,6337,3,GX,1,100,-1.099
1671015036.902025,50542.333,6337,3,GX,1,100,5.768
1671015036.941941,50581.000,6337,3,GX,1,100,1.648
1671015036.981686,50619.500,6355,2,GX,1,100,6.409
1671015037.021431,50658.000,6355,2,GX,1,100,8.789
1671015037.065822,50701.000,6376,3,GX,1,100,3.937
1671015037.110212,50744.000,6376,3,GX,1,100,4.456
1671015037.154603,50787.000,6376,3,GX,1,100,2.655
1671015037.194864,50826.000,6393,2,GX,1,100,0.549
1671015037.235125,50865.000,6393,2,GX,1,100,2.472
1671015037.274354,50903.000,6407,3,GX,1,100,1.282
1671015037.313583,50941.000,6407,3,GX,1,100,5.280
1671015037.352812,50979.000,6407,3,GX,1,100,2.045
1671015037.392729,51017.667,6425,3,GX,1,100,1.556
1671015037.432646,51056.333,6425,3,GX,1,100,3.082
1671015037.472563,51095.000,6425,3,GX,1,100,0.732
1671015037.511791,51133.000,6441,2,GX,1,100,0.000
1671015037.551020,51171.000,6441,2,GX,1,100,-0.244
1671015037.591970,51210.667,6461,3,GX,1,100,-0.336
1671015037.632919,51250.333,6461,3,GX,1,100,-0.519
1671015037.673868,51290.000,6461,3,GX,1,100,-0.671
1671015037.713785,51328.667,6480,3,GX,1,100,2.411
1671015037.753702,51367.333,6480,3,GX,1,100,1.648
1671015037.793619,51406.000,6480,3,GX,1,100,2.075
1671015037.833881,51445.000,6495,2,GX,1,100,1.617
1671015037.874142,51484.000,6495,2,GX,1,100,1.862
1671015037.914059,51522.667,6511,3,GX,1,100,2.472
1671015037.953976,51561.333,6511,3,GX,1,100,2.838
1671015037.993893,51600.000,6511,3,GX,1,100,4.517
1671015038.033466,51638.333,6529,3,GX,1,100,4.089
1671015038.073039,51676.667,6529,3,GX,1,100,3.998
1671015038.112612,51715.000,6529,3,GX,1,100,3.723
1671015038.152357,51753.500,6550,2,GX,1,100,1.343
1671015038.192101,51792.000,6550,2,GX,1,100,0.397
1671015038.236836,51835.333,6567,3,GX,1,100,1.099
1671015038.281571,51878.667,6567,3,GX,1,100,1.343
1671015038.326305,51922.000,6567,3,GX,1,100,0.580
1671015038.367083,51961.500,6582,2,GX,1,100,1.007
1671015038.407860,52001.000,6582,2,GX,1,100,0.305
1671015038.448465,52040.333,6599,3,GX,1,100,0.824
1671015038.489070,52079.667,6599,3,GX,1,100,0.336
1671015038.529676,52119.000,6599,3,GX,1,100,0.153
1671015038.569421,52157.500,6618,2,GX,1,100,-0.427
1671015038.609166,52196.000,6618,2,GX,1,100,-0.824
1671015038.648739,52234.333,6636,3,GX,1,100,-0.824
1671015038.688312,52272.667,6636,3,GX,1,100,0.153
1671015038.727885,52311.000,6636,3,GX,1,100,-0.519
1671015038.767113,52349.000,6651,2,GX,1,100,0.641
1671015038.806342,52387.000,6651,2,GX,1,100,-0.031
1671015038.846259,52425.667,6669,3,GX,1,100,-0.092
1671015038.886176,52464.333,6669,3,GX,1,100,-0.092
1671015038.926093,52503.000,6669,3,GX,1,100,0.031
1671015038.966698,52542.333,6686,3,GX,1,100,-0.061
1671015039.007304,52581.667,6686,3,GX,1,100,0.336
1671015039.047909,52621.000,6686,3,GX,1,100,0.519
1671015039.088686,52660.500,6705,2,GX,1,100,0.641
1671015039.129464,52700.000,6705,2,GX,1,100,0.336
1671015039.169725,52739.000,6724,3,GX,1,100,-0.061
1671015039.209986,52778.000,6724,3,GX,1,100,0.732
1671015039.250247,52817.000,6724,3,GX,1,100,0.977
1671015039.289992,52855.500,6739,2,GX,1,100,0.580
1671015039.329737,52894.000,6739,2,GX,1,100,0.153
1671015039.374127,52937.000,6756,3,GX,1,100,0.854
1671015039.418518,52980.000,6756,3,GX,1,100,1.068
1671015039.462909,53023.000,6756,3,GX,1,100,0.305
1671015039.502653,53061.500,6773,2,GX,1,100,0.549
1671015039.542398,53100.000,6773,2,GX,1,100,-0.061
1671015039.581627,53138.000,6792,3,GX,1,100,-0.610
1671015039.620856,53176.000,6792,3,GX,1,100,0.458
1671015039.660085,53214.000,6792,3,GX,1,100,0.702
1671015039.700346,53253.000,6809,2,GX,1,100,0.916
1671015039.740607,53292.000,6809,2,GX,1,100,-0.397
1671015039.780524,53330.667,6824,3,GX,1,100,-1.099
1671015039.820441,53369.333,6824,3,GX,1,100,-0.366
1671015039.860358,53408.000,6824,3,GX,1,100,-0.397
1671015039.900964,53447.333,6841,3,GX,1,100,-0.336
1671015039.941569,53486.667,6841,3,GX,1,100,-0.031
1671015039.982174,53526.000,6841,3,GX,1,100,-0.458
