LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1671015035.447117,49133.000,6093,6,GY,1,100,0.000
1671015035.447117,49133.000,6093,6,GY,1,100,0.458
1671015035.447117,49133.000,6093,6,GY,1,100,0.549
1671015035.447117,49133.000,6093,6,GY,1,100,0.122
1671015035.447117,49133.000,6093,6,GY,1,100,0.000
1671015035.447117,49133.000,6093,6,GY,1,100,0.275
1671015035.487034,49171.667,6110,3,GY,1,100,0.397
1671015035.526952,49210.333,6110,3,GY,1,100,-0.183
1671015035.566869,49249.000,6110,3,GY,1,100,-0.183
1671015035.606786,49287.667,6129,3,GY,1,100,0.305
1671015035.646703,49326.333,6129,3,GY,1,100,0.305
1671015035.686620,49365.000,6129,3,GY,1,100,-0.122
1671015035.726881,49404.000,6147,2,GY,1,100,-0.122
1671015035.767142,49443.000,6147,2,GY,1,100,0.336
1671015035.806715,49481.333,6161,3,GY,1,100,0.275
1671015035.846288,49519.667,6161,3,GY,1,100,-0.092
1671015035.885861,49558.000,6161,3,GY,1,100,0.153
1671015035.926638,49597.500,6178,2,GY,1,100,0.641
1671015035.967415,49637.000,6178,2,GY,1,100,0.397
1671015036.011806,49680.000,6195,3,GY,1,100,0.488
1671015036.056196,49723.000,6195,3,GY,1,100,2.625
1671015036.100587,49766.000,6195,3,GY,1,100,4.089
1671015036.141880,49806.000,6217,2,GY,1,100,2.563
1671015036.183174,49846.000,6217,2,GY,1,100,2.228
1671015036.223091,49884.667,6232,3,GY,1,100,3.784
1671015036.263008,49923.333,6232,3,GY,1,100,2.808
1671015036.302925,49962.000,6232,3,GY,1,100,-1.099
1671015036.342670,50000.500,6249,2,GY,1,100,-2.869
1671015036.382415,50039.000,6249,2,GY,1,100,-4.456
1671015036.421988,50077.333,6265,3,GY,1,100,-5.493
1671015036.461560,50115.667,6265,3,GY,1,100,-6.378
1671015036.501133,50154.000,6265,3,GY,1,100,-6.958
1671015036.541050,50192.667,6290,3,GY,1,100,-4.791
1671015036.580968,50231.333,6290,3,GY,1,100,-2.106
1671015036.620885,50270.000,6290,3,GY,1,100,-0.275
1671015036.660458,50308.333,6307,3,GY,1,100,1.495
1671015036.700031,50346.667,6307,3,GY,1,100,3.540
1671015036.739603,50385.000,6307,3,GY,1,100,1.892
1671015036.780897,50425.000,6322,2,GY,1,100,-0.214
1671015036.822190,50465.000,6322,2,GY,1,100,-1.556
1671015036.862107,50503.667,6338,3,GY,1,100,-2.716
1671015036.902025,50542.333,6338,3,GY,1,100,-2.991
1671015036.941941,50581.000,6338,3,GY,1,100,-4.242
1671015036.981686,50619.500,6356,2,GY,1,100,-2.991
1671015037.021431,50658.000,6356,2,GY,1,100,-1.373
1671015037.065822,50701.000,6377,3,GY,1,100,-0.427
1671015037.110212,50744.000,6377,3,GY,1,100,1.007
1671015037.154603,50787.000,6377,3,GY,1,100,1.953
1671015037.194864,50826.000,6394,2,GY,1,100,2.350
1671015037.235125,50865.000,6394,2,GY,1,100,2.167
1671015037.274354,50903.000,6408,3,GY,1,100,1.984
1671015037.313583,50941.000,6408,3,GY,1,100,2.563
1671015037.352812,50979.000,6408,3,GY,1,100,2.350
1671015037.392729,51017.667,6426,3,GY,1,100,1.953
1671015037.432646,51056.333,6426,3,GY,1,100,0.793
1671015037.472563,51095.000,6426,3,GY,1,100,-0.214
1671015037.511791,51133.000,6442,2,GY,1,100,-0.092
1671015037.551020,51171.000,6442,2,GY,1,100,0.031
1671015037.591970,51210.667,6462,3,GY,1,100,0.092
1671015037.632919,51250.333,6462,3,GY,1,100,0.641
1671015037.673868,51290.000,6462,3,GY,1,100,1.343
1671015037.713785,51328.667,6481,3,GY,1,100,1.801
1671015037.753702,51367.333,6481,3,GY,1,100,0.793
1671015037.793619,51406.000,6481,3,GY,1,100,0.092
1671015037.833881,51445.000,6496,2,GY,1,100,0.610
1671015037.874142,51484.000,6496,2,GY,1,100,1.495
1671015037.914059,51522.667,6512,3,GY,1,100,1.923
1671015037.953976,51561.333,6512,3,GY,1,100,1.801
1671015037.993893,51600.000,6512,3,GY,1,100,0.977
1671015038.033466,51638.333,6530,3,GY,1,100,-0.305
1671015038.073039,51676.667,6530,3,GY,1,100,-0.061
1671015038.112612,51715.000,6530,3,GY,1,100,1.648
1671015038.152357,51753.500,6551,2,GY,1,100,2.472
1671015038.192101,51792.000,6551,2,GY,1,100,2.319
1671015038.236836,51835.333,6568,3,GY,1,100,2.167
1671015038.281571,51878.667,6568,3,GY,1,100,1.892
1671015038.326305,51922.000,6568,3,GY,1,100,1.160
1671015038.367083,51961.500,6583,2,GY,1,100,0.397
1671015038.407860,52001.000,6583,2,GY,1,100,0.092
1671015038.448465,52040.333,6600,3,GY,1,100,-0.122
1671015038.489070,52079.667,6600,3,GY,1,100,-0.427
1671015038.529676,52119.000,6600,3,GY,1,100,-0.153
1671015038.569421,52157.500,6619,2,GY,1,100,0.244
1671015038.609166,52196.000,6619,2,GY,1,100,0.244
1671015038.648739,52234.333,6637,3,GY,1,100,0.153
1671015038.688312,52272.667,6637,3,GY,1,100,0.580
1671015038.727885,52311.000,6637,3,GY,1,100,0.336
1671015038.767113,52349.000,6652,2,GY,1,100,0.061
1671015038.806342,52387.000,6652,2,GY,1,100,-0.092
1671015038.846259,52425.667,6670,3,GY,1,100,-0.153
1671015038.886176,52464.333,6670,3,GY,1,100,-0.122
1671015038.926093,52503.000,6670,3,GY,1,100,0.122
1671015038.966698,52542.333,6687,3,GY,1,100,0.122
1671015039.007304,52581.667,6687,3,GY,1,100,-0.092
1671015039.047909,52621.000,6687,3,GY,1,100,-0.092
1671015039.088686,52660.500,6706,2,GY,1,100,0.183
1671015039.129464,52700.000,6706,2,GY,1,100,0.122
1671015039.169725,52739.000,6725,3,GY,1,100,0.153
1671015039.209986,52778.000,6725,3,GY,1,100,0.275
1671015039.250247,52817.000,6725,3,GY,1,100,0.397
1671015039.289992,52855.500,6740,2,GY,1,100,0.244
