LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1671015035.447117,49133.000,6094,6,GZ,1,100,-0.580
1671015035.447117,49133.000,6094,6,GZ,1,100,-0.427
1671015035.447117,49133.000,6094,6,GZ,1,100,0.000
1671015035.447117,49133.000,6094,6,GZ,1,100,0.153
1671015035.447117,49133.000,6094,6,GZ,1,100,-0.092
1671015035.447117,49133.000,6094,6,GZ,1,100,-0.244
1671015035.487034,49171.667,6111,3,GZ,1,100,0.092
1671015035.526952,49210.333,6111,3,GZ,1,100,-0.183
1671015035.566869,49249.000,6111,3,GZ,1,100,-0.916
1671015035.606786,49287.667,6130,3,GZ,1,100,-0.580
1671015035.646703,49326.333,6130,3,GZ,1,100,-0.305
1671015035.686620,49365.000,6130,3,GZ,1,100,-0.122
1671015035.726881,49404.000,6148,2,GZ,1,100,-0.305
1671015035.767142,49443.000,6148,2,GZ,1,100,-0.244
1671015035.806715,49481.333,6162,3,GZ,1,100,-0.031
1671015035.846288,49519.667,6162,3,GZ,1,100,-0.671
1671015035.885861,49558.000,6162,3,GZ,1,100,-0.763
1671015035.926638,49597.500,6179,2,GZ,1,100,-0.092
1671015035.967415,49637.000,6179,2,GZ,1,100,-0.092
1671015036.011806,49680.000,6196,3,GZ,1,100,-0.305
1671015036.056196,49723.000,6196,3,GZ,1,100,0.153
1671015036.100587,49766.000,6196,3,GZ,1,100,0.885
1671015036.141880,49806.000,6218,2,GZ,1,100,0.916
1671015036.183174,49846.000,6218,2,GZ,1,100,1.190
1671015036.223091,49884.667,6233,3,GZ,1,100,4.333
1671015036.263008,49923.333,6233,3,GZ,1,100,7.538
1671015036.302925,49962.000,6233,3,GZ,1,100,7.568
1671015036.342670,50000.500,6250,2,GZ,1,100,6.409
1671015036.382415,50039.000,6250,2,GZ,1,100,8.881
1671015036.421988,50077.333,6266,3,GZ,1,100,9.827
1671015036.461560,50115.667,6266,3,GZ,1,100,7.996
1671015036.501133,50154.000,6266,3,GZ,1,100,4.456
1671015036.541050,50192.667,6291,3,GZ,1,100,-0.610
1671015036.580968,50231.333,6291,3,GZ,1,100,-3.754
1671015036.620885,50270.000,6291,3,GZ,1,100,-7.294
1671015036.660458,50308.333,6308,3,GZ,1,100,-9.369
1671015036.700031,50346.667,6308,3,GZ,1,100,-10.071
1671015036.739603,50385.000,6308,3,GZ,1,100,-9.552
1671015036.780897,50425.000,6323,2,GZ,1,100,-10.559
1671015036.822190,50465.000,6323,2,GZ,1,100,-8.270
1671015036.862107,50503.667,6339,3,GZ,1,100,-3.052
1671015036.902025,50542.333,6339,3,GZ,1,100,1.373
1671015036.941941,50581.000,6339,3,GZ,1,100,5.188
1671015036.981686,50619.500,6357,2,GZ,1,100,3.204
1671015037.021431,50658.000,6357,2,GZ,1,100,1.160
1671015037.065822,50701.000,6378,3,GZ,1,100,-0.214
1671015037.110212,50744.000,6378,3,GZ,1,100,-3.235
1671015037.154603,50787.000,6378,3,GZ,1,100,-4.669
1671015037.194864,50826.000,6395,2,GZ,1,100,-3.784
1671015037.235125,50865.000,6395,2,GZ,1,100,-2.319
1671015037.274354,50903.000,6409,3,GZ,1,100,-0.671
1671015037.313583,50941.000,6409,3,GZ,1,100,-0.122
1671015037.352812,50979.000,6409,3,GZ,1,100,1.465
1671015037.392729,51017.667,6427,3,GZ,1,100,1.251
1671015037.432646,51056.333,6427,3,GZ,1,100,-0.031
1671015037.472563,51095.000,6427,3,GZ,1,100,-0.549
1671015037.511791,51133.000,6443,2,GZ,1,100,-0.702
1671015037.551020,51171.000,6443,2,GZ,1,100,-0.763
1671015037.591970,51210.667,6463,3,GZ,1,100,-1.587
1671015037.632919,51250.333,6463,3,GZ,1,100,-2.472
1671015037.673868,51290.000,6463,3,GZ,1,100,-2.045
1671015037.713785,51328.667,6482,3,GZ,1,100,-1.709
1671015037.753702,51367.333,6482,3,GZ,1,100,-1.617
1671015037.793619,51406.000,6482,3,GZ,1,100,-2.686
1671015037.833881,51445.000,6497,2,GZ,1,100,-2.197
1671015037.874142,51484.000,6497,2,GZ,1,100,-1.251
1671015037.914059,51522.667,6513,3,GZ,1,100,-1.007
1671015037.953976,51561.333,6513,3,GZ,1,100,-0.702
1671015037.993893,51600.000,6513,3,GZ,1,100,-1.587
1671015038.033466,51638.333,6531,3,GZ,1,100,-1.587
1671015038.073039,51676.667,6531,3,GZ,1,100,-0.610
1671015038.112612,51715.000,6531,3,GZ,1,100,0.397
1671015038.152357,51753.500,6552,2,GZ,1,100,0.946
1671015038.192101,51792.000,6552,2,GZ,1,100,0.305
1671015038.236836,51835.333,6569,3,GZ,1,100,0.031
1671015038.281571,51878.667,6569,3,GZ,1,100,0.397
1671015038.326305,51922.000,6569,3,GZ,1,100,0.336
1671015038.367083,51961.500,6584,2,GZ,1,100,-0.488
1671015038.407860,52001.000,6584,2,GZ,1,100,-0.763
1671015038.448465,52040.333,6601,3,GZ,1,100,-1.007
1671015038.489070,52079.667,6601,3,GZ,1,100,-1.099
1671015038.529676,52119.000,6601,3,GZ,1,100,-1.434
1671015038.569421,52157.500,6620,2,GZ,1,100,-1.465
1671015038.609166,52196.000,6620,2,GZ,1,100,-1.221
1671015038.648739,52234.333,6638,3,GZ,1,100,-0.732
1671015038.688312,52272.667,6638,3,GZ,1,100,0.122
1671015038.727885,52311.000,6638,3,GZ,1,100,0.763
1671015038.767113,52349.000,6653,2,GZ,1,100,0.214
1671015038.806342,52387.000,6653,2,GZ,1,100,-0.031
1671015038.846259,52425.667,6671,3,GZ,1,100,-0.549
1671015038.886176,52464.333,6671,3,GZ,1,100,-1.038
1671015038.926093,52503.000,6671,3,GZ,1,100,-0.763
1671015038.966698,52542.333,6688,3,GZ,1,100,-0.366
1671015039.007304,52581.667,6688,3,GZ,1,100,-0.366
1671015039.047909,52621.000,6688,3,GZ,1,100,-0.336
1671015039.088686,52660.500,6707,2,GZ,1,100,-0.244
1671015039.129464,52700.000,6707,2,GZ,1,100,-0.153
1671015039.169725,52739.000,6726,3,GZ,1,100,-0.153
1671015039.209986,52778.000,6726,3,GZ,1,100,-0.214
1671015039.250247,52817.000,6726,3,GZ,1,100,0.214
1671015039.289992,52855.500,6741,2,GZ,1,100,0.549
1671015039.329737,52894.000,6741,2,GZ,1,100,0.092
1671015039.374127,52937.000,6758,3,GZ,1,100,-0.336
1671015039.418518,52980.000,6758,3,GZ,1,100,-0.122
1671015039.462909,53023.000,6758,3,GZ,1,100,0.214
1671015039.502653,53061.500,6775,2,GZ,1,100,-0.153
1671015039.542398,53100.000,6775,2,GZ,1,100,-0.549
1671015039.581627,53138.000,6794,3,GZ,1,100,-0.061
1671015039.620856,53176.000,6794,3,GZ,1,100,0.397
1671015039.660085,53214.000,6794,3,GZ,1,100,0.366
1671015039.700346,53253.000,6811,2,GZ,1,100,-0.183
1671015039.740607,53292.000,6811,2,GZ,1,100,-0.427
1671015039.780524,53330.667,6826,3,GZ,1,100,-0.641
1671015039.820441,53369.333,6826,3,GZ,1,100,-1.007
1671015039.860358,53408.000,6826,3,GZ,1,100,-0.610
1671015039.900964,53447.333,6843,3,GZ,1,100,-0.458
1671015039.941569,53486.667,6843,3,GZ,1,100,-0.458
1671015039.982174,53526.000,6843,3,GZ,1,100,-0.488
1671015040.021919,53564.500,6860,2,GZ,1,100,-0.824
1671015040.061664,53603.000,6860,2,GZ,1,100,-0.610
1671015040.101925,53642.000,6882,3,GZ,1,100,0.153
1671015040.142186,53681.000,6882,3,GZ,1,100,0.153
1671015040.182447,53720.000,6882,3,GZ,1,100,-0.031
1671015040.221676,53758.000,6896,3,GZ,1,100,-0.397
1671015040.260905,53796.000,6896,3,GZ,1,100,-0.458
1671015040.300134,53834.000,6896,3,GZ,1,100,-0.427
1671015040.339879,53872.500,6914,2,GZ,1,100,-0.214
1671015040.379624,53911.000,6914,2,GZ,1,100,0.000
1671015040.424358,53954.333,6930,3,GZ,1,100,-0.214
1671015040.469093,53997.667,6930,3,GZ,1,100,-1.038
1671015040.513828,54041.000,6930,3,GZ,1,100,-0.183
1671015040.553573,54079.500,6950,2,GZ,1,100,-0.824
1671015040.593318,54118.000,6950,2,GZ,1,100,-1.099
1671015040.633579,54157.000,6967,3,GZ,1,100,-1.007
1671015040.673840,54196.000,6967,3,GZ,1,100,-0.610
1671015040.714101,54235.000,6967,3,GZ,1,100,-0.305
1671015040.753846,54273.500,6982,2,GZ,1,100,-0.671
1671015040.793591,54312.000,6982,2,GZ,1,100,-1.587
1671015040.832476,54349.667,6998,3,GZ,1,100,-1.465
1671015040.871360,54387.333,6998,3,GZ,1,100,-1.099
1671015040.910245,54425.000,6998,3,GZ,1,100,-0.763
1671015040.950162,54463.667,7015,3,GZ,1,100,-0.702
1671015040.990079,54502.333,7015,3,GZ,1,100,-0.854
1671015041.029996,54541.000,7015,3,GZ,1,100,-0.580
1671015041.069741,54579.500,7037,2,GZ,1,100,-0.427
1671015041.109486,54618.000,7037,2,GZ,1,100,-1.068
1671015041.149403,54656.667,7054,3,GZ,1,100,-0.397
1671015041.189320,54695.333,7054,3,GZ,1,100,-0.610
1671015041.229237,54734.000,7054,3,GZ,1,100,-0.732
1671015041.269842,54773.333,7068,3,GZ,1,100,-0.488
1671015041.310448,54812.667,7068,3,GZ,1,100,-0.916
1671015041.351053,54852.000,7068,3,GZ,1,100,-0.946
1671015041.391314,54891.000,7086,2,GZ,1,100,-1.801
1671015041.431575,54930.000,7086,2,GZ,1,100,-2.289
1671015041.471492,54968.667,7102,3,GZ,1,100,-1.740
1671015041.511409,55007.333,7102,3,GZ,1,100,-0.610
1671015041.551326,55046.000,7102,3,GZ,1,100,0.336
1671015041.598298,55091.500,7122,2,GZ,1,100,0.397
1671015041.645269,55137.000,7122,2,GZ,1,100,0.000
1671015041.684842,55175.333,7137,3,GZ,1,100,-0.763
1671015041.724415,55213.667,7137,3,GZ,1,100,-0.061
1671015041.763988,55252.000,7137,3,GZ,1,100,0.397
1671015041.803905,55290.667,7159,3,GZ,1,100,-0.122
1671015041.843822,55329.333,7159,3,GZ,1,100,0.000
1671015041.883739,55368.000,7159,3,GZ,1,100,-0.885
1671015041.923484,55406.500,7175,2,GZ,1,100,-0.305
1671015041.963229,55445.000,7175,2,GZ,1,100,0.641
1671015042.002802,55483.333,7194,3,GZ,1,100,0.275
1671015042.042375,55521.667,7194,3,GZ,1,100,0.061
1671015042.081948,55560.000,7194,3,GZ,1,100,-0.214
1671015042.121865,55598.667,7214,3,GZ,1,100,-0.305
1671015042.161782,55637.333,7214,3,GZ,1,100,-0.275
1671015042.201699,55676.000,7214,3,GZ,1,100,-0.244
1671015042.240927,55714.000,7231,3,GZ,1,100,0.031
1671015042.280156,55752.000,7231,3,GZ,1,100,-0.183
1671015042.319385,55790.000,7231,3,GZ,1,100,-0.031
1671015042.359646,55829.000,7246,2,GZ,1,100,0.061
1671015042.399907,55868.000,7246,2,GZ,1,100,0.183
1671015042.439824,55906.667,7263,3,GZ,1,100,0.122
1671015042.479741,55945.333,7263,3,GZ,1,100,0.000
1671015042.519658,55984.000,7263,3,GZ,1,100,0.031
1671015042.559403,56022.500,7279,2,GZ,1,100,-0.244
1671015042.599148,56061.000,7279,2,GZ,1,100,-0.427
1671015042.639066,56099.667,7300,3,GZ,1,100,-0.031
1671015042.678982,56138.333,7300,3,GZ,1,100,0.183
1671015042.718899,56177.000,7300,3,GZ,1,100,0.092
1671015042.763634,56220.333,7316,3,GZ,1,100,0.061
1671015042.808369,56263.667,7316,3,GZ,1,100,-0.305
1671015042.853103,56307.000,7316,3,GZ,1,100,-0.305
1671015042.893364,56346.000,7331,2,GZ,1,100,0.275
1671015042.933625,56385.000,7331,2,GZ,1,100,0.336
1671015042.973543,56423.667,7348,3,GZ,1,100,0.031
1671015043.013460,56462.333,7348,3,GZ,1,100,-0.305
1671015043.053377,56501.000,7348,3,GZ,1,100,-0.183
1671015043.091573,56538.000,7367,2,GZ,1,100,-0.092
1671015043.129770,56575.000,7367,2,GZ,1,100,-0.244
1671015043.169687,56613.667,7386,3,GZ,1,100,-0.183
1671015043.209604,56652.333,7386,3,GZ,1,100,-0.122
1671015043.249521,56691.000,7386,3,GZ,1,100,-0.031
1671015043.289782,56730.000,7402,2,GZ,1,100,-0.061
1671015043.330043,56769.000,7402,2,GZ,1,100,0.275
1671015043.369960,56807.667,7418,3,GZ,1,100,0.183
1671015043.409877,56846.333,7418,3,GZ,1,100,-0.031
1671015043.449794,56885.000,7418,3,GZ,1,100,-0.153
1671015043.489711,56923.667,7435,3,GZ,1,100,-0.183
1671015043.529628,56962.333,7435,3,GZ,1,100,0.214
1671015043.569545,57001.000,7435,3,GZ,1,100,-0.031
1671015043.609290,57039.500,7454,2,GZ,1,100,-0.336
1671015043.649035,57078.000,7454,2,GZ,1,100,-0.122
1671015043.688608,57116.333,7472,3,GZ,1,100,0.031
1671015043.728181,57154.667,7472,3,GZ,1,100,0.092
1671015043.767754,57193.000,7472,3,GZ,1,100,-0.183
1671015043.807499,57231.500,7486,2,GZ,1,100,-0.244
1671015043.847244,57270.000,7486,2,GZ,1,100,0.031
1671015043.891979,57313.333,7503,3,GZ,1,100,0.153
1671015043.936713,57356.667,7503,3,GZ,1,100,-0.183
1671015043.981448,57400.000,7503,3,GZ,1,100,-0.214
1671015044.021193,57438.500,7520,2,GZ,1,100,-0.305
1671015044.060938,57477.000,7520,2,GZ,1,100,-0.732
1671015044.100511,57515.333,7542,3,GZ,1,100,-0.519
1671015044.140084,57553.667,7542,3,GZ,1,100,-0.244
1671015044.179656,57592.000,7542,3,GZ,1,100,-0.122
1671015044.219918,57631.000,7557,3,GZ,1,100,0.153
1671015044.260179,57670.000,7557,3,GZ,1,100,0.183
1671015044.300440,57709.000,7557,3,GZ,1,100,-0.183
1671015044.340185,57747.500,7574,2,GZ,1,100,-0.397
1671015044.379930,57786.000,7574,2,GZ,1,100,-0.305
1671015044.419847,57824.667,7590,3,GZ,1,100,-0.244
1671015044.459764,57863.333,7590,3,GZ,1,100,0.641
1671015044.499681,57902.000,7590,3,GZ,1,100,0.763
1671015044.538910,57940.000,7610,3,GZ,1,100,0.427
