LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1671015035.648423,49328,6115,8,LM,1,100,1397272.7630311,1397272.7630497,1397272.7899728,sync_event,
1671015036.160462,49824,6202,8,LM,1,100,1397273.2640482,1397273.2640668,1397273.2901766,sync_event,
1671015036.613658,50263,6275,8,LM,1,100,1397273.7650203,1397273.7650389,1397273.7904069,sync_event,
1671015037.113309,50747,6363,8,LM,1,100,1397274.2651542,1397274.2651631,1397274.2746993,sync_event,
1671015037.672836,51289,6447,8,LM,1,100,1397274.7658599,1397274.7658688,1397274.7752961,sync_event,
1671015038.195199,51795,6537,8,LM,1,100,1397275.2664143,1397275.2664232,1397275.2932653,sync_event,
1671015038.604004,52191,6605,8,LM,1,100,1397275.7665183,1397275.7665271,1397275.7753287,sync_event,
1671015039.213083,52781,6711,8,LM,1,100,1397276.2672922,1397276.2673183,1397276.2758870,sync_event,
1671015039.621888,53177,6779,8,LM,1,100,1397276.7682044,1397276.7682305,1397276.7760672,sync_event,
1671015040.151477,53690,6866,8,LM,1,100,1397277.2687259,1397277.2687520,1397277.2767577,sync_event,
1671015040.606738,54131,6935,8,LM,1,100,1397277.7689892,1397277.7690153,1397277.7763868,sync_event,
1671015041.107421,54616,7021,8,LM,1,100,1397278.2689684,1397278.2690222,1397278.2769951,sync_event,
1671015041.613266,55106,7106,8,LM,1,100,1397278.7693688,1397278.7694225,1397278.7774023,sync_event,
1671015042.105691,55583,7179,8,LM,1,100,1397279.2700295,1397279.2700833,1397279.2773570,sync_event,
1671015042.698253,56157,7283,8,LM,1,100,1397279.7701881,1397279.7702419,1397279.8301716,sync_event,
1671015043.206162,56649,7371,8,LM,1,100,1397280.2709760,1397280.2710239,1397280.2797519,sync_event,
1671015043.628388,57058,7439,8,LM,1,100,1397280.7719905,1397280.7720384,1397280.7787454,sync_event,
1671015044.146622,57560,7526,8,LM,1,100,1397281.2728283,1397281.2728762,1397281.2796189,sync_event,
1671015044.619432,58018,7595,8,LM,1,100,1397281.7734533,1397281.7735011,1397281.7791319,sync_event,
