LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1671015035.473958,49159.000,6084,3,PG,1,100,14970
1671015035.473958,49159.000,6084,3,PG,1,100,14974
1671015035.473958,49159.000,6084,3,PG,1,100,14975
1671015035.513703,49197.500,6101,2,PG,1,100,14981
1671015035.553448,49236.000,6101,2,PG,1,100,14984
1671015035.593365,49274.667,6120,3,PG,1,100,14979
1671015035.633282,49313.333,6120,3,PG,1,100,14973
1671015035.673199,49352.000,6120,3,PG,1,100,14984
1671015035.713460,49391.000,6138,2,PG,1,100,14975
1671015035.753721,49430.000,6138,2,PG,1,100,14982
1671015035.792950,49468.000,6154,3,PG,1,100,14983
1671015035.832179,49506.000,6154,3,PG,1,100,14988
1671015035.871408,49544.000,6154,3,PG,1,100,14979
1671015035.919412,49590.500,6169,2,PG,1,100,14995
1671015035.967415,49637.000,6169,2,PG,1,100,14988
1671015036.006988,49675.333,6186,3,PG,1,100,14992
1671015036.046561,49713.667,6186,3,PG,1,100,14996
1671015036.086134,49752.000,6186,3,PG,1,100,14984
1671015036.127428,49792.000,6208,2,PG,1,100,14989
1671015036.168721,49832.000,6208,2,PG,1,100,14992
1671015036.208982,49871.000,6224,3,PG,1,100,14995
1671015036.249243,49910.000,6224,3,PG,1,100,14998
1671015036.289505,49949.000,6224,3,PG,1,100,14999
1671015036.329422,49987.667,6241,3,PG,1,100,15000
1671015036.369339,50026.333,6241,3,PG,1,100,14994
1671015036.409256,50065.000,6241,3,PG,1,100,14991
1671015036.448484,50103.000,6256,2,PG,1,100,14984
1671015036.487713,50141.000,6256,2,PG,1,100,14995
1671015036.527630,50179.667,6281,3,PG,1,100,14992
1671015036.567547,50218.333,6281,3,PG,1,100,14985
1671015036.607464,50257.000,6281,3,PG,1,100,14984
1671015036.646693,50295.000,6298,3,PG,1,100,14986
1671015036.685922,50333.000,6298,3,PG,1,100,14979
1671015036.725151,50371.000,6298,3,PG,1,100,14986
