LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1671015035.473958,49159.000,6082,3,PI,1,100,150278
1671015035.473958,49159.000,6082,3,PI,1,100,150281
1671015035.473958,49159.000,6082,3,PI,1,100,150286
1671015035.513703,49197.500,6099,2,PI,1,100,150281
1671015035.553448,49236.000,6099,2,PI,1,100,150300
1671015035.593365,49274.667,6118,3,PI,1,100,150293
1671015035.633282,49313.333,6118,3,PI,1,100,150291
1671015035.673199,49352.000,6118,3,PI,1,100,150287
1671015035.713460,49391.000,6136,2,PI,1,100,150290
1671015035.753721,49430.000,6136,2,PI,1,100,150299
1671015035.792950,49468.000,6152,3,PI,1,100,150303
1671015035.832179,49506.000,6152,3,PI,1,100,150292
1671015035.871408,49544.000,6152,3,PI,1,100,150311
1671015035.919412,49590.500,6167,2,PI,1,100,150321
1671015035.967415,49637.000,6167,2,PI,1,100,150312
1671015036.006988,49675.333,6184,3,PI,1,100,150315
1671015036.046561,49713.667,6184,3,PI,1,100,150329
1671015036.086134,49752.000,6184,3,PI,1,100,150347
1671015036.127428,49792.000,6206,2,PI,1,100,150320
1671015036.168721,49832.000,6206,2,PI,1,100,150305
1671015036.208982,49871.000,6222,3,PI,1,100,150302
1671015036.249243,49910.000,6222,3,PI,1,100,150283
1671015036.289505,49949.000,6222,3,PI,1,100,150257
1671015036.329422,49987.667,6239,3,PI,1,100,150231
1671015036.369339,50026.333,6239,3,PI,1,100,150221
1671015036.409256,50065.000,6239,3,PI,1,100,150201
1671015036.448484,50103.000,6254,2,PI,1,100,150206
1671015036.487713,50141.000,6254,2,PI,1,100,150224
1671015036.527630,50179.667,6279,3,PI,1,100,150229
1671015036.567547,50218.333,6279,3,PI,1,100,150269
1671015036.607464,50257.000,6279,3,PI,1,100,150294
1671015036.646693,50295.000,6296,3,PI,1,100,150302
1671015036.685922,50333.000,6296,3,PI,1,100,150294
1671015036.725151,50371.000,6296,3,PI,1,100,150286
1671015036.766444,50411.000,6313,2,PI,1,100,150240
1671015036.807738,50451.000,6313,2,PI,1,100,150228
1671015036.847999,50490.000,6327,3,PI,1,100,150218
1671015036.888260,50529.000,6327,3,PI,1,100,150214
1671015036.928521,50568.000,6327,3,PI,1,100,150180
1671015036.968438,50606.667,6345,3,PI,1,100,150129
1671015037.008355,50645.333,6345,3,PI,1,100,150105
1671015037.048272,50684.000,6345,3,PI,1,100,150093
1671015037.088017,50722.500,6366,2,PI,1,100,150087
1671015037.127762,50761.000,6366,2,PI,1,100,150073
1671015037.168023,50800.000,6383,3,PI,1,100,150068
1671015037.208284,50839.000,6383,3,PI,1,100,150080
1671015037.248546,50878.000,6383,3,PI,1,100,150059
1671015037.287258,50915.500,6399,2,PI,1,100,150060
1671015037.325971,50953.000,6399,2,PI,1,100,150072
1671015037.365544,50991.333,6415,3,PI,1,100,150092
1671015037.405117,51029.667,6415,3,PI,1,100,150085
1671015037.444690,51068.000,6415,3,PI,1,100,150082
1671015037.484607,51106.667,6431,3,PI,1,100,150101
1671015037.524524,51145.333,6431,3,PI,1,100,150125
1671015037.564441,51184.000,6431,3,PI,1,100,150129
1671015037.611928,51230.000,6451,2,PI,1,100,150132
1671015037.659416,51276.000,6451,2,PI,1,100,150141
