LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1671015035.473958,49159.000,6083,3,PR,1,100,149388
1671015035.473958,49159.000,6083,3,PR,1,100,149381
1671015035.473958,49159.000,6083,3,PR,1,100,149397
1671015035.513703,49197.500,6100,2,PR,1,100,149399
1671015035.553448,49236.000,6100,2,PR,1,100,149407
1671015035.593365,49274.667,6119,3,PR,1,100,149395
1671015035.633282,49313.333,6119,3,PR,1,100,149418
1671015035.673199,49352.000,6119,3,PR,1,100,149408
1671015035.713460,49391.000,6137,2,PR,1,100,149408
1671015035.753721,49430.000,6137,2,PR,1,100,149409
1671015035.792950,49468.000,6153,3,PR,1,100,149428
1671015035.832179,49506.000,6153,3,PR,1,100,149426
1671015035.871408,49544.000,6153,3,PR,1,100,149424
1671015035.919412,49590.500,6168,2,PR,1,100,149425
1671015035.967415,49637.000,6168,2,PR,1,100,149443
1671015036.006988,49675.333,6185,3,PR,1,100,149437
1671015036.046561,49713.667,6185,3,PR,1,100,149450
1671015036.086134,49752.000,6185,3,PR,1,100,149445
1671015036.127428,49792.000,6207,2,PR,1,100,149448
1671015036.168721,49832.000,6207,2,PR,1,100,149442
1671015036.208982,49871.000,6223,3,PR,1,100,149444
1671015036.249243,49910.000,6223,3,PR,1,100,149441
1671015036.289505,49949.000,6223,3,PR,1,100,149449
1671015036.329422,49987.667,6240,3,PR,1,100,149432
1671015036.369339,50026.333,6240,3,PR,1,100,149445
1671015036.409256,50065.000,6240,3,PR,1,100,149434
1671015036.448484,50103.000,6255,2,PR,1,100,149433
1671015036.487713,50141.000,6255,2,PR,1,100,149438
1671015036.527630,50179.667,6280,3,PR,1,100,149416
1671015036.567547,50218.333,6280,3,PR,1,100,149401
1671015036.607464,50257.000,6280,3,PR,1,100,149361
1671015036.646693,50295.000,6297,3,PR,1,100,149316
1671015036.685922,50333.000,6297,3,PR,1,100,149296
1671015036.725151,50371.000,6297,3,PR,1,100,149291
1671015036.766444,50411.000,6314,2,PR,1,100,149291
1671015036.807738,50451.000,6314,2,PR,1,100,149282
1671015036.847999,50490.000,6328,3,PR,1,100,149294
1671015036.888260,50529.000,6328,3,PR,1,100,149295
1671015036.928521,50568.000,6328,3,PR,1,100,149292
1671015036.968438,50606.667,6346,3,PR,1,100,149311
1671015037.008355,50645.333,6346,3,PR,1,100,149302
1671015037.048272,50684.000,6346,3,PR,1,100,149326
1671015037.088017,50722.500,6367,2,PR,1,100,149328
1671015037.127762,50761.000,6367,2,PR,1,100,149338
1671015037.168023,50800.000,6384,3,PR,1,100,149333
1671015037.208284,50839.000,6384,3,PR,1,100,149339
1671015037.248546,50878.000,6384,3,PR,1,100,149345
1671015037.287258,50915.500,6400,2,PR,1,100,149352
1671015037.325971,50953.000,6400,2,PR,1,100,149342
1671015037.365544,50991.333,6416,3,PR,1,100,149361
1671015037.405117,51029.667,6416,3,PR,1,100,149355
1671015037.444690,51068.000,6416,3,PR,1,100,149359
1671015037.484607,51106.667,6432,3,PR,1,100,149360
1671015037.524524,51145.333,6432,3,PR,1,100,149361
1671015037.564441,51184.000,6432,3,PR,1,100,149354
1671015037.611928,51230.000,6452,2,PR,1,100,149366
1671015037.659416,51276.000,6452,2,PR,1,100,149364
1671015037.700021,51315.333,6471,3,PR,1,100,149364
1671015037.740626,51354.667,6471,3,PR,1,100,149358
1671015037.781231,51394.000,6471,3,PR,1,100,149361
1671015037.821148,51432.667,6488,3,PR,1,100,149355
