LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1671015059.075248,72021,9977,1,SR,1,100,0.066667
1671015059.275521,72215,10011,1,SR,1,100,0.066667
1671015067.658098,80335,11455,1,SR,1,100,0.333333
1671015068.123682,80786,11549,1,SR,1,100,0.466667
1671015068.722437,81366,11639,1,SR,1,100,0.333333
1671015069.191118,81820,11657,1,SR,1,100,0.066667
1671015069.390359,82013,12058,1,SR,1,100,2.266667
1671015072.055853,84595,12338,1,SR,1,100,1.266667
1671015074.650116,87108,12589,1,SR,1,100,0.133333
1671015075.310812,87748,12693,1,SR,1,100,0.133333
1671015075.842466,88263,12922,1,SR,1,100,0.933333
1671015077.705834,90068,13200,1,SR,1,100,0.733333
1671015078.570932,90906,13260,1,SR,1,100,0.333333
1671015079.035484,91356,13318,1,SR,1,100,0.133333
1671015079.704438,92004,13422,1,SR,1,100,0.133333
1671015080.235060,92518,13579,1,SR,1,100,0.533333
1671015080.904014,93166,13615,1,SR,1,100,0.133333
1671015081.304561,93554,13686,1,SR,1,100,0.066667
1671015081.768080,94003,13775,1,SR,1,100,0.200000
1671015082.239858,94460,13830,1,SR,1,100,0.066667
1671015082.438067,94652,13863,1,SR,1,100,0.066667
1671015082.774609,94978,13933,1,SR,1,100,0.066667
1671015083.236063,95425,14008,1,SR,1,100,0.066667
1671015083.435304,95618,14137,1,SR,1,100,0.666667
1671015084.764955,96906,14291,1,SR,1,100,0.266667
1671015085.428747,97549,14378,1,SR,1,100,0.066667
1671015085.627988,97742,14433,1,SR,1,100,0.200000
1671015085.960401,98064,14469,1,SR,1,100,0.133333
1671015086.489990,98577,14593,1,SR,1,100,0.333333
1671015087.222949,99287,14767,1,SR,1,100,0.600000
1671015088.354390,100383,14891,1,SR,1,100,0.266667
1671015088.749775,100766,14946,1,SR,1,100,0.200000
1671015089.483767,101477,15089,1,SR,1,100,0.266667
1671015090.017485,101994,15143,1,SR,1,100,0.066667
1671015090.215694,102186,15180,1,SR,1,100,0.133333
1671015090.485134,102447,15236,1,SR,1,100,0.133333
1671015090.747348,102701,15269,1,SR,1,100,0.133333
1671015091.016788,102962,15326,1,SR,1,100,0.133333
1671015091.419399,103352,15411,1,SR,1,100,0.200000
1671015092.285530,104191,15554,1,SR,1,100,0.266667
1671015093.347805,105220,15708,1,SR,1,100,0.133333
1671015093.615180,105479,15764,1,SR,1,100,0.200000
1671015093.946560,105800,15800,1,SR,1,100,0.133333
1671015094.479246,106316,15928,1,SR,1,100,0.266667
1671015095.940003,107731,16173,1,SR,1,100,0.333333
1671015096.535661,108308,16260,1,SR,1,100,0.200000
1671015096.870139,108632,16281,1,SR,1,100,0.066667
1671015097.201519,108953,16351,1,SR,1,100,0.066667
1671015097.400760,109146,16385,1,SR,1,100,0.066667
1671015097.732140,109467,16440,1,SR,1,100,0.066667
1671015097.931381,109660,16476,1,SR,1,100,0.066667
1671015098.531169,110241,16653,1,SR,1,100,0.600000
1671015099.398332,111081,16740,1,SR,1,100,0.200000
1671015099.730745,111403,16781,1,SR,1,100,0.066667
1671015100.060060,111722,16838,1,SR,1,100,0.133333
1671015100.326403,111980,16872,1,SR,1,100,0.133333
1671015100.595843,112241,16928,1,SR,1,100,0.133333
1671015100.861154,112498,16964,1,SR,1,100,0.133333
1671015101.529076,113145,17068,1,SR,1,100,0.066667
1671015101.729349,113339,17122,1,SR,1,100,0.133333
1671015102.130928,113728,17195,1,SR,1,100,0.200000
1671015102.596512,114179,17265,1,SR,1,100,0.133333
1671015103.397606,114955,17403,1,SR,1,100,0.200000
1671015104.130565,115665,17511,1,SR,1,100,0.066667
1671015104.461945,115986,17582,1,SR,1,100,0.133333
1671015104.729321,116245,17617,1,SR,1,100,0.133333
1671015104.993599,116501,17679,1,SR,1,100,0.266667
1671015105.789531,117272,17801,1,SR,1,100,0.200000
1671015106.785736,118237,18007,1,SR,1,100,0.400000
1671015107.580635,119007,18097,1,SR,1,100,0.133333
1671015107.978085,119392,18151,1,SR,1,100,0.066667
1671015108.182488,119590,18221,1,SR,1,100,0.333333
1671015108.780211,120169,18275,1,SR,1,100,0.066667
1671015108.978420,120361,18364,1,SR,1,100,0.400000
1671015109.511106,120877,18418,1,SR,1,100,0.133333
1671015110.174898,121520,18524,1,SR,1,100,0.066667
1671015110.508343,121843,18581,1,SR,1,100,0.066667
1671015110.705519,122034,18637,1,SR,1,100,0.200000
1671015111.042061,122360,18723,1,SR,1,100,0.333333
1671015111.642882,122942,18777,1,SR,1,100,0.066667
1671015111.976326,123265,18849,1,SR,1,100,0.133333
1671015112.506948,123779,18922,1,SR,1,100,0.066667
