LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1671015035.667005,49346,6116,4,TX,1,100,1397272.7630311,1397272.7630497,
1671015036.171818,49835,6203,4,TX,1,100,1397273.2640482,1397273.2640668,
1671015036.625014,50274,6276,4,TX,1,100,1397273.7650203,1397273.7650389,
1671015037.125697,50759,6364,4,TX,1,100,1397274.2651542,1397274.2651631,
1671015037.684192,51300,6448,4,TX,1,100,1397274.7658599,1397274.7658688,
1671015038.205522,51805,6538,4,TX,1,100,1397275.2664143,1397275.2664232,
1671015038.615360,52202,6606,4,TX,1,100,1397275.7665183,1397275.7665271,
1671015039.230633,52798,6712,4,TX,1,100,1397276.2672922,1397276.2673183,
1671015039.632212,53187,6780,4,TX,1,100,1397276.7682044,1397276.7682305,
1671015040.170059,53708,6867,4,TX,1,100,1397277.2687259,1397277.2687520,
1671015040.617061,54141,6936,4,TX,1,100,1397277.7689892,1397277.7690153,
1671015041.134262,54642,7022,4,TX,1,100,1397278.2689684,1397278.2690222,
1671015041.623590,55116,7107,4,TX,1,100,1397278.7693688,1397278.7694225,
1671015042.187246,55662,7200,4,TX,1,100,1397279.2700295,1397279.2700833,
1671015042.709609,56168,7284,4,TX,1,100,1397279.7701881,1397279.7702419,
1671015043.222680,56665,7372,4,TX,1,100,1397280.2709760,1397280.2710239,
1671015043.639744,57069,7440,4,TX,1,100,1397280.7719905,1397280.7720384,
1671015044.156945,57570,7527,4,TX,1,100,1397281.2728283,1397281.2728762,
1671015044.636982,58035,7596,4,TX,1,100,1397281.7734533,1397281.7735011,
1671015045.137665,58520,7683,4,TX,1,100,1397282.2744771,1397282.2745169,
1671015045.665189,59031,7767,4,TX,1,100,1397282.7753922,1397282.7754320,
1671015046.112191,59464,7838,4,TX,1,100,1397283.2756145,1397283.2756543,
1671015046.719205,60052,7939,4,TX,1,100,1397283.7765820,1397283.7766218,
1671015047.384031,60696,8032,4,TX,1,100,1397284.2768357,1397284.2768521,
1671015047.690635,60993,8084,4,TX,1,100,1397284.7771797,1397284.7771960,
1671015048.110796,61400,8156,4,TX,1,100,1397285.2775557,1397285.2775721,
1671015048.622835,61896,8241,4,TX,1,100,1397285.7784385,1397285.7784549,
1671015049.140036,62397,8329,4,TX,1,100,1397286.2791962,1397286.2792092,
1671015049.645881,62887,8413,4,TX,1,100,1397286.7797378,1397286.7797508,
1671015050.170308,63395,8500,4,TX,1,100,1397287.2797558,1397287.2797688,
1671015050.705059,63913,8587,4,TX,1,100,1397287.7803392,1397287.7803522,
1671015051.336849,64525,8691,4,TX,1,100,1397288.2804691,1397288.2804912,
1671015051.740493,64916,8759,4,TX,1,100,1397288.7807186,1397288.7807407,
1671015052.250467,65410,8846,4,TX,1,100,1397289.2812166,1397289.2812387,
1671015052.758377,65902,8925,4,TX,1,100,1397289.7817347,1397289.7817568,
1671015053.425267,66548,9028,4,TX,1,100,1397290.2822033,1397290.2822417,
1671015053.673028,66788,9065,4,TX,1,100,1397290.7821882,1397290.7822266,
1671015054.270751,67367,9169,4,TX,1,100,1397291.2825658,1397291.2826042,
1671015054.689880,67773,9237,4,TX,1,100,1397291.7826889,1397291.7827273,
1671015055.216372,68283,9324,4,TX,1,100,1397292.2835855,1397292.2836191,
1671015055.818224,68866,9426,4,TX,1,100,1397292.7840509,1397292.7840845,
1671015056.158895,69196,9480,4,TX,1,100,1397293.2846755,1397293.2847091,
1671015056.694678,69715,9567,4,TX,1,100,1397293.7854177,1397293.7854513,
1671015057.127228,70134,9637,4,TX,1,100,1397294.2856372,1397294.2856504,
1671015057.756953,70744,9731,4,TX,1,100,1397294.7856408,1397294.7856540,
1671015058.162662,71137,9802,4,TX,1,100,1397295.2860901,1397295.2861033,
1671015058.657151,71616,9886,4,TX,1,100,1397295.7868035,1397295.7868167,
1671015059.180546,72123,9974,4,TX,1,100,1397296.2869904,1397296.2870145,
1671015059.701876,72628,10062,4,TX,1,100,1397296.7874147,1397296.7874388,
1671015060.141652,73054,10133,4,TX,1,100,1397297.2879127,1397297.2879368,
1671015060.768280,73661,10235,4,TX,1,100,1397297.7884227,1397297.7884468,
1671015061.167795,74048,10305,4,TX,1,100,1397298.2894028,1397298.2894556,
1671015061.694287,74558,10390,4,TX,1,100,1397298.7901290,1397298.7901817,
1671015062.254846,75101,10478,4,TX,1,100,1397299.2903509,1397299.2904036,
1671015062.647134,75481,10547,4,TX,1,100,1397299.7911036,1397299.7911564,
1671015063.172593,75990,10640,4,TX,1,100,1397300.2920310,1397300.2920440,
1671015063.803351,76601,10744,4,TX,1,100,1397300.7924244,1397300.7924374,
1671015064.220415,77005,10814,4,TX,1,100,1397301.2929216,1397301.2929346,
1671015064.754133,77522,10901,4,TX,1,100,1397301.7931784,1397301.7931914,
1671015065.167068,77922,10971,4,TX,1,100,1397302.2939883,1397302.2939823,
1671015065.642976,78383,11040,4,TX,1,100,1397302.7946269,1397302.7946209,
1671015066.253087,78974,11143,4,TX,1,100,1397303.2951060,1397303.2951000,
1671015066.647439,79356,11211,4,TX,1,100,1397303.7956507,1397303.7956447,
1671015067.173931,79866,11299,4,TX,1,100,1397304.2961945,1397304.2962484,
1671015067.691132,80367,11383,4,TX,1,100,1397304.7962880,1397304.7963419,
1671015068.221754,80881,11473,4,TX,1,100,1397305.2968609,1397305.2969148,
1671015068.665658,81311,11546,4,TX,1,100,1397305.7977043,1397305.7977582,
