LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1671015035.669070,49348,6117,4,TX,1,100,2022-12-14_12-50-35-608977,1397272.7939705,
1671015036.173883,49837,6204,4,TX,1,100,2022-12-14_12-50-36-108963,1397273.2939796,
1671015036.627079,50276,6277,4,TX,1,100,2022-12-14_12-50-36-608907,1397273.7939457,
1671015037.128794,50762,6365,4,TX,1,100,2022-12-14_12-50-37-092996,1397274.2780559,
1671015037.686256,51302,6449,4,TX,1,100,2022-12-14_12-50-37-593764,1397274.7788455,
1671015038.207587,51807,6539,4,TX,1,100,2022-12-14_12-50-38-111617,1397275.2967236,
1671015038.617424,52204,6607,4,TX,1,100,2022-12-14_12-50-38-594254,1397275.7793825,
1671015039.232697,52800,6713,4,TX,1,100,2022-12-14_12-50-39-094189,1397276.2793404,
1671015039.635309,53190,6781,4,TX,1,100,2022-12-14_12-50-39-594999,1397276.7801721,
1671015040.172124,53710,6868,4,TX,1,100,2022-12-14_12-50-40-095412,1397277.2806083,
1671015040.619126,54143,6937,4,TX,1,100,2022-12-14_12-50-40-594641,1397277.7798594,
1671015041.137359,54645,7023,4,TX,1,100,2022-12-14_12-50-41-095687,1397278.2809275,
1671015041.625654,55118,7108,4,TX,1,100,2022-12-14_12-50-41-596074,1397278.7813367,
1671015042.189311,55664,7201,4,TX,1,100,2022-12-14_12-50-42-095799,1397279.2810843,
1671015042.710641,56169,7285,4,TX,1,100,2022-12-14_12-50-42-648718,1397279.8340289,
1671015043.225777,56668,7373,4,TX,1,100,2022-12-14_12-50-43-097636,1397280.2829670,
1671015043.640776,57070,7441,4,TX,1,100,2022-12-14_12-50-43-596594,1397280.7819468,
1671015044.159010,57572,7528,4,TX,1,100,2022-12-14_12-50-44-097416,1397281.2827909,
1671015044.639046,58037,7597,4,TX,1,100,2022-12-14_12-50-44-597057,1397281.7824531,
1671015045.139730,58522,7684,4,TX,1,100,2022-12-14_12-50-45-098038,1397282.2834588,
1671015045.667254,59033,7768,4,TX,1,100,2022-12-14_12-50-45-597808,1397282.7832507,
1671015046.114256,59466,7839,4,TX,1,100,2022-12-14_12-50-46-099146,1397283.2846114,
1671015046.721270,60054,7940,4,TX,1,100,2022-12-14_12-50-46-619085,1397283.8045745,
1671015047.386095,60698,8033,4,TX,1,100,2022-12-14_12-50-47-099255,1397284.2847659,
1671015047.693732,60996,8085,4,TX,1,100,2022-12-14_12-50-47-599477,1397284.7850084,
1671015048.112860,61402,8157,4,TX,1,100,2022-12-14_12-50-48-099930,1397285.2854852,
1671015048.624900,61898,8242,4,TX,1,100,2022-12-14_12-50-48-599671,1397285.7852479,
1671015049.142101,62399,8330,4,TX,1,100,2022-12-14_12-50-49-100533,1397286.2861330,
1671015049.647946,62889,8414,4,TX,1,100,2022-12-14_12-50-49-601020,1397286.7866424,
1671015050.172373,63397,8501,4,TX,1,100,2022-12-14_12-50-50-117966,1397287.3036116,
1671015050.707124,63915,8588,4,TX,1,100,2022-12-14_12-50-50-606751,1397287.7924193,
1671015051.338914,64527,8692,4,TX,1,100,2022-12-14_12-50-51-171015,1397288.3567081,
1671015051.742558,64918,8760,4,TX,1,100,2022-12-14_12-50-51-618406,1397288.8041191,
1671015052.253564,65413,8847,4,TX,1,100,2022-12-14_12-50-52-118946,1397289.3046794,
1671015052.759409,65903,8926,4,TX,1,100,2022-12-14_12-50-52-619834,1397289.8055929,
1671015053.427331,66550,9029,4,TX,1,100,2022-12-14_12-50-53-119376,1397290.3051549,
1671015053.676125,66791,9066,4,TX,1,100,2022-12-14_12-50-53-619356,1397290.8051600,
1671015054.272815,67369,9170,4,TX,1,100,2022-12-14_12-50-54-145270,1397291.3310968,
1671015054.691944,67775,9238,4,TX,1,100,2022-12-14_12-50-54-604851,1397291.7906953,
1671015055.218436,68285,9325,4,TX,1,100,2022-12-14_12-50-55-104716,1397292.2905845,
1671015055.820289,68868,9427,4,TX,1,100,2022-12-14_12-50-55-604134,1397292.7900264,
1671015056.160960,69198,9481,4,TX,1,100,2022-12-14_12-50-56-104742,1397293.2906568,
1671015056.696743,69717,9568,4,TX,1,100,2022-12-14_12-50-56-605447,1397293.7913840,
1671015057.130324,70137,9638,4,TX,1,100,2022-12-14_12-50-57-103695,1397294.2896538,
1671015057.759018,70746,9732,4,TX,1,100,2022-12-14_12-50-57-632633,1397294.8186166,
1671015058.164726,71139,9803,4,TX,1,100,2022-12-14_12-50-58-122986,1397295.3089882,
1671015058.659216,71618,9887,4,TX,1,100,2022-12-14_12-50-58-622692,1397295.8087197,
1671015059.183643,72126,9975,4,TX,1,100,2022-12-14_12-50-59-123864,1397296.3099147,
1671015059.703941,72630,10063,4,TX,1,100,2022-12-14_12-50-59-624290,1397296.8103631,
1671015060.143716,73056,10134,4,TX,1,100,2022-12-14_12-51-00-122175,1397297.3082701,
1671015060.770345,73663,10236,4,TX,1,100,2022-12-14_12-51-00-625201,1397297.8113180,
1671015061.170892,74051,10306,4,TX,1,100,2022-12-14_12-51-01-124219,1397298.3103595,
1671015061.696351,74560,10391,4,TX,1,100,2022-12-14_12-51-01-613039,1397298.7992012,
1671015062.256910,75103,10479,4,TX,1,100,2022-12-14_12-51-02-177411,1397299.3635985,
1671015062.649198,75483,10548,4,TX,1,100,2022-12-14_12-51-02-625779,1397299.8119872,
1671015063.174658,75992,10641,4,TX,1,100,2022-12-14_12-51-03-124092,1397300.3103208,
1671015063.805416,76603,10745,4,TX,1,100,2022-12-14_12-51-03-626175,1397300.8124272,
1671015064.222480,77007,10815,4,TX,1,100,2022-12-14_12-51-04-126628,1397301.3129024,
1671015064.756198,77524,10902,4,TX,1,100,2022-12-14_12-51-04-626892,1397301.8131882,
1671015065.169133,77924,10972,4,TX,1,100,2022-12-14_12-51-05-128623,1397302.3149426,
1671015065.645040,78385,11041,4,TX,1,100,2022-12-14_12-51-05-628139,1397302.8144808,
1671015066.255152,78976,11144,4,TX,1,100,2022-12-14_12-51-06-148322,1397303.3346879,
1671015066.649504,79358,11212,4,TX,1,100,2022-12-14_12-51-06-628200,1397303.8145869,
1671015067.175996,79868,11300,4,TX,1,100,2022-12-14_12-51-07-128677,1397304.3150851,
