LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
637289.816466,637289.816445,1673971786.619952,3500652.000,48344,2,AK,1,100,47497
637289.816466,637289.816445,1673971786.619952,3500652.000,48344,2,AK,1,100,RD
637289.829882,637289.829861,1673971786.633368,3500665.000,48347,2,AK,1,100,48345
637289.843298,637289.843277,1673971786.646784,3500678.000,48347,2,AK,1,100,RD
637292.480077,637292.480056,1673971789.283488,3503233.000,49193,2,AK,1,100,48345
637295.116856,637295.116835,1673971791.920192,3505788.000,49193,2,AK,1,100,RD
637295.135948,637295.135927,1673971791.939284,3505806.500,49196,2,AK,1,100,49194
637295.155041,637295.155019,1673971791.958375,3505825.000,49196,2,AK,1,100,RD
637297.780467,637297.780446,1673971794.583728,3508369.000,50049,2,AK,1,100,49194
637300.405894,637300.405873,1673971797.209080,3510913.000,50049,2,AK,1,100,RD
637300.419827,637300.419805,1673971797.223011,3510926.500,50052,2,AK,1,100,50050
637300.433759,637300.433737,1673971797.236943,3510940.000,50052,2,AK,1,100,RD
637303.073118,637303.073096,1673971799.876227,3513497.500,50853,2,AK,1,100,50050
637305.712477,637305.712455,1673971802.515511,3516055.000,50853,2,AK,1,100,RD
637305.725377,637305.725355,1673971802.528411,3516067.500,50856,2,AK,1,100,50854
637305.738277,637305.738256,1673971802.541311,3516080.000,50856,2,AK,1,100,RD
637308.363188,637308.363166,1673971805.166147,3518623.500,51706,2,AK,1,100,50854
637310.988099,637310.988077,1673971807.790983,3521167.000,51706,2,AK,1,100,RD
637311.004095,637311.004073,1673971807.806979,3521182.500,51709,2,AK,1,100,51707
637311.020091,637311.020070,1673971807.822975,3521198.000,51709,2,AK,1,100,RD
637313.644486,637313.644464,1673971810.447295,3523741.000,52558,2,AK,1,100,51707
637316.268881,637316.268859,1673971813.071615,3526284.000,52558,2,AK,1,100,RD
637316.309645,637316.309624,1673971813.112378,3526323.500,52561,2,AK,1,100,52559
