LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.071
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.070
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.071
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.070
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.070
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.070
637286.281841,637286.281820,1673971783.085428,3497227.000,47768,7,AY,1,100,-0.071
637286.321057,637286.321036,1673971783.124643,3497265.000,47785,2,AY,1,100,-0.071
637286.360273,637286.360252,1673971783.163858,3497303.000,47785,2,AY,1,100,-0.071
637286.400865,637286.400844,1673971783.204449,3497342.333,47802,3,AY,1,100,-0.072
637286.441458,637286.441437,1673971783.245040,3497381.667,47802,3,AY,1,100,-0.070
637286.482050,637286.482029,1673971783.285631,3497421.000,47802,3,AY,1,100,-0.071
637286.522298,637286.522277,1673971783.325878,3497460.000,47819,3,AY,1,100,-0.069
637286.562547,637286.562526,1673971783.366126,3497499.000,47819,3,AY,1,100,-0.071
637286.602795,637286.602774,1673971783.406373,3497538.000,47819,3,AY,1,100,-0.073
637286.643043,637286.643022,1673971783.446620,3497577.000,47833,2,AY,1,100,-0.072
637286.683291,637286.683270,1673971783.486867,3497616.000,47833,2,AY,1,100,-0.070
637286.730248,637286.730227,1673971783.533822,3497661.500,47854,2,AY,1,100,-0.071
637286.777204,637286.777183,1673971783.580777,3497707.000,47854,2,AY,1,100,-0.072
637286.817108,637286.817087,1673971783.620680,3497745.667,47870,3,AY,1,100,-0.071
637286.857013,637286.856992,1673971783.660583,3497784.333,47870,3,AY,1,100,-0.072
637286.896917,637286.896896,1673971783.700486,3497823.000,47870,3,AY,1,100,-0.070
637286.936477,637286.936456,1673971783.740046,3497861.333,47887,3,AY,1,100,-0.071
637286.976038,637286.976017,1673971783.779605,3497899.667,47887,3,AY,1,100,-0.071
637287.015598,637287.015577,1673971783.819164,3497938.000,47887,3,AY,1,100,-0.071
637287.055846,637287.055825,1673971783.859411,3497977.000,47901,2,AY,1,100,-0.071
637287.096094,637287.096073,1673971783.899658,3498016.000,47901,2,AY,1,100,-0.071
637287.135999,637287.135978,1673971783.939561,3498054.667,47924,3,AY,1,100,-0.070
637287.175903,637287.175882,1673971783.979465,3498093.333,47924,3,AY,1,100,-0.072
637287.215807,637287.215786,1673971784.019368,3498132.000,47924,3,AY,1,100,-0.069
637287.256572,637287.256551,1673971784.060131,3498171.500,47940,2,AY,1,100,-0.071
637287.297336,637287.297315,1673971784.100894,3498211.000,47940,2,AY,1,100,-0.072
637287.337240,637287.337219,1673971784.140797,3498249.667,47957,3,AY,1,100,-0.071
637287.377144,637287.377123,1673971784.180700,3498288.333,47957,3,AY,1,100,-0.070
637287.417049,637287.417028,1673971784.220603,3498327.000,47957,3,AY,1,100,-0.071
637287.456953,637287.456932,1673971784.260507,3498365.667,47974,3,AY,1,100,-0.072
637287.496857,637287.496836,1673971784.300410,3498404.333,47974,3,AY,1,100,-0.070
637287.536762,637287.536741,1673971784.340313,3498443.000,47974,3,AY,1,100,-0.070
637287.576494,637287.576473,1673971784.380044,3498481.500,47989,2,AY,1,100,-0.070
637287.616226,637287.616205,1673971784.419775,3498520.000,47989,2,AY,1,100,-0.070
637287.655786,637287.655765,1673971784.459334,3498558.333,48008,3,AY,1,100,-0.070
637287.695347,637287.695326,1673971784.498893,3498596.667,48008,3,AY,1,100,-0.071
637287.734907,637287.734886,1673971784.538453,3498635.000,48008,3,AY,1,100,-0.071
637287.774639,637287.774618,1673971784.578184,3498673.500,48026,2,AY,1,100,-0.071
637287.814372,637287.814351,1673971784.617915,3498712.000,48026,2,AY,1,100,-0.071
637287.858748,637287.858727,1673971784.662290,3498755.000,48042,3,AY,1,100,-0.072
637287.903124,637287.903103,1673971784.706665,3498798.000,48042,3,AY,1,100,-0.070
637287.947501,637287.947480,1673971784.751040,3498841.000,48042,3,AY,1,100,-0.070
637287.987749,637287.987728,1673971784.791287,3498880.000,48058,2,AY,1,100,-0.071
637288.027997,637288.027976,1673971784.831534,3498919.000,48058,2,AY,1,100,-0.070
637288.067987,637288.067966,1673971784.871524,3498957.750,48075,4,AY,1,100,-0.071
637288.107978,637288.107957,1673971784.911513,3498996.500,48075,4,AY,1,100,-0.070
637288.147968,637288.147947,1673971784.951502,3499035.250,48075,4,AY,1,100,-0.070
637288.187958,637288.187937,1673971784.991491,3499074.000,48075,4,AY,1,100,-0.070
637288.226659,637288.226638,1673971785.030190,3499111.500,48095,2,AY,1,100,-0.071
637288.265359,637288.265338,1673971785.068889,3499149.000,48095,2,AY,1,100,-0.071
637288.305263,637288.305242,1673971785.108793,3499187.667,48111,3,AY,1,100,-0.070
637288.345167,637288.345146,1673971785.148696,3499226.333,48111,3,AY,1,100,-0.071
637288.385072,637288.385051,1673971785.188599,3499265.000,48111,3,AY,1,100,-0.072
637288.424288,637288.424267,1673971785.227814,3499303.000,48129,3,AY,1,100,-0.072
637288.463504,637288.463483,1673971785.267029,3499341.000,48129,3,AY,1,100,-0.073
637288.502721,637288.502700,1673971785.306244,3499379.000,48129,3,AY,1,100,-0.072
637288.542969,637288.542948,1673971785.346492,3499418.000,48145,2,AY,1,100,-0.071
637288.583217,637288.583196,1673971785.386739,3499457.000,48145,2,AY,1,100,-0.071
637288.623465,637288.623444,1673971785.426986,3499496.000,48164,3,AY,1,100,-0.071
637288.663714,637288.663693,1673971785.467233,3499535.000,48164,3,AY,1,100,-0.069
