LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
637287.088870,637287.088849,1673971783.892434,3498009.000,47910,1,B%,1,100,51
637288.086822,637288.086801,1673971784.890357,3498976.000,48084,1,B%,1,100,51
637289.083741,637289.083720,1673971785.887248,3499942.000,48240,1,B%,1,100,51
637290.077564,637290.077543,1673971786.881043,3500905.000,48398,1,B%,1,100,51
637291.074483,637291.074462,1673971787.877934,3501871.000,48556,1,B%,1,100,51
637292.073466,637292.073445,1673971788.876889,3502839.000,48726,1,B%,1,100,51
637293.072450,637293.072428,1673971789.875843,3503807.000,48883,1,B%,1,100,51
637294.071433,637294.071412,1673971790.874798,3504775.000,49053,1,B%,1,100,51
637295.075576,637295.075555,1673971791.878913,3505748.000,49216,1,B%,1,100,51
637296.077655,637296.077634,1673971792.880964,3506719.000,49355,1,B%,1,100,51
637297.075606,637297.075585,1673971793.878886,3507686.000,49528,1,B%,1,100,51
637298.072526,637298.072504,1673971794.875777,3508652.000,49683,1,B%,1,100,50
637299.066349,637299.066328,1673971795.869572,3509615.000,49838,1,B%,1,100,51
637300.060172,637300.060151,1673971796.863367,3510578.000,50011,1,B%,1,100,50
637301.061219,637301.061198,1673971797.864386,3511548.000,50173,1,B%,1,100,50
637302.059170,637302.059149,1673971798.862309,3512515.000,50329,1,B%,1,100,50
637303.062282,637303.062260,1673971799.865391,3513487.000,50483,1,B%,1,100,50
637304.059201,637304.059179,1673971800.862282,3514453.000,50642,1,B%,1,100,50
637305.066440,637305.066419,1673971801.869493,3515429.000,50767,1,B%,1,100,49
637306.063359,637306.063338,1673971802.866384,3516395.000,50912,1,B%,1,100,50
637307.062342,637307.062321,1673971803.865339,3517363.000,51085,1,B%,1,100,50
637308.058230,637308.058208,1673971804.861197,3518328.000,51240,1,B%,1,100,50
637309.053085,637309.053063,1673971805.856024,3519292.000,51412,1,B%,1,100,50
637310.050004,637310.049983,1673971806.852915,3520258.000,51565,1,B%,1,100,51
637311.046923,637311.046902,1673971807.849806,3521224.000,51729,1,B%,1,100,51
637312.047970,637312.047949,1673971808.850825,3522194.000,51884,1,B%,1,100,50
637313.044890,637313.044868,1673971809.847716,3523160.000,52056,1,B%,1,100,50
637314.044905,637314.044883,1673971810.847703,3524129.000,52211,1,B%,1,100,50
637315.048016,637315.047995,1673971811.850785,3525101.000,52384,1,B%,1,100,50
637316.044935,637316.044914,1673971812.847676,3526067.000,52538,1,B%,1,100,50
637317.040822,637317.040801,1673971813.843535,3527032.000,52684,1,B%,1,100,50
637318.034646,637318.034624,1673971814.837330,3527995.000,52841,1,B%,1,100,50
637319.033629,637319.033607,1673971815.836285,3528963.000,53014,1,B%,1,100,50
637320.027452,637320.027430,1673971816.830080,3529926.000,53169,1,B%,1,100,50
637321.028499,637321.028478,1673971817.831098,3530896.000,53342,1,B%,1,100,50
637322.028514,637322.028493,1673971818.831085,3531865.000,53485,1,B%,1,100,50
637323.025434,637323.025412,1673971819.827976,3532831.000,53658,1,B%,1,100,50
637324.028545,637324.028523,1673971820.831059,3533803.000,53813,1,B%,1,100,50
637325.028560,637325.028538,1673971821.831045,3534772.000,53986,1,B%,1,100,51
637326.022383,637326.022362,1673971822.824840,3535735.000,54140,1,B%,1,100,50
637327.019302,637327.019281,1673971823.821731,3536701.000,54288,1,B%,1,100,50
637328.017254,637328.017232,1673971824.819654,3537668.000,54458,1,B%,1,100,51
637329.014173,637329.014151,1673971825.816545,3538634.000,54615,1,B%,1,100,50
637330.011092,637330.011070,1673971826.813436,3539600.000,54770,1,B%,1,100,50
637331.016267,637331.016245,1673971827.818582,3540574.000,54943,1,B%,1,100,50
637332.015250,637332.015229,1673971828.817537,3541542.000,55097,1,B%,1,100,50
637333.013202,637333.013180,1673971829.815460,3542509.000,55261,1,B%,1,100,50
637334.014249,637334.014227,1673971830.816479,3543479.000,55431,1,B%,1,100,50
637335.009104,637335.009082,1673971831.811306,3544443.000,55586,1,B%,1,100,50
637336.008087,637336.008065,1673971832.810261,3545411.000,55758,1,B%,1,100,50
637337.002942,637337.002921,1673971833.805087,3546375.000,55913,1,B%,1,100,50
637338.000894,637338.000872,1673971834.803010,3547342.000,56076,1,B%,1,100,50
637339.000909,637339.000887,1673971835.802997,3548311.000,56231,1,B%,1,100,50
637340.000924,637340.000902,1673971836.802984,3549280.000,56402,1,B%,1,100,50
