LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
637286.253976,637286.253955,1673971783.057564,3497200.000,47764,2,EL,1,100,26466.199219
637286.253976,637286.253955,1673971783.057564,3497200.000,47764,2,EL,1,100,26466.000000
637286.322089,637286.322068,1673971783.125674,3497266.000,47781,1,EL,1,100,26466.000000
637286.388653,637286.388632,1673971783.192237,3497330.500,47798,2,EL,1,100,26466.000000
637286.455218,637286.455197,1673971783.258800,3497395.000,47798,2,EL,1,100,26466.000000
637286.522814,637286.522793,1673971783.326394,3497460.500,47815,2,EL,1,100,26466.000000
637286.590411,637286.590390,1673971783.393989,3497526.000,47815,2,EL,1,100,26466.000000
637286.656459,637286.656438,1673971783.460036,3497590.000,47831,1,EL,1,100,26466.000000
637286.723540,637286.723519,1673971783.527114,3497655.000,47850,2,EL,1,100,26466.000000
637286.790620,637286.790599,1673971783.594193,3497720.000,47850,2,EL,1,100,26466.000000
637286.857701,637286.857680,1673971783.661271,3497785.000,47866,1,EL,1,100,26466.000000
637286.923749,637286.923728,1673971783.727318,3497849.000,47883,2,EL,1,100,26466.000000
637286.989798,637286.989777,1673971783.793365,3497913.000,47883,2,EL,1,100,26466.000000
637287.055846,637287.055825,1673971783.859411,3497977.000,47899,1,EL,1,100,26466.000000
637287.121895,637287.121874,1673971783.925458,3498041.000,47920,2,EL,1,100,26466.000000
637287.187943,637287.187922,1673971783.991504,3498105.000,47920,2,EL,1,100,26465.800781
637287.257088,637287.257067,1673971784.060647,3498172.000,47936,1,EL,1,100,26465.800781
637287.324684,637287.324663,1673971784.128241,3498237.500,47953,2,EL,1,100,26466.000000
637287.392281,637287.392260,1673971784.195836,3498303.000,47953,2,EL,1,100,26466.000000
637287.458329,637287.458308,1673971784.261883,3498367.000,47970,2,EL,1,100,26466.000000
637287.524378,637287.524357,1673971784.327929,3498431.000,47970,2,EL,1,100,26466.000000
637287.589394,637287.589373,1673971784.392944,3498494.000,47987,1,EL,1,100,26466.000000
637287.655442,637287.655421,1673971784.458990,3498558.000,48004,2,EL,1,100,26466.000000
637287.721491,637287.721470,1673971784.525037,3498622.000,48004,2,EL,1,100,26466.000000
637287.787539,637287.787518,1673971784.591084,3498686.000,48022,1,EL,1,100,26466.000000
637287.854104,637287.854083,1673971784.657646,3498750.500,48038,2,EL,1,100,26466.000000
637287.920668,637287.920647,1673971784.724209,3498815.000,48038,2,EL,1,100,26465.400391
637287.987749,637287.987728,1673971784.791287,3498880.000,48055,1,EL,1,100,26465.199219
637288.054485,637288.054464,1673971784.858022,3498944.667,48071,3,EL,1,100,26465.199219
637288.121222,637288.121201,1673971784.924757,3499009.333,48071,3,EL,1,100,26465.000000
637288.187958,637288.187937,1673971784.991491,3499074.000,48071,3,EL,1,100,26465.000000
637288.251943,637288.251922,1673971785.055474,3499136.000,48093,1,EL,1,100,26465.400391
637288.318507,637288.318486,1673971785.122036,3499200.500,48107,2,EL,1,100,26465.000000
637288.385072,637288.385051,1673971785.188599,3499265.000,48107,2,EL,1,100,26465.000000
637288.451120,637288.451099,1673971785.254645,3499329.000,48125,1,EL,1,100,26465.199219
637288.517169,637288.517148,1673971785.320692,3499393.000,48141,2,EL,1,100,26465.599609
637288.583217,637288.583196,1673971785.386739,3499457.000,48141,2,EL,1,100,26465.000000
637288.648234,637288.648213,1673971785.451753,3499520.000,48161,1,EL,1,100,26465.199219
637288.716862,637288.716841,1673971785.520380,3499586.500,48177,2,EL,1,100,26465.199219
637288.785491,637288.785470,1673971785.589006,3499653.000,48177,2,EL,1,100,26465.199219
637288.852055,637288.852034,1673971785.655569,3499717.500,48193,2,EL,1,100,26465.199219
637288.918620,637288.918599,1673971785.722131,3499782.000,48193,2,EL,1,100,26465.400391
637288.985700,637288.985679,1673971785.789210,3499847.000,48209,1,EL,1,100,26465.199219
637289.051749,637289.051728,1673971785.855257,3499911.000,48227,2,EL,1,100,26465.800781
637289.117797,637289.117776,1673971785.921303,3499975.000,48227,2,EL,1,100,26466.000000
637289.183846,637289.183824,1673971785.987350,3500039.000,48248,1,EL,1,100,26466.000000
637289.250410,637289.250389,1673971786.053912,3500103.500,48263,2,EL,1,100,26466.000000
637289.316974,637289.316953,1673971786.120475,3500168.000,48263,2,EL,1,100,26465.400391
637289.384055,637289.384034,1673971786.187554,3500233.000,48279,1,EL,1,100,26465.800781
637289.450619,637289.450598,1673971786.254116,3500297.500,48297,2,EL,1,100,26465.599609
637289.517184,637289.517163,1673971786.320679,3500362.000,48297,2,EL,1,100,26466.000000
637289.583232,637289.583211,1673971786.386725,3500426.000,48313,2,EL,1,100,26466.000000
637289.649281,637289.649260,1673971786.452772,3500490.000,48313,2,EL,1,100,26465.599609
637289.713265,637289.713244,1673971786.516755,3500552.000,48333,1,EL,1,100,26465.599609
637289.780002,637289.779981,1673971786.583489,3500616.667,48353,3,EL,1,100,26466.000000
637289.846738,637289.846717,1673971786.650224,3500681.333,48353,3,EL,1,100,26466.000000
637289.913475,637289.913454,1673971786.716959,3500746.000,48353,3,EL,1,100,26466.000000
637289.979523,637289.979502,1673971786.783005,3500810.000,48370,1,EL,1,100,26466.000000
637290.046088,637290.046067,1673971786.849568,3500874.500,48385,2,EL,1,100,26465.800781
637290.112652,637290.112631,1673971786.916130,3500939.000,48385,2,EL,1,100,26465.800781
637290.178701,637290.178680,1673971786.982177,3501003.000,48407,1,EL,1,100,26466.000000
637290.245265,637290.245244,1673971787.048739,3501067.500,48423,2,EL,1,100,26465.800781
637290.311830,637290.311809,1673971787.115302,3501132.000,48423,2,EL,1,100,26466.000000
637290.378910,637290.378889,1673971787.182380,3501197.000,48441,2,EL,1,100,26466.000000
637290.445991,637290.445970,1673971787.249459,3501262.000,48441,2,EL,1,100,26466.000000
637290.511523,637290.511502,1673971787.314990,3501325.500,48457,2,EL,1,100,26465.800781
637290.577056,637290.577034,1673971787.380520,3501389.000,48457,2,EL,1,100,26466.000000
637290.643104,637290.643083,1673971787.446567,3501453.000,48474,1,EL,1,100,26466.000000
637290.708637,637290.708615,1673971787.512098,3501516.500,48492,2,EL,1,100,26466.000000
637290.774169,637290.774148,1673971787.577628,3501580.000,48492,2,EL,1,100,26466.000000
637290.842281,637290.842260,1673971787.645739,3501646.000,48509,1,EL,1,100,26466.000000
637290.908330,637290.908309,1673971787.711785,3501710.000,48525,2,EL,1,100,26466.000000
637290.974378,637290.974357,1673971787.777832,3501774.000,48525,2,EL,1,100,26466.000000
637291.040943,637291.040922,1673971787.844394,3501838.500,48543,2,EL,1,100,26466.000000
637291.107507,637291.107486,1673971787.910957,3501903.000,48543,2,EL,1,100,26466.000000
637291.172524,637291.172503,1673971787.975972,3501966.000,48564,1,EL,1,100,26466.000000
637291.239604,637291.239583,1673971788.043050,3502031.000,48579,2,EL,1,100,26466.000000
637291.306685,637291.306664,1673971788.110129,3502096.000,48579,2,EL,1,100,26466.199219
637291.373765,637291.373744,1673971788.177207,3502161.000,48595,1,EL,1,100,26466.000000
637291.440330,637291.440309,1673971788.243770,3502225.500,48613,2,EL,1,100,26466.000000
637291.506894,637291.506873,1673971788.310333,3502290.000,48613,2,EL,1,100,26466.000000
637291.572943,637291.572922,1673971788.376379,3502354.000,48629,1,EL,1,100,26466.400391
637291.638991,637291.638970,1673971788.442426,3502418.000,48647,2,EL,1,100,26466.000000
637291.705040,637291.705019,1673971788.508472,3502482.000,48647,2,EL,1,100,26466.599609
637291.771604,637291.771583,1673971788.575035,3502546.500,48664,2,EL,1,100,26466.199219
637291.838169,637291.838148,1673971788.641598,3502611.000,48664,2,EL,1,100,26466.000000
637291.907313,637291.907292,1673971788.710740,3502678.000,48681,1,EL,1,100,26466.199219
637291.974394,637291.974373,1673971788.777819,3502743.000,48697,2,EL,1,100,26466.199219
637292.041474,637292.041453,1673971788.844897,3502808.000,48697,2,EL,1,100,26466.599609
637292.107523,637292.107501,1673971788.910944,3502872.000,48715,1,EL,1,100,26466.199219
637292.174087,637292.174066,1673971788.977506,3502936.500,48734,2,EL,1,100,26466.000000
637292.240652,637292.240630,1673971789.044069,3503001.000,48734,2,EL,1,100,26466.400391
637292.306700,637292.306679,1673971789.110116,3503065.000,48751,1,EL,1,100,26466.400391
637292.373265,637292.373243,1673971789.176678,3503129.500,48768,2,EL,1,100,26466.599609
637292.439829,637292.439808,1673971789.243241,3503194.000,48768,2,EL,1,100,26466.400391
637292.506909,637292.506888,1673971789.310319,3503259.000,48785,1,EL,1,100,26466.800781
