LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
637286.171416,637286.171395,1673971782.975006,3497120.000,47756,4,EM,1,100,RS
637286.171416,637286.171395,1673971782.975006,3497120.000,47756,4,EM,1,100,RB
637286.171416,637286.171395,1673971782.975006,3497120.000,47756,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637286.171416,637286.171395,1673971782.975006,3497120.000,47756,4,EM,1,100,PS
637286.223274,637286.223253,1673971783.026863,3497170.250,47776,4,EM,1,100,RS
637286.275133,637286.275112,1673971783.078720,3497220.500,47776,4,EM,1,100,RB
637286.326991,637286.326970,1673971783.130577,3497270.750,47776,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637286.378849,637286.378828,1673971783.182433,3497321.000,47776,4,EM,1,100,PS
637286.430708,637286.430687,1673971783.234290,3497371.250,47810,4,EM,1,100,RS
637286.482566,637286.482545,1673971783.286147,3497421.500,47810,4,EM,1,100,RB
637286.534424,637286.534403,1673971783.338004,3497471.750,47810,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637286.586283,637286.586262,1673971783.389861,3497522.000,47810,4,EM,1,100,PS
637286.638141,637286.638120,1673971783.441718,3497572.250,47844,4,EM,1,100,RS
637286.690000,637286.689979,1673971783.493575,3497622.500,47844,4,EM,1,100,RB
637286.741858,637286.741837,1673971783.545432,3497672.750,47844,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637286.793716,637286.793695,1673971783.597289,3497723.000,47844,4,EM,1,100,PS
637286.845575,637286.845554,1673971783.649146,3497773.250,47878,4,EM,1,100,RS
637286.897433,637286.897412,1673971783.701002,3497823.500,47878,4,EM,1,100,RB
637286.949291,637286.949270,1673971783.752859,3497873.750,47878,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637287.001150,637287.001129,1673971783.804716,3497924.000,47878,4,EM,1,100,PS
637287.053008,637287.052987,1673971783.856573,3497974.250,47914,4,EM,1,100,RS
637287.104867,637287.104846,1673971783.908430,3498024.500,47914,4,EM,1,100,RB
637287.156725,637287.156704,1673971783.960287,3498074.750,47914,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637287.208583,637287.208562,1673971784.012144,3498125.000,47914,4,EM,1,100,PS
637287.260442,637287.260421,1673971784.064001,3498175.250,47948,4,EM,1,100,RS
637287.312300,637287.312279,1673971784.115858,3498225.500,47948,4,EM,1,100,RB
637287.364158,637287.364137,1673971784.167715,3498275.750,47948,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637287.416017,637287.415996,1673971784.219571,3498326.000,47948,4,EM,1,100,PS
637287.467875,637287.467854,1673971784.271428,3498376.250,47982,4,EM,1,100,RS
637287.519734,637287.519712,1673971784.323285,3498426.500,47982,4,EM,1,100,RB
637287.571592,637287.571571,1673971784.375142,3498476.750,47982,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637287.623450,637287.623429,1673971784.426999,3498527.000,47982,4,EM,1,100,PS
637287.675309,637287.675288,1673971784.478856,3498577.250,48016,4,EM,1,100,RS
637287.727167,637287.727146,1673971784.530713,3498627.500,48016,4,EM,1,100,RB
637287.779025,637287.779004,1673971784.582570,3498677.750,48016,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637287.830884,637287.830863,1673971784.634427,3498728.000,48016,4,EM,1,100,PS
637287.882742,637287.882721,1673971784.686284,3498778.250,48050,4,EM,1,100,RS
637287.934601,637287.934579,1673971784.738140,3498828.500,48050,4,EM,1,100,RB
637287.986459,637287.986438,1673971784.789997,3498878.750,48050,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637288.038317,637288.038296,1673971784.841854,3498929.000,48050,4,EM,1,100,PS
637288.094820,637288.094799,1673971784.898355,3498983.750,48085,4,EM,1,100,RS
637288.151322,637288.151301,1673971784.954856,3499038.500,48085,4,EM,1,100,RB
637288.207824,637288.207803,1673971785.011357,3499093.250,48085,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637288.264327,637288.264306,1673971785.067858,3499148.000,48085,4,EM,1,100,PS
637288.316185,637288.316164,1673971785.119714,3499198.250,48119,4,EM,1,100,RS
637288.368044,637288.368023,1673971785.171571,3499248.500,48119,4,EM,1,100,RB
637288.419902,637288.419881,1673971785.223428,3499298.750,48119,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637288.471760,637288.471739,1673971785.275285,3499349.000,48119,4,EM,1,100,PS
637288.523619,637288.523598,1673971785.327142,3499399.250,48153,4,EM,1,100,RS
637288.575477,637288.575456,1673971785.378999,3499449.500,48153,4,EM,1,100,RB
637288.627335,637288.627314,1673971785.430856,3499499.750,48153,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637288.679194,637288.679173,1673971785.482713,3499550.000,48153,4,EM,1,100,PS
637288.731052,637288.731031,1673971785.534570,3499600.250,48188,4,EM,1,100,RS
637288.782911,637288.782890,1673971785.586426,3499650.500,48188,4,EM,1,100,RB
637288.834769,637288.834748,1673971785.638283,3499700.750,48188,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637288.886627,637288.886606,1673971785.690140,3499751.000,48188,4,EM,1,100,PS
637288.938486,637288.938465,1673971785.741997,3499801.250,48221,4,EM,1,100,RS
637288.990344,637288.990323,1673971785.793854,3499851.500,48221,4,EM,1,100,RB
637289.042202,637289.042181,1673971785.845711,3499901.750,48221,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637289.094061,637289.094040,1673971785.897568,3499952.000,48221,4,EM,1,100,PS
637289.145919,637289.145898,1673971785.949425,3500002.250,48258,4,EM,1,100,RS
637289.197778,637289.197757,1673971786.001281,3500052.500,48258,4,EM,1,100,RB
637289.249636,637289.249615,1673971786.053138,3500102.750,48258,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637289.301494,637289.301473,1673971786.104995,3500153.000,48258,4,EM,1,100,PS
637289.353353,637289.353332,1673971786.156852,3500203.250,48291,4,EM,1,100,RS
637289.405211,637289.405190,1673971786.208709,3500253.500,48291,4,EM,1,100,RB
637289.457069,637289.457048,1673971786.260566,3500303.750,48291,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637289.508928,637289.508907,1673971786.312423,3500354.000,48291,4,EM,1,100,PS
637289.564656,637289.564635,1673971786.368150,3500408.000,48328,4,EM,1,100,RS
637289.620385,637289.620364,1673971786.423877,3500462.000,48328,4,EM,1,100,RB
637289.676113,637289.676092,1673971786.479604,3500516.000,48328,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637289.731841,637289.731820,1673971786.535330,3500570.000,48328,4,EM,1,100,PS
637289.796342,637289.796321,1673971786.599829,3500632.500,48365,4,EM,1,100,RS
637289.860842,637289.860821,1673971786.664328,3500695.000,48365,4,EM,1,100,RB
637289.925343,637289.925322,1673971786.728826,3500757.500,48365,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637289.989843,637289.989822,1673971786.793325,3500820.000,48365,4,EM,1,100,PS
637290.049700,637290.049679,1673971786.853179,3500878.000,48402,4,EM,1,100,RS
637290.109556,637290.109535,1673971786.913034,3500936.000,48402,4,EM,1,100,RB
637290.169413,637290.169392,1673971786.972889,3500994.000,48402,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637290.229269,637290.229248,1673971787.032744,3501052.000,48402,4,EM,1,100,PS
637290.291963,637290.291942,1673971787.095436,3501112.750,48435,4,EM,1,100,RS
637290.354658,637290.354637,1673971787.158129,3501173.500,48435,4,EM,1,100,RB
637290.417352,637290.417331,1673971787.220822,3501234.250,48435,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637290.480047,637290.480026,1673971787.283514,3501295.000,48435,4,EM,1,100,PS
637290.531905,637290.531884,1673971787.335371,3501345.250,48469,4,EM,1,100,RS
637290.583764,637290.583743,1673971787.387228,3501395.500,48469,4,EM,1,100,RB
637290.635622,637290.635601,1673971787.439085,3501445.750,48469,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637290.687480,637290.687459,1673971787.490942,3501496.000,48469,4,EM,1,100,PS
637290.739339,637290.739318,1673971787.542799,3501546.250,48504,4,EM,1,100,RS
637290.791197,637290.791176,1673971787.594656,3501596.500,48504,4,EM,1,100,RB
637290.843055,637290.843034,1673971787.646513,3501646.750,48504,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637290.894914,637290.894893,1673971787.698370,3501697.000,48504,4,EM,1,100,PS
637290.946772,637290.946751,1673971787.750226,3501747.250,48537,4,EM,1,100,RS
637290.998631,637290.998610,1673971787.802083,3501797.500,48537,4,EM,1,100,RB
637291.050489,637291.050468,1673971787.853940,3501847.750,48537,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637291.102347,637291.102326,1673971787.905797,3501898.000,48537,4,EM,1,100,PS
637291.154206,637291.154185,1673971787.957654,3501948.250,48574,4,EM,1,100,RS
637291.206064,637291.206043,1673971788.009511,3501998.500,48574,4,EM,1,100,RB
637291.257922,637291.257901,1673971788.061368,3502048.750,48574,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637291.309781,637291.309760,1673971788.113225,3502099.000,48574,4,EM,1,100,PS
637291.361639,637291.361618,1673971788.165082,3502149.250,48607,4,EM,1,100,RS
637291.413498,637291.413477,1673971788.216938,3502199.500,48607,4,EM,1,100,RB
637291.465356,637291.465335,1673971788.268795,3502249.750,48607,4,EM,1,100,2023-01-17_18-09-42-832110.csv
637291.517214,637291.517193,1673971788.320652,3502300.000,48607,4,EM,1,100,PS
