LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
637286.250880,637286.250859,1673971783.054468,3497197,47757,8,LM,1,100,637286.1537832,637286.1538042,637286.1601816,sync_event,
637286.762756,637286.762735,1673971783.566329,3497693,47841,8,LM,1,100,637286.6540116,637286.6540410,637286.7281191,sync_event,
637287.183815,637287.183794,1673971783.987376,3498101,47911,8,LM,1,100,637287.1548477,637287.1548771,637287.1735068,sync_event,
637287.688467,637287.688446,1673971784.492014,3498590,47997,8,LM,1,100,637287.6554714,637287.6555008,637287.6786906,sync_event,
637288.280839,637288.280818,1673971785.084369,3499164,48086,8,LM,1,100,637288.1554861,637288.1555155,637288.1734363,sync_event,
637288.691578,637288.691557,1673971785.495096,3499562,48154,8,LM,1,100,637288.6566612,637288.6566810,637288.6733011,sync_event,
637289.206550,637289.206529,1673971786.010053,3500061,48241,8,LM,1,100,637289.1567499,637289.1567697,637289.1734054,sync_event,
637289.716361,637289.716340,1673971786.519850,3500555,48325,8,LM,1,100,637289.6572597,637289.6572795,637289.6734393,sync_event,
637290.212757,637290.212736,1673971787.016232,3501036,48399,8,LM,1,100,637290.1582191,637290.1582389,637290.1740042,sync_event,
637290.761785,637290.761764,1673971787.565244,3501568,48484,8,LM,1,100,637290.6585298,637290.6585377,637290.6880386,sync_event,
637291.180780,637291.180759,1673971787.984227,3501974,48557,8,LM,1,100,637291.1593683,637291.1593761,637291.1733051,sync_event,
637291.678207,637291.678186,1673971788.481641,3502456,48639,8,LM,1,100,637291.6596710,637291.6596788,637291.6734985,sync_event,
637292.201435,637292.201414,1673971789.004854,3502963,48727,8,LM,1,100,637292.1597180,637292.1597258,637292.1733818,sync_event,
637292.785551,637292.785530,1673971789.588953,3503529,48812,8,LM,1,100,637292.6608317,637292.6608497,637292.6732892,sync_event,
637293.193194,637293.193173,1673971789.996585,3503924,48885,8,LM,1,100,637293.1607620,637293.1607800,637293.1733040,sync_event,
637293.712294,637293.712273,1673971790.515670,3504427,48969,8,LM,1,100,637293.6609736,637293.6609916,637293.6732709,sync_event,
637294.224170,637294.224149,1673971791.027531,3504923,49054,8,LM,1,100,637294.1610962,637294.1611142,637294.1902148,sync_event,
637294.753590,637294.753569,1673971791.556936,3505436,49139,8,LM,1,100,637294.6615997,637294.6616253,637294.6695211,sync_event,
637295.354218,637295.354197,1673971792.157547,3506018,49217,8,LM,1,100,637295.1623179,637295.1623435,637295.2388112,sync_event,
637295.761861,637295.761840,1673971792.565178,3506413,49286,8,LM,1,100,637295.6627826,637295.6628082,637295.6898569,sync_event,
637296.275801,637296.275779,1673971793.079103,3506911,49373,8,LM,1,100,637296.1636018,637296.1636274,637296.1900489,sync_event,
637296.706148,637296.706127,1673971793.509438,3507328,49441,8,LM,1,100,637296.6638676,637296.6638849,637296.6902974,sync_event,
637297.251048,637297.251027,1673971794.054323,3507856,49529,8,LM,1,100,637297.1640896,637297.1641069,637297.1900545,sync_event,
637297.697907,637297.697886,1673971794.501169,3508289,49597,8,LM,1,100,637297.6643390,637297.6643563,637297.6899214,sync_event,
637298.220103,637298.220081,1673971795.023350,3508795,49684,8,LM,1,100,637298.1650727,637298.1650900,637298.1904739,sync_event,
637298.726818,637298.726797,1673971795.530051,3509286,49769,8,LM,1,100,637298.6653774,637298.6653680,637298.6741440,sync_event,
637299.269654,637299.269633,1673971796.072872,3509812,49856,8,LM,1,100,637299.1664388,637299.1664294,637299.2041601,sync_event,
637299.768114,637299.768093,1673971796.571317,3510295,49941,8,LM,1,100,637299.6671617,637299.6671522,637299.6900909,sync_event,
637300.193301,637300.193280,1673971796.996492,3510707,50012,8,LM,1,100,637300.1674091,637300.1673997,637300.1900202,sync_event,
637300.697953,637300.697931,1673971797.501130,3511196,50087,8,LM,1,100,637300.6680177,637300.6680290,637300.6899423,sync_event,
637301.199508,637301.199487,1673971798.002671,3511682,50174,8,LM,1,100,637301.1690090,637301.1690203,637301.1900580,sync_event,
637301.797040,637301.797019,1673971798.600186,3512261,50259,8,LM,1,100,637301.6698662,637301.6698775,637301.6900447,sync_event,
637302.195395,637302.195374,1673971798.998530,3512647,50330,8,LM,1,100,637302.1698871,637302.1698984,637302.1898564,sync_event,
637302.703143,637302.703122,1673971799.506263,3513139,50414,8,LM,1,100,637302.6702922,637302.6703049,637302.6902303,sync_event,
637303.243915,637303.243894,1673971800.047019,3513663,50502,8,LM,1,100,637303.1706598,637303.1706725,637303.1728670,sync_event,
637303.759919,637303.759897,1673971800.563009,3514163,50586,8,LM,1,100,637303.6708417,637303.6708544,637303.7408122,sync_event,
637304.381187,637304.381166,1673971801.184259,3514765,50643,8,LM,1,100,637304.1709992,637304.1710119,637304.1899354,sync_event,
637304.730006,637304.729984,1673971801.533068,3515103,50695,8,LM,1,100,637304.6710622,637304.6710844,637304.6899546,sync_event,
637305.207825,637305.207804,1673971802.010874,3515566,50768,8,LM,1,100,637305.1715313,637305.1715535,637305.1899152,sync_event,
637305.822901,637305.822880,1673971802.625933,3516162,50857,8,LM,1,100,637305.6717517,637305.6717739,637305.6899946,sync_event,
637306.330649,637306.330628,1673971803.133666,3516654,50945,8,LM,1,100,637306.1718666,637306.1718888,637306.1899308,sync_event,
637306.707332,637306.707311,1673971803.510338,3517019,50999,8,LM,1,100,637306.6722252,637306.6722300,637306.6898872,sync_event,
637307.214048,637307.214026,1673971804.017039,3517510,51086,8,LM,1,100,637307.1724994,637307.1725042,637307.1746245,sync_event,
637307.765139,637307.765118,1673971804.568116,3518044,51171,8,LM,1,100,637307.6727414,637307.6727463,637307.7051491,sync_event,
637308.258439,637308.258418,1673971805.061401,3518522,51258,8,LM,1,100,637308.1731350,637308.1731399,637308.1899734,sync_event,
637308.779603,637308.779581,1673971805.582550,3519027,51342,8,LM,1,100,637308.6732358,637308.6732751,637308.6901259,sync_event,
637309.300767,637309.300745,1673971806.103699,3519532,51430,8,LM,1,100,637309.1736456,637309.1736848,637309.1898912,sync_event,
637309.717698,637309.717676,1673971806.520618,3519936,51498,8,LM,1,100,637309.6737527,637309.6737919,637309.6899623,sync_event,
637310.345158,637310.345137,1673971807.148061,3520544,51602,8,LM,1,100,637310.1745544,637310.1745937,637310.1900229,sync_event,
637310.698105,637310.698083,1673971807.500998,3520886,51654,8,LM,1,100,637310.6747332,637310.6747450,637310.6899340,sync_event,
637311.234749,637311.234727,1673971808.037626,3521406,51730,8,LM,1,100,637311.1752253,637311.1752371,637311.1899596,sync_event,
637311.751784,637311.751763,1673971808.554647,3521907,51814,8,LM,1,100,637311.6753839,637311.6753956,637311.6789223,sync_event,
637312.269852,637312.269831,1673971809.072700,3522409,51902,8,LM,1,100,637312.1757966,637312.1758083,637312.2399312,sync_event,
637312.778632,637312.778610,1673971809.581465,3522902,51986,8,LM,1,100,637312.6760507,637312.6760660,637312.6899398,sync_event,
637313.292571,637313.292550,1673971810.095390,3523400,52074,8,LM,1,100,637313.1768714,637313.1768867,637313.1899069,sync_event,
637313.708470,637313.708449,1673971810.511278,3523803,52142,8,LM,1,100,637313.6774002,637313.6774155,637313.6899998,sync_event,
637314.231698,637314.231677,1673971811.034491,3524310,52229,8,LM,1,100,637314.1778902,637314.1779055,637314.1898154,sync_event,
637314.751830,637314.751808,1673971811.554607,3524814,52314,8,LM,1,100,637314.6786196,637314.6786370,637314.6904590,sync_event,
637315.205913,637315.205892,1673971812.008678,3525254,52385,8,LM,1,100,637315.1790911,637315.1791086,637315.1900668,sync_event,
637315.716757,637315.716735,1673971812.519507,3525749,52469,8,LM,1,100,637315.6796765,637315.6796940,637315.6908591,sync_event,
637316.380338,637316.380316,1673971813.183069,3526392,52562,8,LM,1,100,637316.1803296,637316.1803471,637316.2078011,sync_event,
637316.810685,637316.810663,1673971813.613404,3526809,52631,8,LM,1,100,637316.6807810,637316.6807926,637316.6898871,sync_event,
637317.267864,637317.267843,1673971814.070570,3527252,52703,8,LM,1,100,637317.1812447,637317.1812564,637317.1900277,sync_event,
637317.700275,637317.700254,1673971814.502969,3527671,52771,8,LM,1,100,637317.6821671,637317.6821788,637317.6899829,sync_event,
637318.295743,637318.295722,1673971815.098420,3528248,52874,8,LM,1,100,637318.1828176,637318.1828292,637318.1896865,sync_event,
