LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
637286.253976,637286.253955,1673971783.057564,3497200.000,47762,2,PG,1,100,818
637286.253976,637286.253955,1673971783.057564,3497200.000,47762,2,PG,1,100,821
637286.293537,637286.293516,1673971783.097123,3497238.333,47779,3,PG,1,100,819
637286.333097,637286.333076,1673971783.136682,3497276.667,47779,3,PG,1,100,819
637286.372657,637286.372636,1673971783.176242,3497315.000,47779,3,PG,1,100,814
637286.413938,637286.413917,1673971783.217521,3497355.000,47796,2,PG,1,100,834
637286.455218,637286.455197,1673971783.258800,3497395.000,47796,2,PG,1,100,816
637286.495810,637286.495789,1673971783.299391,3497434.333,47813,3,PG,1,100,824
637286.536402,637286.536381,1673971783.339982,3497473.667,47813,3,PG,1,100,815
637286.576995,637286.576974,1673971783.380573,3497513.000,47813,3,PG,1,100,823
637286.623435,637286.623414,1673971783.427012,3497558.000,47829,2,PG,1,100,816
637286.669875,637286.669854,1673971783.473451,3497603.000,47829,2,PG,1,100,814
637286.710124,637286.710103,1673971783.513698,3497642.000,47848,3,PG,1,100,822
637286.750372,637286.750351,1673971783.553946,3497681.000,47848,3,PG,1,100,819
637286.790620,637286.790599,1673971783.594193,3497720.000,47848,3,PG,1,100,812
637286.830353,637286.830332,1673971783.633924,3497758.500,47864,2,PG,1,100,809
637286.870085,637286.870064,1673971783.673655,3497797.000,47864,2,PG,1,100,825
637286.909989,637286.909968,1673971783.713558,3497835.667,47881,3,PG,1,100,815
637286.949893,637286.949872,1673971783.753461,3497874.333,47881,3,PG,1,100,818
637286.989798,637286.989777,1673971783.793365,3497913.000,47881,3,PG,1,100,823
637287.029358,637287.029337,1673971783.832924,3497951.333,47897,3,PG,1,100,825
637287.068918,637287.068897,1673971783.872483,3497989.667,47897,3,PG,1,100,811
637287.108479,637287.108458,1673971783.912042,3498028.000,47897,3,PG,1,100,809
637287.148211,637287.148190,1673971783.951773,3498066.500,47918,2,PG,1,100,814
637287.187943,637287.187922,1673971783.991504,3498105.000,47918,2,PG,1,100,815
637287.228879,637287.228858,1673971784.032439,3498144.667,47934,3,PG,1,100,821
637287.269816,637287.269795,1673971784.073375,3498184.333,47934,3,PG,1,100,824
637287.310752,637287.310731,1673971784.114310,3498224.000,47934,3,PG,1,100,817
637287.351516,637287.351495,1673971784.155073,3498263.500,47951,2,PG,1,100,816
637287.392281,637287.392260,1673971784.195836,3498303.000,47951,2,PG,1,100,819
637287.431841,637287.431820,1673971784.235395,3498341.333,47968,3,PG,1,100,818
637287.471401,637287.471380,1673971784.274954,3498379.667,47968,3,PG,1,100,818
637287.510961,637287.510940,1673971784.314513,3498418.000,47968,3,PG,1,100,808
637287.550178,637287.550157,1673971784.353729,3498456.000,47985,3,PG,1,100,828
637287.589394,637287.589373,1673971784.392944,3498494.000,47985,3,PG,1,100,816
637287.628610,637287.628589,1673971784.432159,3498532.000,47985,3,PG,1,100,816
