LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
637286.181736,637286.181715,1673971782.985326,3497130.000,47765,1,T1,1,100,27.892
637286.314865,637286.314844,1673971783.118451,3497259.000,47782,1,T1,1,100,27.953
637286.447994,637286.447973,1673971783.251576,3497388.000,47799,1,T1,1,100,27.944
637286.583187,637286.583166,1673971783.386765,3497519.000,47816,1,T1,1,100,27.976
637286.717348,637286.717327,1673971783.520922,3497649.000,47851,1,T1,1,100,27.954
637286.851509,637286.851488,1673971783.655079,3497779.000,47867,1,T1,1,100,27.945
637286.983606,637286.983585,1673971783.787173,3497907.000,47884,1,T1,1,100,28.012
637287.115703,637287.115682,1673971783.919266,3498035.000,47921,1,T1,1,100,27.970
637287.249864,637287.249843,1673971784.053423,3498165.000,47937,1,T1,1,100,27.987
637287.385057,637287.385036,1673971784.188612,3498296.000,47954,1,T1,1,100,28.030
637287.517153,637287.517132,1673971784.320705,3498424.000,47971,1,T1,1,100,28.013
637287.648218,637287.648197,1673971784.451766,3498551.000,48005,1,T1,1,100,28.006
637287.781347,637287.781326,1673971784.584892,3498680.000,48023,1,T1,1,100,27.967
637287.914476,637287.914455,1673971784.718017,3498809.000,48039,1,T1,1,100,27.950
637288.047605,637288.047584,1673971784.851142,3498938.000,48056,1,T1,1,100,27.908
637288.180734,637288.180713,1673971784.984267,3499067.000,48072,1,T1,1,100,27.995
637288.311799,637288.311778,1673971785.115328,3499194.000,48108,1,T1,1,100,28.033
637288.443896,637288.443875,1673971785.247422,3499322.000,48126,1,T1,1,100,27.979
637288.575993,637288.575972,1673971785.379515,3499450.000,48142,1,T1,1,100,27.991
637288.710154,637288.710133,1673971785.513672,3499580.000,48162,1,T1,1,100,28.032
637288.845347,637288.845326,1673971785.648861,3499711.000,48194,1,T1,1,100,28.014
637288.979508,637288.979487,1673971785.783018,3499841.000,48210,1,T1,1,100,28.006
637289.111605,637289.111584,1673971785.915111,3499969.000,48228,1,T1,1,100,27.967
637289.243702,637289.243681,1673971786.047205,3500097.000,48264,1,T1,1,100,27.986
637289.376831,637289.376810,1673971786.180330,3500226.000,48280,1,T1,1,100,27.923
637289.509960,637289.509939,1673971786.313455,3500355.000,48298,1,T1,1,100,27.967
637289.642057,637289.642036,1673971786.445548,3500483.000,48314,1,T1,1,100,27.950
637289.774154,637289.774133,1673971786.577641,3500611.000,48354,2,T1,1,100,28.014
637289.906251,637289.906230,1673971786.709735,3500739.000,48354,2,T1,1,100,28.006
637290.039380,637290.039359,1673971786.842860,3500868.000,48386,1,T1,1,100,28.003
637290.172509,637290.172488,1673971786.975985,3500997.000,48408,1,T1,1,100,27.966
637290.305638,637290.305617,1673971787.109110,3501126.000,48424,1,T1,1,100,27.985
637290.438767,637290.438745,1673971787.242235,3501255.000,48442,1,T1,1,100,27.958
637290.569832,637290.569810,1673971787.373296,3501382.000,48458,1,T1,1,100,28.017
637290.702960,637290.702939,1673971787.506422,3501511.000,48493,1,T1,1,100,27.937
637290.835057,637290.835036,1673971787.638515,3501639.000,48510,1,T1,1,100,27.937
637290.967154,637290.967133,1673971787.770608,3501767.000,48526,1,T1,1,100,28.044
637291.101315,637291.101294,1673971787.904765,3501897.000,48544,1,T1,1,100,28.019
637291.233412,637291.233391,1673971788.036858,3502025.000,48580,1,T1,1,100,27.902
637291.367573,637291.367552,1673971788.171016,3502155.000,48596,1,T1,1,100,27.958
637291.499670,637291.499649,1673971788.303109,3502283.000,48614,1,T1,1,100,28.017
637291.632799,637291.632778,1673971788.436234,3502412.000,48648,1,T1,1,100,27.972
