LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
637286.262232,637286.262211,1673971783.065820,3497208,47758,4,TX,1,100,637286.1537832,637286.1538042,
637286.773076,637286.773055,1673971783.576649,3497703,47842,4,TX,1,100,637286.6540116,637286.6540410,
637287.195167,637287.195146,1673971783.998728,3498112,47912,4,TX,1,100,637287.1548477,637287.1548771,
637287.698787,637287.698766,1673971784.502333,3498600,47998,4,TX,1,100,637287.6554714,637287.6555008,
637288.291159,637288.291138,1673971785.094689,3499174,48087,4,TX,1,100,637288.1554861,637288.1555155,
637288.701898,637288.701877,1673971785.505416,3499572,48155,4,TX,1,100,637288.6566612,637288.6566810,
637289.216870,637289.216849,1673971786.020373,3500071,48242,4,TX,1,100,637289.1567499,637289.1567697,
637289.725649,637289.725628,1673971786.529138,3500564,48326,4,TX,1,100,637289.6572597,637289.6572795,
637290.224109,637290.224088,1673971787.027584,3501047,48400,4,TX,1,100,637290.1582191,637290.1582389,
637290.773137,637290.773116,1673971787.576596,3501579,48485,4,TX,1,100,637290.6585298,637290.6585377,
637291.192132,637291.192111,1673971787.995579,3501985,48558,4,TX,1,100,637291.1593683,637291.1593761,
637291.689560,637291.689538,1673971788.492993,3502467,48640,4,TX,1,100,637291.6596710,637291.6596788,
637292.211755,637292.211734,1673971789.015174,3502973,48728,4,TX,1,100,637292.1597180,637292.1597258,
637292.796904,637292.796882,1673971789.600305,3503540,48813,4,TX,1,100,637292.6608317,637292.6608497,
637293.203514,637293.203493,1673971790.006905,3503934,48886,4,TX,1,100,637293.1607620,637293.1607800,
637293.724678,637293.724657,1673971790.528054,3504439,48970,4,TX,1,100,637293.6609736,637293.6609916,
637294.235522,637294.235501,1673971791.038883,3504934,49055,4,TX,1,100,637294.1610962,637294.1611142,
637294.764942,637294.764921,1673971791.568287,3505447,49140,4,TX,1,100,637294.6615997,637294.6616253,
