LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
640313.666371,640313.666362,1673974810.353849,86498.000,11970,1,BV,1,100,3.73
640314.663200,640314.663191,1673974811.350649,87464.000,12119,1,BV,1,100,3.73
640315.656933,640315.656924,1673974812.344354,88427.000,12271,1,BV,1,100,3.73
640316.657890,640316.657881,1673974813.345281,89397.000,12441,1,BV,1,100,3.73
640317.654719,640317.654710,1673974814.342081,90363.000,12589,1,BV,1,100,3.73
640318.655676,640318.655666,1673974815.343009,91333.000,12759,1,BV,1,100,3.73
640319.657664,640319.657655,1673974816.344968,92304.000,12916,1,BV,1,100,3.73
640320.653462,640320.653452,1673974817.340737,93269.000,13083,1,BV,1,100,3.73
640321.655450,640321.655441,1673974818.342696,94240.000,13234,1,BV,1,100,3.73
640322.654343,640322.654334,1673974819.341560,95208.000,13404,1,BV,1,100,3.73
640323.649108,640323.649099,1673974820.336296,96172.000,13553,1,BV,1,100,3.73
640324.645937,640324.645928,1673974821.333096,97138.000,13728,1,BV,1,100,3.73
640325.641735,640325.641725,1673974822.328864,98103.000,13880,1,BV,1,100,3.73
640326.642691,640326.642681,1673974823.329792,99073.000,14046,1,BV,1,100,3.73
640327.639520,640327.639511,1673974824.326592,100039.000,14198,1,BV,1,100,3.73
640328.642541,640328.642531,1673974825.329583,101011.000,14368,1,BV,1,100,3.73
640329.641434,640329.641424,1673974826.328447,101979.000,14521,1,BV,1,100,3.73
640330.639295,640330.639285,1673974827.326279,102946.000,14691,1,BV,1,100,3.73
640331.637156,640331.637146,1673974828.324111,103913.000,14843,1,BV,1,100,3.73
640332.631921,640332.631911,1673974829.318847,104877.000,15010,1,BV,1,100,3.73
640333.628750,640333.628740,1673974830.315647,105843.000,15161,1,BV,1,100,3.73
640334.625579,640334.625569,1673974831.312447,106809.000,15331,1,BV,1,100,3.73
640335.621376,640335.621366,1673974832.308216,107774.000,15485,1,BV,1,100,3.73
640336.621301,640336.621291,1673974833.308111,108743.000,15655,1,BV,1,100,3.73
640337.618130,640337.618120,1673974834.304911,109709.000,15806,1,BV,1,100,3.73
640338.623215,640338.623204,1673974835.309966,110683.000,15973,1,BV,1,100,3.73
640339.620044,640339.620033,1673974836.306767,111649.000,16125,1,BV,1,100,3.72
640340.621000,640340.620990,1673974837.307694,112619.000,16300,1,BV,1,100,3.72
640341.615766,640341.615755,1673974838.302430,113583.000,16448,1,BV,1,100,3.72
640342.609499,640342.609488,1673974839.296135,114546.000,16618,1,BV,1,100,3.73
640343.607360,640343.607349,1673974840.293967,115513.000,16770,1,BV,1,100,3.73
640344.606253,640344.606242,1673974841.292830,116481.000,16937,1,BV,1,100,3.72
640345.602050,640345.602039,1673974842.288599,117446.000,17093,1,BV,1,100,3.73
640346.599911,640346.599900,1673974843.286431,118413.000,17263,1,BV,1,100,3.72
640347.602932,640347.602921,1673974844.289422,119385.000,17412,1,BV,1,100,3.72
640348.603888,640348.603877,1673974845.290349,120355.000,17582,1,BV,1,100,3.72
640349.599686,640349.599674,1673974846.286118,121320.000,17749,1,BV,1,100,3.72
640350.602706,640350.602695,1673974847.289109,122292.000,17900,1,BV,1,100,3.72
640351.596439,640351.596428,1673974848.282813,123255.000,18057,1,BV,1,100,3.72
640352.594300,640352.594289,1673974849.280645,124222.000,18227,1,BV,1,100,3.72
640353.588034,640353.588022,1673974850.274350,125185.000,18375,1,BV,1,100,3.72
640354.592086,640354.592075,1673974851.278373,126158.000,18545,1,BV,1,100,3.72
640355.589947,640355.589936,1673974852.276205,127125.000,18713,1,BV,1,100,3.72
640356.586776,640356.586765,1673974853.273005,128091.000,18869,1,BV,1,100,3.72
640357.590829,640357.590817,1673974854.277028,129064.000,19038,1,BV,1,100,3.72
640358.587658,640358.587646,1673974855.273828,130030.000,19190,1,BV,1,100,3.72
640359.583455,640359.583443,1673974856.269596,130995.000,19355,1,BV,1,100,3.72
640360.585444,640360.585432,1673974857.271556,131966.000,19509,1,BV,1,100,3.72
640361.578145,640361.578133,1673974858.264228,132928.000,19681,1,BV,1,100,3.72
640362.573942,640362.573930,1673974859.259996,133893.000,19830,1,BV,1,100,3.72
640363.572835,640363.572823,1673974860.258860,134861.000,19999,1,BV,1,100,3.72
640364.575856,640364.575844,1673974861.261852,135833.000,20154,1,BV,1,100,3.72
640365.572685,640365.572673,1673974862.258652,136799.000,20318,1,BV,1,100,3.72
640366.570546,640366.570534,1673974863.256484,137766.000,20477,1,BV,1,100,3.73
640367.572534,640367.572522,1673974864.258443,138737.000,20644,1,BV,1,100,3.72
640368.566268,640368.566255,1673974865.252147,139700.000,20794,1,BV,1,100,3.72
640369.564129,640369.564116,1673974866.249979,140667.000,20963,1,BV,1,100,3.72
640370.559926,640370.559913,1673974867.245748,141632.000,21114,1,BV,1,100,3.72
640371.554691,640371.554679,1673974868.240484,142596.000,21281,1,BV,1,100,3.72
640372.550488,640372.550476,1673974869.236252,143561.000,21438,1,BV,1,100,3.72
640373.550413,640373.550400,1673974870.236148,144530.000,21608,1,BV,1,100,3.72
640374.554466,640374.554453,1673974871.240171,145503.000,21774,1,BV,1,100,3.72
640375.552327,640375.552314,1673974872.238003,146470.000,21925,1,BV,1,100,3.72
640376.554315,640376.554302,1673974873.239962,147441.000,22095,1,BV,1,100,3.72
640377.556304,640377.556291,1673974874.241922,148412.000,22249,1,BV,1,100,3.72
640378.554165,640378.554152,1673974875.239754,149379.000,22419,1,BV,1,100,3.72
640379.546866,640379.546853,1673974876.232426,150341.000,22570,1,BV,1,100,3.72
640380.543695,640380.543682,1673974877.229226,151307.000,22737,1,BV,1,100,3.72
640381.539493,640381.539479,1673974878.224994,152272.000,22889,1,BV,1,100,3.72
640382.537353,640382.537340,1673974879.222826,153239.000,23064,1,BV,1,100,3.72
640383.537278,640383.537265,1673974880.222722,154208.000,23228,1,BV,1,100,3.72
640384.538235,640384.538222,1673974881.223650,155178.000,23380,1,BV,1,100,3.72
640385.537128,640385.537115,1673974882.222513,156146.000,23549,1,BV,1,100,3.72
640386.537053,640386.537039,1673974883.222409,157115.000,23698,1,BV,1,100,3.72
640387.534914,640387.534900,1673974884.220241,158082.000,23868,1,BV,1,100,3.72
640388.534839,640388.534825,1673974885.220137,159051.000,24008,1,BV,1,100,3.72
