LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
640313.532222,640313.532213,1673974810.219704,86368.000,11925,5,MX,1,100,57
640313.532222,640313.532213,1673974810.219704,86368.000,11925,5,MX,1,100,57
640313.532222,640313.532213,1673974810.219704,86368.000,11925,5,MX,1,100,58
640313.532222,640313.532213,1673974810.219704,86368.000,11925,5,MX,1,100,57
640313.532222,640313.532213,1673974810.219704,86368.000,11925,5,MX,1,100,57
640313.570403,640313.570394,1673974810.257884,86405.000,11944,3,MX,1,100,58
640313.608584,640313.608575,1673974810.296064,86442.000,11944,3,MX,1,100,58
640313.646764,640313.646755,1673974810.334244,86479.000,11944,3,MX,1,100,57
640313.687009,640313.687000,1673974810.374487,86518.000,11967,3,MX,1,100,57
640313.727254,640313.727245,1673974810.414731,86557.000,11967,3,MX,1,100,58
640313.767498,640313.767489,1673974810.454974,86596.000,11967,3,MX,1,100,58
640313.807399,640313.807390,1673974810.494874,86634.667,11983,3,MX,1,100,58
640313.847300,640313.847291,1673974810.534773,86673.333,11983,3,MX,1,100,57
640313.887200,640313.887191,1673974810.574672,86712.000,11983,3,MX,1,100,58
640313.926929,640313.926920,1673974810.614400,86750.500,12000,2,MX,1,100,58
640313.966658,640313.966649,1673974810.654128,86789.000,12000,2,MX,1,100,57
640314.006215,640314.006205,1673974810.693683,86827.333,12017,3,MX,1,100,58
640314.045771,640314.045762,1673974810.733239,86865.667,12017,3,MX,1,100,58
640314.085328,640314.085319,1673974810.772794,86904.000,12017,3,MX,1,100,59
640314.124885,640314.124876,1673974810.812350,86942.333,12034,3,MX,1,100,58
640314.164441,640314.164432,1673974810.851905,86980.667,12034,3,MX,1,100,58
640314.203998,640314.203989,1673974810.891461,87019.000,12034,3,MX,1,100,58
640314.244243,640314.244234,1673974810.931704,87058.000,12050,2,MX,1,100,58
640314.284487,640314.284478,1673974810.971948,87097.000,12050,2,MX,1,100,57
640314.324388,640314.324379,1673974811.011847,87135.667,12066,3,MX,1,100,57
640314.364289,640314.364280,1673974811.051747,87174.333,12066,3,MX,1,100,58
640314.404189,640314.404180,1673974811.091646,87213.000,12066,3,MX,1,100,58
640314.443918,640314.443909,1673974811.131374,87251.500,12082,2,MX,1,100,58
640314.483647,640314.483638,1673974811.171102,87290.000,12082,2,MX,1,100,57
640314.523547,640314.523538,1673974811.211001,87328.667,12099,3,MX,1,100,58
640314.563448,640314.563439,1673974811.250901,87367.333,12099,3,MX,1,100,57
640314.603349,640314.603340,1673974811.290800,87406.000,12099,3,MX,1,100,57
640314.642562,640314.642552,1673974811.330012,87444.000,12116,3,MX,1,100,58
640314.681774,640314.681765,1673974811.369223,87482.000,12116,3,MX,1,100,59
640314.720987,640314.720978,1673974811.408435,87520.000,12116,3,MX,1,100,58
640314.767939,640314.767930,1673974811.455386,87565.500,12135,2,MX,1,100,57
640314.814891,640314.814882,1673974811.502336,87611.000,12135,2,MX,1,100,57
640314.855136,640314.855127,1673974811.542580,87650.000,12149,3,MX,1,100,58
640314.895381,640314.895371,1673974811.582823,87689.000,12149,3,MX,1,100,58
640314.935625,640314.935616,1673974811.623067,87728.000,12149,3,MX,1,100,59
640314.974838,640314.974829,1673974811.662278,87766.000,12170,2,MX,1,100,58
640315.014051,640315.014042,1673974811.701490,87804.000,12170,2,MX,1,100,57
640315.053951,640315.053942,1673974811.741390,87842.667,12186,3,MX,1,100,58
640315.093852,640315.093843,1673974811.781289,87881.333,12186,3,MX,1,100,57
640315.133753,640315.133744,1673974811.821188,87920.000,12186,3,MX,1,100,58
640315.173653,640315.173644,1673974811.861088,87958.667,12203,3,MX,1,100,57
640315.213554,640315.213545,1673974811.900988,87997.333,12203,3,MX,1,100,59
640315.253455,640315.253446,1673974811.940887,88036.000,12203,3,MX,1,100,58
640315.293699,640315.293690,1673974811.981131,88075.000,12217,2,MX,1,100,58
640315.333944,640315.333935,1673974812.021374,88114.000,12217,2,MX,1,100,57
640315.373845,640315.373836,1673974812.061274,88152.667,12235,3,MX,1,100,57
640315.413745,640315.413736,1673974812.101173,88191.333,12235,3,MX,1,100,58
640315.453646,640315.453637,1673974812.141073,88230.000,12235,3,MX,1,100,57
640315.492859,640315.492850,1673974812.180284,88268.000,12251,2,MX,1,100,58
640315.532072,640315.532062,1673974812.219496,88306.000,12251,2,MX,1,100,59
640315.571628,640315.571619,1673974812.259051,88344.333,12268,3,MX,1,100,57
640315.611185,640315.611176,1673974812.298607,88382.667,12268,3,MX,1,100,57
640315.650742,640315.650733,1673974812.338162,88421.000,12268,3,MX,1,100,57
640315.690298,640315.690289,1673974812.377718,88459.333,12287,3,MX,1,100,57
