LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
640313.767498,640313.767489,1673974810.454974,86596.000,11953,1,SF,1,100,0.0000
640314.032700,640314.032691,1673974810.720168,86853.000,12003,1,SF,1,100,0.0000
640314.363945,640314.363936,1673974811.051403,87174.000,12054,1,SF,1,100,0.0000
640314.696221,640314.696212,1673974811.383670,87496.000,12102,1,SF,1,100,0.0000
640315.027466,640315.027456,1673974811.714904,87817.000,12156,1,SF,1,100,0.0000
640315.425784,640315.425775,1673974812.113212,88203.000,12221,1,SF,1,100,0.0000
640315.758061,640315.758052,1673974812.445478,88525.000,12273,1,SF,1,100,0.0000
640316.023263,640316.023254,1673974812.710673,88782.000,12322,1,SF,1,100,0.0000
640316.358635,640316.358626,1673974813.046035,89107.000,12372,1,SF,1,100,0.0000
640316.691943,640316.691934,1673974813.379333,89430.000,12424,1,SF,1,100,0.0000
640317.089230,640317.089221,1673974813.776609,89815.000,12491,1,SF,1,100,0.0000
640317.423570,640317.423561,1673974814.110939,90139.000,12539,1,SF,1,100,0.0000
640317.756878,640317.756869,1673974814.444238,90462.000,12592,1,SF,1,100,0.0000
640318.024144,640318.024135,1673974814.711496,90721.000,12643,1,SF,1,100,0.0000
640318.354357,640318.354347,1673974815.041699,91041.000,12693,1,SF,1,100,0.0000
640318.689729,640318.689720,1673974815.377061,91366.000,12742,1,SF,1,100,0.0000
640319.020973,640319.020964,1673974815.708296,91687.000,12798,1,SF,1,100,0.0000
640319.423420,640319.423410,1673974816.110731,92077.000,12867,1,SF,1,100,0.0000
640319.755696,640319.755687,1673974816.442997,92399.000,12918,1,SF,1,100,0.0000
640320.091068,640320.091059,1673974816.778360,92724.000,12967,1,SF,1,100,0.0000
640320.355238,640320.355229,1673974817.042522,92980.000,13017,1,SF,1,100,0.0000
640320.686483,640320.686473,1673974817.373757,93301.000,13066,1,SF,1,100,0.0000
640321.022887,640321.022877,1673974817.710151,93627.000,13119,1,SF,1,100,0.0000
640321.355163,640321.355154,1673974818.042418,93949.000,13170,1,SF,1,100,0.0000
640321.756578,640321.756568,1673974818.443821,94338.000,13237,1,SF,1,100,0.0000
640322.087822,640322.087813,1673974818.775055,94659.000,13285,1,SF,1,100,0.0000
640322.356120,640322.356110,1673974819.043345,94919.000,13336,1,SF,1,100,0.0000
640322.687364,640322.687355,1673974819.374580,95240.000,13387,1,SF,1,100,0.0000
640323.019641,640323.019631,1673974819.706847,95562.000,13438,1,SF,1,100,0.0000
640323.416928,640323.416918,1673974820.104122,95947.000,13504,1,SF,1,100,0.0000
640323.749204,640323.749194,1673974820.436389,96269.000,13555,1,SF,1,100,0.0000
640324.015438,640324.015428,1673974820.702615,96527.000,13607,1,SF,1,100,0.0000
640324.413757,640324.413747,1673974821.100922,96913.000,13662,1,SF,1,100,0.0000
640324.678959,640324.678949,1673974821.366117,97170.000,13711,1,SF,1,100,0.0000
640325.009171,640325.009161,1673974821.696319,97490.000,13762,1,SF,1,100,0.0000
640325.340416,640325.340406,1673974822.027554,97811.000,13812,1,SF,1,100,0.0000
640325.675788,640325.675778,1673974822.362916,98136.000,13863,1,SF,1,100,0.0000
640326.074107,640326.074097,1673974822.761224,98522.000,13930,1,SF,1,100,0.0000
640326.410511,640326.410501,1673974823.097618,98848.000,13981,1,SF,1,100,0.0000
640326.676744,640326.676735,1673974823.363844,99106.000,14029,1,SF,1,100,0.0000
640327.009021,640327.009011,1673974823.696111,99428.000,14083,1,SF,1,100,0.0000
640327.342329,640327.342319,1673974824.029409,99751.000,14133,1,SF,1,100,0.0000
640327.741680,640327.741670,1673974824.428749,100138.000,14200,1,SF,1,100,0.0000
640328.072924,640328.072914,1673974824.759983,100459.000,14249,1,SF,1,100,0.0000
640328.341222,640328.341212,1673974825.028273,100719.000,14299,1,SF,1,100,0.0000
640328.676594,640328.676584,1673974825.363636,101044.000,14351,1,SF,1,100,0.0000
640329.005775,640329.005765,1673974825.692806,101363.000,14401,1,SF,1,100,0.0000
640329.408221,640329.408211,1673974826.095241,101753.000,14466,1,SF,1,100,0.0000
640329.739466,640329.739456,1673974826.426476,102074.000,14524,1,SF,1,100,0.0000
640330.074838,640330.074828,1673974826.761838,102399.000,14575,1,SF,1,100,0.0000
640330.339008,640330.338998,1673974827.026001,102655.000,14626,1,SF,1,100,0.0000
640330.672316,640330.672306,1673974827.359299,102978.000,14674,1,SF,1,100,0.0000
640331.004592,640331.004582,1673974827.691566,103300.000,14725,1,SF,1,100,0.0000
640331.400847,640331.400837,1673974828.087810,103684.000,14791,1,SF,1,100,0.0000
640331.738283,640331.738273,1673974828.425236,104011.000,14845,1,SF,1,100,0.0000
640332.002453,640332.002443,1673974828.689398,104267.000,14894,1,SF,1,100,0.0000
640332.334730,640332.334720,1673974829.021665,104589.000,14943,1,SF,1,100,0.0000
640332.665974,640332.665964,1673974829.352900,104910.000,14993,1,SF,1,100,0.0000
640332.999282,640332.999272,1673974829.686198,105233.000,15046,1,SF,1,100,0.0000
640333.330527,640333.330517,1673974830.017433,105554.000,15097,1,SF,1,100,0.0000
640333.728846,640333.728836,1673974830.415740,105940.000,15164,1,SF,1,100,0.0000
640334.060090,640334.060080,1673974830.746975,106261.000,15212,1,SF,1,100,0.0000
640334.326324,640334.326314,1673974831.013201,106519.000,15263,1,SF,1,100,0.0000
640334.658600,640334.658590,1673974831.345468,106841.000,15314,1,SF,1,100,0.0000
640334.988813,640334.988803,1673974831.675671,107161.000,15370,1,SF,1,100,0.0000
640335.320057,640335.320047,1673974832.006905,107482.000,15420,1,SF,1,100,0.0000
640335.722504,640335.722494,1673974832.409340,107872.000,15487,1,SF,1,100,0.0000
640335.985642,640335.985632,1673974832.672471,108127.000,15539,1,SF,1,100,0.0000
640336.322046,640336.322036,1673974833.008865,108453.000,15589,1,SF,1,100,0.0000
640336.655354,640336.655344,1673974833.342163,108776.000,15638,1,SF,1,100,0.0000
640336.988663,640336.988652,1673974833.675462,109099.000,15688,1,SF,1,100,0.0000
640337.386981,640337.386971,1673974834.073769,109485.000,15753,1,SF,1,100,0.0000
640337.721322,640337.721311,1673974834.408100,109809.000,15809,1,SF,1,100,0.0000
640338.052566,640338.052556,1673974834.739335,110130.000,15857,1,SF,1,100,0.0000
640338.320864,640338.320853,1673974835.007624,110390.000,15908,1,SF,1,100,0.0000
640338.657268,640338.657257,1673974835.344018,110716.000,15956,1,SF,1,100,0.0000
640338.986448,640338.986438,1673974835.673190,111035.000,16010,1,SF,1,100,0.0000
640339.388895,640339.388884,1673974836.075624,111425.000,16075,1,SF,1,100,0.0000
640339.720139,640339.720129,1673974836.406859,111746.000,16127,1,SF,1,100,0.0000
640339.989469,640339.989458,1673974836.676181,112007.000,16176,1,SF,1,100,0.0000
640340.319682,640340.319671,1673974837.006384,112327.000,16231,1,SF,1,100,0.0000
640340.655054,640340.655043,1673974837.341746,112652.000,16283,1,SF,1,100,0.0000
640340.987330,640340.987319,1673974837.674013,112974.000,16333,1,SF,1,100,0.0000
640341.320638,640341.320628,1673974838.007311,113297.000,16384,1,SF,1,100,0.0000
640341.716893,640341.716883,1673974838.403555,113681.000,16451,1,SF,1,100,0.0000
640342.047106,640342.047095,1673974838.733758,114001.000,16502,1,SF,1,100,0.0000
640342.312308,640342.312297,1673974838.998952,114258.000,16553,1,SF,1,100,0.0000
640342.643552,640342.643541,1673974839.330187,114579.000,16601,1,SF,1,100,0.0000
640342.974797,640342.974786,1673974839.661422,114900.000,16652,1,SF,1,100,0.0000
640343.376211,640343.376200,1673974840.062824,115289.000,16717,1,SF,1,100,0.0000
640343.707456,640343.707445,1673974840.394059,115610.000,16772,1,SF,1,100,0.0000
640343.972658,640343.972647,1673974840.659254,115867.000,16821,1,SF,1,100,0.0000
640344.304934,640344.304923,1673974840.991520,116189.000,16871,1,SF,1,100,0.0000
640344.640306,640344.640295,1673974841.326883,116514.000,16920,1,SF,1,100,0.0000
640345.037593,640345.037582,1673974841.724158,116899.000,16990,1,SF,1,100,0.0000
640345.367806,640345.367795,1673974842.054361,117219.000,17038,1,SF,1,100,0.0000
640345.703178,640345.703167,1673974842.389723,117544.000,17096,1,SF,1,100,0.0000
640346.034422,640346.034411,1673974842.720958,117865.000,17144,1,SF,1,100,0.0000
640346.301688,640346.301677,1673974842.988216,118124.000,17195,1,SF,1,100,0.0000
640346.633964,640346.633953,1673974843.320483,118446.000,17246,1,SF,1,100,0.0000
640346.969336,640346.969325,1673974843.655845,118771.000,17297,1,SF,1,100,0.0000
640347.367655,640347.367644,1673974844.054152,119157.000,17362,1,SF,1,100,0.0000
640347.706123,640347.706112,1673974844.392610,119485.000,17414,1,SF,1,100,0.0000
640347.973389,640347.973378,1673974844.659868,119744.000,17466,1,SF,1,100,0.0000
640348.304633,640348.304622,1673974844.991103,120065.000,17514,1,SF,1,100,0.0000
640348.636910,640348.636898,1673974845.323370,120387.000,17565,1,SF,1,100,0.0000
640349.034197,640349.034185,1673974845.720645,120772.000,17632,1,SF,1,100,0.0000
640349.368537,640349.368526,1673974846.054976,121096.000,17680,1,SF,1,100,0.0000
640349.633739,640349.633728,1673974846.320170,121353.000,17734,1,SF,1,100,0.0000
640349.971175,640349.971163,1673974846.657596,121680.000,17784,1,SF,1,100,0.0000
640350.300355,640350.300344,1673974846.986767,121999.000,17833,1,SF,1,100,0.0000
640350.636759,640350.636748,1673974847.323161,122325.000,17883,1,SF,1,100,0.0000
640350.968004,640350.967992,1673974847.654396,122646.000,17942,1,SF,1,100,0.0000
