LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
640313.641605,640313.641596,1673974810.329084,86474.000,11937,1,TH,1,100,24.947
640313.773690,640313.773681,1673974810.461165,86602.000,11960,1,TH,1,100,24.916
640313.906807,640313.906798,1673974810.594278,86731.000,11993,1,TH,1,100,24.916
640314.039924,640314.039915,1673974810.727391,86860.000,12010,1,TH,1,100,24.913
640314.170977,640314.170968,1673974810.858441,86987.000,12027,1,TH,1,100,24.913
640314.304094,640314.304085,1673974810.991554,87116.000,12043,1,TH,1,100,25.009
640314.437211,640314.437202,1673974811.124667,87245.000,12075,1,TH,1,100,25.009
640314.569296,640314.569287,1673974811.256748,87373.000,12092,1,TH,1,100,24.983
640314.702413,640314.702404,1673974811.389861,87502.000,12109,1,TH,1,100,24.983
640314.835530,640314.835520,1673974811.522974,87631.000,12128,1,TH,1,100,24.885
640314.968646,640314.968637,1673974811.656087,87760.000,12163,1,TH,1,100,24.884
640315.100731,640315.100722,1673974811.788168,87888.000,12179,1,TH,1,100,24.988
640315.233848,640315.233839,1673974811.921281,88017.000,12196,1,TH,1,100,24.989
640315.366965,640315.366956,1673974812.054394,88146.000,12228,1,TH,1,100,24.937
640315.499050,640315.499041,1673974812.186476,88274.000,12244,1,TH,1,100,24.937
640315.631135,640315.631126,1673974812.318557,88402.000,12261,1,TH,1,100,25.006
640315.764252,640315.764243,1673974812.451670,88531.000,12280,1,TH,1,100,25.007
640315.897369,640315.897360,1673974812.584783,88660.000,12311,1,TH,1,100,24.937
640316.029454,640316.029445,1673974812.716864,88788.000,12329,1,TH,1,100,24.944
640316.162571,640316.162562,1673974812.849977,88917.000,12345,1,TH,1,100,24.910
640316.297752,640316.297743,1673974812.985154,89048.000,12362,1,TH,1,100,24.902
640316.431901,640316.431892,1673974813.119299,89178.000,12394,1,TH,1,100,24.991
640316.565018,640316.565008,1673974813.252412,89307.000,12413,1,TH,1,100,24.991
640316.698135,640316.698125,1673974813.385525,89436.000,12431,1,TH,1,100,24.931
640316.830220,640316.830210,1673974813.517606,89564.000,12464,1,TH,1,100,24.931
640316.963337,640316.963327,1673974813.650719,89693.000,12480,1,TH,1,100,25.017
640317.096453,640317.096444,1673974813.783832,89822.000,12498,1,TH,1,100,25.017
640317.231634,640317.231625,1673974813.919009,89953.000,12514,1,TH,1,100,24.908
640317.363719,640317.363710,1673974814.051090,90081.000,12546,1,TH,1,100,24.908
640317.496836,640317.496827,1673974814.184203,90210.000,12563,1,TH,1,100,24.986
640317.628921,640317.628912,1673974814.316284,90338.000,12579,1,TH,1,100,24.993
640317.763070,640317.763061,1673974814.450429,90468.000,12599,1,TH,1,100,24.910
640317.897219,640317.897210,1673974814.584574,90598.000,12630,1,TH,1,100,24.910
640318.030336,640318.030326,1673974814.717687,90727.000,12650,1,TH,1,100,24.967
640318.163453,640318.163443,1673974814.850800,90856.000,12667,1,TH,1,100,24.967
640318.294506,640318.294496,1673974814.981849,90983.000,12699,1,TH,1,100,25.003
640318.427623,640318.427613,1673974815.114963,91112.000,12715,1,TH,1,100,25.003
640318.561772,640318.561762,1673974815.249108,91242.000,12732,1,TH,1,100,24.915
640318.695920,640318.695911,1673974815.383252,91372.000,12749,1,TH,1,100,24.915
640318.829037,640318.829028,1673974815.516366,91501.000,12782,1,TH,1,100,24.915
640318.962154,640318.962145,1673974815.649478,91630.000,12805,1,TH,1,100,24.915
640319.093207,640319.093198,1673974815.780528,91757.000,12821,1,TH,1,100,24.943
640319.228388,640319.228379,1673974815.915705,91888.000,12838,1,TH,1,100,24.943
640319.362537,640319.362528,1673974816.049850,92018.000,12873,1,TH,1,100,24.964
640319.498750,640319.498740,1673974816.186058,92150.000,12889,1,TH,1,100,24.964
640319.630835,640319.630825,1673974816.318139,92278.000,12906,1,TH,1,100,24.980
640319.761888,640319.761878,1673974816.449189,92405.000,12925,1,TH,1,100,24.980
640319.895005,640319.894995,1673974816.582302,92534.000,12942,1,TH,1,100,24.949
640320.030185,640320.030176,1673974816.717479,92665.000,12974,1,TH,1,100,24.948
640320.164334,640320.164325,1673974816.851624,92795.000,12990,1,TH,1,100,24.966
640320.297451,640320.297442,1673974816.984736,92924.000,13007,1,TH,1,100,24.966
640320.430568,640320.430559,1673974817.117850,93053.000,13039,1,TH,1,100,24.954
640320.561621,640320.561612,1673974817.248899,93180.000,13055,1,TH,1,100,24.954
640320.693706,640320.693697,1673974817.380980,93308.000,13073,1,TH,1,100,24.959
640320.827855,640320.827846,1673974817.515125,93438.000,13091,1,TH,1,100,24.959
640320.963036,640320.963026,1673974817.650302,93569.000,13126,1,TH,1,100,24.990
640321.096153,640321.096143,1673974817.783415,93698.000,13143,1,TH,1,100,24.990
640321.228238,640321.228228,1673974817.915496,93826.000,13159,1,TH,1,100,24.912
640321.360323,640321.360313,1673974818.047577,93954.000,13177,1,TH,1,100,24.919
640321.496535,640321.496526,1673974818.183786,94086.000,13208,1,TH,1,100,24.982
640321.630684,640321.630675,1673974818.317931,94216.000,13224,1,TH,1,100,24.982
640321.763801,640321.763792,1673974818.451044,94345.000,13244,1,TH,1,100,25.034
640321.894854,640321.894845,1673974818.582093,94472.000,13275,1,TH,1,100,25.034
640322.027971,640322.027962,1673974818.715206,94601.000,13292,1,TH,1,100,24.943
640322.161088,640322.161079,1673974818.848319,94730.000,13309,1,TH,1,100,24.942
640322.295237,640322.295227,1673974818.982464,94860.000,13325,1,TH,1,100,24.922
640322.430418,640322.430408,1673974819.117641,94991.000,13360,1,TH,1,100,24.922
640322.563535,640322.563525,1673974819.250754,95120.000,13377,1,TH,1,100,24.942
640322.694588,640322.694578,1673974819.381803,95247.000,13394,1,TH,1,100,24.942
640322.826673,640322.826663,1673974819.513885,95375.000,13413,1,TH,1,100,24.914
640322.959790,640322.959780,1673974819.646997,95504.000,13445,1,TH,1,100,24.914
640323.092907,640323.092897,1673974819.780111,95633.000,13461,1,TH,1,100,24.828
640323.224992,640323.224982,1673974819.912192,95761.000,13478,1,TH,1,100,24.828
640323.357077,640323.357067,1673974820.044273,95889.000,13510,1,TH,1,100,24.932
640323.490194,640323.490184,1673974820.177386,96018.000,13526,1,TH,1,100,24.932
640323.623310,640323.623301,1673974820.310499,96147.000,13543,1,TH,1,100,25.010
640323.756427,640323.756418,1673974820.443612,96276.000,13562,1,TH,1,100,25.010
640323.889544,640323.889535,1673974820.576725,96405.000,13593,1,TH,1,100,24.974
640324.022661,640324.022652,1673974820.709838,96534.000,13614,1,TH,1,100,24.974
640324.153714,640324.153705,1673974820.840888,96661.000,13630,1,TH,1,100,25.057
640324.286831,640324.286822,1673974820.974000,96790.000,13652,1,TH,1,100,25.057
640324.419948,640324.419939,1673974821.107114,96919.000,13669,1,TH,1,100,24.930
640324.552033,640324.552024,1673974821.239195,97047.000,13700,1,TH,1,100,24.930
640324.685150,640324.685140,1673974821.372308,97176.000,13718,1,TH,1,100,24.992
640324.817235,640324.817225,1673974821.504389,97304.000,13736,1,TH,1,100,24.992
640324.950352,640324.950342,1673974821.637502,97433.000,13768,1,TH,1,100,25.028
640325.082437,640325.082427,1673974821.769583,97561.000,13785,1,TH,1,100,25.028
640325.215554,640325.215544,1673974821.902696,97690.000,13801,1,TH,1,100,24.974
640325.346607,640325.346597,1673974822.033746,97817.000,13819,1,TH,1,100,24.981
640325.482820,640325.482810,1673974822.169954,97949.000,13853,1,TH,1,100,24.945
640325.615937,640325.615927,1673974822.303067,98078.000,13870,1,TH,1,100,24.945
640325.749054,640325.749044,1673974822.436180,98207.000,13889,1,TH,1,100,24.939
640325.881139,640325.881129,1673974822.568261,98335.000,13905,1,TH,1,100,24.939
640326.014256,640326.014246,1673974822.701375,98464.000,13937,1,TH,1,100,25.066
640326.147372,640326.147363,1673974822.834487,98593.000,13954,1,TH,1,100,25.067
640326.282553,640326.282543,1673974822.969664,98724.000,13970,1,TH,1,100,24.869
640326.416702,640326.416692,1673974823.103809,98854.000,13988,1,TH,1,100,24.869
640326.549819,640326.549809,1673974823.236922,98983.000,14019,1,TH,1,100,24.981
640326.682936,640326.682926,1673974823.370035,99112.000,14036,1,TH,1,100,24.981
640326.813989,640326.813979,1673974823.501085,99239.000,14055,1,TH,1,100,24.981
640326.950202,640326.950192,1673974823.637293,99371.000,14090,1,TH,1,100,24.981
640327.083319,640327.083309,1673974823.770406,99500.000,14106,1,TH,1,100,25.004
640327.216436,640327.216426,1673974823.903519,99629.000,14123,1,TH,1,100,25.004
640327.348521,640327.348511,1673974824.035601,99757.000,14140,1,TH,1,100,24.963
640327.481638,640327.481628,1673974824.168714,99886.000,14171,1,TH,1,100,24.962
640327.613723,640327.613713,1673974824.300795,100014.000,14188,1,TH,1,100,24.895
640327.747871,640327.747861,1673974824.434940,100144.000,14207,1,TH,1,100,24.895
640327.882020,640327.882010,1673974824.569085,100274.000,14238,1,TH,1,100,24.957
640328.015137,640328.015127,1673974824.702198,100403.000,14256,1,TH,1,100,24.957
640328.147222,640328.147212,1673974824.834279,100531.000,14272,1,TH,1,100,24.952
640328.280339,640328.280329,1673974824.967392,100660.000,14289,1,TH,1,100,24.959
640328.414488,640328.414478,1673974825.101537,100790.000,14321,1,TH,1,100,25.003
640328.548637,640328.548627,1673974825.235682,100920.000,14340,1,TH,1,100,25.003
640328.682786,640328.682776,1673974825.369827,101050.000,14358,1,TH,1,100,24.936
640328.815903,640328.815893,1673974825.502940,101179.000,14391,1,TH,1,100,24.936
640328.946956,640328.946946,1673974825.633989,101306.000,14408,1,TH,1,100,24.928
640329.079041,640329.079031,1673974825.766070,101434.000,14425,1,TH,1,100,24.928
640329.215253,640329.215243,1673974825.902279,101566.000,14441,1,TH,1,100,24.946
640329.349402,640329.349392,1673974826.036424,101696.000,14473,1,TH,1,100,24.946
640329.482519,640329.482509,1673974826.169537,101825.000,14490,1,TH,1,100,24.873
640329.614604,640329.614594,1673974826.301618,101953.000,14511,1,TH,1,100,24.873
640329.745657,640329.745647,1673974826.432667,102080.000,14531,1,TH,1,100,24.951
640329.878774,640329.878764,1673974826.565780,102209.000,14565,1,TH,1,100,24.951
640330.013955,640330.013945,1673974826.700957,102340.000,14582,1,TH,1,100,24.930
640330.148104,640330.148094,1673974826.835102,102470.000,14599,1,TH,1,100,24.930
640330.282253,640330.282243,1673974826.969247,102600.000,14615,1,TH,1,100,25.055
640330.412274,640330.412264,1673974827.099265,102726.000,14647,1,TH,1,100,25.055
640330.545391,640330.545381,1673974827.232378,102855.000,14664,1,TH,1,100,24.983
640330.679539,640330.679529,1673974827.366523,102985.000,14681,1,TH,1,100,24.983
