LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
640313.748924,640313.748915,1673974810.436400,86578.000,11947,1,TL,1,100,2023-01-17_19-00-05-325358
640313.777818,640313.777808,1673974810.465293,86606.000,11950,1,TL,1,100,2023-01-17_19-00-10-450356
640319.013750,640319.013741,1673974815.701073,91680.000,12793,1,TL,1,100,2023-01-17_19-00-10-513815
640319.038516,640319.038507,1673974815.725838,91704.000,12796,1,TL,1,100,2023-01-17_19-00-15-715338
640324.283736,640324.283726,1673974820.970905,96787.000,13641,1,TL,1,100,2023-01-17_19-00-15-772308
640324.310565,640324.310556,1673974820.997734,96813.000,13644,1,TL,1,100,2023-01-17_19-00-20-986395
640329.590870,640329.590860,1673974826.277885,101930.000,14500,1,TL,1,100,2023-01-17_19-00-21-096318
640329.617700,640329.617690,1673974826.304714,101956.000,14503,1,TL,1,100,2023-01-17_19-00-26-287910
640334.861888,640334.861877,1673974831.548749,107038.000,15350,1,TL,1,100,2023-01-17_19-00-26-421532
640334.888717,640334.888707,1673974831.575578,107064.000,15353,1,TL,1,100,2023-01-17_19-00-31-569693
640340.136001,640340.135990,1673974836.822709,112149.000,16193,1,TL,1,100,2023-01-17_19-00-31-645367
640340.160767,640340.160756,1673974836.847474,112173.000,16196,1,TL,1,100,2023-01-17_19-00-36-833387
640345.456550,640345.456539,1673974842.143103,117305.000,17055,1,TL,1,100,2023-01-17_19-00-36-968426
640345.509178,640345.509167,1673974842.195729,117356.000,17058,1,TL,1,100,2023-01-17_19-00-42-191552
640350.722408,640350.722397,1673974847.408808,122408.000,17903,1,TL,1,100,2023-01-17_19-00-42-290666
640350.747174,640350.747163,1673974847.433573,122432.000,17906,1,TL,1,100,2023-01-17_19-00-47-418252
640355.990330,640355.990318,1673974852.676576,127513.000,18748,1,TL,1,100,2023-01-17_19-00-47-461083
640356.017160,640356.017148,1673974852.703405,127539.000,18751,1,TL,1,100,2023-01-17_19-00-52-697006
640361.302624,640361.302612,1673974857.988715,132661.000,19607,1,TL,1,100,2023-01-17_19-00-52-837135
640361.336677,640361.336665,1673974858.022768,132694.000,19610,1,TL,1,100,2023-01-17_19-00-58-005012
640366.580865,640366.580853,1673974863.266803,137776.000,20455,1,TL,1,100,2023-01-17_19-00-58-073684
640366.610790,640366.610778,1673974863.296727,137805.000,20458,1,TL,1,100,2023-01-17_19-01-03-285655
640371.894191,640371.894178,1673974868.579974,142925.000,21316,1,TL,1,100,2023-01-17_19-01-03-384914
640371.926180,640371.926168,1673974868.611962,142956.000,21319,1,TL,1,100,2023-01-17_19-01-08-607682
640377.209581,640377.209568,1673974873.895209,148076.000,22179,1,TL,1,100,2023-01-17_19-01-08-675339
640377.260144,640377.260132,1673974873.945771,148125.000,22182,1,TL,1,100,2023-01-17_19-01-13-935173
640382.550768,640382.550755,1673974879.236241,153252.000,23041,1,TL,1,100,2023-01-17_19-01-14-033090
640382.580694,640382.580681,1673974879.266165,153281.000,23044,1,TL,1,100,2023-01-17_19-01-19-261928
640387.814562,640387.814549,1673974884.499882,158353.000,23887,1,TL,1,100,2023-01-17_19-01-19-324662
640387.905371,640387.905357,1673974884.590688,158441.000,23890,1,TL,1,100,2023-01-17_19-01-24-579851
640393.098995,640393.098981,1673974889.784160,163474.000,24733,1,TL,1,100,2023-01-17_19-01-24-685493
640393.128920,640393.128907,1673974889.814085,163503.000,24736,1,TL,1,100,2023-01-17_19-01-29-805809
640398.422640,640398.422626,1673974895.107650,168633.000,25592,1,TL,1,100,2023-01-17_19-01-29-904908
640398.451534,640398.451519,1673974895.136543,168661.000,25595,1,TL,1,100,2023-01-17_19-01-35-131920
640403.688498,640403.688484,1673974900.373355,173736.000,26441,1,TL,1,100,2023-01-17_19-01-35-193851
640403.712232,640403.712218,1673974900.397088,173759.000,26444,1,TL,1,100,2023-01-17_19-01-40-393050
640409.002856,640409.002841,1673974905.687558,178886.000,27302,1,TL,1,100,2023-01-17_19-01-40-453824
640409.088505,640409.088490,1673974905.773204,178969.000,27305,1,TL,1,100,2023-01-17_19-01-45-769542
640414.269746,640414.269731,1673974910.954294,183990.000,28132,1,TL,1,100,2023-01-17_19-01-45-879991
640414.328565,640414.328550,1673974911.013112,184047.000,28135,1,TL,1,100,2023-01-17_19-01-51-003495
640419.546955,640419.546939,1673974916.231350,189104.000,28960,1,TL,1,100,2023-01-17_19-01-51-111958
640419.643955,640419.643939,1673974916.328347,189198.000,28963,1,TL,1,100,2023-01-17_19-01-56-323096
640424.817972,640424.817956,1673974921.502214,194212.000,29793,1,TL,1,100,2023-01-17_19-01-56-426364
640424.871632,640424.871616,1673974921.555872,194264.000,29796,1,TL,1,100,2023-01-17_19-02-01-547482
640430.115820,640430.115803,1673974926.799907,199346.000,30591,1,TL,1,100,2023-01-17_19-02-01-650527
640430.192181,640430.192165,1673974926.876266,199420.000,30594,1,TL,1,100,2023-01-17_19-02-06-872856
640435.385805,640435.385789,1673974932.069739,204453.000,31439,1,TL,1,100,2023-01-17_19-02-06-944015
640435.431209,640435.431193,1673974932.115142,204497.000,31442,1,TL,1,100,2023-01-17_19-02-12-098001
640440.650631,640440.650614,1673974937.334412,209555.000,32285,1,TL,1,100,2023-01-17_19-02-12-162110
640440.676429,640440.676412,1673974937.360209,209580.000,32288,1,TL,1,100,2023-01-17_19-02-17-353448
640445.957766,640445.957749,1673974942.641392,214698.000,33147,1,TL,1,100,2023-01-17_19-02-17-416411
640446.061989,640446.061972,1673974942.745612,214799.000,33150,1,TL,1,100,2023-01-17_19-02-22-735027
640451.255613,640451.255596,1673974947.939085,219832.000,33976,1,TL,1,100,2023-01-17_19-02-22-845813
640451.285538,640451.285521,1673974947.969009,219861.000,33979,1,TL,1,100,2023-01-17_19-02-27-964831
640456.545205,640456.545187,1673974953.228523,224958.000,34826,1,TL,1,100,2023-01-17_19-02-28-169644
640456.571003,640456.570985,1673974953.254320,224983.000,34829,1,TL,1,100,2023-01-17_19-02-33-251753
640461.837893,640461.837875,1673974958.521056,230087.000,35671,1,TL,1,100,2023-01-17_19-02-33-399056
640461.864722,640461.864704,1673974958.547885,230113.000,35674,1,TL,1,100,2023-01-17_19-02-38-538377
640467.148123,640467.148105,1673974963.831132,235233.000,36517,1,TL,1,100,2023-01-17_19-02-38-718774
640467.174953,640467.174934,1673974963.857961,235259.000,36520,1,TL,1,100,2023-01-17_19-02-43-848442
640472.427396,640472.427377,1673974969.110251,240349.000,37360,1,TL,1,100,2023-01-17_19-02-44-039229
640472.453194,640472.453175,1673974969.136048,240374.000,37363,1,TL,1,100,2023-01-17_19-02-49-123226
640477.722147,640477.722128,1673974974.404848,245480.000,38210,1,TL,1,100,2023-01-17_19-02-49-278967
640477.750009,640477.749990,1673974974.432709,245507.000,38213,1,TL,1,100,2023-01-17_19-02-54-417654
640483.010707,640483.010688,1673974979.693254,250605.000,39055,1,TL,1,100,2023-01-17_19-02-54-590080
