LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
640313.606520,640313.606511,1673974810.294000,86440,11930,4,TX,1,100,2023-01-17_19-00-10-163456,640313.4759629,
640315.002700,640315.002691,1673974811.690139,87793,12154,4,TX,1,100,2023-01-17_19-00-11-642782,640314.9553312,
640316.568113,640316.568104,1673974813.255507,89310,12406,4,TX,1,100,2023-01-17_19-00-13-141908,640316.4545017,
640318.079868,640318.079858,1673974814.767218,90775,12642,4,TX,1,100,2023-01-17_19-00-14-691882,640318.0045199,
640319.472952,640319.472942,1673974816.160261,92125,12866,4,TX,1,100,2023-01-17_19-00-16-141874,640319.4545538,
640321.052812,640321.052803,1673974817.740076,93656,13118,4,TX,1,100,2023-01-17_19-00-17-642875,640320.9555977,
640322.487173,640322.487163,1673974819.174395,95046,13353,4,TX,1,100,2023-01-17_19-00-19-142049,640322.4548158,
640324.043300,640324.043290,1673974820.730476,96554,13605,4,TX,1,100,2023-01-17_19-00-20-642390,640323.9552007,
640325.470437,640325.470427,1673974822.157572,97937,13831,4,TX,1,100,2023-01-17_19-00-22-142350,640325.4552037,
640326.994574,640326.994564,1673974823.681664,99414,14081,4,TX,1,100,2023-01-17_19-00-23-645396,640326.9582932,
640328.567211,640328.567201,1673974825.254256,100938,14333,4,TX,1,100,2023-01-17_19-00-25-142326,640328.4552656,
640329.974742,640329.974732,1673974826.661746,102302,14558,4,TX,1,100,2023-01-17_19-00-26-643558,640329.9565413,
640331.515390,640331.515380,1673974828.202349,103795,14809,4,TX,1,100,2023-01-17_19-00-28-142233,640331.4552597,
640332.970389,640332.970379,1673974829.657305,105205,15045,4,TX,1,100,2023-01-17_19-00-29-642130,640332.9552004,
640334.473888,640334.473878,1673974831.160760,106662,15280,4,TX,1,100,2023-01-17_19-00-31-142137,640334.4552507,
640336.018663,640336.018653,1673974832.705491,108159,15537,4,TX,1,100,2023-01-17_19-00-32-642005,640335.9551619,
640337.527322,640337.527311,1673974834.214105,109621,15773,4,TX,1,100,2023-01-17_19-00-34-141895,640337.4550951,
640338.999863,640338.999853,1673974835.686604,111048,16009,4,TX,1,100,2023-01-17_19-00-35-655782,640338.9690256,
640340.564245,640340.564235,1673974837.250940,112564,16265,4,TX,1,100,2023-01-17_19-00-37-142361,640340.4556481,
640342.035755,640342.035744,1673974838.722407,113990,16501,4,TX,1,100,2023-01-17_19-00-38-641742,640341.9550724,
640343.603232,640343.603222,1673974840.289839,115509,16752,4,TX,1,100,2023-01-17_19-00-40-190049,640343.5034235,
640345.034497,640345.034486,1673974841.721062,116896,16988,4,TX,1,100,2023-01-17_19-00-41-641982,640344.9553988,
640346.535932,640346.535921,1673974843.222454,118351,17228,4,TX,1,100,2023-01-17_19-00-43-141549,640346.4550092,
640347.987836,640347.987825,1673974844.674315,119758,17464,4,TX,1,100,2023-01-17_19-00-44-641776,640347.9552803,
640349.544994,640349.544983,1673974846.231428,121267,17716,4,TX,1,100,2023-01-17_19-00-46-141878,640349.4554252,
640350.971099,640350.971088,1673974847.657492,122649,17941,4,TX,1,100,2023-01-17_19-00-47-641391,640350.9549817,
640352.510715,640352.510704,1673974849.197063,124141,18192,4,TX,1,100,2023-01-17_19-00-49-141716,640352.4553496,
640353.966746,640353.966735,1673974850.653051,125552,18428,4,TX,1,100,2023-01-17_19-00-50-641631,640353.9553079,
640355.472309,640355.472297,1673974852.158570,127011,18663,4,TX,1,100,2023-01-17_19-00-52-142398,640355.4561186,
640357.027404,640357.027392,1673974853.713619,128518,18921,4,TX,1,100,2023-01-17_19-00-53-641302,640356.9550661,
640358.525743,640358.525731,1673974855.211915,129970,19155,4,TX,1,100,2023-01-17_19-00-55-142566,640358.4563729,
640359.982806,640359.982794,1673974856.668936,131382,19391,4,TX,1,100,2023-01-17_19-00-56-641448,640359.9552978,
640361.527581,640361.527569,1673974858.213666,132879,19648,4,TX,1,100,2023-01-17_19-00-58-141244,640361.4551373,
640363.027984,640363.027972,1673974859.714025,134333,19884,4,TX,1,100,2023-01-17_19-00-59-641327,640362.9552643,
640364.511877,640364.511865,1673974861.197875,135771,20119,4,TX,1,100,2023-01-17_19-01-01-158728,640364.4727092,
640366.042206,640366.042194,1673974862.728159,137254,20372,4,TX,1,100,2023-01-17_19-01-02-641008,640365.9550319,
640367.534354,640367.534341,1673974864.220263,138700,20612,4,TX,1,100,2023-01-17_19-01-04-141121,640367.4551881,
640369.097704,640369.097691,1673974865.783568,140215,20865,4,TX,1,100,2023-01-17_19-01-05-698844,640369.0129559,
640370.538256,640370.538243,1673974867.224078,141611,21099,4,TX,1,100,2023-01-17_19-01-07-157439,640370.4715937,
640372.012861,640372.012848,1673974868.698640,143040,21341,4,TX,1,100,2023-01-17_19-01-08-656645,640371.9708427,
640373.477147,640373.477135,1673974870.162884,144459,21575,4,TX,1,100,2023-01-17_19-01-10-157838,640373.4720797,
640375.018827,640375.018814,1673974871.704519,145953,21826,4,TX,1,100,2023-01-17_19-01-11-658095,640374.9723799,
640376.504783,640376.504771,1673974873.190432,147393,22060,4,TX,1,100,2023-01-17_19-01-13-157882,640376.4722092,
640377.992804,640377.992791,1673974874.678409,148835,22302,4,TX,1,100,2023-01-17_19-01-14-657082,640377.9714521,
640379.528292,640379.528279,1673974876.213852,150323,22553,4,TX,1,100,2023-01-17_19-01-16-157757,640379.4721714,
640380.996706,640380.996693,1673974877.682223,151746,22790,4,TX,1,100,2023-01-17_19-01-17-658832,640380.9732900,
640382.479566,640382.479553,1673974879.165041,153183,23024,4,TX,1,100,2023-01-17_19-01-19-157051,640382.4715523,
640384.015055,640384.015041,1673974880.700485,154671,23282,4,TX,1,100,2023-01-17_19-01-20-656735,640383.9712805,
640385.602139,640385.602125,1673974882.287522,156209,23533,4,TX,1,100,2023-01-17_19-01-22-157538,640385.4721276,
640386.992127,640386.992113,1673974883.677470,157556,23753,4,TX,1,100,2023-01-17_19-01-23-657271,640386.9719033,
640388.490466,640388.490453,1673974885.175766,159008,23992,4,TX,1,100,2023-01-17_19-01-25-157416,640388.4720916,
640390.090965,640390.090951,1673974886.776218,160559,24244,4,TX,1,100,2023-01-17_19-01-26-671868,640389.9865886,
640391.523262,640391.523248,1673974888.208473,161947,24478,4,TX,1,100,2023-01-17_19-01-28-156942,640391.4717054,
640393.028825,640393.028811,1673974889.713992,163406,24716,4,TX,1,100,2023-01-17_19-01-29-656698,640392.9715048,
640394.585983,640394.585969,1673974891.271105,164915,24971,4,TX,1,100,2023-01-17_19-01-31-206465,640394.5213171,
640396.025503,640396.025489,1673974892.710583,166310,25208,4,TX,1,100,2023-01-17_19-01-32-657152,640395.9720467,
640397.495981,640397.495967,1673974894.181018,167735,25442,4,TX,1,100,2023-01-17_19-01-34-156079,640397.4710174,
640399.085129,640399.085115,1673974895.770120,169275,25700,4,TX,1,100,2023-01-17_19-01-35-656201,640398.9711829,
640400.510202,640400.510188,1673974897.195152,170656,25934,4,TX,1,100,2023-01-17_19-01-37-156780,640400.4718057,
640401.985840,640401.985825,1673974898.670746,172086,26171,4,TX,1,100,2023-01-17_19-01-38-656222,640401.9712913,
640403.542998,640403.542984,1673974900.227859,173595,26422,4,TX,1,100,2023-01-17_19-01-40-173200,640403.4883137,
640405.034114,640405.034099,1673974901.718932,175040,26664,4,TX,1,100,2023-01-17_19-01-41-685468,640405.0006250,
640406.507687,640406.507673,1673974903.192462,176468,26898,4,TX,1,100,2023-01-17_19-01-43-157547,640406.4727475,
640407.999835,640407.999821,1673974904.684567,177914,27135,4,TX,1,100,2023-01-17_19-01-44-673087,640407.9883309,
640409.513653,640409.513639,1673974906.198341,179381,27374,4,TX,1,100,2023-01-17_19-01-46-172557,640409.4878449,
640411.059461,640411.059446,1673974907.744103,180879,27611,4,TX,1,100,2023-01-17_19-01-47-658896,640410.9742276,
640412.604236,640412.604221,1673974909.288834,182376,27865,4,TX,1,100,2023-01-17_19-01-49-172650,640412.4880255,
640414.066459,640414.066444,1673974910.751013,183793,28099,4,TX,1,100,2023-01-17_19-01-50-672376,640413.9877944,
640415.522490,640415.522474,1673974912.207002,185204,28322,4,TX,1,100,2023-01-17_19-01-52-187109,640415.5025717,
640417.001222,640417.001207,1673974913.685692,186637,28559,4,TX,1,100,2023-01-17_19-01-53-672134,640416.9876398,
640418.573860,640418.573844,1673974915.258283,188161,28811,4,TX,1,100,2023-01-17_19-01-55-172883,640418.4884326,
640420.082518,640420.082503,1673974916.766898,189623,29037,4,TX,1,100,2023-01-17_19-01-56-720979,640420.0365731,
640421.519975,640421.519959,1673974918.204312,191016,29271,4,TX,1,100,2023-01-17_19-01-58-171938,640421.4875750,
640422.997676,640422.997660,1673974919.681970,192448,29508,4,TX,1,100,2023-01-17_19-01-59-672150,640422.9878311,
640424.615717,640424.615701,1673974921.299965,194016,29761,4,TX,1,100,2023-01-17_19-02-01-172103,640424.4878271,
640426.007769,640426.007753,1673974922.691976,195365,29984,4,TX,1,100,2023-01-17_19-02-02-671959,640425.9877268,
640427.553577,640427.553561,1673974924.237739,196863,30173,4,TX,1,100,2023-01-17_19-02-04-172022,640427.4878333,
640428.990001,640428.989985,1673974925.674121,198255,30410,4,TX,1,100,2023-01-17_19-02-05-672239,640428.9880942,
640430.498660,640430.498644,1673974927.182736,199717,30649,4,TX,1,100,2023-01-17_19-02-07-171964,640430.4878630,
