LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1670854070.656507,121417.000,18065,2,AK,1,100,17244
1670854070.656507,121417.000,18065,2,AK,1,100,RD
1670854070.674054,121434.000,18068,2,AK,1,100,18066
1670854070.691601,121451.000,18068,2,AK,1,100,RD
1670854073.337571,124014.500,18917,2,AK,1,100,18066
1670854075.983542,126578.000,18917,2,AK,1,100,RD
1670854075.997476,126591.500,18920,2,AK,1,100,18918
1670854076.011411,126605.000,18920,2,AK,1,100,RD
1670854078.632609,129144.500,19752,2,AK,1,100,18918
1670854081.253808,131684.000,19752,2,AK,1,100,RD
1670854081.291482,131720.500,19755,2,AK,1,100,19753
1670854081.329156,131757.000,19755,2,AK,1,100,RD
1670854083.925583,134272.500,20586,2,AK,1,100,19753
1670854086.522009,136788.000,20586,2,AK,1,100,RD
1670854086.534395,136800.000,20589,2,AK,1,100,20587
1670854086.546782,136812.000,20589,2,AK,1,100,RD
1670854089.188623,139371.500,21438,2,AK,1,100,20587
1670854091.830466,141931.000,21438,2,AK,1,100,RD
1670854091.850077,141950.000,21441,2,AK,1,100,21439
1670854091.869688,141969.000,21441,2,AK,1,100,RD
1670854094.482113,144500.000,22275,2,AK,1,100,21439
1670854097.094538,147031.000,22275,2,AK,1,100,RD
1670854097.138922,147074.000,22278,2,AK,1,100,22276
1670854097.183305,147117.000,22278,2,AK,1,100,RD
1670854099.780248,149633.000,23095,2,AK,1,100,22276
1670854102.377190,152149.000,23095,2,AK,1,100,RD
1670854102.394737,152166.000,23098,2,AK,1,100,23096
1670854102.412284,152183.000,23098,2,AK,1,100,RD
1670854105.025741,154715.000,23933,2,AK,1,100,23096
1670854107.639199,157247.000,23933,2,AK,1,100,RD
1670854107.684098,157290.500,23936,2,AK,1,100,23934
1670854107.728998,157334.000,23936,2,AK,1,100,RD
1670854110.326972,159851.000,24769,2,AK,1,100,23934
1670854112.924947,162368.000,24769,2,AK,1,100,RD
1670854112.940946,162383.500,24772,2,AK,1,100,24770
1670854112.956944,162399.000,24772,2,AK,1,100,RD
1670854115.569886,164930.500,25602,2,AK,1,100,24770
1670854118.182827,167462.000,25602,2,AK,1,100,RD
1670854118.227726,167505.500,25605,2,AK,1,100,25603
1670854118.272626,167549.000,25605,2,AK,1,100,RD
1670854120.868536,170064.000,26436,2,AK,1,100,25603
1670854123.464447,172579.000,26436,2,AK,1,100,RD
1670854123.477865,172592.000,26439,2,AK,1,100,26437
1670854123.491283,172605.000,26439,2,AK,1,100,RD
1670854126.114546,175146.500,27273,2,AK,1,100,26437
1670854128.737809,177688.000,27273,2,AK,1,100,RD
1670854128.753292,177703.000,27276,2,AK,1,100,27274
1670854128.768774,177718.000,27276,2,AK,1,100,RD
1670854131.389457,180257.000,28109,2,AK,1,100,27274
1670854134.010139,182796.000,28109,2,AK,1,100,RD
1670854136.654046,185357.500,28924,2,AK,1,100,28110
1670854139.297952,187919.000,28924,2,AK,1,100,RD
1670854139.308790,187929.500,28926,2,AK,1,100,28110
1670854139.319628,187940.000,28926,2,AK,1,100,RD
1670854141.934633,190473.500,29744,2,AK,1,100,28927
1670854144.549639,193007.000,29744,2,AK,1,100,RD
1670854144.555832,193013.000,29746,2,AK,1,100,28927
1670854144.562025,193019.000,29746,2,AK,1,100,RD
1670854147.213156,195587.500,30580,2,AK,1,100,29747
1670854149.864288,198156.000,30580,2,AK,1,100,RD
1670854149.870481,198162.000,30582,2,AK,1,100,29747
1670854149.876674,198168.000,30582,2,AK,1,100,RD
1670854149.890092,198181.000,30585,2,AK,1,100,30583
1670854149.903511,198194.000,30585,2,AK,1,100,RD
1670854152.524709,200733.500,31416,2,AK,1,100,30583
1670854155.145908,203273.000,31416,2,AK,1,100,RD
1670854155.188227,203314.000,31419,2,AK,1,100,31417
1670854155.230546,203355.000,31419,2,AK,1,100,RD
1670854157.828521,205872.000,32254,2,AK,1,100,31417
1670854160.426495,208389.000,32254,2,AK,1,100,RD
1670854160.440946,208403.000,32257,2,AK,1,100,32255
1670854160.455396,208417.000,32257,2,AK,1,100,RD
1670854163.076595,210956.500,33088,2,AK,1,100,32255
1670854165.697793,213496.000,33088,2,AK,1,100,RD
1670854165.736500,213533.500,33091,2,AK,1,100,33089
1670854165.775206,213571.000,33091,2,AK,1,100,RD
1670854168.373181,216088.000,33908,2,AK,1,100,33089
1670854170.971156,218605.000,33908,2,AK,1,100,RD
1670854171.009862,218642.500,33911,2,AK,1,100,33909
1670854171.048569,218680.000,33911,2,AK,1,100,RD
1670854173.642931,221193.500,34729,2,AK,1,100,33909
1670854176.237293,223707.000,34729,2,AK,1,100,RD
1670854176.251743,223721.000,34732,2,AK,1,100,34730
1670854176.266194,223735.000,34732,2,AK,1,100,RD
1670854178.895134,226282.000,35565,2,AK,1,100,34730
1670854181.524074,228829.000,35565,2,AK,1,100,RD
1670854181.538008,228842.500,35568,2,AK,1,100,35566
1670854181.551942,228856.000,35568,2,AK,1,100,RD
1670854184.195333,231417.000,36399,2,AK,1,100,35566
1670854186.838723,233978.000,36399,2,AK,1,100,RD
1670854186.857302,233996.000,36402,2,AK,1,100,36400
1670854186.875881,234014.000,36402,2,AK,1,100,RD
1670854189.505853,236562.000,37233,2,AK,1,100,36400
1670854192.135825,239110.000,37233,2,AK,1,100,RD
1670854192.168339,239141.500,37236,2,AK,1,100,37234
1670854192.200852,239173.000,37236,2,AK,1,100,RD
1670854194.821534,241712.000,38071,2,AK,1,100,37234
1670854197.442217,244251.000,38071,2,AK,1,100,RD
1670854197.488149,244295.500,38074,2,AK,1,100,38072
1670854197.534080,244340.000,38074,2,AK,1,100,RD
1670854200.124830,246850.000,38890,2,AK,1,100,38072
1670854202.715579,249360.000,38890,2,AK,1,100,RD
1670854202.740351,249384.000,38893,2,AK,1,100,38891
1670854202.765124,249408.000,38893,2,AK,1,100,RD
1670854205.393547,251954.500,39724,2,AK,1,100,38891
1670854208.021971,254501.000,39724,2,AK,1,100,RD
1670854210.662265,257059.000,40542,2,AK,1,100,39725
1670854213.302559,259617.000,40542,2,AK,1,100,RD
1670854213.313913,259628.000,40544,2,AK,1,100,39725
1670854213.325267,259639.000,40544,2,AK,1,100,RD
1670854213.360876,259673.500,40547,2,AK,1,100,40545
1670854213.396486,259708.000,40547,2,AK,1,100,RD
1670854215.985688,262216.500,41365,2,AK,1,100,40545
1670854218.574889,264725.000,41365,2,AK,1,100,RD
1670854218.599661,264749.000,41368,2,AK,1,100,41366
1670854218.624433,264773.000,41368,2,AK,1,100,RD
1670854221.241503,267308.500,42200,2,AK,1,100,41366
1670854223.858573,269844.000,42200,2,AK,1,100,RD
1670854223.873024,269858.000,42203,2,AK,1,100,42201
1670854223.887474,269872.000,42203,2,AK,1,100,RD
1670854226.525703,272428.000,43034,2,AK,1,100,42201
1670854229.163933,274984.000,43034,2,AK,1,100,RD
1670854229.177867,274997.500,43037,2,AK,1,100,43035
1670854229.191801,275011.000,43037,2,AK,1,100,RD
1670854231.834159,277571.000,43870,2,AK,1,100,43035
1670854234.476518,280131.000,43870,2,AK,1,100,RD
1670854234.529158,280182.000,43872,2,AK,1,100,43871
1670854234.581799,280233.000,43872,2,AK,1,100,RD
1670854237.185451,282755.500,44704,2,AK,1,100,43871
1670854239.789103,285278.000,44704,2,AK,1,100,RD
1670854239.808714,285297.000,44707,2,AK,1,100,44705
1670854239.828325,285316.000,44707,2,AK,1,100,RD
1670854242.448491,287854.500,45524,2,AK,1,100,44705
1670854245.068658,290393.000,45524,2,AK,1,100,RD
1670854245.108397,290431.500,45527,2,AK,1,100,45525
1670854245.148135,290470.000,45527,2,AK,1,100,RD
1670854247.766237,293006.500,46362,2,AK,1,100,45525
1670854250.384339,295543.000,46362,2,AK,1,100,RD
1670854250.428723,295586.000,46365,2,AK,1,100,46363
1670854250.473106,295629.000,46365,2,AK,1,100,RD
1670854253.082951,298157.500,47198,2,AK,1,100,46363
1670854255.692796,300686.000,47198,2,AK,1,100,RD
1670854255.706214,300699.000,47201,2,AK,1,100,47199
1670854255.719632,300712.000,47201,2,AK,1,100,RD
1670854258.361474,303271.500,48032,2,AK,1,100,47199
1670854261.003316,305831.000,48032,2,AK,1,100,RD
1670854261.053376,305879.500,48035,2,AK,1,100,48033
1670854261.103436,305928.000,48035,2,AK,1,100,RD
1670854263.713797,308457.000,48868,2,AK,1,100,48033
1670854266.324158,310986.000,48868,2,AK,1,100,RD
1670854266.337576,310999.000,48871,2,AK,1,100,48869
1670854266.350995,311012.000,48871,2,AK,1,100,RD
1670854268.988708,313567.500,49702,2,AK,1,100,48869
1670854271.626421,316123.000,49702,2,AK,1,100,RD
1670854271.654806,316150.500,49705,2,AK,1,100,49703
1670854271.683191,316178.000,49705,2,AK,1,100,RD
1670854274.300777,318714.000,50535,2,AK,1,100,49703
1670854276.918363,321250.000,50535,2,AK,1,100,RD
1670854276.932813,321264.000,50538,2,AK,1,100,50536
1670854276.947264,321278.000,50538,2,AK,1,100,RD
1670854279.577752,323826.500,51357,2,AK,1,100,50536
1670854282.208240,326375.000,51357,2,AK,1,100,RD
1670854282.220626,326387.000,51360,2,AK,1,100,51358
1670854282.233012,326399.000,51360,2,AK,1,100,RD
1670854284.856275,328940.500,52193,2,AK,1,100,51358
1670854287.479538,331482.000,52193,2,AK,1,100,RD
1670854287.492440,331494.500,52196,2,AK,1,100,52194
1670854287.505342,331507.000,52196,2,AK,1,100,RD
1670854290.143572,334063.000,53027,2,AK,1,100,52194
1670854292.781801,336619.000,53027,2,AK,1,100,RD
1670854292.799864,336636.500,53030,2,AK,1,100,53028
1670854292.817927,336654.000,53030,2,AK,1,100,RD
1670854295.438094,339192.500,53863,2,AK,1,100,53028
1670854298.058260,341731.000,53863,2,AK,1,100,RD
1670854298.073226,341745.500,53866,2,AK,1,100,53864
1670854298.088193,341760.000,53866,2,AK,1,100,RD
1670854300.725390,344315.000,54701,2,AK,1,100,53864
1670854303.362587,346870.000,54701,2,AK,1,100,RD
1670854303.397681,346904.000,54704,2,AK,1,100,54702
1670854303.432775,346938.000,54704,2,AK,1,100,RD
1670854306.042620,349466.500,55536,2,AK,1,100,54702
1670854308.652465,351995.000,55536,2,AK,1,100,RD
1670854308.664851,352007.000,55539,2,AK,1,100,55537
1670854308.677237,352019.000,55539,2,AK,1,100,RD
1670854311.309273,354569.000,56370,2,AK,1,100,55537
1670854313.941310,357119.000,56370,2,AK,1,100,RD
1670854313.953696,357131.000,56373,2,AK,1,100,56371
1670854313.966082,357143.000,56373,2,AK,1,100,RD
1670854316.611536,359706.000,57208,2,AK,1,100,56371
1670854319.256991,362269.000,57208,2,AK,1,100,RD
1670854319.270409,362282.000,57211,2,AK,1,100,57209
1670854319.283827,362295.000,57211,2,AK,1,100,RD
1670854321.923605,364852.500,58044,2,AK,1,100,57209
1670854324.563383,367410.000,58044,2,AK,1,100,RD
1670854324.598993,367444.500,58047,2,AK,1,100,58045
1670854324.634603,367479.000,58047,2,AK,1,100,RD
1670854327.245996,370009.000,58880,2,AK,1,100,58045
1670854329.857388,372539.000,58880,2,AK,1,100,RD
1670854329.871839,372553.000,58883,2,AK,1,100,58881
1670854329.886289,372567.000,58883,2,AK,1,100,RD
1670854332.531744,375130.000,59718,2,AK,1,100,58881
1670854335.177199,377693.000,59718,2,AK,1,100,RD
1670854335.221066,377735.500,59721,2,AK,1,100,59719
1670854335.264933,377778.000,59721,2,AK,1,100,RD
1670854337.869617,380301.500,60552,2,AK,1,100,59719
1670854340.474301,382825.000,60552,2,AK,1,100,RD
1670854343.133690,385401.500,61384,2,AK,1,100,60553
1670854345.793079,387978.000,61384,2,AK,1,100,RD
1670854345.799272,387984.000,61386,2,AK,1,100,60553
1670854345.805465,387990.000,61386,2,AK,1,100,RD
1670854345.818883,388003.000,61389,2,AK,1,100,61387
1670854345.832301,388016.000,61389,2,AK,1,100,RD
1670854348.471047,390572.500,62222,2,AK,1,100,61387
1670854351.109792,393129.000,62222,2,AK,1,100,RD
1670854351.136113,393154.500,62225,2,AK,1,100,62223
1670854351.162433,393180.000,62225,2,AK,1,100,RD
1670854353.767633,395704.000,63025,2,AK,1,100,62223
1670854356.372833,398228.000,63025,2,AK,1,100,RD
1670854356.386251,398241.000,63028,2,AK,1,100,63026
1670854356.399670,398254.000,63028,2,AK,1,100,RD
1670854359.030158,400802.500,63847,2,AK,1,100,63026
1670854361.660646,403351.000,63847,2,AK,1,100,RD
1670854361.678193,403368.000,63850,2,AK,1,100,63848
1670854361.695740,403385.000,63850,2,AK,1,100,RD
1670854364.316422,405924.000,64667,2,AK,1,100,63848
1670854366.937105,408463.000,64667,2,AK,1,100,RD
1670854366.966006,408491.000,64670,2,AK,1,100,64668
1670854366.994906,408519.000,64670,2,AK,1,100,RD
1670854369.599074,411042.000,65458,2,AK,1,100,64668
1670854372.203242,413565.000,65458,2,AK,1,100,RD
1670854372.216660,413578.000,65461,2,AK,1,100,65459
1670854372.230078,413591.000,65461,2,AK,1,100,RD
1670854374.866244,416145.000,758,2,AK,1,100,65459
1670854377.502409,418699.000,758,2,AK,1,100,RD
1670854377.531826,418727.500,761,2,AK,1,100,759
1670854377.561242,418756.000,761,2,AK,1,100,RD
1670854380.169539,421283.000,1592,2,AK,1,100,759
1670854382.777835,423810.000,1592,2,AK,1,100,RD
1670854382.817574,423848.500,1595,2,AK,1,100,1593
1670854382.857312,423887.000,1595,2,AK,1,100,RD
1670854385.452707,426401.500,2410,2,AK,1,100,1593
1670854388.048101,428916.000,2410,2,AK,1,100,RD
1670854388.075454,428942.500,2413,2,AK,1,100,2411
1670854388.102806,428969.000,2413,2,AK,1,100,RD
1670854390.719876,431504.500,3246,2,AK,1,100,2411
1670854393.336946,434040.000,3246,2,AK,1,100,RD
1670854393.349848,434052.500,3249,2,AK,1,100,3247
1670854393.362750,434065.000,3249,2,AK,1,100,RD
1670854395.990658,436611.000,4081,2,AK,1,100,3247
1670854398.618566,439157.000,4081,2,AK,1,100,RD
1670854398.631468,439169.500,4084,2,AK,1,100,4082
1670854398.644370,439182.000,4084,2,AK,1,100,RD
1670854401.262988,441719.000,4917,2,AK,1,100,4082
1670854403.881607,444256.000,4917,2,AK,1,100,RD
1670854403.894509,444268.500,4920,2,AK,1,100,4918
1670854403.907411,444281.000,4920,2,AK,1,100,RD
1670854406.560607,446851.500,5770,2,AK,1,100,5768
1670854409.213803,449422.000,5770,2,AK,1,100,RD
1670854411.841710,451968.000,6601,2,AK,1,100,5768
1670854414.469618,454514.000,6601,2,AK,1,100,RD
1670854414.500583,454544.000,6604,2,AK,1,100,6602
1670854414.531548,454574.000,6604,2,AK,1,100,RD
1670854417.132620,457094.000,7438,2,AK,1,100,6602
1670854419.733691,459614.000,7438,2,AK,1,100,RD
1670854419.750722,459630.500,7441,2,AK,1,100,7439
1670854419.767753,459647.000,7441,2,AK,1,100,RD
1670854422.391532,462189.000,8271,2,AK,1,100,7439
1670854425.015311,464731.000,8271,2,AK,1,100,RD
1670854425.041631,464756.500,8274,2,AK,1,100,8272
1670854425.067951,464782.000,8274,2,AK,1,100,RD
1670854427.673667,467306.500,9109,2,AK,1,100,8272
1670854430.279383,469831.000,9109,2,AK,1,100,RD
1670854430.291770,469843.000,9112,2,AK,1,100,9110
1670854430.304156,469855.000,9112,2,AK,1,100,RD
1670854432.932063,472401.000,9943,2,AK,1,100,9110
1670854435.559971,474947.000,9943,2,AK,1,100,RD
1670854435.591968,474978.000,9946,2,AK,1,100,9944
1670854435.623966,475009.000,9946,2,AK,1,100,RD
1670854438.224005,477528.000,10777,2,AK,1,100,9944
1670854440.824044,480047.000,10777,2,AK,1,100,RD
1670854440.837978,480060.500,10780,2,AK,1,100,10778
1670854440.851912,480074.000,10780,2,AK,1,100,RD
