LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1670854070.544000,121308.000,18063,1,B%,1,100,83
1670854071.540045,122273.000,18235,1,B%,1,100,83
1670854072.540219,123242.000,18384,1,B%,1,100,83
1670854073.536264,124207.000,18551,1,B%,1,100,83
1670854074.533342,125173.000,18699,1,B%,1,100,82
1670854075.536612,126145.000,18866,1,B%,1,100,82
1670854076.532657,127110.000,19020,1,B%,1,100,82
1670854077.528702,128075.000,19187,1,B%,1,100,83
1670854078.520619,129036.000,19335,1,B%,1,100,83
1670854079.521825,130006.000,19502,1,B%,1,100,83
1670854080.516838,130970.000,19651,1,B%,1,100,83
1670854081.517011,131939.000,19805,1,B%,1,100,83
1670854082.518218,132909.000,19972,1,B%,1,100,82
1670854083.512198,133872.000,20121,1,B%,1,100,82
1670854084.514436,134843.000,20288,1,B%,1,100,82
1670854085.512546,135810.000,20454,1,B%,1,100,82
1670854086.506527,136773.000,20608,1,B%,1,100,82
1670854087.502572,137738.000,20774,1,B%,1,100,82
1670854088.498617,138703.000,20923,1,B%,1,100,83
1670854089.496727,139670.000,21090,1,B%,1,100,83
1670854090.492772,140635.000,21238,1,B%,1,100,83
1670854091.495010,141606.000,21405,1,B%,1,100,82
1670854092.492087,142572.000,21559,1,B%,1,100,82
1670854093.490197,143539.000,21726,1,B%,1,100,82
1670854094.490371,144508.000,21874,1,B%,1,100,82
1670854095.484351,145471.000,22041,1,B%,1,100,82
1670854096.480397,146436.000,22190,1,B%,1,100,82
1670854097.476442,147401.000,22345,1,B%,1,100,82
1670854098.473519,148367.000,22512,1,B%,1,100,82
1670854099.472661,149335.000,22663,1,B%,1,100,82
1670854100.473867,150305.000,22812,1,B%,1,100,82
1670854101.474041,151274.000,22979,1,B%,1,100,82
1670854102.469054,152238.000,23133,1,B%,1,100,82
1670854103.469227,153207.000,23299,1,B%,1,100,82
1670854104.463208,154170.000,23449,1,B%,1,100,81
1670854105.458221,155134.000,23615,1,B%,1,100,81
1670854106.453234,156098.000,23764,1,B%,1,100,82
1670854107.451344,157065.000,23930,1,B%,1,100,82
1670854108.449453,158032.000,24070,1,B%,1,100,82
1670854109.448595,159000.000,24237,1,B%,1,100,82
1670854110.449801,159970.000,24402,1,B%,1,100,81
1670854111.447910,160937.000,24551,1,B%,1,100,82
1670854112.444988,161903.000,24716,1,B%,1,100,82
1670854113.440001,162867.000,24873,1,B%,1,100,82
1670854114.433981,163830.000,25037,1,B%,1,100,82
1670854115.430027,164795.000,25186,1,B%,1,100,82
1670854116.430200,165764.000,25352,1,B%,1,100,82
1670854117.430374,166733.000,25501,1,B%,1,100,82
1670854118.428484,167700.000,25657,1,B%,1,100,82
1670854119.428658,168669.000,25805,1,B%,1,100,81
1670854120.429864,169639.000,25972,1,B%,1,100,81
1670854121.427973,170606.000,26138,1,B%,1,100,82
1670854122.420922,171568.000,26288,1,B%,1,100,82
1670854123.414902,172531.000,26459,1,B%,1,100,82
1670854124.410948,173496.000,26607,1,B%,1,100,82
1670854125.410089,174464.000,26774,1,B%,1,100,82
1670854126.408199,175431.000,26923,1,B%,1,100,82
1670854127.409405,176401.000,27090,1,B%,1,100,82
1670854128.405450,177366.000,27238,1,B%,1,100,82
1670854129.404592,178334.000,27410,1,B%,1,100,82
1670854130.406830,179305.000,27560,1,B%,1,100,82
1670854131.398746,180266.000,27726,1,B%,1,100,82
1670854132.393759,181230.000,27875,1,B%,1,100,82
1670854133.390837,182196.000,28041,1,B%,1,100,82
1670854134.389978,183164.000,28178,1,B%,1,100,82
1670854135.390152,184133.000,28344,1,B%,1,100,82
1670854136.389294,185101.000,28491,1,B%,1,100,82
1670854137.392564,186073.000,28641,1,B%,1,100,82
1670854138.387577,187037.000,28807,1,B%,1,100,82
1670854139.391880,188010.000,28948,1,B%,1,100,82
1670854140.384828,188972.000,29113,1,B%,1,100,82
1670854141.378809,189935.000,29263,1,B%,1,100,81
1670854142.374854,190900.000,29427,1,B%,1,100,81
1670854143.371932,191866.000,29577,1,B%,1,100,81
1670854144.372105,192835.000,29743,1,B%,1,100,81
1670854145.369183,193801.000,29883,1,B%,1,100,81
1670854146.371421,194772.000,30047,1,B%,1,100,82
1670854147.369530,195739.000,30197,1,B%,1,100,82
1670854148.366608,196705.000,30363,1,B%,1,100,82
1670854149.366782,197674.000,30511,1,B%,1,100,82
1670854150.358698,198635.000,30684,1,B%,1,100,82
1670854151.356807,199602.000,30833,1,B%,1,100,81
1670854152.351820,200566.000,31000,1,B%,1,100,82
1670854153.357155,201540.000,31148,1,B%,1,100,82
1670854154.355265,202507.000,31315,1,B%,1,100,81
1670854155.355438,203476.000,31472,1,B%,1,100,81
1670854156.357677,204447.000,31621,1,B%,1,100,81
1670854157.354754,205413.000,31788,1,B%,1,100,81
1670854158.353896,206381.000,31936,1,B%,1,100,81
1670854159.347877,207344.000,32103,1,B%,1,100,81
1670854160.343922,208309.000,32252,1,B%,1,100,82
1670854161.339967,209274.000,32424,1,B%,1,100,82
1670854162.341173,210244.000,32572,1,B%,1,100,82
1670854163.342379,211214.000,32739,1,B%,1,100,82
1670854164.338424,212179.000,32903,1,B%,1,100,81
1670854165.342726,213152.000,33055,1,B%,1,100,82
1670854166.339804,214118.000,33192,1,B%,1,100,82
1670854167.337913,215085.000,33359,1,B%,1,100,82
1670854168.331894,216048.000,33508,1,B%,1,100,82
1670854169.330004,217015.000,33675,1,B%,1,100,81
1670854170.325017,217979.000,33823,1,B%,1,100,81
1670854171.325191,218948.000,33981,1,B%,1,100,81
1670854172.329493,219921.000,34130,1,B%,1,100,81
1670854173.326570,220887.000,34280,1,B%,1,100,81
1670854174.326744,221856.000,34445,1,B%,1,100,82
1670854175.328982,222827.000,34594,1,B%,1,100,82
1670854176.327092,223794.000,34750,1,B%,1,100,82
1670854177.321073,224757.000,34917,1,B%,1,100,81
1670854178.314021,225719.000,35066,1,B%,1,100,81
1670854179.314195,226688.000,35233,1,B%,1,100,81
1670854180.313337,227656.000,35398,1,B%,1,100,81
1670854181.317639,228629.000,35546,1,B%,1,100,82
1670854182.317813,229598.000,35701,1,B%,1,100,82
1670854183.316955,230566.000,35850,1,B%,1,100,81
1670854184.314032,231532.000,36017,1,B%,1,100,81
1670854185.317302,232504.000,36183,1,B%,1,100,81
1670854186.308187,233464.000,36332,1,B%,1,100,81
1670854187.304232,234429.000,36487,1,B%,1,100,81
1670854188.302341,235396.000,36635,1,B%,1,100,81
1670854189.303547,236366.000,36802,1,B%,1,100,81
1670854190.305786,237337.000,36967,1,B%,1,100,81
1670854191.305959,238306.000,37116,1,B%,1,100,80
1670854192.309230,239278.000,37272,1,B%,1,100,81
1670854193.305275,240243.000,37438,1,B%,1,100,81
1670854194.306481,241213.000,37587,1,B%,1,100,81
1670854195.300462,242176.000,37754,1,B%,1,100,81
1670854196.293411,243138.000,37903,1,B%,1,100,81
1670854197.292552,244106.000,38069,1,B%,1,100,81
1670854198.288597,245071.000,38208,1,B%,1,100,81
1670854199.291868,246043.000,38375,1,B%,1,100,81
1670854200.287913,247008.000,38539,1,B%,1,100,82
1670854201.292215,247981.000,38691,1,B%,1,100,81
1670854202.290325,248948.000,38855,1,B%,1,100,81
1670854203.287402,249914.000,38995,1,B%,1,100,81
