LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1670854070.544000,121308.000,18062,1,BV,1,100,4.01
1670854071.540045,122273.000,18234,1,BV,1,100,4.01
1670854072.540219,123242.000,18383,1,BV,1,100,4.01
1670854073.536264,124207.000,18550,1,BV,1,100,4.01
1670854074.533342,125173.000,18698,1,BV,1,100,4.01
1670854075.536612,126145.000,18865,1,BV,1,100,4.01
1670854076.532657,127110.000,19019,1,BV,1,100,4.01
1670854077.528702,128075.000,19186,1,BV,1,100,4.01
1670854078.520619,129036.000,19334,1,BV,1,100,4.01
1670854079.521825,130006.000,19501,1,BV,1,100,4.01
1670854080.516838,130970.000,19650,1,BV,1,100,4.01
1670854081.517011,131939.000,19804,1,BV,1,100,4.01
1670854082.518218,132909.000,19971,1,BV,1,100,4.01
1670854083.512198,133872.000,20120,1,BV,1,100,4.01
1670854084.514436,134843.000,20287,1,BV,1,100,4.01
1670854085.512546,135810.000,20453,1,BV,1,100,4.01
1670854086.506527,136773.000,20607,1,BV,1,100,4.01
1670854087.502572,137738.000,20773,1,BV,1,100,4.01
1670854088.498617,138703.000,20922,1,BV,1,100,4.01
1670854089.496727,139670.000,21089,1,BV,1,100,4.01
1670854090.492772,140635.000,21237,1,BV,1,100,4.01
1670854091.495010,141606.000,21404,1,BV,1,100,4.00
1670854092.492087,142572.000,21558,1,BV,1,100,4.00
1670854093.490197,143539.000,21725,1,BV,1,100,4.01
1670854094.490371,144508.000,21873,1,BV,1,100,4.01
1670854095.484351,145471.000,22040,1,BV,1,100,4.01
1670854096.480397,146436.000,22189,1,BV,1,100,4.01
1670854097.476442,147401.000,22344,1,BV,1,100,4.01
1670854098.473519,148367.000,22511,1,BV,1,100,4.01
1670854099.472661,149335.000,22662,1,BV,1,100,4.01
1670854100.473867,150305.000,22811,1,BV,1,100,4.01
1670854101.474041,151274.000,22978,1,BV,1,100,4.01
1670854102.469054,152238.000,23132,1,BV,1,100,4.00
1670854103.469227,153207.000,23298,1,BV,1,100,4.00
1670854104.463208,154170.000,23448,1,BV,1,100,4.00
1670854105.458221,155134.000,23614,1,BV,1,100,4.00
1670854106.453234,156098.000,23763,1,BV,1,100,4.00
1670854107.451344,157065.000,23929,1,BV,1,100,4.01
1670854108.449453,158032.000,24069,1,BV,1,100,4.01
1670854109.448595,159000.000,24236,1,BV,1,100,4.01
1670854110.449801,159970.000,24401,1,BV,1,100,4.00
1670854111.447910,160937.000,24550,1,BV,1,100,4.01
1670854112.444988,161903.000,24715,1,BV,1,100,4.01
1670854113.440001,162867.000,24872,1,BV,1,100,4.01
1670854114.433981,163830.000,25036,1,BV,1,100,4.01
1670854115.430027,164795.000,25185,1,BV,1,100,4.01
1670854116.430200,165764.000,25351,1,BV,1,100,4.01
1670854117.430374,166733.000,25500,1,BV,1,100,4.01
1670854118.428484,167700.000,25656,1,BV,1,100,4.00
1670854119.428658,168669.000,25804,1,BV,1,100,4.00
1670854120.429864,169639.000,25971,1,BV,1,100,4.00
