LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1670854070.512003,121277.000,18049,1,EA,1,100,0.030319
1670854070.578578,121341.500,18074,2,EA,1,100,0.030319
1670854070.645153,121406.000,18074,2,EA,1,100,0.030319
1670854070.711212,121470.000,18090,2,EA,1,100,0.030319
1670854070.777271,121534.000,18090,2,EA,1,100,0.030319
1670854070.841265,121596.000,18107,1,EA,1,100,0.030319
1670854070.907840,121660.500,18123,2,EA,1,100,0.030319
1670854070.974416,121725.000,18123,2,EA,1,100,0.030319
1670854071.040990,121789.500,18139,2,EA,1,100,0.030319
1670854071.107565,121854.000,18139,2,EA,1,100,0.030319
1670854071.174657,121919.000,18155,1,EA,1,100,0.030319
1670854071.240716,121983.000,18173,2,EA,1,100,0.030319
1670854071.306775,122047.000,18173,2,EA,1,100,0.030319
1670854071.373866,122112.000,18189,1,EA,1,100,0.030319
1670854071.439925,122176.000,18204,2,EA,1,100,0.030319
1670854071.505984,122240.000,18204,2,EA,1,100,0.030319
1670854071.575139,122307.000,18221,1,EA,1,100,0.030319
1670854071.641714,122371.500,18240,2,EA,1,100,0.030319
1670854071.708289,122436.000,18240,2,EA,1,100,0.030319
1670854071.774864,122500.500,18256,2,EA,1,100,0.030319
1670854071.841439,122565.000,18256,2,EA,1,100,0.030319
1670854071.905434,122627.000,18273,1,EA,1,100,0.030319
1670854071.972009,122691.500,18288,2,EA,1,100,0.030319
1670854072.038584,122756.000,18288,2,EA,1,100,0.030319
1670854072.104643,122820.000,18305,1,EA,1,100,0.030319
1670854072.170702,122884.000,18322,2,EA,1,100,0.030319
1670854072.236761,122948.000,18322,2,EA,1,100,0.030319
1670854072.303852,123013.000,18339,1,EA,1,100,0.030319
1670854072.371975,123079.000,18353,2,EA,1,100,0.030319
1670854072.440099,123145.000,18353,2,EA,1,100,0.030319
1670854072.507190,123210.000,18370,1,EA,1,100,0.030319
1670854072.573765,123274.500,18389,2,EA,1,100,0.030319
1670854072.640340,123339.000,18389,2,EA,1,100,0.030319
1670854072.706915,123403.500,18406,2,EA,1,100,0.030319
1670854072.773490,123468.000,18406,2,EA,1,100,0.030319
1670854072.838516,123531.000,18422,1,EA,1,100,0.030319
1670854072.904576,123595.000,18438,2,EA,1,100,0.030319
1670854072.970634,123659.000,18438,2,EA,1,100,0.030319
1670854073.039790,123726.000,18454,1,EA,1,100,0.030319
1670854073.106365,123790.500,18471,2,EA,1,100,0.030319
1670854073.172940,123855.000,18471,2,EA,1,100,0.030319
1670854073.238999,123919.000,18488,1,EA,1,100,0.030319
1670854073.305574,123983.500,18504,2,EA,1,100,0.030319
1670854073.372149,124048.000,18504,2,EA,1,100,0.030319
1670854073.438208,124112.000,18519,2,EA,1,100,0.030319
1670854073.504267,124176.000,18519,2,EA,1,100,0.030319
1670854073.569294,124239.000,18537,1,EA,1,100,0.030319
1670854073.635869,124303.500,18555,2,EA,1,100,0.030319
1670854073.702444,124368.000,18555,2,EA,1,100,0.030319
1670854073.769535,124433.000,18572,1,EA,1,100,0.030319
1670854073.837658,124499.000,18587,2,EA,1,100,0.030319
1670854073.905782,124565.000,18587,2,EA,1,100,0.030319
1670854073.972872,124630.000,18604,1,EA,1,100,0.030319
1670854074.039448,124694.500,18620,2,EA,1,100,0.030319
1670854074.106023,124759.000,18620,2,EA,1,100,0.030319
1670854074.171049,124822.000,18638,2,EA,1,100,0.030319
1670854074.236076,124885.000,18638,2,EA,1,100,0.030319
1670854074.302135,124949.000,18653,1,EA,1,100,0.030319
1670854074.368710,125013.500,18669,2,EA,1,100,0.030319
1670854074.435285,125078.000,18669,2,EA,1,100,0.030319
1670854074.501344,125142.000,18685,1,EA,1,100,0.030319
1670854074.568435,125207.000,18705,2,EA,1,100,0.030319
1670854074.635526,125272.000,18705,2,EA,1,100,0.030319
1670854074.703650,125338.000,18721,1,EA,1,100,0.030319
1670854074.770225,125402.500,18736,2,EA,1,100,0.030319
1670854074.836800,125467.000,18736,2,EA,1,100,0.030319
1670854074.902859,125531.000,18753,2,EA,1,100,0.030319
1670854074.968918,125595.000,18753,2,EA,1,100,0.030319
1670854075.034977,125659.000,18770,1,EA,1,100,0.030319
1670854075.101552,125723.500,18786,2,EA,1,100,0.030319
1670854075.168127,125788.000,18786,2,EA,1,100,0.030319
1670854075.233154,125851.000,18804,1,EA,1,100,0.030319
1670854075.301277,125917.000,18818,2,EA,1,100,0.030319
1670854075.369400,125983.000,18818,2,EA,1,100,0.030319
1670854075.436491,126048.000,18835,1,EA,1,100,0.030319
1670854075.503066,126112.500,18852,2,EA,1,100,0.030319
1670854075.569641,126177.000,18852,2,EA,1,100,0.030319
1670854075.634668,126240.000,18871,1,EA,1,100,0.030319
1670854075.701243,126304.500,18886,2,EA,1,100,0.030319
1670854075.767818,126369.000,18886,2,EA,1,100,0.030319
1670854075.834393,126433.500,18903,2,EA,1,100,0.030319
1670854075.900968,126498.000,18903,2,EA,1,100,0.030319
1670854075.968060,126563.000,18924,1,EA,1,100,0.030319
1670854076.035151,126628.000,18941,2,EA,1,100,0.030319
1670854076.102242,126693.000,18941,2,EA,1,100,0.030319
1670854076.169333,126758.000,18957,1,EA,1,100,0.030319
1670854076.235908,126822.500,18974,2,EA,1,100,0.030319
1670854076.302483,126887.000,18974,2,EA,1,100,0.030319
1670854076.368026,126950.500,18989,2,EA,1,100,0.030319
1670854076.433569,127014.000,18989,2,EA,1,100,0.030319
1670854076.500660,127079.000,19006,1,EA,1,100,0.030319
1670854076.566719,127143.000,19025,2,EA,1,100,0.030319
1670854076.632778,127207.000,19025,2,EA,1,100,0.030319
1670854076.699869,127272.000,19042,1,EA,1,100,0.030319
1670854076.766444,127336.500,19057,2,EA,1,100,0.030319
1670854076.833019,127401.000,19057,2,EA,1,100,0.030319
1670854076.899078,127465.000,19074,2,EA,1,100,0.030319
1670854076.965137,127529.000,19074,2,EA,1,100,0.030319
1670854077.032228,127594.000,19090,1,EA,1,100,0.030319
1670854077.098287,127658.000,19107,2,EA,1,100,0.030319
1670854077.164346,127722.000,19107,2,EA,1,100,0.030319
1670854077.230405,127786.000,19124,1,EA,1,100,0.030319
1670854077.296464,127850.000,19139,2,EA,1,100,0.030319
1670854077.362523,127914.000,19139,2,EA,1,100,0.030319
1670854077.430646,127980.000,19155,1,EA,1,100,0.030319
1670854077.496189,128043.500,19173,2,EA,1,100,0.030319
1670854077.561732,128107.000,19173,2,EA,1,100,0.030319
1670854077.627791,128171.000,19191,2,EA,1,100,0.030319
1670854077.693850,128235.000,19191,2,EA,1,100,0.030319
1670854077.759908,128299.000,19208,1,EA,1,100,0.030319
1670854077.825968,128363.000,19223,2,EA,1,100,0.030319
1670854077.892026,128427.000,19223,2,EA,1,100,0.030319
1670854077.959118,128492.000,19240,1,EA,1,100,0.030319
1670854078.025177,128556.000,19256,2,EA,1,100,0.030319
1670854078.091235,128620.000,19256,2,EA,1,100,0.030319
1670854078.158327,128685.000,19274,2,EA,1,100,0.030319
1670854078.225418,128750.000,19274,2,EA,1,100,0.030319
1670854078.290445,128813.000,19290,1,EA,1,100,0.030319
1670854078.357019,128877.500,19305,2,EA,1,100,0.030319
1670854078.423594,128942.000,19305,2,EA,1,100,0.030319
1670854078.489654,129006.000,19321,1,EA,1,100,0.030319
1670854078.555712,129070.000,19341,2,EA,1,100,0.030319
1670854078.621771,129134.000,19341,2,EA,1,100,0.030319
1670854078.686798,129197.000,19357,1,EA,1,100,0.030319
1670854078.753889,129262.000,19373,2,EA,1,100,0.030319
1670854078.820981,129327.000,19373,2,EA,1,100,0.030319
1670854078.887556,129391.500,19389,2,EA,1,100,0.030319
1670854078.954131,129456.000,19389,2,EA,1,100,0.030319
1670854079.020190,129520.000,19406,1,EA,1,100,0.030319
1670854079.086765,129584.500,19422,2,EA,1,100,0.030319
1670854079.153340,129649.000,19422,2,EA,1,100,0.030319
1670854079.220431,129714.000,19440,1,EA,1,100,0.030319
1670854079.288038,129779.500,19454,2,EA,1,100,0.030319
1670854079.355645,129845.000,19454,2,EA,1,100,0.030319
1670854079.422220,129909.500,19471,2,EA,1,100,0.030319
1670854079.488795,129974.000,19471,2,EA,1,100,0.030319
1670854079.555886,130039.000,19488,1,EA,1,100,0.030319
1670854079.621945,130103.000,19507,2,EA,1,100,0.030319
1670854079.688004,130167.000,19507,2,EA,1,100,0.030319
1670854079.753031,130230.000,19523,1,EA,1,100,0.030319
1670854079.820122,130295.000,19539,2,EA,1,100,0.030319
1670854079.887213,130360.000,19539,2,EA,1,100,0.030319
1670854079.952240,130423.000,19555,1,EA,1,100,0.030319
1670854080.018815,130487.500,19572,2,EA,1,100,0.030319
1670854080.085390,130552.000,19572,2,EA,1,100,0.030319
1670854080.151965,130616.500,19589,2,EA,1,100,0.030319
1670854080.218540,130681.000,19589,2,EA,1,100,0.030319
1670854080.284599,130745.000,19606,1,EA,1,100,0.030319
1670854080.351174,130809.500,19620,2,EA,1,100,0.030319
1670854080.417749,130874.000,19620,2,EA,1,100,0.030319
1670854080.484840,130939.000,19637,1,EA,1,100,0.030319
1670854080.550383,131002.500,19656,2,EA,1,100,0.030319
1670854080.615926,131066.000,19656,2,EA,1,100,0.030319
1670854080.683017,131131.000,19673,1,EA,1,100,0.030319
1670854080.750108,131196.000,19687,2,EA,1,100,0.030319
1670854080.817199,131261.000,19687,2,EA,1,100,0.030319
1670854080.883775,131325.500,19705,2,EA,1,100,0.030319
1670854080.950350,131390.000,19705,2,EA,1,100,0.030319
1670854081.017441,131455.000,19721,1,EA,1,100,0.030319
1670854081.083500,131519.000,19738,2,EA,1,100,0.030319
1670854081.149559,131583.000,19738,2,EA,1,100,0.030319
1670854081.215617,131647.000,19760,2,EA,1,100,0.030319
1670854081.281677,131711.000,19760,2,EA,1,100,0.030319
1670854081.348252,131775.500,19777,2,EA,1,100,0.030319
1670854081.414827,131840.000,19777,2,EA,1,100,0.030319
1670854081.482950,131906.000,19793,1,EA,1,100,0.030319
1670854081.550557,131971.500,19811,2,EA,1,100,0.030319
1670854081.618164,132037.000,19811,2,EA,1,100,0.030319
1670854081.685255,132102.000,19827,1,EA,1,100,0.030319
1670854081.751830,132166.500,19844,2,EA,1,100,0.030319
1670854081.818405,132231.000,19844,2,EA,1,100,0.030319
1670854081.884465,132295.000,19861,2,EA,1,100,0.030319
1670854081.950523,132359.000,19861,2,EA,1,100,0.030319
1670854082.015550,132422.000,19878,1,EA,1,100,0.030319
1670854082.082641,132487.000,19892,2,EA,1,100,0.030319
1670854082.149732,132552.000,19892,2,EA,1,100,0.030319
1670854082.217856,132618.000,19910,1,EA,1,100,0.030319
1670854082.284431,132682.500,19926,2,EA,1,100,0.030319
1670854082.351006,132747.000,19926,2,EA,1,100,0.030319
1670854082.418097,132812.000,19943,1,EA,1,100,0.030319
1670854082.484672,132876.500,19958,2,EA,1,100,0.030319
1670854082.551247,132941.000,19958,2,EA,1,100,0.030319
1670854082.617306,133005.000,19977,2,EA,1,100,0.030319
1670854082.683365,133069.000,19977,2,EA,1,100,0.030319
1670854082.750456,133134.000,19993,1,EA,1,100,0.030319
1670854082.817031,133198.500,20011,2,EA,1,100,0.030319
1670854082.883606,133263.000,20011,2,EA,1,100,0.030319
1670854082.948633,133326.000,20027,1,EA,1,100,0.030319
1670854083.016240,133391.500,20042,2,EA,1,100,0.030319
1670854083.083847,133457.000,20042,2,EA,1,100,0.030319
1670854083.150939,133522.000,20058,1,EA,1,100,0.030319
1670854083.216997,133586.000,20076,2,EA,1,100,0.030319
1670854083.283056,133650.000,20076,2,EA,1,100,0.030319
1670854083.348599,133713.500,20092,2,EA,1,100,0.030319
1670854083.414142,133777.000,20092,2,EA,1,100,0.030319
1670854083.480201,133841.000,20108,1,EA,1,100,0.030319
1670854083.546260,133905.000,20126,2,EA,1,100,0.030319
1670854083.612319,133969.000,20126,2,EA,1,100,0.030319
1670854083.678378,134033.000,20143,1,EA,1,100,0.030319
1670854083.746501,134099.000,20159,2,EA,1,100,0.030319
1670854083.814625,134165.000,20159,2,EA,1,100,0.030319
1670854083.881716,134230.000,20177,1,EA,1,100,0.030319
1670854083.948291,134294.500,20191,2,EA,1,100,0.030318
1670854084.014866,134359.000,20191,2,EA,1,100,0.030319
1670854084.081957,134424.000,20208,1,EA,1,100,0.030319
1670854084.146984,134487.000,20225,2,EA,1,100,0.030319
1670854084.212010,134550.000,20225,2,EA,1,100,0.030318
1670854084.278585,134614.500,20242,2,EA,1,100,0.030319
1670854084.345160,134679.000,20242,2,EA,1,100,0.030319
1670854084.413284,134745.000,20258,1,EA,1,100,0.030319
1670854084.480891,134810.500,20274,2,EA,1,100,0.030319
1670854084.548498,134876.000,20274,2,EA,1,100,0.030319
1670854084.615589,134941.000,20292,1,EA,1,100,0.030319
1670854084.681648,135005.000,20309,2,EA,1,100,0.030319
1670854084.747707,135069.000,20309,2,EA,1,100,0.030319
1670854084.812734,135132.000,20325,1,EA,1,100,0.030319
1670854084.879309,135196.500,20342,2,EA,1,100,0.030318
1670854084.945884,135261.000,20342,2,EA,1,100,0.030319
1670854085.011943,135325.000,20357,2,EA,1,100,0.030319
1670854085.078002,135389.000,20357,2,EA,1,100,0.030318
1670854085.146125,135455.000,20374,1,EA,1,100,0.030319
1670854085.212700,135519.500,20391,2,EA,1,100,0.030319
1670854085.279275,135584.000,20391,2,EA,1,100,0.030319
1670854085.346366,135649.000,20408,1,EA,1,100,0.030319
1670854085.412941,135713.500,20422,2,EA,1,100,0.030319
1670854085.479517,135778.000,20422,2,EA,1,100,0.030318
1670854085.546608,135843.000,20440,1,EA,1,100,0.030319
1670854085.611634,135906.000,20458,2,EA,1,100,0.030319
