LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1670854070.512003,121277.000,18050,1,EL,1,100,26466.000000
1670854070.578578,121341.500,18075,2,EL,1,100,26466.000000
1670854070.645153,121406.000,18075,2,EL,1,100,26466.000000
1670854070.711212,121470.000,18091,2,EL,1,100,26465.599609
1670854070.777271,121534.000,18091,2,EL,1,100,26466.000000
1670854070.841265,121596.000,18108,1,EL,1,100,26465.800781
1670854070.907840,121660.500,18124,2,EL,1,100,26466.000000
1670854070.974416,121725.000,18124,2,EL,1,100,26466.000000
1670854071.040990,121789.500,18140,2,EL,1,100,26466.000000
1670854071.107565,121854.000,18140,2,EL,1,100,26465.800781
1670854071.174657,121919.000,18156,1,EL,1,100,26465.400391
1670854071.240716,121983.000,18174,2,EL,1,100,26465.800781
1670854071.306775,122047.000,18174,2,EL,1,100,26465.400391
1670854071.373866,122112.000,18190,1,EL,1,100,26465.599609
1670854071.439925,122176.000,18205,2,EL,1,100,26465.199219
1670854071.505984,122240.000,18205,2,EL,1,100,26465.599609
1670854071.575139,122307.000,18222,1,EL,1,100,26465.800781
1670854071.641714,122371.500,18241,2,EL,1,100,26465.800781
1670854071.708289,122436.000,18241,2,EL,1,100,26465.400391
1670854071.774864,122500.500,18257,2,EL,1,100,26465.599609
1670854071.841439,122565.000,18257,2,EL,1,100,26465.800781
1670854071.905434,122627.000,18274,1,EL,1,100,26465.400391
1670854071.972009,122691.500,18289,2,EL,1,100,26466.000000
1670854072.038584,122756.000,18289,2,EL,1,100,26465.599609
1670854072.104643,122820.000,18306,1,EL,1,100,26465.400391
1670854072.170702,122884.000,18323,2,EL,1,100,26465.400391
1670854072.236761,122948.000,18323,2,EL,1,100,26465.400391
1670854072.303852,123013.000,18340,1,EL,1,100,26465.400391
1670854072.371975,123079.000,18354,2,EL,1,100,26465.000000
1670854072.440099,123145.000,18354,2,EL,1,100,26465.000000
1670854072.507190,123210.000,18371,1,EL,1,100,26465.599609
1670854072.573765,123274.500,18390,2,EL,1,100,26465.199219
1670854072.640340,123339.000,18390,2,EL,1,100,26465.199219
1670854072.706915,123403.500,18407,2,EL,1,100,26465.000000
1670854072.773490,123468.000,18407,2,EL,1,100,26465.000000
1670854072.838516,123531.000,18423,1,EL,1,100,26465.000000
1670854072.904576,123595.000,18439,2,EL,1,100,26465.000000
1670854072.970634,123659.000,18439,2,EL,1,100,26465.000000
1670854073.039790,123726.000,18455,1,EL,1,100,26465.000000
1670854073.106365,123790.500,18472,2,EL,1,100,26465.000000
1670854073.172940,123855.000,18472,2,EL,1,100,26465.199219
1670854073.238999,123919.000,18489,1,EL,1,100,26465.000000
1670854073.305574,123983.500,18505,2,EL,1,100,26465.199219
1670854073.372149,124048.000,18505,2,EL,1,100,26465.000000
1670854073.438208,124112.000,18520,2,EL,1,100,26465.000000
1670854073.504267,124176.000,18520,2,EL,1,100,26465.000000
1670854073.569294,124239.000,18538,1,EL,1,100,26465.000000
1670854073.635869,124303.500,18556,2,EL,1,100,26465.000000
1670854073.702444,124368.000,18556,2,EL,1,100,26465.000000
1670854073.769535,124433.000,18573,1,EL,1,100,26465.400391
1670854073.837658,124499.000,18588,2,EL,1,100,26465.199219
1670854073.905782,124565.000,18588,2,EL,1,100,26465.000000
1670854073.972872,124630.000,18605,1,EL,1,100,26465.599609
1670854074.039448,124694.500,18621,2,EL,1,100,26465.199219
1670854074.106023,124759.000,18621,2,EL,1,100,26465.199219
1670854074.171049,124822.000,18639,2,EL,1,100,26465.199219
1670854074.236076,124885.000,18639,2,EL,1,100,26465.599609
1670854074.302135,124949.000,18654,1,EL,1,100,26465.000000
1670854074.368710,125013.500,18670,2,EL,1,100,26465.199219
1670854074.435285,125078.000,18670,2,EL,1,100,26465.000000
1670854074.501344,125142.000,18686,1,EL,1,100,26465.000000
1670854074.568435,125207.000,18706,2,EL,1,100,26465.199219
1670854074.635526,125272.000,18706,2,EL,1,100,26465.000000
1670854074.703650,125338.000,18722,1,EL,1,100,26465.199219
1670854074.770225,125402.500,18737,2,EL,1,100,26465.199219
1670854074.836800,125467.000,18737,2,EL,1,100,26465.199219
1670854074.902859,125531.000,18754,2,EL,1,100,26465.199219
1670854074.968918,125595.000,18754,2,EL,1,100,26465.199219
1670854075.034977,125659.000,18771,1,EL,1,100,26465.800781
1670854075.101552,125723.500,18787,2,EL,1,100,26465.400391
1670854075.168127,125788.000,18787,2,EL,1,100,26465.199219
1670854075.233154,125851.000,18805,1,EL,1,100,26465.199219
1670854075.301277,125917.000,18819,2,EL,1,100,26465.599609
1670854075.369400,125983.000,18819,2,EL,1,100,26465.599609
1670854075.436491,126048.000,18836,1,EL,1,100,26465.400391
1670854075.503066,126112.500,18853,2,EL,1,100,26465.199219
1670854075.569641,126177.000,18853,2,EL,1,100,26465.199219
1670854075.634668,126240.000,18872,1,EL,1,100,26465.000000
1670854075.701243,126304.500,18887,2,EL,1,100,26465.000000
1670854075.767818,126369.000,18887,2,EL,1,100,26465.000000
1670854075.834393,126433.500,18904,2,EL,1,100,26465.199219
1670854075.900968,126498.000,18904,2,EL,1,100,26465.000000
1670854075.968060,126563.000,18925,1,EL,1,100,26465.000000
1670854076.035151,126628.000,18942,2,EL,1,100,26465.000000
1670854076.102242,126693.000,18942,2,EL,1,100,26465.000000
1670854076.169333,126758.000,18958,1,EL,1,100,26465.000000
1670854076.235908,126822.500,18975,2,EL,1,100,26465.000000
1670854076.302483,126887.000,18975,2,EL,1,100,26464.800781
1670854076.368026,126950.500,18990,2,EL,1,100,26465.000000
1670854076.433569,127014.000,18990,2,EL,1,100,26464.599609
1670854076.500660,127079.000,19007,1,EL,1,100,26464.800781
1670854076.566719,127143.000,19026,2,EL,1,100,26465.000000
1670854076.632778,127207.000,19026,2,EL,1,100,26464.800781
1670854076.699869,127272.000,19043,1,EL,1,100,26464.599609
1670854076.766444,127336.500,19058,2,EL,1,100,26464.800781
1670854076.833019,127401.000,19058,2,EL,1,100,26464.599609
1670854076.899078,127465.000,19075,2,EL,1,100,26464.800781
1670854076.965137,127529.000,19075,2,EL,1,100,26464.800781
1670854077.032228,127594.000,19091,1,EL,1,100,26464.800781
1670854077.098287,127658.000,19108,2,EL,1,100,26464.800781
1670854077.164346,127722.000,19108,2,EL,1,100,26464.800781
1670854077.230405,127786.000,19125,1,EL,1,100,26465.000000
1670854077.296464,127850.000,19140,2,EL,1,100,26464.800781
1670854077.362523,127914.000,19140,2,EL,1,100,26465.000000
1670854077.430646,127980.000,19156,1,EL,1,100,26464.599609
1670854077.496189,128043.500,19174,2,EL,1,100,26465.000000
1670854077.561732,128107.000,19174,2,EL,1,100,26465.000000
1670854077.627791,128171.000,19192,2,EL,1,100,26465.000000
1670854077.693850,128235.000,19192,2,EL,1,100,26465.000000
1670854077.759908,128299.000,19209,1,EL,1,100,26465.199219
1670854077.825968,128363.000,19224,2,EL,1,100,26465.199219
1670854077.892026,128427.000,19224,2,EL,1,100,26465.000000
1670854077.959118,128492.000,19241,1,EL,1,100,26465.400391
1670854078.025177,128556.000,19257,2,EL,1,100,26465.199219
1670854078.091235,128620.000,19257,2,EL,1,100,26465.199219
1670854078.158327,128685.000,19275,2,EL,1,100,26465.199219
1670854078.225418,128750.000,19275,2,EL,1,100,26465.199219
1670854078.290445,128813.000,19291,1,EL,1,100,26465.199219
1670854078.357019,128877.500,19306,2,EL,1,100,26465.000000
1670854078.423594,128942.000,19306,2,EL,1,100,26465.400391
1670854078.489654,129006.000,19322,1,EL,1,100,26465.199219
1670854078.555712,129070.000,19342,2,EL,1,100,26465.199219
1670854078.621771,129134.000,19342,2,EL,1,100,26465.000000
1670854078.686798,129197.000,19358,1,EL,1,100,26465.000000
1670854078.753889,129262.000,19374,2,EL,1,100,26465.000000
1670854078.820981,129327.000,19374,2,EL,1,100,26465.199219
1670854078.887556,129391.500,19390,2,EL,1,100,26465.400391
1670854078.954131,129456.000,19390,2,EL,1,100,26465.199219
1670854079.020190,129520.000,19407,1,EL,1,100,26465.000000
1670854079.086765,129584.500,19423,2,EL,1,100,26465.000000
1670854079.153340,129649.000,19423,2,EL,1,100,26465.400391
1670854079.220431,129714.000,19441,1,EL,1,100,26465.199219
1670854079.288038,129779.500,19455,2,EL,1,100,26465.000000
1670854079.355645,129845.000,19455,2,EL,1,100,26465.599609
1670854079.422220,129909.500,19472,2,EL,1,100,26465.199219
1670854079.488795,129974.000,19472,2,EL,1,100,26465.199219
1670854079.555886,130039.000,19489,1,EL,1,100,26465.199219
1670854079.621945,130103.000,19508,2,EL,1,100,26465.599609
1670854079.688004,130167.000,19508,2,EL,1,100,26465.599609
1670854079.753031,130230.000,19524,1,EL,1,100,26465.599609
1670854079.820122,130295.000,19540,2,EL,1,100,26465.599609
1670854079.887213,130360.000,19540,2,EL,1,100,26465.400391
1670854079.952240,130423.000,19556,1,EL,1,100,26465.000000
1670854080.018815,130487.500,19573,2,EL,1,100,26465.599609
1670854080.085390,130552.000,19573,2,EL,1,100,26465.599609
1670854080.151965,130616.500,19590,2,EL,1,100,26465.800781
1670854080.218540,130681.000,19590,2,EL,1,100,26465.400391
1670854080.284599,130745.000,19607,1,EL,1,100,26465.800781
1670854080.351174,130809.500,19621,2,EL,1,100,26465.599609
1670854080.417749,130874.000,19621,2,EL,1,100,26465.400391
1670854080.484840,130939.000,19638,1,EL,1,100,26465.599609
1670854080.550383,131002.500,19657,2,EL,1,100,26465.800781
1670854080.615926,131066.000,19657,2,EL,1,100,26465.599609
1670854080.683017,131131.000,19674,1,EL,1,100,26465.400391
1670854080.750108,131196.000,19688,2,EL,1,100,26465.599609
1670854080.817199,131261.000,19688,2,EL,1,100,26465.199219
1670854080.883775,131325.500,19706,2,EL,1,100,26465.199219
1670854080.950350,131390.000,19706,2,EL,1,100,26465.199219
1670854081.017441,131455.000,19722,1,EL,1,100,26465.000000
1670854081.083500,131519.000,19739,2,EL,1,100,26465.000000
1670854081.149559,131583.000,19739,2,EL,1,100,26465.199219
1670854081.215617,131647.000,19761,2,EL,1,100,26465.599609
1670854081.281677,131711.000,19761,2,EL,1,100,26465.199219
1670854081.348252,131775.500,19778,2,EL,1,100,26465.400391
1670854081.414827,131840.000,19778,2,EL,1,100,26465.000000
1670854081.482950,131906.000,19794,1,EL,1,100,26465.199219
1670854081.550557,131971.500,19812,2,EL,1,100,26465.800781
1670854081.618164,132037.000,19812,2,EL,1,100,26465.400391
1670854081.685255,132102.000,19828,1,EL,1,100,26466.000000
1670854081.751830,132166.500,19845,2,EL,1,100,26465.599609
1670854081.818405,132231.000,19845,2,EL,1,100,26465.800781
1670854081.884465,132295.000,19862,2,EL,1,100,26465.800781
1670854081.950523,132359.000,19862,2,EL,1,100,26465.599609
1670854082.015550,132422.000,19879,1,EL,1,100,26466.000000
1670854082.082641,132487.000,19893,2,EL,1,100,26465.800781
1670854082.149732,132552.000,19893,2,EL,1,100,26466.000000
1670854082.217856,132618.000,19911,1,EL,1,100,26465.800781
1670854082.284431,132682.500,19927,2,EL,1,100,26466.000000
1670854082.351006,132747.000,19927,2,EL,1,100,26465.800781
1670854082.418097,132812.000,19944,1,EL,1,100,26466.000000
1670854082.484672,132876.500,19959,2,EL,1,100,26465.800781
1670854082.551247,132941.000,19959,2,EL,1,100,26466.000000
1670854082.617306,133005.000,19978,2,EL,1,100,26466.000000
1670854082.683365,133069.000,19978,2,EL,1,100,26466.000000
1670854082.750456,133134.000,19994,1,EL,1,100,26466.000000
1670854082.817031,133198.500,20012,2,EL,1,100,26466.000000
1670854082.883606,133263.000,20012,2,EL,1,100,26466.000000
1670854082.948633,133326.000,20028,1,EL,1,100,26465.800781
1670854083.016240,133391.500,20043,2,EL,1,100,26466.000000
1670854083.083847,133457.000,20043,2,EL,1,100,26466.000000
1670854083.150939,133522.000,20059,1,EL,1,100,26466.000000
1670854083.216997,133586.000,20077,2,EL,1,100,26466.000000
1670854083.283056,133650.000,20077,2,EL,1,100,26466.000000
1670854083.348599,133713.500,20093,2,EL,1,100,26466.000000
