LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1670854070.453169,121220.000,18045,4,EM,1,100,RS
1670854070.453169,121220.000,18045,4,EM,1,100,RB
1670854070.453169,121220.000,18045,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854070.453169,121220.000,18045,4,EM,1,100,PS
1670854070.512777,121277.750,18069,4,EM,1,100,RS
1670854070.572385,121335.500,18069,4,EM,1,100,RB
1670854070.631993,121393.250,18069,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854070.691601,121451.000,18069,4,EM,1,100,PS
1670854070.743467,121501.250,18103,4,EM,1,100,RS
1670854070.795334,121551.500,18103,4,EM,1,100,RB
1670854070.847200,121601.750,18103,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854070.899067,121652.000,18103,4,EM,1,100,PS
1670854070.950933,121702.250,18135,4,EM,1,100,RS
1670854071.002800,121752.500,18135,4,EM,1,100,RB
1670854071.054667,121802.750,18135,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854071.106533,121853.000,18135,4,EM,1,100,PS
1670854071.158400,121903.250,18168,4,EM,1,100,RS
1670854071.210267,121953.500,18168,4,EM,1,100,RB
1670854071.262133,122003.750,18168,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854071.314000,122054.000,18168,4,EM,1,100,PS
1670854071.365866,122104.250,18200,4,EM,1,100,RS
1670854071.417733,122154.500,18200,4,EM,1,100,RB
1670854071.469599,122204.750,18200,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854071.521466,122255.000,18200,4,EM,1,100,PS
1670854071.573333,122305.250,18236,4,EM,1,100,RS
1670854071.625199,122355.500,18236,4,EM,1,100,RB
1670854071.677066,122405.750,18236,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854071.728933,122456.000,18236,4,EM,1,100,PS
1670854071.780799,122506.250,18268,4,EM,1,100,RS
1670854071.832666,122556.500,18268,4,EM,1,100,RB
1670854071.884532,122606.750,18268,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854071.936399,122657.000,18268,4,EM,1,100,PS
1670854071.988266,122707.250,18301,4,EM,1,100,RS
1670854072.040132,122757.500,18301,4,EM,1,100,RB
1670854072.091999,122807.750,18301,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854072.143865,122858.000,18301,4,EM,1,100,PS
1670854072.195732,122908.250,18335,4,EM,1,100,RS
1670854072.247599,122958.500,18335,4,EM,1,100,RB
1670854072.299465,123008.750,18335,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854072.351332,123059.000,18335,4,EM,1,100,PS
1670854072.403198,123109.250,18366,4,EM,1,100,RS
1670854072.455065,123159.500,18366,4,EM,1,100,RB
1670854072.506932,123209.750,18366,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854072.558798,123260.000,18366,4,EM,1,100,PS
1670854072.610665,123310.250,18402,4,EM,1,100,RS
1670854072.662531,123360.500,18402,4,EM,1,100,RB
1670854072.714398,123410.750,18402,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854072.766264,123461.000,18402,4,EM,1,100,PS
1670854072.818131,123511.250,18433,4,EM,1,100,RS
1670854072.869998,123561.500,18433,4,EM,1,100,RB
1670854072.921864,123611.750,18433,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854072.973731,123662.000,18433,4,EM,1,100,PS
1670854073.025598,123712.250,18467,4,EM,1,100,RS
1670854073.077464,123762.500,18467,4,EM,1,100,RB
1670854073.129331,123812.750,18467,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854073.181197,123863.000,18467,4,EM,1,100,PS
1670854073.233064,123913.250,18500,4,EM,1,100,RS
1670854073.284930,123963.500,18500,4,EM,1,100,RB
1670854073.336797,124013.750,18500,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854073.388664,124064.000,18500,4,EM,1,100,PS
1670854073.440530,124114.250,18532,4,EM,1,100,RS
1670854073.492397,124164.500,18532,4,EM,1,100,RB
1670854073.544264,124214.750,18532,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854073.596130,124265.000,18532,4,EM,1,100,PS
1670854073.647997,124315.250,18568,4,EM,1,100,RS
1670854073.699863,124365.500,18568,4,EM,1,100,RB
1670854073.751730,124415.750,18568,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854073.803596,124466.000,18568,4,EM,1,100,PS
1670854073.855463,124516.250,18600,4,EM,1,100,RS
1670854073.907330,124566.500,18600,4,EM,1,100,RB
1670854073.959196,124616.750,18600,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854074.011063,124667.000,18600,4,EM,1,100,PS
1670854074.062930,124717.250,18633,4,EM,1,100,RS
1670854074.114796,124767.500,18633,4,EM,1,100,RB
1670854074.166663,124817.750,18633,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854074.218529,124868.000,18633,4,EM,1,100,PS
1670854074.270396,124918.250,18665,4,EM,1,100,RS
1670854074.322263,124968.500,18665,4,EM,1,100,RB
1670854074.374129,125018.750,18665,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854074.425996,125069.000,18665,4,EM,1,100,PS
1670854074.477862,125119.250,18700,4,EM,1,100,RS
1670854074.529729,125169.500,18700,4,EM,1,100,RB
1670854074.581595,125219.750,18700,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854074.633462,125270.000,18700,4,EM,1,100,PS
1670854074.685329,125320.250,18732,4,EM,1,100,RS
1670854074.737195,125370.500,18732,4,EM,1,100,RB
1670854074.789062,125420.750,18732,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854074.840929,125471.000,18732,4,EM,1,100,PS
1670854074.892795,125521.250,18766,4,EM,1,100,RS
1670854074.944662,125571.500,18766,4,EM,1,100,RB
1670854074.996528,125621.750,18766,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854075.048395,125672.000,18766,4,EM,1,100,PS
1670854075.100261,125722.250,18799,4,EM,1,100,RS
1670854075.152128,125772.500,18799,4,EM,1,100,RB
1670854075.203995,125822.750,18799,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854075.255861,125873.000,18799,4,EM,1,100,PS
1670854075.307728,125923.250,18831,4,EM,1,100,RS
1670854075.359595,125973.500,18831,4,EM,1,100,RB
1670854075.411461,126023.750,18831,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854075.463328,126074.000,18831,4,EM,1,100,PS
1670854075.515194,126124.250,18867,4,EM,1,100,RS
1670854075.567061,126174.500,18867,4,EM,1,100,RB
1670854075.618927,126224.750,18867,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854075.670794,126275.000,18867,4,EM,1,100,PS
1670854075.722661,126325.250,18898,4,EM,1,100,RS
1670854075.774527,126375.500,18898,4,EM,1,100,RB
1670854075.826394,126425.750,18898,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854075.878261,126476.000,18898,4,EM,1,100,PS
1670854075.930385,126526.500,18937,4,EM,1,100,RS
1670854075.982510,126577.000,18937,4,EM,1,100,RB
1670854076.034634,126627.500,18937,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854076.086759,126678.000,18937,4,EM,1,100,PS
1670854076.138626,126728.250,18969,4,EM,1,100,RS
1670854076.190492,126778.500,18969,4,EM,1,100,RB
1670854076.242359,126828.750,18969,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854076.294225,126879.000,18969,4,EM,1,100,PS
1670854076.346092,126929.250,19002,4,EM,1,100,RS
1670854076.397959,126979.500,19002,4,EM,1,100,RB
1670854076.449825,127029.750,19002,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854076.501692,127080.000,19002,4,EM,1,100,PS
1670854076.553559,127130.250,19038,4,EM,1,100,RS
1670854076.605425,127180.500,19038,4,EM,1,100,RB
1670854076.657292,127230.750,19038,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854076.709158,127281.000,19038,4,EM,1,100,PS
1670854076.761025,127331.250,19069,4,EM,1,100,RS
1670854076.812891,127381.500,19069,4,EM,1,100,RB
1670854076.864758,127431.750,19069,4,EM,1,100,2022-12-12_16-07-50-264437.csv
1670854076.916625,127482.000,19069,4,EM,1,100,PS
