LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1670854070.564643,121328.000,18057,6,GY,1,100,0.153
1670854070.564643,121328.000,18057,6,GY,1,100,0.122
1670854070.564643,121328.000,18057,6,GY,1,100,0.122
1670854070.564643,121328.000,18057,6,GY,1,100,0.153
1670854070.564643,121328.000,18057,6,GY,1,100,0.153
1670854070.564643,121328.000,18057,6,GY,1,100,0.153
1670854070.604554,121366.667,18082,3,GY,1,100,0.153
1670854070.644465,121405.333,18082,3,GY,1,100,0.153
1670854070.684375,121444.000,18082,3,GY,1,100,0.092
1670854070.723598,121482.000,18098,3,GY,1,100,0.153
1670854070.762820,121520.000,18098,3,GY,1,100,0.214
1670854070.802043,121558.000,18098,3,GY,1,100,0.122
1670854070.841781,121596.500,18114,2,GY,1,100,0.122
1670854070.881520,121635.000,18114,2,GY,1,100,0.183
1670854070.921259,121673.500,18130,2,GY,1,100,0.153
1670854070.960997,121712.000,18130,2,GY,1,100,0.153
1670854071.005381,121755.000,18147,3,GY,1,100,0.122
1670854071.049764,121798.000,18147,3,GY,1,100,0.153
1670854071.094147,121841.000,18147,3,GY,1,100,0.183
1670854071.134058,121879.667,18163,3,GY,1,100,0.153
1670854071.173969,121918.333,18163,3,GY,1,100,0.153
1670854071.213879,121957.000,18163,3,GY,1,100,0.122
1670854071.254134,121996.000,18181,2,GY,1,100,0.153
1670854071.294389,122035.000,18181,2,GY,1,100,0.122
1670854071.333955,122073.333,18195,3,GY,1,100,0.122
1670854071.373522,122111.667,18195,3,GY,1,100,0.122
1670854071.413088,122150.000,18195,3,GY,1,100,0.122
1670854071.453343,122189.000,18212,3,GY,1,100,0.122
1670854071.493598,122228.000,18212,3,GY,1,100,0.122
1670854071.533852,122267.000,18212,3,GY,1,100,0.122
1670854071.574107,122306.000,18229,2,GY,1,100,0.122
1670854071.614362,122345.000,18229,2,GY,1,100,0.122
1670854071.654272,122383.667,18248,3,GY,1,100,0.122
1670854071.694183,122422.333,18248,3,GY,1,100,0.122
1670854071.734093,122461.000,18248,3,GY,1,100,0.122
1670854071.774348,122500.000,18263,2,GY,1,100,0.183
1670854071.814603,122539.000,18263,2,GY,1,100,0.122
1670854071.854169,122577.333,18280,3,GY,1,100,0.122
1670854071.893736,122615.667,18280,3,GY,1,100,0.122
1670854071.933302,122654.000,18280,3,GY,1,100,0.153
1670854071.972869,122692.333,18296,3,GY,1,100,0.183
1670854072.012435,122730.667,18296,3,GY,1,100,0.153
1670854072.052002,122769.000,18296,3,GY,1,100,0.122
1670854072.097934,122813.500,18313,2,GY,1,100,0.153
1670854072.143865,122858.000,18313,2,GY,1,100,0.183
1670854072.183776,122896.667,18330,3,GY,1,100,0.183
1670854072.223686,122935.333,18330,3,GY,1,100,0.214
1670854072.263597,122974.000,18330,3,GY,1,100,0.183
1670854072.304368,123013.500,18345,2,GY,1,100,0.122
1670854072.345139,123053.000,18345,2,GY,1,100,0.183
1670854072.385737,123092.333,18361,3,GY,1,100,0.122
1670854072.426336,123131.667,18361,3,GY,1,100,0.153
1670854072.466935,123171.000,18361,3,GY,1,100,0.183
1670854072.506674,123209.500,18378,2,GY,1,100,0.214
1670854072.546412,123248.000,18378,2,GY,1,100,0.183
1670854072.586323,123286.667,18397,3,GY,1,100,0.153
1670854072.626233,123325.333,18397,3,GY,1,100,0.183
1670854072.666144,123364.000,18397,3,GY,1,100,0.183
1670854072.706054,123402.667,18414,3,GY,1,100,0.183
1670854072.745965,123441.333,18414,3,GY,1,100,0.153
1670854072.785876,123480.000,18414,3,GY,1,100,0.153
1670854072.826130,123519.000,18428,2,GY,1,100,0.153
1670854072.866385,123558.000,18428,2,GY,1,100,0.183
1670854072.905952,123596.333,18446,3,GY,1,100,0.183
1670854072.945518,123634.667,18446,3,GY,1,100,0.122
1670854072.985085,123673.000,18446,3,GY,1,100,0.122
1670854073.025340,123712.000,18462,2,GY,1,100,0.122
1670854073.065594,123751.000,18462,2,GY,1,100,0.183
1670854073.105505,123789.667,18479,3,GY,1,100,0.183
1670854073.145415,123828.333,18479,3,GY,1,100,0.153
1670854073.185326,123867.000,18479,3,GY,1,100,0.122
1670854073.232290,123912.500,18495,2,GY,1,100,0.153
1670854073.279253,123958.000,18495,2,GY,1,100,0.153
1670854073.319164,123996.667,18511,3,GY,1,100,0.153
1670854073.359075,124035.333,18511,3,GY,1,100,0.153
1670854073.398985,124074.000,18511,3,GY,1,100,0.153
1670854073.438724,124112.500,18527,2,GY,1,100,0.153
1670854073.478463,124151.000,18527,2,GY,1,100,0.183
1670854073.517685,124189.000,18545,3,GY,1,100,0.183
1670854073.556908,124227.000,18545,3,GY,1,100,0.214
1670854073.596130,124265.000,18545,3,GY,1,100,0.183
1670854073.636041,124303.667,18563,3,GY,1,100,0.153
1670854073.675951,124342.333,18563,3,GY,1,100,0.092
1670854073.715862,124381.000,18563,3,GY,1,100,0.092
1670854073.756633,124420.500,18578,2,GY,1,100,0.122
1670854073.797404,124460.000,18578,2,GY,1,100,0.122
1670854073.838002,124499.333,18595,3,GY,1,100,0.122
1670854073.878601,124538.667,18595,3,GY,1,100,0.122
1670854073.919200,124578.000,18595,3,GY,1,100,0.183
1670854073.958938,124616.500,18612,2,GY,1,100,0.153
1670854073.998677,124655.000,18612,2,GY,1,100,0.122
1670854074.038244,124693.333,18628,3,GY,1,100,0.153
1670854074.077810,124731.667,18628,3,GY,1,100,0.153
1670854074.117377,124770.000,18628,3,GY,1,100,0.122
1670854074.156943,124808.333,18645,3,GY,1,100,0.122
1670854074.196510,124846.667,18645,3,GY,1,100,0.153
1670854074.236076,124885.000,18645,3,GY,1,100,0.153
1670854074.275815,124923.500,18660,2,GY,1,100,0.122
1670854074.315553,124962.000,18660,2,GY,1,100,0.122
1670854074.359937,125005.000,18677,3,GY,1,100,0.153
1670854074.404320,125048.000,18677,3,GY,1,100,0.153
1670854074.448704,125091.000,18677,3,GY,1,100,0.153
1670854074.488442,125129.500,18693,2,GY,1,100,0.153
1670854074.528181,125168.000,18693,2,GY,1,100,0.153
1670854074.568435,125207.000,18713,3,GY,1,100,0.122
1670854074.608690,125246.000,18713,3,GY,1,100,0.122
1670854074.648945,125285.000,18713,3,GY,1,100,0.153
1670854074.689715,125324.500,18727,2,GY,1,100,0.153
1670854074.730486,125364.000,18727,2,GY,1,100,0.153
1670854074.770397,125402.667,18744,3,GY,1,100,0.153
1670854074.810308,125441.333,18744,3,GY,1,100,0.153
1670854074.850218,125480.000,18744,3,GY,1,100,0.153
1670854074.889785,125518.333,18761,3,GY,1,100,0.153
1670854074.929351,125556.667,18761,3,GY,1,100,0.122
1670854074.968918,125595.000,18761,3,GY,1,100,0.153
1670854075.008140,125633.000,18778,2,GY,1,100,0.153
1670854075.047363,125671.000,18778,2,GY,1,100,0.122
1670854075.087617,125710.000,18794,3,GY,1,100,0.122
1670854075.127872,125749.000,18794,3,GY,1,100,0.122
1670854075.168127,125788.000,18794,3,GY,1,100,0.153
1670854075.207865,125826.500,18810,2,GY,1,100,0.122
1670854075.247604,125865.000,18810,2,GY,1,100,0.122
1670854075.288203,125904.333,18826,3,GY,1,100,0.153
1670854075.328801,125943.667,18826,3,GY,1,100,0.122
1670854075.369400,125983.000,18826,3,GY,1,100,0.122
1670854075.409311,126021.667,18843,3,GY,1,100,0.092
1670854075.449221,126060.333,18843,3,GY,1,100,0.122
1670854075.489132,126099.000,18843,3,GY,1,100,0.153
1670854075.535580,126144.000,18860,2,GY,1,100,0.153
1670854075.582027,126189.000,18860,2,GY,1,100,0.153
1670854075.621766,126227.500,18878,2,GY,1,100,0.153
1670854075.661505,126266.000,18878,2,GY,1,100,0.122
1670854075.701415,126304.667,18893,3,GY,1,100,0.122
1670854075.741326,126343.333,18893,3,GY,1,100,0.122
1670854075.781236,126382.000,18893,3,GY,1,100,0.122
1670854075.821147,126420.667,18911,3,GY,1,100,0.122
1670854075.861058,126459.333,18911,3,GY,1,100,0.122
1670854075.900968,126498.000,18911,3,GY,1,100,0.153
1670854075.940879,126536.667,18932,3,GY,1,100,0.122
1670854075.980789,126575.333,18932,3,GY,1,100,0.122
1670854076.020700,126614.000,18932,3,GY,1,100,0.153
1670854076.061471,126653.500,18949,2,GY,1,100,0.122
1670854076.102242,126693.000,18949,2,GY,1,100,0.153
1670854076.142840,126732.333,18964,3,GY,1,100,0.122
1670854076.183439,126771.667,18964,3,GY,1,100,0.092
1670854076.224038,126811.000,18964,3,GY,1,100,0.092
1670854076.263260,126849.000,18981,2,GY,1,100,0.153
1670854076.302483,126887.000,18981,2,GY,1,100,0.122
1670854076.342049,126925.333,18997,3,GY,1,100,0.183
1670854076.381616,126963.667,18997,3,GY,1,100,0.153
1670854076.421183,127002.000,18997,3,GY,1,100,0.153
1670854076.460749,127040.333,19014,3,GY,1,100,0.122
1670854076.500316,127078.667,19014,3,GY,1,100,0.153
1670854076.539882,127117.000,19014,3,GY,1,100,0.122
1670854076.580137,127156.000,19033,2,GY,1,100,0.122
1670854076.620392,127195.000,19033,2,GY,1,100,0.153
1670854076.664775,127238.000,19049,3,GY,1,100,0.153
1670854076.709158,127281.000,19049,3,GY,1,100,0.153
1670854076.753542,127324.000,19049,3,GY,1,100,0.153
1670854076.793280,127362.500,19064,2,GY,1,100,0.153
1670854076.833019,127401.000,19064,2,GY,1,100,0.122
1670854076.872930,127439.667,19082,3,GY,1,100,0.122
1670854076.912840,127478.333,19082,3,GY,1,100,0.122
1670854076.952751,127517.000,19082,3,GY,1,100,0.153
1670854076.991973,127555.000,19098,3,GY,1,100,0.153
1670854077.031196,127593.000,19098,3,GY,1,100,0.153
1670854077.070418,127631.000,19098,3,GY,1,100,0.122
1670854077.110673,127670.000,19115,2,GY,1,100,0.153
1670854077.150928,127709.000,19115,2,GY,1,100,0.122
1670854077.190838,127747.667,19130,3,GY,1,100,0.122
1670854077.230749,127786.333,19130,3,GY,1,100,0.153
1670854077.270659,127825.000,19130,3,GY,1,100,0.153
1670854077.310570,127863.667,19147,3,GY,1,100,0.153
1670854077.350481,127902.333,19147,3,GY,1,100,0.122
1670854077.390391,127941.000,19147,3,GY,1,100,0.122
1670854077.429614,127979.000,19163,2,GY,1,100,0.122
1670854077.468836,128017.000,19163,2,GY,1,100,0.153
1670854077.508747,128055.667,19181,3,GY,1,100,0.122
1670854077.548657,128094.333,19181,3,GY,1,100,0.122
1670854077.588568,128133.000,19181,3,GY,1,100,0.153
1670854077.627791,128171.000,19199,3,GY,1,100,0.183
1670854077.667013,128209.000,19199,3,GY,1,100,0.183
1670854077.706236,128247.000,19199,3,GY,1,100,0.122
1670854077.746490,128286.000,19214,2,GY,1,100,0.092
1670854077.786745,128325.000,19214,2,GY,1,100,0.122
1670854077.833193,128370.000,19231,2,GY,1,100,0.153
1670854077.879640,128415.000,19231,2,GY,1,100,0.153
1670854077.919207,128453.333,19248,3,GY,1,100,0.153
1670854077.958774,128491.667,19248,3,GY,1,100,0.153
1670854077.998340,128530.000,19248,3,GY,1,100,0.122
1670854078.038251,128568.667,19264,3,GY,1,100,0.092
1670854078.078161,128607.333,19264,3,GY,1,100,0.092
1670854078.118072,128646.000,19264,3,GY,1,100,0.092
1670854078.157983,128684.667,19282,3,GY,1,100,0.122
1670854078.197893,128723.333,19282,3,GY,1,100,0.122
1670854078.237804,128762.000,19282,3,GY,1,100,0.092
1670854078.278059,128801.000,19296,2,GY,1,100,0.153
1670854078.318313,128840.000,19296,2,GY,1,100,0.122
1670854078.358224,128878.667,19313,3,GY,1,100,0.122
1670854078.398134,128917.333,19313,3,GY,1,100,0.122
1670854078.438045,128956.000,19313,3,GY,1,100,0.122
1670854078.476235,128993.000,19329,2,GY,1,100,0.092
1670854078.514426,129030.000,19329,2,GY,1,100,0.122
1670854078.554336,129068.667,19349,3,GY,1,100,0.153
1670854078.594247,129107.333,19349,3,GY,1,100,0.153
1670854078.634157,129146.000,19349,3,GY,1,100,0.122
1670854078.674412,129185.000,19364,2,GY,1,100,0.153
1670854078.714667,129224.000,19364,2,GY,1,100,0.122
1670854078.754577,129262.667,19380,3,GY,1,100,0.122
1670854078.794488,129301.333,19380,3,GY,1,100,0.122
1670854078.834399,129340.000,19380,3,GY,1,100,0.122
1670854078.874309,129378.667,19397,3,GY,1,100,0.122
1670854078.914220,129417.333,19397,3,GY,1,100,0.092
1670854078.954131,129456.000,19397,3,GY,1,100,0.122
1670854079.000578,129501.000,19414,2,GY,1,100,0.122
1670854079.047026,129546.000,19414,2,GY,1,100,0.153
1670854079.086592,129584.333,19430,3,GY,1,100,0.122
1670854079.126159,129622.667,19430,3,GY,1,100,0.092
1670854079.165726,129661.000,19430,3,GY,1,100,0.122
1670854079.207012,129701.000,19446,2,GY,1,100,0.122
1670854079.248299,129741.000,19446,2,GY,1,100,0.122
1670854079.288554,129780.000,19462,3,GY,1,100,0.153
1670854079.328809,129819.000,19462,3,GY,1,100,0.153
1670854079.369063,129858.000,19462,3,GY,1,100,0.153
1670854079.408974,129896.667,19479,3,GY,1,100,0.153
1670854079.448884,129935.333,19479,3,GY,1,100,0.122
1670854079.488795,129974.000,19479,3,GY,1,100,0.122
1670854079.528018,130012.000,19496,2,GY,1,100,0.153
1670854079.567240,130050.000,19496,2,GY,1,100,0.153
