LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1670854070.512003,121277.000,18048,5,PG,1,100,248
1670854070.512003,121277.000,18048,5,PG,1,100,261
1670854070.512003,121277.000,18048,5,PG,1,100,264
1670854070.512003,121277.000,18048,5,PG,1,100,261
1670854070.512003,121277.000,18048,5,PG,1,100,259
1670854070.555096,121318.750,18073,4,PG,1,100,264
1670854070.598189,121360.500,18073,4,PG,1,100,262
1670854070.641282,121402.250,18073,4,PG,1,100,244
1670854070.684375,121444.000,18073,4,PG,1,100,244
1670854070.724630,121483.000,18089,2,PG,1,100,243
1670854070.764885,121522.000,18089,2,PG,1,100,244
1670854070.803763,121559.667,18106,3,PG,1,100,260
1670854070.842642,121597.333,18106,3,PG,1,100,248
1670854070.881520,121635.000,18106,3,PG,1,100,263
1670854070.921431,121673.667,18122,3,PG,1,100,256
1670854070.961341,121712.333,18122,3,PG,1,100,260
1670854071.001252,121751.000,18122,3,PG,1,100,265
1670854071.040990,121789.500,18138,2,PG,1,100,261
1670854071.080729,121828.000,18138,2,PG,1,100,248
1670854071.120640,121866.667,18154,3,PG,1,100,239
1670854071.160550,121905.333,18154,3,PG,1,100,245
1670854071.200461,121944.000,18154,3,PG,1,100,256
1670854071.240371,121982.667,18172,3,PG,1,100,244
1670854071.280282,122021.333,18172,3,PG,1,100,245
1670854071.320193,122060.000,18172,3,PG,1,100,256
1670854071.359931,122098.500,18188,2,PG,1,100,261
1670854071.399670,122137.000,18188,2,PG,1,100,263
1670854071.439580,122175.667,18203,3,PG,1,100,260
1670854071.479491,122214.333,18203,3,PG,1,100,277
1670854071.519402,122253.000,18203,3,PG,1,100,261
1670854071.560173,122292.500,18220,2,PG,1,100,256
1670854071.600943,122332.000,18220,2,PG,1,100,245
1670854071.640854,122370.667,18239,3,PG,1,100,248
1670854071.680764,122409.333,18239,3,PG,1,100,250
1670854071.720675,122448.000,18239,3,PG,1,100,249
1670854071.760930,122487.000,18255,3,PG,1,100,251
1670854071.801184,122526.000,18255,3,PG,1,100,251
1670854071.841439,122565.000,18255,3,PG,1,100,271
1670854071.880662,122603.000,18272,2,PG,1,100,260
1670854071.919884,122641.000,18272,2,PG,1,100,261
1670854071.959451,122679.333,18287,3,PG,1,100,262
1670854071.999017,122717.667,18287,3,PG,1,100,263
1670854072.038584,122756.000,18287,3,PG,1,100,252
1670854072.077290,122793.500,18304,2,PG,1,100,250
1670854072.115997,122831.000,18304,2,PG,1,100,244
1670854072.156251,122870.000,18321,3,PG,1,100,240
1670854072.196506,122909.000,18321,3,PG,1,100,247
1670854072.236761,122948.000,18321,3,PG,1,100,263
1670854072.277359,122987.333,18338,3,PG,1,100,262
1670854072.317958,123026.667,18338,3,PG,1,100,263
1670854072.358557,123066.000,18338,3,PG,1,100,263
1670854072.406037,123112.000,18352,2,PG,1,100,257
1670854072.453517,123158.000,18352,2,PG,1,100,265
1670854072.493255,123196.500,18369,2,PG,1,100,260
1670854072.532994,123235.000,18369,2,PG,1,100,253
1670854072.572905,123273.667,18388,3,PG,1,100,248
1670854072.612815,123312.333,18388,3,PG,1,100,239
1670854072.652726,123351.000,18388,3,PG,1,100,254
1670854072.692980,123390.000,18405,3,PG,1,100,248
1670854072.733235,123429.000,18405,3,PG,1,100,247
1670854072.773490,123468.000,18405,3,PG,1,100,251
1670854072.813228,123506.500,18421,2,PG,1,100,263
1670854072.852967,123545.000,18421,2,PG,1,100,262
1670854072.892190,123583.000,18437,3,PG,1,100,257
1670854072.931412,123621.000,18437,3,PG,1,100,259
1670854072.970634,123659.000,18437,3,PG,1,100,263
1670854073.011233,123698.333,18453,3,PG,1,100,247
1670854073.051832,123737.667,18453,3,PG,1,100,251
1670854073.092431,123777.000,18453,3,PG,1,100,251
1670854073.132685,123816.000,18470,2,PG,1,100,244
1670854073.172940,123855.000,18470,2,PG,1,100,251
1670854073.212851,123893.667,18487,3,PG,1,100,252
1670854073.252761,123932.333,18487,3,PG,1,100,252
1670854073.292672,123971.000,18487,3,PG,1,100,251
1670854073.332410,124009.500,18503,2,PG,1,100,276
1670854073.372149,124048.000,18503,2,PG,1,100,264
1670854073.411716,124086.333,18518,3,PG,1,100,266
1670854073.451282,124124.667,18518,3,PG,1,100,262
1670854073.490849,124163.000,18518,3,PG,1,100,252
1670854073.530071,124201.000,18536,3,PG,1,100,247
1670854073.569294,124239.000,18536,3,PG,1,100,246
1670854073.608516,124277.000,18536,3,PG,1,100,245
1670854073.648771,124316.000,18554,2,PG,1,100,246
1670854073.689026,124355.000,18554,2,PG,1,100,254
1670854073.729624,124394.333,18571,3,PG,1,100,265
1670854073.770223,124433.667,18571,3,PG,1,100,256
1670854073.810822,124473.000,18571,3,PG,1,100,259
1670854073.851593,124512.500,18586,2,PG,1,100,266
1670854073.892363,124552.000,18586,2,PG,1,100,261
1670854073.932274,124590.667,18603,3,PG,1,100,261
1670854073.972184,124629.333,18603,3,PG,1,100,248
1670854074.012095,124668.000,18603,3,PG,1,100,259
1670854074.051318,124706.000,18619,3,PG,1,100,249
1670854074.090540,124744.000,18619,3,PG,1,100,252
1670854074.129763,124782.000,18619,3,PG,1,100,251
1670854074.176210,124827.000,18637,2,PG,1,100,259
1670854074.222658,124872.000,18637,2,PG,1,100,259
1670854074.262225,124910.333,18652,3,PG,1,100,260
1670854074.301791,124948.667,18652,3,PG,1,100,269
1670854074.341358,124987.000,18652,3,PG,1,100,270
1670854074.381096,125025.500,18668,2,PG,1,100,264
1670854074.420835,125064.000,18668,2,PG,1,100,257
1670854074.460746,125102.667,18684,3,PG,1,100,260
1670854074.500656,125141.333,18684,3,PG,1,100,241
1670854074.540567,125180.000,18684,3,PG,1,100,248
1670854074.581337,125219.500,18704,2,PG,1,100,245
1670854074.622108,125259.000,18704,2,PG,1,100,252
1670854074.662707,125298.333,18720,3,PG,1,100,255
1670854074.703306,125337.667,18720,3,PG,1,100,262
1670854074.743904,125377.000,18720,3,PG,1,100,262
1670854074.783815,125415.667,18735,3,PG,1,100,257
1670854074.823726,125454.333,18735,3,PG,1,100,267
1670854074.863636,125493.000,18735,3,PG,1,100,255
1670854074.902859,125531.000,18752,2,PG,1,100,254
1670854074.942081,125569.000,18752,2,PG,1,100,245
1670854074.981304,125607.000,18769,3,PG,1,100,250
1670854075.020526,125645.000,18769,3,PG,1,100,248
1670854075.059749,125683.000,18769,3,PG,1,100,246
1670854075.100003,125722.000,18785,2,PG,1,100,247
1670854075.140258,125761.000,18785,2,PG,1,100,256
1670854075.180513,125800.000,18803,3,PG,1,100,258
1670854075.220767,125839.000,18803,3,PG,1,100,270
1670854075.261022,125878.000,18803,3,PG,1,100,264
1670854075.301621,125917.333,18817,3,PG,1,100,262
1670854075.342220,125956.667,18817,3,PG,1,100,259
1670854075.382818,125996.000,18817,3,PG,1,100,254
1670854075.422557,126034.500,18834,2,PG,1,100,245
1670854075.462296,126073.000,18834,2,PG,1,100,241
1670854075.502206,126111.667,18851,3,PG,1,100,261
1670854075.542117,126150.333,18851,3,PG,1,100,254
1670854075.582027,126189.000,18851,3,PG,1,100,252
1670854075.621766,126227.500,18870,2,PG,1,100,256
1670854075.661505,126266.000,18870,2,PG,1,100,261
1670854075.701415,126304.667,18885,3,PG,1,100,259
1670854075.741326,126343.333,18885,3,PG,1,100,260
1670854075.781236,126382.000,18885,3,PG,1,100,257
1670854075.821147,126420.667,18902,3,PG,1,100,251
1670854075.861058,126459.333,18902,3,PG,1,100,264
1670854075.900968,126498.000,18902,3,PG,1,100,255
1670854075.940879,126536.667,18923,3,PG,1,100,245
1670854075.980789,126575.333,18923,3,PG,1,100,246
1670854076.020700,126614.000,18923,3,PG,1,100,251
1670854076.067664,126659.500,18940,2,PG,1,100,250
1670854076.114628,126705.000,18940,2,PG,1,100,255
1670854076.155915,126745.000,18956,2,PG,1,100,259
1670854076.197201,126785.000,18956,2,PG,1,100,261
1670854076.236768,126823.333,18973,3,PG,1,100,261
1670854076.276335,126861.667,18973,3,PG,1,100,258
1670854076.315901,126900.000,18973,3,PG,1,100,268
1670854076.355124,126938.000,18988,3,PG,1,100,253
1670854076.394346,126976.000,18988,3,PG,1,100,248
1670854076.433569,127014.000,18988,3,PG,1,100,244
1670854076.473135,127052.333,19005,3,PG,1,100,251
1670854076.512702,127090.667,19005,3,PG,1,100,250
1670854076.552268,127129.000,19005,3,PG,1,100,254
1670854076.592523,127168.000,19024,2,PG,1,100,250
1670854076.632778,127207.000,19024,2,PG,1,100,254
1670854076.673032,127246.000,19041,3,PG,1,100,255
1670854076.713287,127285.000,19041,3,PG,1,100,267
1670854076.753542,127324.000,19041,3,PG,1,100,257
1670854076.793280,127362.500,19056,2,PG,1,100,258
1670854076.833019,127401.000,19056,2,PG,1,100,255
1670854076.872930,127439.667,19073,3,PG,1,100,253
1670854076.912840,127478.333,19073,3,PG,1,100,250
1670854076.952751,127517.000,19073,3,PG,1,100,238
1670854076.991973,127555.000,19089,3,PG,1,100,259
1670854077.031196,127593.000,19089,3,PG,1,100,251
1670854077.070418,127631.000,19089,3,PG,1,100,260
1670854077.110673,127670.000,19106,2,PG,1,100,258
1670854077.150928,127709.000,19106,2,PG,1,100,260
1670854077.190838,127747.667,19123,3,PG,1,100,263
1670854077.230749,127786.333,19123,3,PG,1,100,264
1670854077.270659,127825.000,19123,3,PG,1,100,255
